Id	ctrl_1	ctrl_2	ctrl_3	cold_1	cold_2	cold_3	hot_1	hot_2	hot_3	norm.ctrl_1	norm.ctrl_2	norm.ctrl_3	norm.cold_1	norm.cold_2	norm.cold_3	norm.hot_1	norm.hot_2	norm.hot_3	baseMean	ctrl	cold	hot	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
snoRNA:Psi18S-1389a	76	119	41	26	26	47	268	137	60	111	64	54	26	30	20	148	276	90	91.05	76	25	171	6.787	2.763	5.742	9.35155507417006e-09	4.16518263003534e-05	0.1505	0.1391	0.1462	0.1462	TRUE	0.1103
snoRNA:Psi28S-3436a	61	118	39	29	18	47	177	43	70	89	63	51	29	21	20	98	87	105	62.64	68	23	97	4.183	2.064	5.559	2.70733164167547e-08	8.03897008801502e-05	0.017	0.1806	0.0749	0.0749	TRUE	0.2804
Hrb87F	357	964	347	299	335	809	1152	386	407	521	518	458	301	382	350	637	777	612	506.28	499	344	675	1.957	0.969	5.067	4.04869217586688e-07	0.000901643747565554	0.009	0.0641	0.0241	0.0241	TRUE	0.1279
CG3906	10	75	28	6	7	50	13	258	4079	15	40	37	6	8	22	7	520	6134	754.31	31	12	2220	185.294	7.534	4.824	1.40994991596292e-06	0.0017942619787711	1.722	0.0586	0.8801	1.722	TRUE	0.8257
Muc68D	24	332	55	16	8	175	56	833	12872	35	178	73	16	9	76	31	1678	19358	2383.77	95	34	7022	207.766	7.699	4.765	1.8899746387303e-06	0.00210448676022619	1.8687	0.0511	0.9348	1.8687	TRUE	0.7926
CG43673	5	14	9	5	4	14	9	48	645	7	8	12	5	5	6	5	97	970	123.78	9	5	357	68.108	6.09	4.438	9.05879884028685e-06	0.00806957800692753	1.274	0.1149	0.7433	1.274	TRUE	0.6598
CG4783	5	10	6	4	4	15	13	32	490	7	5	8	4	5	6	7	64	737	93.8	7	5	269	53.108	5.731	4.351	1.35552307257725e-05	0.010977272300471	1.1644	0.1364	0.7088	1.1644	TRUE	0.9964
Rh4	56	179	91	40	53	101	256	46	163	82	96	120	40	60	44	141	93	245	102.42	99	48	160	3.341	1.74	4.292	1.77071629861928e-05	0.0131446173234171	0.0901	0.129	0.1055	0.1055	TRUE	0.1499
CG14645	3	70	15	2	0	58	6	627	7010	4	38	20	2	0	25	3	1263	10542	1321.94	21	9	3936	429.748	8.747	4.193	2.75127115308418e-05	0.018852556485903	3.0894	0.0539	1.335	3.0894	TRUE	0.4111
Obp19c	8	8	19	4	3	14	6	144	16	12	4	25	4	3	6	3	290	24	41.33	14	4	106	22.964	4.521	3.928	8.57898311261532e-05	0.0477634884794858	1.2698	0.2492	0.8569	0.8569	TRUE	1.4987
CG10725	16	16	27	6	4	41	21	28	227	23	9	36	6	5	18	12	56	341	56.15	23	10	136	14.022	3.81	3.903	9.48447719353072e-05	0.0496590345957716	0.9523	0.196	0.6379	0.6379	TRUE	0.4383
ninaE	1555	7578	2738	1487	1928	2891	6476	1376	6014	2271	4072	3614	1496	2199	1251	3579	2771	9044	3366.4	3319	1649	5131	3.114	1.639	3.89	0.000100343805873809	0.0496590345957716	0.203	0.0501	0.1275	0.1275	TRUE	1.2383
