"","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"X128up",1364.84016315317,1788.31512349252,1296.58818922584,2037.09329433394,2450.74201487599,1561.40924060377,1816.0239259839,773.483725104876,780.434404947408
"X14.3.3epsilon",427531.130633473,418021.356610832,335375.828485793,65116.4046594453,116447.824267381,17102.2503489341,16375.2363831246,8754.55108933581,7267.9542792985
"X14.3.3zeta",5846.42899965255,5431.09936780819,5456.11794840796,7310.37289220491,28478.3505396039,8535.70384863394,6645.61353412542,9538.74047153557,7436.5823429082
"X140up",93.7368022059013,48.8964328096064,231.56145051117,185.225749389093,359.514478312507,266.017870621383,237.181772539534,232.848041813579,217.775941445694
"X18w",1442.41544773736,755.018447795393,916.889783842207,517.072302505132,825.953521295544,794.198280405868,853.078854910586,1156.21096624674,1213.44415622659
"X26.29.p",14113.8533390368,13817.5566598441,11794.0406123989,19455.7227668843,14462.7095952182,23332.4659855161,25224.6369591023,4622.16745071322,2576.0267003693
"X2mit",673.935284825187,393.328658041981,284.578886991842,126.343458530666,130.16903525108,92.5279549987419,210.038354428743,564.723411754771,721.118000662589
"X312",109.898319827608,41.7057809258407,98.2381911259508,152.080088972098,147.214980343483,254.45187624654,377.422766111956,173.966927791754,238.112994343346
"X4E.T",2033.92699269184,2617.3972856907,3179.48685247323,4158.41556102166,2315.9240855088,1804.29512247547,1335.19766230702,1803.9032204868,1387.1564830607
"X4EHP",7039.14900013454,8971.7763553744,8073.46404054937,4335.45238254303,2871.46693238394,1195.15275206708,1420.50554779808,1009.00818119217,882.11966943567
"X5.HT1A",743.429810598528,329.331856276467,244.036141447798,79.1596360547072,55.78672939332,38.5533145828092,115.036391040973,283.699913014245,483.005006319243
"X5.HT1B",293.331544833984,63.9968017655142,56.9157773983683,65.1214739957444,12.3970509762933,30.8426516662473,63.9809141182939,163.261270696877,239.807748751484
"X5.HT2A",307.068834812435,85.5687574168112,103.695868410726,115.424888040361,12.3970509762933,154.213258331237,210.038354428743,695.867711167017,667.733236806252
"X5.HT2B",109.898319827608,8.62878226051878,82.6448274551649,10.9185704903044,49.5882039051734,7.71066291656183,40.0688553064063,64.2339425692631,179.643967262596
"X5.HT7",148.685962119706,214.281426136216,104.475536594265,48.7436182602877,161.936478377832,15.4213258331237,29.0822336901336,99.0273281276139,149.138387916117
"X5.8SrRNA.CR40454",0,0,0,0,10.0726039182383,14222.3177495983,1403.70247944378,1212.41566599484,2105.73235211109
"X5PtaseI",202.827046152424,221.472078019982,471.699251041272,514.342659882556,264.98696461827,520.469746867924,518.310031544159,321.169712846315,356.745802912985
"X5SrRNA.Psi.CR33363",0,0,0,0,0,0,1.29254371956149,0,1.69475440813769
"X5SrRNA.CR33367",0,0,0,0,0,0,0.646271859780747,0,1.69475440813769
"X7B2",1431.91046128325,736.322752897602,429.59716913015,229.289980296393,371.136713602782,335.41383687044,873.75955442357,1276.6496085641,2328.59255678119
"X825.Oak",0,0,0,0,0,3.85533145828091,0.646271859780747,0,2.54213161220654
"A16",4386.23588253131,4091.48092186265,4229.69989570066,1896.71167374432,1628.66257201054,798.053611864149,1046.96041284481,765.454482283718,971.941653066968
"A2bp1",2337.76352397994,1934.28535673296,1643.54053090083,1281.37223682644,1114.18495649436,551.312398534171,639.162869323159,1319.47223694361,1294.7923678172
"ABCB7",505.855501559433,739.199013651108,519.259010237168,1038.43404341717,1791.37386607439,828.896263530397,1314.51696279404,2001.95787674203,2627.7167098175
"ACC",4225.42878219533,4884.609824642,5410.89719376268,7705.0012256402,5247.82664140217,15625.6584004125,12025.8267668001,29510.1437820289,19330.3687792185
"ACXA",70.302601654426,5.75252150701252,66.2717956008398,199.263911448056,38.7407843009167,0,1.93881557934224,1913.6362057093,2179.45416886508
"ACXB",17.7776693838778,17.2575645210376,7.79668183539292,22.2270899266912,25.568917638605,0,0,262.288598824491,244.044634771828
"ACXC",109.090243946523,65.4349321422674,171.527000378644,220.711103482583,35.6415215568434,0,1.93881557934224,2697.82558790905,2837.0188792225
"ACXD",288.483089547472,212.124230571087,56.136109214829,249.177376546591,698.108933102519,404.809803119496,406.50499980209,1132.12323778326,1215.9862878388
"ACXE",30.7068834812435,0,3.11867273415717,14.4281110050452,9.29778823222,3.85533145828091,0,107.056570948772,147.443633507979
"AGBE",1488.47577295923,2205.37293275092,1482.92888509173,3180.42360424725,6819.15285264735,3392.6916832872,2934.07424340459,2135.778590428,1506.63666883441
"AGO1",8594.69507122385,8045.62039274538,7655.56189417231,6323.4121096706,5130.82947281341,5181.56547992955,4574.95849538791,3896.85918253529,3653.0431267408
