"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"1","CR41609",115210.898066867,-10.5339570156796,0.499340143603771,-21.0957543682655,8.70067244478938e-99,1.3010985573938e-94,210.881853156331,98.506062149026,214.362638514217,342.741035431099,954.388425275871,312887.180562954,216523.35394227,246942.375562865,258724.292519186
"2","CR40677",28106.6290592845,-11.1310991092021,0.646826166711041,-17.2087953179154,2.28128144047487e-66,1.70571413304306e-62,43.6307282392409,25.1657823008461,15.5900100737613,145.440735171558,557.759469317068,84971.5176707802,33766.8154960479,72573.8910597528,60859.8505818767
"3","CR41602",1115111.58367118,-8.02422532307212,0.482108386878993,-16.6440276532384,3.34352924909838e-62,1.66663787970057e-58,11394.8918584817,9871.45786309473,7513.60535504924,4462.65204836055,12858.6797655472,2872808.36367592,1574967.08558521,2764696.07531715,2777431.44157182
"4","Eig71Ec",94124.3306633695,19.92504849791,1.20289546095506,16.5642394910112,1.2636776065897e-61,4.19404265597997e-58,361195.367775658,262535.912163589,223386.13634491,1.55968616805961,0,0,0,0,0
"5","vsg",154607.315494149,6.47460962997467,0.391026623367743,16.5579764728336,1.4023146502541e-61,4.19404265597997e-58,441935.646335271,408258.015065462,379593.360280976,41644.4005302755,101592.788672385,4703.50506163121,3755.31560874466,5485.4071629877,4497.40072960973
"6","CR40963",77039.1077807305,-20.226842528316,1.32873258101482,-15.2226586578224,2.5015495825844e-52,6.23469540966119e-49,0,0,0,0,0,166191.797288309,90945.2121735658,217312.074694174,218902.885870526
"7","CG45081",8709.23980323344,11.1407465339657,0.74194730911487,15.0155494832327,5.80785808578523e-51,1.24072442592618e-47,38306.1634411557,21612.3738399666,18400.8888900604,1.55968616805961,13.9439867329267,15.421328070922,8.40259946879184,13.3855714079739,11.0188860695301
"8","CR40741",19824.2360978167,-13.045114172921,0.88431511337168,-14.7516580635868,3.00197735782214e-49,5.61144617610904e-46,13.7355996308721,1.43804470290549,0.779500503688063,11.3077247184322,34.0853009027097,53153.4625284504,35614.7410253769,50891.9424931167,38696.6326629481
"9","CR43875",448.782663023522,-4.52305428575258,0.320720226106656,-14.1028033705876,3.6497787050401e-45,6.06431008390774e-42,46.8626340347402,44.5793857900701,35.8570231696509,6.62866621425333,7.74665929607038,825.041051794327,849.955253958559,995.886512753257,1226.48678020077
"10","PGRP-SB2",9981.29179906584,15.9705371229691,1.14012687183936,14.0076841599251,1.39892746039183e-44,2.09195612426994e-41,42309.6867453305,27273.9558353055,20246.7460827937,0.389921542014902,0,0,0,0,0.847606620733081
"11","CG13560",10893.1699369475,28.6748836339505,2.15105928651281,13.3305873128382,1.53683000602785e-40,2.08925053728549e-37,7443.07904703494,5160.42341637635,3586.48181746878,8.18835238231294,81840.3567992652,0,0,0,0
"12","Eig71Ed",8766.82804266079,16.5006117372189,1.24704503191165,13.2317689537838,5.75175216271891e-40,7.16764182010821e-37,36629.6123097405,24860.9168238301,17410.9232503766,0,0,0,0,0,0
"13","CG42331",6613.83261086315,8.33181787378826,0.634538607847783,13.1305136846566,2.20158009874886e-39,2.35160205690646e-36,30460.7121225811,17788.6129749409,10839.7340042862,143.491127461484,52.6772832132786,23.131992106383,77.5624566350016,58.8965141950851,79.6750223489096
"14","Ilp6",2386.18325311727,4.89059942647037,0.372407138954244,13.1323997713998,2.1474181309636e-39,2.35160205690646e-36,8053.10126593544,6458.25876074855,4631.79199291447,554.46843274519,914.880462865912,200.477264921986,205.540510082754,275.742771004262,181.387816836879
"15","Eig71Ee",42692.2509383404,30,2.29694619000827,13.0608196789721,5.51309622572829e-39,5.49618939730272e-36,110087.599135645,104459.567219055,72672.8319588381,1.16976462604471,97009.0903669006,0,0,0,0
"16","CG2970",1093.80193540941,-2.72383853985171,0.210357195550466,-12.9486349764453,2.39168981094693e-38,2.23533308955627e-35,281.175804208441,295.518186447078,256.455665713373,847.299510798382,838.963201764422,1580.6861272695,1955.86661481262,1729.41582591023,2058.83648176065
"17","CG12164",954.14207670551,6.80019240564951,0.531899635543724,12.7847284548299,1.99558582130988e-37,1.75541119834517e-34,3888.79064843456,2599.98482285312,1949.53075972385,13.2573324285067,37.1839646211378,19.2766600886525,29.7322750434173,24.094028534353,25.4281986219924
"18","CR40962",15780.4356959142,-17.9393677422054,1.40567913356377,-12.7620644810487,2.67028918173622e-37,2.21841691242686e-34,0,0,0,0,0,48565.6174273511,12948.4057814082,33522.8250341298,46987.0730203384
"19","CG42717",5298.52487876439,15.0868178766329,1.19110285600338,12.6662595094895,9.09487948158698e-37,7.15814882987641e-34,22208.8486502225,16226.8964275855,9250.33247726624,0,0,0,0.64635380529168,0,0
"20","CR43903",746.057419054504,-10.6857054229507,0.847548948412204,-12.6077737963916,1.91321161831892e-36,1.43050832701706e-33,0,2.15706705435823,0.779500503688063,8.57827392432784,13.9439867329267,2166.69659396454,1750.97245853516,1193.99296959127,1577.39592118426
"21","CG16953",9420.93459738627,2.95471255095483,0.235164975400773,12.5644243830075,3.31277225290185e-36,2.35900934618544e-33,20950.0213428755,23585.3711723529,19007.3402819297,5073.6591046979,5230.54435670672,2995.5929777766,2458.72987532955,3188.44310937938,2298.70915542812
"22","CG32762",177248.769525932,18.80948705191,1.506484575773,12.4856818014606,8.93744280697207e-36,6.07502362433911e-33,727236.170315218,448546.275462063,419448.441534043,0,4.64799557764223,0,0,0,3.39042648293233
"23","CG42713",4937.59252090621,15.6723640349254,1.26981816651196,12.342211230113,5.36615908892776e-35,3.48893665286199e-32,21170.5989134183,14183.4349047568,9084.29886998068,0,0,0,0,0,0
