"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"Eig71Ec",94124.3306633695,-18.1862454998504,1.08408755761109,-16.7756242308748,3.67971786766567e-63,5.28039514010024e-59,361195.367775658,262535.912163589,223386.13634491,1.55968616805961,0,0,0,0,0
"CG45081",8709.23980323344,-11.7830674451624,0.868570433474522,-13.5660471402726,6.36639353414277e-42,4.56788736074744e-38,38306.1634411557,21612.3738399666,18400.8888900604,1.55968616805961,13.9439867329267,15.421328070922,8.40259946879184,13.3855714079739,11.0188860695301
"CR43428",1889.42546164511,-11.3984029631062,1.01009868832844,-11.2844448713906,1.56627242334581e-29,7.49200309167078e-26,8116.12342894768,5691.06191174847,3192.05456260262,3.11937233611921,0.774665929607038,0,0,0,1.69521324146616
"CG12164",954.14207670551,-6.82486177719632,0.613303790846038,-11.1280280328638,9.16403802108607e-29,3.28759864006463e-25,3888.79064843456,2599.98482285312,1949.53075972385,13.2573324285067,37.1839646211378,19.2766600886525,29.7322750434173,24.094028534353,25.4281986219924
"PGRP-SB2",9981.29179906584,-16.7914949812932,1.52240473324579,-11.0295866891411,2.75126523872466e-28,7.89613123513978e-25,42309.6867453305,27273.9558353055,20246.7460827937,0.389921542014902,0,0,0,0,0.847606620733081
"CG32762",177248.769525932,-17.8826641128359,1.63033284397648,-10.9687197794648,5.40319928350208e-28,1.29226516197091e-24,727236.170315218,448546.275462063,419448.441534043,0,4.64799557764223,0,0,0,3.39042648293233
"CG16886",3001.41999411461,-8.41606228283515,0.771074537361016,-10.9147194921504,9.80314562462915e-28,2.00964485304898e-24,13457.6557324592,8337.78318744602,4928.00218431593,19.88599864276,32.5359690434956,19.2766600886525,60.1109038921262,48.188057068706,109.341254074567
"Eig71Ed",8766.82804266079,-17.9889853411659,1.67817199014335,-10.7193931532782,8.25431175466993e-27,1.48061717099392e-23,36629.6123097405,24860.9168238301,17410.9232503766,0,0,0,0,0,0
"CG42717",5298.52487876439,-17.2625052376534,1.66687280546316,-10.3562222510774,3.92145537854961e-25,6.25254274246521e-22,22208.8486502225,16226.8964275855,9250.33247726624,0,0,0,0.64635380529168,0,0
"CG42331",6613.83261086315,-7.64565540960745,0.746940901265127,-10.2359576194819,1.36834682521795e-24,1.96357769418776e-21,30460.7121225811,17788.6129749409,10839.7340042862,143.491127461484,52.6772832132786,23.131992106383,77.5624566350016,58.8965141950851,79.6750223489096
"CG42713",4937.59252090621,-17.1607382254347,1.70239106560273,-10.0803737591039,6.74689860181614e-24,8.80163590327832e-21,21170.5989134183,14183.4349047568,9084.29886998068,0,0,0,0,0,0
"Eig71Ef",1592.83371543126,-15.5283220105764,1.62214092609582,-9.57273302261728,1.04116295940265e-21,1.24505737228567e-18,6420.18086275941,4850.52478290021,3062.6574789904,0,0,0,1.29270761058336,0,0.847606620733081
"yellow-d2",88.6683176823769,23.1057585574263,2.50435448711242,9.22623321751378,2.8031641711697e-20,3.09426198894502e-17,0,0,0,0,404.375615254874,88.6726364078015,118.929100173669,58.8965141950851,127.140993109962
"Cirl",28266.1222773023,-3.49983094948884,0.386366717063886,-9.05831375974898,1.32482696458229e-19,1.35794763869685e-16,95088.3243387322,69595.611441814,54535.4142390243,7321.55679441381,5596.96134141085,5081.3275993688,5857.90453735849,4644.79327856694,6673.20692503155
"Hen1",144.206752664579,3.27111151565576,0.377152044612669,8.67319046093242,4.20178283827542e-18,4.01970558195016e-15,18.5834583241211,15.0994693805076,21.8260141032658,192.621241755361,163.454511147085,200.477264921986,202.308741056296,243.617399625125,239.872673667462
"Lcp65Af",156.697805210384,24.9897258671177,2.92892883400884,8.53203586818259,1.43794455519157e-17,1.28965652293744e-14,0,0,0,0,1402.91999851835,0,1.29270761058336,2.67711428159478,3.39042648293233
"Lcp65Ae",366.396912442079,26.1673267100425,3.07923805929504,8.49798755606223,1.92905785238675e-17,1.62835177539705e-14,0,0,0,0,3283.80887560424,0,0.64635380529168,8.03134284478433,5.08563972439849
"CG2150",1019.16282705031,-7.96724381806856,0.943576732018137,-8.44366287098675,3.07545351144777e-17,2.45181988273753e-14,4523.0521608013,2953.74381976787,1655.65906983345,15.5968616805961,8.52132522567742,3.8553320177305,10.3416608846669,0,1.69521324146616
"srp",5861.89776000333,-3.00701752117503,0.356411100890334,-8.43693564443795,3.25765713019599e-17,2.46038841149013e-14,13721.0560547924,14551.5743487006,13781.568905205,2065.80432959495,1420.73731489931,2081.87928957447,1970.73275233433,1884.68845424272,1279.03839068622
"rudhira",10455.4819078466,-1.69330806808878,0.206624821254956,-8.19508545877648,2.5041518617964e-16,1.79672896083892e-13,19647.5633072893,20626.5941961249,19347.2025015377,5982.95614067665,6308.10466479011,5451.43947307092,4956.2409789766,6218.93647614467,5560.29943200901
"CG14062",860.919384783599,-14.6408744309911,1.792010004162,-8.17008520989683,3.08171715586079e-16,2.10584005650488e-13,4236.22052145074,2108.17353445945,1403.8804071422,0,0,0,0,0,0
"CR45210",203.072830866032,-7.08583632441872,0.891154479868356,-7.95129967305496,1.84564883524718e-15,1.20386639935441e-12,714.251180805351,543.580897698275,115.366074545833,2.33952925208941,4.64799557764223,119.515292549645,89.8431789355435,133.855714079739,104.255614350169
"CG34461",392.604257176171,-13.5030149860118,1.73724484153206,-7.77266086115048,7.68543097461639e-15,4.79504062981501e-12,1610.29706260754,1239.59453390453,671.149933675422,0,0,0,6.4635380529168,0,5.93324634513157
"Eig71Eg",224.627330556053,-12.7019375226311,1.64344868833906,-7.72883121496677,1.08538466986044e-14,6.48969583854056e-12,862.110870949445,681.633189177202,477.054308257094,0,0,0,0,0,0.847606620733081
"CG4151",26032.0590959867,-12.6348949313682,1.67812468352734,-7.52917530824363,5.10617901860733e-14,2.93094675668061e-11,115273.191984523,65111.0690358033,53875.9568129042,0,24.7893097474252,0,0,2.67711428159478,0.847606620733081
"CG7906",391.72032950464,-13.5011644023845,1.84902695515707,-7.30176721584762,2.84012341234953e-13,1.56752965258522e-10,1485.86868948081,1231.68528803855,798.988016280264,0,0,3.8553320177305,0,0,5.08563972439849
"CG16953",9420.93459738627,-2.03955264174873,0.280300392439729,-7.27631033262744,3.43073883483217e-13,1.82337415851265e-10,20950.0213428755,23585.3711723529,19007.3402819297,5073.6591046979,5230.54435670672,2995.5929777766,2458.72987532955,3188.44310937938,2298.70915542812
"cindr",4511.99984418724,-1.40881869570154,0.196514147546014,-7.16904463772344,7.55229313940372e-13,3.87055023394441e-10,7516.60490388255,8033.63673278151,7745.11700464459,2883.07988165818,2966.19584446535,3038.00162997163,2938.32439885598,2527.19588182547,2959.84231959992
"Osi3",167.824265891636,-7.74804162738049,1.08387570604673,-7.14845953660155,8.77571094852683e-13,4.34246386590897e-10,726.370827538473,429.975366168741,321.154207519482,0.389921542014902,4.64799557764223,0,5.17083044233344,13.3855714079739,9.32367282806389
"CG33998",303.74765461809,-13.123966150571,1.84293157594432,-7.12124439229179,1.06956943011222e-12,5.11610710737013e-10,1515.76381808918,807.462100681432,384.293748318215,0,0,0,1.93906141587504,10.7084571263791,13.5617059317293
"Ilp6",2386.18325311727,-3.11944529105805,0.438421319144085,-7.11517701088998,1.11769296094454e-12,5.17383677082394e-10,8053.10126593544,6458.25876074855,4631.79199291447,554.46843274519,914.880462865912,200.477264921986,205.540510082754,275.742771004262,181.387816836879
"Eip78C",1767.07511272544,-5.50464785015705,0.781373242135258,-7.04483792548937,1.85677502736424e-12,8.32647551333649e-10,7691.12781683952,4500.36089774273,2697.85124326439,146.220578255588,72.0439314534546,73.2513083368795,149.307729022378,230.231828217151,343.280681396898
"CG11406",157.800358564532,-12.0785789078301,1.72380189185877,-7.00694143850011,2.43584157217101e-12,1.05922201698952e-09,783.737155408586,337.94050518279,190.198122899887,0,0,26.9873241241135,13.5734299111253,16.0626856895687,51.704003864718
"CG15522",161.447223907441,-8.71192922316275,1.26003612637355,-6.91403130498814,4.71071148620509e-12,1.98819734785421e-09,551.039938132635,376.767712161238,226.055146069538,1.55968616805961,0,11.5659960531915,60.1109038921262,93.6989998558172,132.226632834361
"CG43366",145.38749849962,-4.00202501848305,0.579582800699776,-6.90500997208869,5.01999012874187e-12,2.05819595278417e-09,502.561351200145,274.666538254948,395.986255873536,22.6154494368643,26.3386416066393,26.9873241241135,31.6713364592923,10.7084571263791,16.9521324146616
"Sb",97.9648044917207,-5.87854652870706,0.857223978327954,-6.85765526551576,6.99999277466621e-12,2.79027489767945e-09,284.407710003941,274.666538254948,216.701140025281,7.40850929828313,0.774665929607038,11.5659960531915,18.7442603534587,42.8338285055164,24.5805920012594
"CG34206",170.64322509609,-12.3045546101459,1.81417455923257,-6.78245351172322,1.1815188812723e-11,4.58237728277231e-09,902.509693393186,458.736260226851,173.04911181875,0,0,0,0.64635380529168,0,0.847606620733081
"CG15322",352.226844660679,-5.73177666748389,0.84828238279327,-6.75692055351896,1.40955428317334e-11,5.32292209566773e-09,1521.41965323131,912.439363993533,661.016427127477,18.7162340167153,20.141314169783,3.8553320177305,3.2317690264584,8.03134284478433,21.190165518327
"CG34193",76.6618710917419,-11.1428053549313,1.68906718857992,-6.59701723547159,4.19512011253938e-11,1.54358906704974e-08,326.422485345432,231.525197167784,127.838082604842,0,0,0,0.64635380529168,2.67711428159478,0.847606620733081
"CG9646",2671.77678620438,-1.44621378766559,0.219476639907298,-6.58937456066596,4.41683219245857e-11,1.58453854904451e-08,4166.7345468475,4858.43402876619,4226.45173099668,1739.82992047049,1501.30257157844,1862.12536456383,1915.79267888454,1758.86408300777,2016.456150724
"CG2970",1093.80193540941,1.60202584629917,0.249613206503034,6.41803319921575,1.38046156128681e-10,4.83161546450384e-08,281.175804208441,295.518186447078,256.455665713373,847.299510798382,838.963201764422,1580.6861272695,1955.86661481262,1729.41582591023,2058.83648176065
"Cpr65Aw",153.822328544323,24.9785626291988,3.89565635072503,6.41190094309782,1.43716211373697e-10,4.83606328556838e-08,0,0,0,0,1383.55335027817,0,0,0,0.847606620733081
