"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"CG11023",71,74,31,16,7,0,16,6,2
"l(2)gl",5874,2026,856,12648,11637,2770,3295,4018,8238
"Ir21a",99,122,42,0,5,7,8,0,0
"CR43609",154,74,41,12,32,13,20,36,16
"Cda5",1376,670,200,919,918,192,364,603,803
"CR45339",3,13,2,0,2,0,4,2,3
"CR45340",4,9,3,1,4,0,0,0,0
"dbr",1490,668,262,3795,3400,636,940,983,2192
"CR44987",100,109,33,32,19,9,12,15,28
"galectin",2598,844,336,2975,2426,633,873,1397,1878
"CG11374",233,116,27,200,170,49,99,221,155
"net",167,118,35,52,29,9,29,43,87
"Zir",1969,759,294,3630,3357,760,910,1142,2209
"CG11377",869,285,125,1755,1513,290,357,537,936
"Nhe1",638,294,127,1403,1114,242,279,394,625
"Sam-S",7080,2389,811,11320,9887,2129,2843,5188,6072
"CG11455",874,384,127,1413,1439,286,353,607,677
"CG13694",81,43,25,30,17,2,15,8,35
"CG4822",823,400,139,979,502,169,294,421,575
"CG3164",8823,2579,1074,9010,8248,2756,3513,5871,6948
"CR44969",87,41,18,16,3,9,15,11,9
"Gs1",3997,1591,564,9965,8993,1906,2539,3451,6182
"CR44185",39,18,14,0,3,0,0,0,8
"CR44186",19,22,8,8,0,0,5,0,0
"CG31975",0,0,0,0,0,0,0,0,0
"CG31976",0,0,0,0,0,0,0,0,0
"CG31974",967,364,97,913,629,154,336,531,514
"CG11454",330,147,70,504,554,112,161,228,326
"CG42399",460,230,109,298,202,56,38,100,108
"CG3709",469,199,64,832,655,168,198,267,433
"CG3436",1372,622,201,2849,2466,574,856,1055,1691
"CG33635",268,87,34,331,411,82,83,95,221
"spen",26518,10826,3421,57343,50224,11510,13379,21220,32941
"mRpL10",368,158,37,530,539,87,148,229,315
"CG11617",246,116,26,114,138,38,68,77,102
"Tbc1d15-17",800,367,149,1872,1768,305,396,525,980
"kis",32151,12539,4155,80899,75154,15361,16437,26452,45319
"CR44220",25,12,3,0,0,2,3,0,0
"CR44222",60,46,24,2,7,4,0,2,4
"CR44221",40,34,6,0,0,0,3,1,0
"snoRNA:kis-a",6,0,0,6,0,2,0,0,2
"CG13693",85,86,37,15,1,0,13,0,8
"mir-965",2,1,9,22,6,5,6,2,9
"CR44218",50,25,15,11,3,0,7,0,13
"Rpp30",215,122,40,185,212,30,58,103,152
"CG3645",461,280,85,731,804,157,208,314,493
"CG17075",673,396,143,265,173,43,104,175,200
"CR44219",30,20,16,0,0,4,7,0,0
"CG3345",153,145,33,5,0,2,2,0,2
"mbm",1235,538,142,1863,2111,512,561,824,1201
"CG11555",599,230,76,1032,907,213,337,376,595
"CG17078",1136,522,132,2726,2785,457,652,639,1373
"smo",1013,426,163,1988,1907,363,423,666,1258
"CG11601",155,134,50,310,225,50,91,111,94
"CG3625",699,264,91,902,492,134,247,418,367
"Amnionless",226,120,40,80,51,16,16,37,16
"CG11562",494,203,63,881,875,156,212,296,518
"U2af38",1095,421,216,2897,2319,574,658,800,1511
"Hop",5834,2412,888,20720,17954,4498,3310,4918,7611
"Pi3K21B",2523,948,363,5853,5118,1013,1110,1472,2929
"Plc21C",2013,955,324,3945,3506,805,906,1333,1819
"CR43719",27,20,17,10,1,0,7,0,0
"CG11912",347,121,60,827,763,111,258,569,366
"CG11911",4353,2261,657,8155,5474,1175,1710,3741,3435
"CG33127",575,251,118,848,608,116,302,545,509
"CG43755",201,88,35,18,2,0,21,2,0
"CG31921",178,105,46,32,0,4,8,8,0
"Ent1",761,319,122,1227,1167,247,348,370,749
"CR45367",36,48,14,0,14,1,5,0,4
"CR45366",37,40,9,12,17,2,7,8,7
"al",171,94,45,32,7,0,9,10,12
"CR43718",45,13,8,0,0,0,9,0,0
"CG4213",903,344,102,570,381,123,240,377,289
"RpI135",1201,465,145,1312,1162,337,319,771,849
"AP-2alpha",3721,1477,542,7484,7032,1522,1872,2808,4389
"ebi",1763,708,282,4949,4660,1006,1038,1247,2368
"CG13690",363,226,54,1271,969,256,285,350,739
"RpLP1",9388,4157,1242,18650,18264,3172,4920,8320,8198
"CG11885",89,26,27,48,95,29,37,51,55
"CG13692",34,36,14,11,2,0,5,0,0
"BBS8",126,99,20,11,4,0,11,9,10
"ex",2565,1147,377,3436,2700,821,955,2252,2182
"CR43717",33,25,4,0,0,0,2,0,7
"crq",2600,917,370,4866,4904,983,1233,1688,3166
"CG4164",753,303,107,1695,1688,318,451,564,784
"CG4133",274,138,51,115,80,11,32,35,47
"CG4297",1541,605,245,1708,1474,346,411,755,1084
"MED15",740,328,116,1762,1632,344,356,535,934
"ush",1175,615,230,2413,1801,555,626,964,1515
"cbt",3410,1332,437,6203,4217,1120,1460,2235,2698
"lwr",1510,680,195,3583,3548,604,882,1289,2019
"Spp",749,387,124,1494,1327,262,297,664,684
