GO	genes
detection of stimulus	Ir21a;Gr21a;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Or22c;Or23a;Gr23a;Or24a;Ir25a;nompC;santa-maria;Gr28a;Gr28b;CheA29a;FKBP59;Ir31a;porin;Gr32a;Or33a;Or33c;Rh5;Rab6;Gr33a;Pkd2;ppk;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;ninaD;CheB38b;Gr39a;Ir40a;Ir41a;Or42a;Or42b;Pld;Or43a;Dscam1;Gr43a;CG1339;Or43b;Or45b;Or46a;Gr47a;Ir47a;Or47a;Gr47b;Ir48b;Cam;Or49a;Or49b;stj;Ir51b;Ir52a;Ir52b;Ir52d;Ir54a;Ir56b;Ir56d;Gr57a;Cib2;ktub;Gr58c;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;Ir60a;Ir60b;Ir60e;Gr61a;Ir62a;Gr63a;Gr64a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;PGRP-SD;Gr66a;TrpA1;Or67a;Ir67a;Or67b;Or67c;Ir67b;Ir67c;Ir68a;Gr68a;Rh7;Or69a;nan;Or71a;Or74a;Ir75a;Ir75b;Ir75c;brv1;Ir76a;Ir76b;rdgC;Gr77a;Ac78C;Or82a;Or83a;Orco;Or83c;Ir84a;Or85c;Or85d;Or85e;Ir85a;Or85f;Fmr1;Ir87a;ninaB;Or88a;Rh2;Ir92a;Or92a;Ir93a;Snmp1;CheB93b;Gr93a;Gr93b;Gr93d;Ir94a;Ir94b;Ir94c;Or94a;Or94b;Ir94e;Ir94f;Ir94g;Gr97a;Gr98a;Gr98b;Gr98c;Or98a;Or98b;TkR99D;stops;Ir100a;Or1a;Or2a;brv3;Gr5a;Ir7a;Ir7d;Ir7e;Ir7f;Ir7g;Or7a;Gr8a;Ir8a;Gr9a;Ir10a;Gr10b;Gr10a;Or10a;cac;Ir11a;acj6;Or13a;Or19b;shakB;Ir20a
sensory perception	Ir21a;ebi;rempA;Gr21a;S;Pino;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Obp22a;Or22c;dpr3;Or23a;Gr23a;Or24a;Ir25a;nompC;Gr28a;Gr28b;poe;CheA29a;ppk11;FKBP59;dpr19;Ir31a;dpr2;Gr32a;CG14921;salr;Or33a;Or33c;Rh5;Gr33a;ppk;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;Dhc36C;btv;CheB38b;Gr39a;nompB;Ir40a;Or42a;Or42b;dpr12;Or43a;Dscam1;Gr43a;CG1339;Or43b;pdm3;Or45b;CheA46a;Or46a;Obp46a;Gr47a;Or47a;Obp47b;nompA;Gr47b;Cam;Or49a;Or49b;stj;Obp50a;Obp50e;phyl;Obp51a;Rho1;dpr13;Obp56b;Obp56c;Obp56i;Obp57e;Gr57a;CG9313;ktub;Gr58c;Gr58a;CG4329;Obp59a;Obp58b;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;bw;sei;NaCP60E;Gr61a;dpr20;Rac1;Gr63a;Gr64a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;Snmp2;Gr66a;TrpA1;Or67a;Or67b;dpr10;Or67c;Gr68a;Klp68D;Rh7;Or69a;Zmynd10;nan;DCX-EMAP;Or71a;Obp73a;Or74a;Ir75a;Ir75b;Ir75c;brv1;lush;Ir76a;Ir76b;rdgC;Gr77a;Ac78C;Oct-TyrR;CG14636;Or82a;dpr16;Or83a;Orco;Nmdar1;Obp83a;Or83c;Obp83cd;Obp83ef;Obp83g;dpr11;Ir84a;wtrw;Obp85a;Or85c;Or85d;Or85e;Or85f;CG9492;Fmr1;Rfx;Desi;CheA86a;ninaG;dpr5;dpr4;dpr17;dpr15;Or88a;dpr9;gl;Rh2;Ir92a;Or92a;Ir93a;Atpalpha;Dhc93AB;Snmp1;CheB93b;Gr93a;Gr93b;Gr93d;SKIP;Or94a;Or94b;boss;scrib;ro;Gr97a;Gr98a;Gr98b;Gr98c;Or98a;Or98b;Doa;ppk19;TkR99D;stops;faf;Ir100a;Or1a;Nmdar2;Or2a;Gr5a;iav;Ir7a;dpr14;sws;Or7a;Gr8a;Ir8a;Gr9a;Myo10A;sev;Gr10b;Gr10a;Or10a;cac;Ir11a;na;dpr8;eag;acj6;Or13a;dpr18;f;B-H2;B-H1;CG6696;Cdc42;Or19b;unc;sol;tilB
sensory organ development	l(2)gl;spen;al;ebi;Pph13;ds;S;capt;aop;eys;lilli;Mad;fred;ed;ft;Traf4;vri;Lam;rau;bchs;PDZ-GEF;uif;Wnt4;wg;chm;mts;Sirup;d;numb;pelo;Dref;da;Trim9;SCAR;Nup154;ab;salr;Rab6;bun;Sos;Arpc1;Su(H);Cul3;sna;CycE;beat-Ia;Cyp303a1;dac;Cyt-c-d;CadN;CadN2;rdo;tup;spi;Nhe2;Mcm10;tsh;tio;Spf45;p120ctn;Src42A;vimar;pk;so;scra;nito;Optix;sns;Su(var)2-10;dap;lola;stan;Cam;sca;vg;NAT1;Nrk;fl(2)d;mam;Sox15;Opa1;phyl;Asx;aPKC;hbs;chn;Arf51F;Poxn;Mlf;SP2353;Rho1;Lis-1;Khc;cato;Syn2;Alk;cnk;grh;fj;ena;hpo;shg;Chi;tsr;snama;nvy;prom;zip;Kr;rno;klar;Rac1;ru;CG32301;dos;Awh;Src64B;jv;nmo;msk;Cbl;Gug;Nf-YA;RasGAP1;toe;eyg;ara;caup;SRm160;Abp1;btl;Ocho;Mbs;Abl;Dab;sinah;tap;trc;atk;CG13251;skd;Hem;Arf79F;CkIIalpha;aux;cno;RpL13A;jagn;zen;Scr;rn;RacGAP84C;puc;pyd;tgo;hyx;Ras85D;Scm;tws;jumu;ninaG;CtBP;yrt;rin;Hrb87F;rdx;Abi;trx;kibra;eff;Atx2;pnr;gish;pad;ss;gl;cdi;Dl;Ire1;cic;Stat92E;H;Rab11;C15;klg;sav;mask;ssh;danr;dan;RASSF8;boss;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m4-BFM;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;scrib;ro;Ser;Mtl;Hrb98DE;WASp;Doa;Cul5;alph;spdo;wts;cindr;tll;dco;ttk;faf;RhoGAP100F;ey;toy;sv;sc;ase;futsch;trr;arm;csw;wds;kirre;N;Rala;ec;bi;ctp;Pink1;sn;oc;Lim1;Moe;AP-1gamma;Dsor1;lz;nej;sev;dsh;hop;Amun;fw;NetB;exd;caz;mbt;Rok;f;B-H2;B-H1;Vps4;Rip11;Hs3st-B;Vav;dome;Mer;Cdc42;AP-1-2beta;run
sensory system development	spen;Pph13;ds;S;capt;aop;eys;lilli;Mad;fred;ed;ft;Traf4;Lam;rau;bchs;PDZ-GEF;Wnt4;wg;mts;Sirup;d;pelo;Dref;Trim9;SCAR;Nup154;Rab6;bun;Sos;Arpc1;Su(H);sna;CycE;beat-Ia;dac;Cyt-c-d;CadN;CadN2;spi;Nhe2;Mcm10;tsh;tio;Spf45;p120ctn;Src42A;vimar;pk;so;nito;Optix;sns;Su(var)2-10;lola;stan;Cam;sca;vg;Nrk;fl(2)d;mam;Opa1;phyl;aPKC;hbs;chn;Arf51F;Mlf;SP2353;Rho1;Lis-1;Khc;Syn2;Alk;cnk;grh;fj;ena;hpo;shg;Chi;tsr;snama;prom;zip;Kr;rno;klar;Rac1;ru;dos;Awh;Src64B;nmo;msk;Cbl;Gug;Nf-YA;RasGAP1;toe;eyg;ara;caup;SRm160;btl;Mbs;Abl;Dab;sinah;CG13251;skd;Arf79F;CkIIalpha;aux;cno;zen;rn;RacGAP84C;puc;pyd;tgo;hyx;Ras85D;Scm;jumu;ninaG;yrt;rin;Hrb87F;rdx;trx;kibra;eff;Atx2;gish;ss;gl;cdi;Dl;Ire1;cic;Stat92E;Rab11;klg;sav;mask;ssh;danr;dan;RASSF8;boss;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;scrib;ro;Ser;Mtl;Hrb98DE;Doa;alph;wts;cindr;tll;dco;ttk;faf;RhoGAP100F;ey;toy;sv;futsch;trr;arm;csw;wds;kirre;N;Rala;ec;bi;Pink1;oc;Lim1;Moe;AP-1gamma;Dsor1;lz;nej;sev;dsh;hop;Amun;fw;NetB;exd;caz;mbt;Rok;B-H2;B-H1;Vps4;Rip11;Hs3st-B;Vav;dome;Mer;Cdc42;AP-1-2beta;run
cell morphogenesis involved in differentiation	spen;kis;ds;dock;capt;robo3;haf;erm;Rab5;for;ft;Traf4;chic;mmy;smt3;Wnt4;gcm;gcm2;Dref;CG44153;Trim9;SCAR;ab;Rab6;kuz;Sos;Arpc1;Cul3;beat-Ib;beat-Ic;beat-Ia;chif;dac;Oli;CadN;CadN2;ham;tup;Nak;Lim3;brat;sick;bur;p120ctn;Src42A;jing;pk;Br140;Dscam1;Optix;pdm3;Acsl;babo;prel;Wnt2;eve;TER94;lola;stan;nompA;E(Pc);en;otk;Cam;Psc;Drl-2;Nrk;cnn;tum;CG6701;Prosap;conv;kn;aPKC;chn;Hr51;unc-5;Dg;Rho1;Ptp52F;Lis-1;Khc;Alk;RhoGEF2;grh;sbb;ena;hts;Toll-7;shg;dom;wrapper;retn;Sox14;Chi;tsr;enok;nvy;betaTub60D;Kr;nerfin-1;Rac1;Ptp61F;Patj;Dbx;msn;spz5;Girdin;ago;NT1;Src64B;Dhc64C;velo;Mp;Dscam2;frac;Dscam4;path;nudE;ara;Ptp69D;Liprin-beta;btl;D;Toll-6;RhoGAP71E;comm3;comm;sff;brm;Mbs;fax;Abl;Dab;CG9705;nudC;tap;Nedd4;ftz-f1;CG8765;trc;gogo;zye;ko;chb;Wnk;CG7166;Hem;CkIIalpha;alpha-Cat;CG41099;Cont;Gnf1;kra;Xe7;kat-60L1;Pak;dpr11;grn;Poxm;Rel;pum;Ras85D;Scm;Fmr1;Rfx;ninaG;sad;Pp1-87B;beat-Vc;beat-Va;beat-Vb;ems;Abi;trx;Hsc70-4;Tm1;msps;ss;Pak3;Fas1;beat-IIb;beat-IIa;Dscam3;14-3-3epsilon;nos;Dl;Ire1;psidin;Stat92E;bon;Pi3K92E;Lrrk;RhoGAP93B;slmb;Rab1;klg;sav;beat-IV;SMC1;tok;ssh;XNP;E(spl)m8-HLH;spz;side;CG34353;beat-VI;WASp;neo;hdc;wts;Gprk2;nyo;RhoGAP100F;Actbeta;pho;G9a;DAAM;futsch;usp;gt;egh;fs(1)Yb;N;lva;sqh;pod1;Nf-YC;fs(1)h;cyr;oc;Moe;spri;Gtp-bp;Dlic;dsh;hop;Ptp10D;bif;CG12717;hep;ben;CG11584;mud;NetB;acj6;Efhc1.1;Rok;CG32564;RhoGAPp190;CG6867;CG34401;Ulp1;Vav;Cdc42;Rab35;RunxA;run
cell part morphogenesis	spen;kis;dock;capt;robo3;haf;erm;Rab5;for;chic;mmy;smt3;Wnt4;gcm;gcm2;Dref;CG44153;Trim9;SCAR;ab;Rab6;kuz;Sos;Arpc1;Cul3;beat-Ib;beat-Ic;beat-Ia;chif;dac;Oli;CadN;CadN2;ham;tup;Nak;Lim3;brat;sick;bur;p120ctn;Src42A;jing;pk;Br140;Dscam1;Optix;pdm3;Acsl;babo;prel;Wnt2;eve;TER94;lola;stan;nompA;E(Pc);en;ths;otk;Cam;Psc;Drl-2;Nrk;tum;CG6701;Prosap;Opa1;Hsc70-5;conv;kn;chn;Hr51;unc-5;Dg;Rho1;Ptp52F;Lis-1;Khc;Alk;RhoGEF2;sbb;ena;hts;Toll-7;shg;dom;wrapper;retn;Sox14;Chi;tsr;enok;nvy;betaTub60D;Letm1;Kr;nerfin-1;Rac1;Ptp61F;Dbx;msn;spz5;Girdin;ago;NT1;Src64B;Dhc64C;velo;Mp;Dscam2;frac;Dscam4;path;nudE;ara;Ptp69D;Liprin-beta;btl;D;Toll-6;comm3;comm;sff;brm;Mbs;fax;Abl;Dab;CG9705;nudC;tap;Nedd4;ftz-f1;CG8765;trc;gogo;ko;chb;Wnk;CG7166;Hem;CkIIalpha;Cont;Gnf1;kra;Xe7;kat-60L1;Pak;dpr11;grn;Poxm;Rel;pum;Scm;Fmr1;Rfx;ninaG;sad;Pp1-87B;beat-Vc;beat-Va;beat-Vb;ems;Abi;trx;Hsc70-4;Tm1;msps;ss;Pak3;Fas1;GckIII;beat-IIb;beat-IIa;Dscam3;htl;14-3-3epsilon;nos;Ire1;psidin;bon;Pi3K92E;Lrrk;RhoGAP93B;Rab1;klg;sav;beat-IV;SMC1;tok;ssh;XNP;E(spl)m8-HLH;spz;side;CG34353;beat-VI;WASp;hdc;wts;RhoGAP100F;Actbeta;pho;G9a;DAAM;futsch;usp;gt;egh;N;lva;Marf;pod1;Nf-YC;sn;fs(1)h;oc;Moe;spri;Gtp-bp;Dlic;dsh;Ptp10D;bif;CG12717;hep;ben;CG11584;mud;NetB;acj6;Efhc1.1;Rok;CG32564;RhoGAPp190;CG6867;CG34401;Ulp1;Vav;Cdc42;RunxA;run
neuron projection development	spen;kis;dock;capt;robo3;haf;erm;Rab5;for;bchs;chic;stai;mmy;smt3;Wnt4;gcm;gcm2;Dref;CG44153;Trim9;SCAR;ab;Rab6;kuz;Sos;Arpc1;Cul3;beat-Ib;beat-Ic;beat-Ia;chif;dac;Oli;CadN;CadN2;ham;tup;Nak;Lim3;brat;sick;bur;Ret;p120ctn;Src42A;jing;pk;Br140;Dscam1;Optix;pdm3;Acsl;babo;prel;Wnt2;eve;TER94;lola;stan;nompA;E(Pc);en;otk;Cam;Psc;Drl-2;Nrk;tum;CG6701;Prosap;conv;kn;chn;Hr51;unc-5;Dg;Rho1;Ptp52F;Lis-1;Khc;Alk;RhoGEF2;Patronin;sbb;ena;hts;Toll-7;shg;dom;wrapper;retn;Sox14;Chi;tsr;enok;nvy;betaTub60D;Kr;nerfin-1;Rac1;Ptp61F;Dbx;Spn;msn;spz5;Girdin;ago;NT1;Src64B;Dhc64C;Con;velo;Mp;Dscam2;frac;Dscam4;path;nudE;ara;Ptp69D;Liprin-beta;btl;D;Toll-6;comm3;comm;sff;brm;Mbs;fax;Abl;Dab;CG9705;nudC;tap;Nedd4;ftz-f1;CG8765;trc;gogo;ko;chb;Wnk;CG7166;Hem;CkIIalpha;Cont;Gnf1;Kat60;kra;Xe7;kat-60L1;Pak;dpr11;grn;Poxm;Rel;pum;Scm;Fmr1;Rfx;ninaG;sad;Pp1-87B;beat-Vc;beat-Va;beat-Vb;ems;Abi;trx;Hsc70-4;Tm1;msps;Akt1;ss;Pak3;Fas1;GckIII;beat-IIb;beat-IIa;Dscam3;14-3-3epsilon;nos;Ire1;psidin;bon;Pi3K92E;Lrrk;RhoGAP93B;Rab1;klg;sav;beat-IV;SMC1;tok;ssh;XNP;E(spl)m8-HLH;spz;side;CG34353;beat-VI;WASp;hdc;wts;RhoGAP100F;Actbeta;pho;G9a;DAAM;futsch;usp;gt;egh;N;lva;pod1;Nf-YC;sn;fs(1)h;oc;Moe;spri;Imp;Gtp-bp;Dlic;dsh;Ptp10D;bif;CG12717;hep;ben;CG11584;mud;NetB;acj6;Efhc1.1;Rok;CG32564;RhoGAPp190;CG6867;CG34401;Ulp1;Vav;Cdc42;RunxA;run
regionalization	l(2)gl;net;spen;kis;lwr;S;capt;Su(dx);Rab5;lilli;Mad;sob;slp2;fred;ft;Cf2;H15;chic;uif;milt;wg;chm;mts;numb;gcm;Ge-1;prd;Rab6;Su(H);sna;cact;dac;dl;BicD;tup;brat;gammaTub37C;scw;spir;cad;tsh;tio;gus;jing;pk;nito;lig;dpn;Acsl;gcl;lin;Myd88;Wnt2;eve;TER94;dmpd;psq;stan;inv;en;SmD3;bic;vg;Dp;AGO1;phyl;kn;aPKC;unc-5;CG8405;Dg;Lis-1;krimp;Khc;cnk;stau;lolal;fj;sbb;ena;par-1;exu;sktl;shg;mago;dom;cv-2;twi;apt;retn;egl;Chi;tsr;Dll;zip;gsb-n;gsb;Kr;klar;ru;dos;Hsp83;armi;enc;srw;Dhc64C;vn;sgl;CTCF;nmo;msk;Cbl;Gug;CG4477;RasGAP1;ara;caup;D;AGO2;brm;Notum;CG14073;Mkp3;pip;Su(Tpl);kni;CG11399;skd;Pc;croc;TfAP-2;mael;CkIIalpha;lost;MED31;opa;corto;pb;zen;bcd;Dfd;Scr;ftz;Antp;CG1943;Ada2b;hb;osk;pum;CG8149;rump;Ras85D;Fmr1;tws;Mrp4;glo;CtBP;sqd;rin;ems;rdx;jvl;Tm1;mor;pnr;msps;ss;Abd-B;osa;14-3-3epsilon;nos;Dl;mira;cic;Stat92E;H;Rab11;slmb;Rab7;Syx1A;tld;danr;dan;CG5890;boss;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;tx;scrib;Tl;spz;Ser;btz;WASp;Doa;Cul5;Axn;tll;pygo;faf;lgs;fuss;arm;csw;gt;crm;N;bi;ovo;spoon;sqh;swa;dx;sn;fs(1)h;oc;Lim1;Moe;Dsor1;lz;btd;dsh;hop;CkIIbeta;tsg;hep;lic;BthD;NetB;Grip128;exd;Dsp1;f;B-H2;B-H1;Vps4;upd2;Hs3st-B;dome;Mer;Rab35;run
cell fate commitment	l(2)gl;spen;S;aop;Mad;ed;Traf4;H15;uif;Wnt4;wg;Wnt6;Wnt10;chm;mts;numb;gcm;da;piwi;bun;kuz;Sos;Su(H);Cul3;wor;sna;CycE;dac;dl;BicD;ham;tup;brat;spi;scw;bsh;Src42A;Hey;gcl;Wnt2;dap;eve;lola;stan;inv;en;ths;sca;cnn;tum;AGO1;mam;phyl;Asx;kn;aPKC;chn;Lis-1;cnk;Patronin;grh;stau;hts;par-1;hpo;cpa;twi;egl;yki;zip;Kr;trh;ru;Patj;Dbx;dos;enc;pav;Src64B;Dhc64C;vn;Galphai;bin;msk;Cbl;Doc1;RasGAP1;nudE;simj;CycA;byn;ara;caup;btl;Ocho;Dab;bora;CG32206;polo;skd;mael;CkIIalpha;hkb;cas;ftz;Antp;rn;hb;pyd;Ras85D;Fmr1;tws;CG34402;CtBP;wntD;rin;flfl;stumps;srp;pnr;msps;Abd-B;osa;htl;14-3-3epsilon;gl;cdi;Dl;Ire1;mira;H;Rab11;tin;bap;lbl;lbe;C15;slou;how;klg;sav;boss;E(spl)m4-BFM;E(spl)m8-HLH;scrib;ro;Ser;WASp;Cul5;alph;wts;tll;ttk;ey;sv;sc;ase;arm;csw;egh;N;Rala;hdm;oc;Dsor1;lz;nej;sev;Klp10A;mud;exd;mei-41;Cdc42;run
central nervous system development	robo3;chinmo;erm;Mad;Lam;bchs;chic;mmy;smt3;wg;spz3;raw;C1GalTA;numb;Ror;ab;spz4;bun;pdm2;kuz;wor;sna;CycE;dac;glu;dl;brat;bsh;dimm;Nipped-B;jing;Dscam1;babo;unpg;ced-6;Uba1;dap;eve;stan;en;MCPH1;Prp8;SmD3;Psc;cnn;mam;Prosap;kn;Hr51;spin;Lis-1;grh;Pcl;rib;shg;apt;tsr;enok;spz6;Dll;gsb;lov;Kr;Rac1;spz5;dib;ago;NT1;Src64B;Dhc64C;vn;CG13287;Rcc1;velo;Galphai;foi;S-Lap1;alphaTub67C;sti;D;HGTX;shd;mop;brm;Notum;Abl;tap;CycT;grim;ftz-f1;Pc;eg;Hem;hkb;tacc;cas;Dmtn;ftz;Antp;hb;tgo;Scm;Fmr1;sad;ems;Abi;htl;Dl;Surf6;mira;tin;lbl;lbe;mbc;SMC1;asp;ssh;danr;dan;Nup358;spz;Trc8;tll;ey;toy;sc;ase;ebo;DAAM;usp;csw;PsGEF;N;cib;Rnp4F;oc;Ptp10D;CkIIbeta;CG12717;mud;exd;mbt;RhoGAPp190;Ulp1;Vav;Tao;run
