"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"CG11023",35.0291173049275,-4.51958818832196,0.862528005433428,-5.23993210637935,1.60635685898271e-07,9.04524425283654e-07,40.1134847602376,90.7637727255567,112.620526767426,6.0246151608443,2.88557425228497,0,22.1527802990177,5.67218447405294
"l(2)gl",4007.55390035928,0.729855137359087,0.131004932375364,5.57120349688712,2.52985621850788e-08,1.78622498528145e-07,3318.68464058642,2484.96491272943,3109.77970686828,4762.45828464742,4797.06108197717,5226.92151377911,4562.08819282897,3798.47286945745
"Ir21a",48.0624311456828,-4.74354978614295,1.29094941603858,-3.67446603810321,0.00023834734349405,0.000583031441624102,55.9328872008946,149.637571250242,152.582649168771,0,2.06112446591784,13.2088269301277,11.0763901495089,0
"CR43609",53.8355792318447,-3.05925557310236,0.623440095183011,-4.90705618188435,9.24535563439614e-07,4.23427137130347e-06,87.0067134236139,90.7637727255567,148.949728950467,4.51846137063322,13.1911965818742,24.5306785845229,27.6909753737722,34.0331068443176
"Cda5",560.820701490448,-1.10400055867184,0.137443867481439,-8.03237408042909,9.56043407916347e-16,3.8462548372797e-14,777.410634226576,821.780104407067,726.584043660813,346.038833300994,378.422451942515,362.299252940646,503.975751802654,570.05453964232
"CR45339",4.14489206649596,-4.40629717985031,1.86258742043316,-2.3656861049913,0.0179966956503604,0.0283254515692447,1.69493597578469,15.9449871004356,7.26584043660814,0,0.824449786367135,0,5.53819507475444,1.89072815801765
"CR45340",3.27786881661967,-3.30864450684423,1.95321731931361,-1.69394591893488,0.0902755601706682,0.121421968966081,2.25991463437958,11.0388372233785,10.8987606549122,0.376538447552769,1.64889957273427,0,0,0
"dbr",1109.29792260704,0.634966373801302,0.16173430416293,3.92598451570076,8.63757122215451e-05,0.00023593682826533,841.818201306394,819.327029468539,951.825097195666,1428.96340846276,1401.56463682413,1200.11627536589,1301.47584256729,929.292889665673
"CR44987",47.2170180495619,-3.13379632079677,0.563775283353468,-5.55859118575794,2.71960864598093e-08,1.90661285481839e-07,56.4978658594895,133.692584149806,119.886367204034,12.0492303216886,7.83227297048778,16.9827774815928,16.6145852242633,14.1804611851323
"galectin",1195.97161096884,-0.174249489891608,0.157894037757332,-1.1035849888101,0.269773205804894,0.324690591132375,1467.81455502954,1035.19762405905,1220.66119335017,1120.20188146949,1000.05759086333,1194.45534953869,1208.71107506516,1320.67361837533
"CG11374",119.481339900657,-0.688443949319948,0.321049312064588,-2.14435578414025,0.0320043902227737,0.0476787208102618,131.640027452611,142.278346434656,98.0888458942098,75.3076895105537,70.0782318412064,92.4617885108941,137.070328100172,208.92546146095
"net",61.944366668148,-2.91690901969611,0.428638390908312,-6.80505778662287,1.01008683896361e-11,1.75365678909224e-10,94.3514359853475,144.731421373185,127.152207640642,19.579999272744,11.9545219023235,16.9827774815928,40.1519142919697,40.6506553973794
"Zir",1204.47292005644,0.426541442116482,0.121944139303464,3.49784290210956,0.000469037327262047,0.00106438234422773,1112.44297877335,930.941939171588,1068.0785441814,1366.83456461655,1383.83896641724,1434.10120955672,1259.93937950663,1079.60577822808
"CG11377",516.041643750143,0.506114111995077,0.181647020228069,2.78625056089343,0.00533216383087867,0.00946898150159733,490.966454318964,349.56317874032,454.115027288008,660.824975455109,623.696263386737,547.222829962434,494.283910421834,507.660510427738
"Nhe1",423.16897638947,0.315385641954359,0.171803430024376,1.83573542105423,0.0663967965838541,0.0921670568920809,360.456384183543,360.602015963698,461.380867724617,528.283441916534,459.218531006494,456.648016727273,386.289106464122,372.473447129476
"Sam-S",3884.10241406077,0.319633998700496,0.145368535965415,2.19878391549971,0.0278932907301358,0.0421363338762396,4000.04890285186,2930.19801407236,2946.2982970446,4262.41522629734,4075.66751890593,4017.37036203456,3936.27214938172,4904.54884189777
"CG11455",519.207461422774,0.219887525471604,0.145313460300323,1.51319447639025,0.130230266889267,0.168926347009965,493.791347611939,470.990388197483,461.380867724617,532.048826392062,593.191621291153,539.674928859504,488.745715347079,573.835995958355
"CG13694",29.9670574133401,-2.97475573236488,0.692503993200761,-4.29565137756899,1.7418113033571e-05,5.69501876433856e-05,45.7632713461865,52.741111178364,90.8230054576017,11.2961534265831,7.00782318412064,3.77395055146506,20.7682315303291,7.56291263207058
"CG4822",395.011350932731,-0.708185491867695,0.238830707649848,-2.96521958518823,0.00302466950585293,0.00565978471694897,464.977436023599,490.614987705712,504.975910344265,368.631140154161,206.936896378151,318.898821598798,407.057337994451,397.998277262714
"CG3164",4307.13770951064,-0.00955682049502733,0.202515431829146,-0.0471905790522178,0.962361335985608,0.96976411549319,4984.80670478276,3163.24013323258,3901.75631445857,3392.61141245045,3400.03091897806,5200.50385991886,4863.91982440308,5550.2325078608
"CR44969",27.5306308985598,-2.93335401812323,0.86088497161591,-3.40737045579646,0.000655920360916395,0.00143091021757305,49.1531432977559,50.2880362398355,65.3925639294732,6.0246151608443,1.2366746795507,16.9827774815928,20.7682315303291,10.3990048690971
"Gs1",3011.54344316199,0.817989459108102,0.0904638932249867,9.042165110822,1.53598858945984e-19,1.20529480849148e-17,2258.2196984038,1951.42111359947,2048.96700312349,3752.20562986334,3707.13846439982,3596.57487554621,3515.36932370038,3262.45143665945
"CR44185",12.0261749834707,-5.85443887869774,1.46366861123188,-3.99983905767468,6.3385575430608e-05,0.000179191146094269,22.0341676852009,22.077674446757,50.8608830562569,0,1.2366746795507,0,0,0
"CR44186",9.58960400092686,-4.25120942119002,1.71332837984817,-2.48125780859753,0.0130919644961779,0.0212907283501504,10.734594513303,26.9838243238142,29.0633617464325,3.01230758042215,0,0,6.92274384344305,0
"CG31975",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"CG31976",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"CG31974",400.755903496621,-0.60728314158137,0.218040076869549,-2.78519045810418,0.00534962903802395,0.00949680478012292,546.334362861264,446.459638812198,352.393261175495,343.779602615678,259.289457812464,290.59419246281,465.208386279373,501.988325953685
"CG11454",211.124117705583,0.0512653611322141,0.229040136623607,0.2238269758652,0.822891938732116,0.852025613746344,186.442957336315,180.301007981849,254.304415281285,189.775377566595,228.372590823696,211.341230882044,222.912351758866,215.543010014012
"CG42399",173.284983378182,-1.62753968656259,0.317186012952849,-5.13118365911214,2.8792579951971e-07,1.50425571792581e-06,259.890182953652,282.103617930784,395.988303795143,112.208457370725,83.2694284230806,105.670615441022,52.6128532101672,94.5364079008823
"CG3709",271.051855781745,0.262141322925256,0.186409342050587,1.40626708962964,0.159644828812412,0.203108610763748,264.974990881006,244.080956383592,232.50689397146,313.279988363903,270.007305035237,317.011846323065,274.140656200345,252.412209095356
"CG3436",952.904408830555,0.477229786996421,0.119386693091678,3.99734488524572,6.40569392506291e-05,0.000180766698248482,775.150719592197,762.906305882382,730.216963879118,1072.75803707784,1016.54658659068,1083.12380827047,1185.17374599745,997.359103354308
"CG33635",129.395011613404,0.219330258474203,0.298067968441962,0.735839746956605,0.461828229123248,0.521027705326164,151.414280503432,106.708759825992,123.519287422338,124.634226139966,169.424431098446,154.731972610068,114.917547801155,89.8095875058382
"spen",17910.979395937,0.651951311978655,0.0875379289259953,7.44764378112961,9.50219680360919e-14,2.66111875501783e-12,14982.1040686194,13278.4946422551,12428.2200668182,21591.8441980184,20703.5830352515,21719.0854236814,18523.8779762849,20060.6257565672
"mRpL10",192.930768757563,0.106610122302354,0.256058093824674,0.41635130805649,0.677152953105299,0.722214470439516,207.912146362922,193.792920143756,134.41804807725,199.565377202967,222.189217425943,164.16684898873,204.913217765914,216.48837409302
"CG11617",89.2723564046994,-1.18743090353138,0.361960322259643,-3.28055543800627,0.00103602901935572,0.00215852996658879,138.984750014344,142.278346434656,94.4559256759058,42.9253830210156,56.8870352593323,71.7050604778362,94.1493162708254,72.7930340836793
"Tbc1d15-17",562.155723571161,0.500359449223199,0.163506518635267,3.06018043439202,0.00221203682446279,0.00427076683368571,451.982926875916,450.139251219991,541.305112527306,704.879973818783,728.813611148547,575.527459098422,548.281312400689,496.316141479632
"kis",23353.9156396169,0.893640907232234,0.0929150399646664,9.61782836849736,6.72356225433561e-22,7.83641068334365e-20,18164.6288524845,15379.5533271048,15094.7835070534,30461.5838685714,30980.3496223178,28985.8272105274,22757.8281109347,25006.7706179414
"CR44220",5.95865920106085,-3.92167722198713,2.01486530942158,-1.94637190071675,0.0516100824041785,0.0732907557954339,14.1244664648724,14.7184496311714,10.8987606549122,0,0,3.77395055146506,4.15364630606583,0
"CR44222",23.8233510936858,-4.24326959712096,0.943217940739791,-4.49871595295658,6.83651280919656e-06,2.48716007662554e-05,33.8987195156937,56.4207235861569,87.1900852392976,0.753076895105537,2.88557425228497,7.54790110293013,0,1.89072815801765
"CR44221",11.39974399921,-7.88403578729182,1.58344747207769,-4.97903209693907,6.39030455008721e-07,3.03999752171165e-06,22.5991463437958,41.7022739549855,21.7975213098244,0,0,0,4.15364630606583,0.945364079008823
"snoRNA:kis-a",1.17788164854388,0.568417900390375,3.8638009168896,0.147113661551682,0.883042306845615,0.903563592138005,3.38987195156937,0,0,2.25923068531661,0,3.77395055146506,0,0
