"ctrl_1"	"ctrl_2"	"ctrl_3"	"hot_1"	"hot_2"	"hot_3"	"cold_1"	"cold_2"
"CG11023"	40.1134847602376	90.7637727255567	112.620526767426	6.0246151608443	2.88557425228497	0	22.1527802990177	5.67218447405294
"l(2)gl"	3318.68464058642	2484.96491272943	3109.77970686828	4762.45828464742	4797.06108197717	5226.92151377911	4562.08819282897	3798.47286945745
"Ir21a"	55.9328872008946	149.637571250242	152.582649168771	0	2.06112446591784	13.2088269301277	11.0763901495089	0
"CR43609"	87.0067134236139	90.7637727255567	148.949728950467	4.51846137063322	13.1911965818742	24.5306785845229	27.6909753737722	34.0331068443176
"Cda5"	777.410634226576	821.780104407067	726.584043660813	346.038833300994	378.422451942515	362.299252940646	503.975751802654	570.05453964232
"CR45339"	1.69493597578469	15.9449871004356	7.26584043660814	0	0.824449786367135	0	5.53819507475444	1.89072815801765
"CR45340"	2.25991463437958	11.0388372233785	10.8987606549122	0.376538447552769	1.64889957273427	0	0	0
"dbr"	841.818201306394	819.327029468539	951.825097195666	1428.96340846276	1401.56463682413	1200.11627536589	1301.47584256729	929.292889665673
"CR44987"	56.4978658594895	133.692584149806	119.886367204034	12.0492303216886	7.83227297048778	16.9827774815928	16.6145852242633	14.1804611851323
"galectin"	1467.81455502954	1035.19762405905	1220.66119335017	1120.20188146949	1000.05759086333	1194.45534953869	1208.71107506516	1320.67361837533
"CG11374"	131.640027452611	142.278346434656	98.0888458942098	75.3076895105537	70.0782318412064	92.4617885108941	137.070328100172	208.92546146095
"net"	94.3514359853475	144.731421373185	127.152207640642	19.579999272744	11.9545219023235	16.9827774815928	40.1519142919697	40.6506553973794
"Zir"	1112.44297877335	930.941939171588	1068.0785441814	1366.83456461655	1383.83896641724	1434.10120955672	1259.93937950663	1079.60577822808
"CG11377"	490.966454318964	349.56317874032	454.115027288008	660.824975455109	623.696263386737	547.222829962434	494.283910421834	507.660510427738
"Nhe1"	360.456384183543	360.602015963698	461.380867724617	528.283441916534	459.218531006494	456.648016727273	386.289106464122	372.473447129476
"Sam-S"	4000.04890285186	2930.19801407236	2946.2982970446	4262.41522629734	4075.66751890593	4017.37036203456	3936.27214938172	4904.54884189777
"CG11455"	493.791347611939	470.990388197483	461.380867724617	532.048826392062	593.191621291153	539.674928859504	488.745715347079	573.835995958355
"CG13694"	45.7632713461865	52.741111178364	90.8230054576017	11.2961534265831	7.00782318412064	3.77395055146506	20.7682315303291	7.56291263207058
"CG4822"	464.977436023599	490.614987705712	504.975910344265	368.631140154161	206.936896378151	318.898821598798	407.057337994451	397.998277262714
"CG3164"	4984.80670478276	3163.24013323258	3901.75631445857	3392.61141245045	3400.03091897806	5200.50385991886	4863.91982440308	5550.2325078608
"CR44969"	49.1531432977559	50.2880362398355	65.3925639294732	6.0246151608443	1.2366746795507	16.9827774815928	20.7682315303291	10.3990048690971
"Gs1"	2258.2196984038	1951.42111359947	2048.96700312349	3752.20562986334	3707.13846439982	3596.57487554621	3515.36932370038	3262.45143665945
"CR44185"	22.0341676852009	22.077674446757	50.8608830562569	0	1.2366746795507	0	0	0
"CR44186"	10.734594513303	26.9838243238142	29.0633617464325	3.01230758042215	0	0	6.92274384344305	0
"CG31975"	0	0	0	0	0	0	0	0
"CG31976"	0	0	0	0	0	0	0	0
"CG31974"	546.334362861264	446.459638812198	352.393261175495	343.779602615678	259.289457812464	290.59419246281	465.208386279373	501.988325953685
"CG11454"	186.442957336315	180.301007981849	254.304415281285	189.775377566595	228.372590823696	211.341230882044	222.912351758866	215.543010014012
"CG42399"	259.890182953652	282.103617930784	395.988303795143	112.208457370725	83.2694284230806	105.670615441022	52.6128532101672	94.5364079008823
"CG3709"	264.974990881006	244.080956383592	232.50689397146	313.279988363903	270.007305035237	317.011846323065	274.140656200345	252.412209095356
"CG3436"	775.150719592197	762.906305882382	730.216963879118	1072.75803707784	1016.54658659068	1083.12380827047	1185.17374599745	997.359103354308
"CG33635"	151.414280503432	106.708759825992	123.519287422338	124.634226139966	169.424431098446	154.731972610068	114.917547801155	89.8095875058382
"spen"	14982.1040686194	13278.4946422551	12428.2200668182	21591.8441980184	20703.5830352515	21719.0854236814	18523.8779762849	20060.6257565672
"mRpL10"	207.912146362922	193.792920143756	134.41804807725	199.565377202967	222.189217425943	164.16684898873	204.913217765914	216.48837409302
"CG11617"	138.984750014344	142.278346434656	94.4559256759058	42.9253830210156	56.8870352593323	71.7050604778362	94.1493162708254	72.7930340836793
"Tbc1d15-17"	451.982926875916	450.139251219991	541.305112527306	704.879973818783	728.813611148547	575.527459098422	548.281312400689	496.316141479632
"kis"	18164.6288524845	15379.5533271048	15094.7835070534	30461.5838685714	30980.3496223178	28985.8272105274	22757.8281109347	25006.7706179414
"CR44220"	14.1244664648724	14.7184496311714	10.8987606549122	0	0	3.77395055146506	4.15364630606583	0
"CR44222"	33.8987195156937	56.4207235861569	87.1900852392976	0.753076895105537	2.88557425228497	7.54790110293013	0	1.89072815801765
"CR44221"	22.5991463437958	41.7022739549855	21.7975213098244	0	0	0	4.15364630606583	0.945364079008823
"snoRNA:kis-a"	3.38987195156937	0	0	2.25923068531661	0	3.77395055146506	0	0
"CG13693"	48.0231859805661	105.482222356728	134.41804807725	5.64807671329153	0.412224893183567	0	17.9991339929519	0
"mir-965"	1.12995731718979	1.22653746926428	32.6962819647366	8.28384584616091	2.4733493591014	9.43487637866266	8.30729261213166	1.89072815801765
"CR44218"	28.2489329297448	30.663436731607	54.493803274561	4.14192292308045	1.2366746795507	0	9.69184138082027	0
"Rpp30"	121.470411597903	149.637571250242	145.316808732163	69.6596127972622	87.3916773549163	56.609258271976	80.3038285839393	97.3725001379087
"CG3645"	260.455161612247	343.430491393998	308.798218555846	275.249605161074	331.428814119588	296.255118290008	287.986143887231	296.84432080877
"CG17075"	380.230637234365	485.708837828655	519.507591217482	99.7826886014837	71.3149065207571	81.1399368564989	143.993071943615	165.438713826544
"CR44219"	16.9493597578469	24.5307493852856	58.1267234928651	0	0	7.54790110293013	9.69184138082027	0
"CG3345"	86.441734765019	177.847933043321	119.886367204034	1.88269223776384	0	3.77395055146506	2.76909753737722	0
"mbm"	697.748643364696	659.877158464182	515.874670999178	701.491127790808	870.206749510511	966.131341175056	776.73185923431	778.98000110327
"CG11555"	338.422216498342	282.103617930784	276.101936591109	388.587677874457	373.887978117496	401.925733731029	466.592935048061	355.456893707317
"CG17078"	641.815756163801	640.252558955954	479.545468816137	1026.44380802885	1148.04632751623	862.347701009767	902.725797184973	604.087646486638
"smo"	572.323381156629	522.504961906583	592.165995583563	748.558433734904	786.112871301063	684.972025090909	585.664129155282	629.612476619876
"CG11601"	87.5716920822088	164.356020881413	181.646010915203	116.726918741358	92.7506009663026	94.3487637866266	125.993937950663	104.935412769979
"CG3625"	394.920082357832	323.80589188577	330.59573986567	339.637679692597	202.814647446315	252.854686948159	341.983545866087	395.162185025688
"Amnionless"	127.685176842446	147.184496311714	145.316808732163	30.1230758042215	21.0234695523619	30.1916044117205	22.1527802990177	34.9784709233264
"CG11562"	279.099457345878	248.987106260649	228.873973753156	331.730372293989	360.696781535621	294.368143014275	293.524338961985	279.827767386612
"U2af38"	618.65163116141	516.372274560262	784.710767153679	1090.83188256037	955.949527292693	1083.12380827047	911.033089797105	756.291263207058
"Hop"	3296.08549424262	2958.40837586544	3226.03315385401	7801.87663329337	7401.08573221777	8487.61479024493	4582.8564243593	4649.30054056539
"Pi3K21B"	1425.44115563492	1162.75752086254	1318.75003924438	2203.87953352635	2109.7670033135	1911.50595431706	1536.84913324436	1391.57592430099
"Plc21C"	1137.30203975152	1171.34328314739	1177.06615073052	1485.44417559567	1445.26047550159	1519.01509696469	1254.40118443188	1260.17031731876
"CR43719"	15.2544237820622	24.5307493852856	61.7596437111691	3.76538447552769	0.412224893183567	0	9.69184138082027	0
"CG11912"	196.047594532429	148.411033780978	217.975213098244	311.39729612614	314.527593499062	209.454255606311	357.213582321661	537.91216095602
"CG11911"	2459.35210086358	2773.20121800654	2386.82858342577	3070.67103979283	2256.51906528685	2217.19594898573	2367.57839445752	3536.60701957201
"CG33127"	324.862728692065	307.860904785334	428.68458575988	319.304603524748	250.632735055609	218.889131984974	418.13372814396	515.223423059808
"CG43755"	113.560710377574	107.935297295257	127.152207640642	6.77769205594984	0.824449786367135	0	29.0755241424608	1.89072815801765
"CG31921"	100.566201229891	128.786434272749	167.114330041987	12.0492303216886	0	7.54790110293013	11.0763901495089	7.56291263207058
"Ent1"	429.948759190715	391.265452695305	443.216266633096	462.012675147247	481.066450345223	466.082893105935	481.822971503636	349.784709233264
"CR45367"	20.3392317094162	58.8737985246854	50.8608830562569	0	5.77114850456994	1.88697527573253	6.92274384344305	0
"CR45366"	20.9042103680111	49.0614987705712	32.6962819647366	4.51846137063322	7.00782318412064	3.77395055146506	9.69184138082027	7.56291263207058
"al"	96.6113506197271	115.294522110842	163.481409823683	12.0492303216886	2.88557425228497	0	12.4609389181975	9.45364079008823
"CR43718"	25.4240396367703	15.9449871004356	29.0633617464325	0	0	0	12.4609389181975	0
"CG4213"	510.175728711191	421.928889426912	370.557862267015	214.626915105078	157.057684302939	232.097958915101	332.291704485266	356.402257786326
"RpI135"	678.539368972469	570.33992320789	526.77343165409	494.018443189232	479.005325879305	635.910667921863	441.671057211666	728.875704915802
"AP-2alpha"	2102.28558863161	1811.59584210334	1969.0427583208	2818.01374148492	2898.76544886685	2871.97636966491	2591.87529498508	2654.58233385677
"ebi"	996.057375102801	868.38852823911	1024.48350156175	1863.48877693865	1920.96800223542	1898.29712738693	1437.16162189878	1178.869006524
"CG13690"	205.087253069947	277.197468053727	196.17769178842	478.580366839569	399.445921494877	483.065670587528	394.596399076254	330.877427653088
"RpLP1"	5304.01964688888	5098.71625973161	4512.08691113365	7022.44204685914	7528.87544910467	5985.48557462359	6811.97994194796	7865.42913735341
"CG11885"	50.2831006149457	31.8899742008713	98.0888458942098	18.0738454825329	39.1613648524389	54.7222829962434	51.2283044414785	48.21356802945
"CG13692"	19.2092743922264	44.1553488935141	50.8608830562569	4.14192292308045	0.824449786367135	0	6.92274384344305	0
"BBS8"	71.1873109829568	121.427209457164	72.6584043660814	4.14192292308045	1.64889957273427	0	15.2300364555747	8.5082767110794
"ex"	1449.17025929591	1406.83847724613	1369.61092230063	1293.78610579131	1113.00721159563	1549.20670137641	1322.24407409762	2128.95990592787
"CR43717"	18.6442957336315	30.663436731607	14.5316808732163	0	0	0	2.76909753737722	0
"crq"	1468.94451234673	1124.73485931534	1344.18048077251	1832.23608579177	2021.55087617221	1854.89669604508	1707.14863179306	1595.77456536689
"CG4164"	425.428929921956	371.640853187077	388.722463358535	638.232668601943	695.835619693862	600.058137682945	624.431494678563	533.185340560976
"CG4133"	154.804152455001	169.262170758471	185.278931133507	43.3019214685684	32.9779914546854	20.7567280330579	44.3055605980355	33.0877427653088
"CG4297"	870.632112894734	742.055168904889	890.065453484497	643.127668420129	607.619492552578	652.893445403456	569.049543931018	713.749879651661
"MED15"	418.084207360223	402.304289918684	421.418745323272	663.460744587978	672.751025675582	649.119494851991	492.899361653145	505.76978226972
"ush"	663.849923849002	754.320543597532	835.571650209936	908.587273944831	742.417032623605	1047.27127803156	866.72752919907	911.330972164505
"cbt"	1926.57722580859	1633.74790906002	1587.58613539888	2335.66799016982	1738.3523745551	2113.41230882044	2021.44120228537	2112.88871658472
"lwr"	853.117774478292	834.04547909971	708.419442569293	1349.13725758157	1462.5739210153	1139.73306654245	1221.17201398335	1218.57429784237
"Spp"	423.169015287577	474.670000605276	450.482107069704	562.548440643836	547.022433254594	494.387522241923	411.210984300517	627.721748461858
"Ets21C"	232.771207341097	311.540517193127	319.696979210758	71.9188434825788	54.4136859002309	62.2701840991736	83.0729261213166	131.405606982226
"nAChRbeta3"	168.363640261279	155.770258596564	225.241053534852	54.5980748951515	70.9026816275736	81.1399368564989	83.0729261213166	109.662233165023
"rempA"	202.262359776973	347.110103801791	308.798218555846	40.666152335699	27.619067843299	24.5306785845229	56.766499516233	34.0331068443176
"CG2789"	509.610750052596	413.343127142062	399.621224013447	713.916896560049	782.815072155594	641.571593749061	641.046079902826	531.294612402958
"CG11835"	266.104948198196	246.53403132212	188.911851351812	131.411918195916	122.843018168703	139.636170404207	137.070328100172	193.799636196809
"CG2794"	211.866996973086	210.964444713456	207.076452443332	190.151916014148	215.181394241822	190.584502848986	204.913217765914	236.341019752206
"Nle"	197.742530508213	165.582558350678	145.316808732163	140.448840937183	142.629813041514	147.184071507138	197.990473922471	164.493349747535
"CG2807"	687.579027509988	746.961318781946	813.774128900111	853.236122154574	938.223856885799	845.364923528174	845.95929766874	903.768059532435
"Ipk2"	158.194024406571	186.433695328171	145.316808732163	230.064991454742	275.778453539807	186.810552297521	254.756973438704	183.400631327712
"cold"	137.28981403856	190.113307735963	152.582649168771	177.349608797354	208.998020844069	160.392898437265	192.452278847717	145.586068167359
"Ptth"	31.6388048813141	60.1003359939497	134.41804807725	7.53076895105537	1.2366746795507	0	4.15364630606583	3.78145631603529
"Pph13"	57.6278231766793	93.2168476640853	101.721766112514	16.9442301398746	5.77114850456994	5.6609258271976	19.3836827616405	15.1258252641412
"Gsc"	77.9670548860956	148.411033780978	79.9242448026895	10.9196149790303	1.64889957273427	0	16.6145852242633	0
"CG13689"	80.2269695204752	131.239509211278	130.785127858946	84.3446122518202	39.5735897456225	90.5748132351615	99.6875113455799	48.21356802945
"CR43648"	23.1641250023907	34.3430491393998	29.0633617464325	0	0.412224893183567	0	1.38454876868861	4.72682039504411
