"ctrl_1"	"ctrl_2"	"ctrl_3"	"hot_1"	"hot_2"	"hot_3"	"cold_1"	"cold_2"	"cold_3"
"l(2)gl"	3475.24640731297	2606.08097331148	3267.18567653543	4934.21100068408	4987.01088684913	5422.36674257863	4759.35232746999	3971.87796104685	5824.26058963806
"Ir21a"	58.5715686625782	156.930838471866	160.305839269262	0	2.14273905940068	13.7027318404514	11.5553319028103	0	0
"CR43609"	91.1113290306772	95.1875577616237	156.489033572375	4.68141461165472	13.7135299801643	25.4479305608383	28.8883297570257	35.5867612239141	11.3119894918923
"Cda5"	814.085641209167	861.833293247134	763.361139377437	358.518335675891	393.406891305964	375.846359052381	525.767601577868	596.078250500561	567.720472624346
"CR45339"	1.77489602007813	16.7221385256907	7.63361139377437	0	0.85709562376027	0	5.77766595140515	1.97704229021745	2.12099802972981
"CR45340"	2.36652802677084	11.5768651331705	11.4504170906616	0.39011788430456	1.71419124752054	0	0	0	0
"dbr"	881.531689972136	859.260656550874	1000.00309258444	1480.49737093581	1457.06256039246	1244.99106436101	1357.75149858021	971.716285641876	1549.74256038925
"CR44987"	59.1632006692709	140.208699946175	125.954587997277	12.4837722977459	8.14240842572257	17.6177980805804	17.3329978542154	14.8278171766309	19.7959816108116
"galectin"	1537.05995338766	1085.65268582176	1282.44671415409	1160.60070580607	1039.65699162121	1239.11846500082	1260.97559389417	1380.96403971689	1327.74476661086
"CG11374"	137.850257559401	149.212928383086	103.053753815954	78.0235768609121	72.853128019623	95.9191228831598	142.997232297277	218.463173069028	109.584898202707
"net"	98.8025451176824	151.785565079346	133.588199391052	20.2861299838371	12.4278865445239	17.6177980805804	41.8880781476873	42.5064092396751	61.5089428621645
"Zir"	1164.92342117794	976.315626230708	1122.14087488483	1416.12792002555	1438.63500448161	1487.72517124901	1314.41900394467	1128.89114771416	1561.76154922438
"CG11377"	514.128213815964	366.600729217064	477.100712110898	684.656886954503	648.392839374645	567.684604818701	515.656686162909	530.835854923385	661.751385275701
"Nhe1"	377.461220269948	378.177594350235	484.734323504673	547.335391679298	477.402262434471	473.723015055606	402.992200110509	389.477331172837	441.874589527044
"Sam-S"	4188.75460738438	3073.01453368269	3095.42942017551	4416.13445032762	4237.0522160589	4167.58801261729	4106.47607496121	5128.44770082406	4292.90001217314
"CG11455"	517.086373849428	493.946245681939	484.734323504673	551.236570522344	616.680301295515	559.854472338443	509.879020211504	600.032335080995	478.638555375694
"CG13694"	47.9221925421094	55.3116889695922	95.4201424221797	11.7035365291368	7.2853128019623	3.91506624012897	21.6662473177693	7.90816916086979	24.7449770135144
"CG4822"	486.913141508099	514.52733925202	530.535991867319	381.925408734165	215.131001563828	330.823097290898	424.658447428278	416.167402090773	406.52462236488
