geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0022610	biological adhesion	http://amigo.geneontology.org/amigo/term/GO:0022610	213	9	1.2680051359869267	7.097763048881524	3.7674638524443083e-6	0.0013374496676177294	34947;35215;35216;40464;43213;45307;48973;50391;64875	beat-Ia;Pax;Lectin-galC1;fz;Ten-m;Src64B;beat-VII;disco-r;Grip
GO:0042330	taxis	http://amigo.geneontology.org/amigo/term/GO:0042330	363	10	2.160966499358002	4.62755901258575	4.446080302877853e-5	0.007891792537608189	31816;34947;35851;36377;40090;40464;41491;44548;45307;48973	beat-Ia;ptc;lola;fra;fz;fz2;Ten-m;Src64B;svp;Moe
GO:0035272	exocrine system development	http://amigo.geneontology.org/amigo/term/GO:0035272	128	6	0.7619936967433174	7.874080882352941	1.027080722695306e-4	0.010286677353567308	34132;36377;37655;40090;45307;48973	Btk29A;twi;fra;fz;fz2;Src64B
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	189	7	1.1251313178475546	6.2214960058097315	1.1590622370216686e-4	0.010286677353567308	34132;36377;37655;40090;44548;45307;48973	Btk29A;twi;lola;fra;fz;fz2;Src64B
GO:0032990	cell part morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0032990	460	10	2.738414847671297	3.6517476555839727	3.157322338194213e-4	0.01838042048049863	31816;34947;35851;36377;40090;40464;44548;45307;48973;50225	beat-Ia;ptc;lola;fra;Prosap;fz;fz2;Ten-m;Src64B;Moe
GO:0031175	neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0031175	473	10	2.81580483249679	3.5513824980309248	3.9461015658481813e-4	0.01838042048049863	31816;34947;35851;36377;40090;40464;44548;45307;48973;50225	beat-Ia;ptc;lola;fra;Prosap;fz;fz2;Ten-m;Src64B;Moe
GO:0048880	sensory system development	http://amigo.geneontology.org/amigo/term/GO:0048880	391	9	2.3276526205206025	3.866556341206559	4.3309837388139094e-4	0.01838042048049863	31816;34947;35851;36377;40464;41491;44548;45307;48973	beat-Ia;ptc;lola;fra;fz;Ten-m;Src64B;svp;Moe
GO:0097435	supramolecular fiber organization	http://amigo.geneontology.org/amigo/term/GO:0097435	235	7	1.3989728026146844	5.003671255736337	4.420827532753968e-4	0.01838042048049863	31816;34132;38988;40464;44013;45307;48973	Btk29A;fz;sls;Ten-m;Src64B;Zasp66;Moe
GO:0007267	cell-cell signaling	http://amigo.geneontology.org/amigo/term/GO:0007267	483	10	2.8753355900548616	3.4778549100799743	4.6598249105489487e-4	0.01838042048049863	37655;38109;40090;40464;41491;43729;45307;48973;50225;50391	twi;Prosap;fz;fz2;Ten-m;Src64B;Glut1;kek6;svp;Grip
GO:0000904	cell morphogenesis involved in differentiation	http://amigo.geneontology.org/amigo/term/GO:0000904	493	10	2.9348663476129335	3.4073101857375807	5.478519040572616e-4	0.019448742594032786	31816;34947;35851;36377;40090;40464;44548;45307;48973;50225	beat-Ia;ptc;lola;fra;Prosap;fz;fz2;Ten-m;Src64B;Moe
GO:0008037	cell recognition	http://amigo.geneontology.org/amigo/term/GO:0008037	118	5	0.7024629391852457	7.117813226985709	6.450662657080386e-4	0.020818047666032156	34947;36377;40090;40464;44548	beat-Ia;lola;fra;fz2;Ten-m
GO:0046530	photoreceptor cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0046530	204	6	1.214427454184662	4.940599769319492	0.0012489227847541917	0.03671878562817667	31816;40464;41491;44548;45307;48973	lola;fz;Ten-m;Src64B;svp;Moe
GO:0060562	epithelial tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060562	462	9	2.7503209991829114	3.272345301757066	0.0014305907373397542	0.03671878562817667	31816;31913;34132;35851;37655;41491;44548;45307;64875	Btk29A;twi;ptc;lola;fz;svp;disco-r;Moe;Sp1
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	83	4	0.49410528773199486	8.095440585872904	0.0014480647853365447	0.03671878562817667	34132;35851;40090;44548	Btk29A;ptc;lola;fz2
GO:0030029	actin filament-based process	http://amigo.geneontology.org/amigo/term/GO:0030029	298	7	1.774016575230536	3.945848137912883	0.0017859729355836906	0.04226802614214735	31816;34132;37655;38988;44013;45307;48973	Btk29A;twi;fz;sls;Src64B;Zasp66;Moe
GO:0007423	sensory organ development	http://amigo.geneontology.org/amigo/term/GO:0007423	482	9	2.8693825142990548	3.136563339028557	0.0019196430032746292	0.042592079135155836	31816;34947;35851;36377;40464;41491;44548;45307;48973	beat-Ia;ptc;lola;fra;fz;Ten-m;Src64B;svp;Moe
GO:0061061	muscle structure development	http://amigo.geneontology.org/amigo/term/GO:0061061	231	6	1.3751604995914557	4.363127069009422	0.002351406787495236	0.04910290644475346	35215;37655;38988;44013;44548;50391	Pax;twi;lola;sls;Zasp66;Grip
