"GO"	"genes_ctmax"	"genes_Hot_DEG"
"actin filament-based process"	"Btk29A;twi;fz;sls;Src64B;Zasp66;Moe"	"Sb;jv;swa;tral;Zasp67;sns;Abi;Mrtf;ctp;Khc;Ret;dco;polo;asp;Lam;Nedd4;cdi;mask;neo;Vav;Nup98-96;ssh;Abl;Pak3;Src64B;mwh;capt;CG13366;f;fwd;cib;Scgdelta;pav;dsh;hep;hop;scra;twi;Girdin;Spn;sti;PsGEF;Vrp1;N;LamC;RhoGEF2;Rab11;sktl;tw;Ssrp;pnut;CG6873;cpb;sn;RhoGAP71E;feo;mbc;sced;Galphai;ed;tsr;yrt;Atx2;pod1;pico;jvl;rols;lilli;Mtl;Nup154;CanB2;gish;Traf4;Rack1;Cdc42;RhoGAP92B;kon;CG43102;ck;flr;nullo;nwk;l(2)gl;lark;Rab35;DAAM;Arpc2;Crk;Gprk2;spoon;Cip4;Apc2;chinmo;sick;Dl;spir;RhoGAP68F;mey;alpha-Cat;Mlc-c;Tm1;svr;Myo28B1;WASp;nuf;zye;gukh;Pi3K68D;unc-45;RhoBTB;crb;p120ctn;Pka-C1;cher;Arf51F;nyo;mthl1;conu;bnk;bond;siz;zip;CG30183;CG5022;Rok;sax;psidin;pbl;RhoGAP18B;cta;parvin;kug;Btk29A;qua;chic;cpa;SCAR;ena;step;Hem;fz;wash;Rac1;Ggamma1;kel;how;Shroom;Src42A;trio;tsl;m;ball;loco;rictor;Moe;Pten;didum;Arpc1;Ocrl;gek;Vps4;btsz"
"biological adhesion"	"beat-Ia;Pax;Lectin-galC1;fz;Ten-m;Src64B;beat-VII;disco-r;Grip"	"Jafrac1;stan;ft;Dscam1;Nlg4;Nlg2;rk;arm;sns;otk;Abi;Cad96Ca;Cad96Cb;Ret;fw;CG44153;Dscam3;Ccn;prc;Tl;hbs;muskelin;beat-Va;beat-VII;CadN2;Cad89D;beat-IIb;Tsp;Src64B;beat-IIa;CG32087;sdk;beat-Ic;beat-Vb;Girdin;mbt;beat-Ia;N;kirre;Cad88C;CadN;Grip;Dscam4;wech;Fit1;pygo;Vinc;Mp;ed;beat-IIIb;ds;wrapper;Eig71Ee;shg;klg;Ptp69D;RanBPM;mop;Pak;Con;Cad99C;CG10339;Burs;Cont;glec;Sec24CD;aop;egh;beat-Ib;beat-IV;pyd;18w;POSH;Apc2;par-1;NijC;Dl;Cad86C;alpha-Cat;eater;Nlg1;beat-Vc;zye;Dscam2;disco-r;scrib;p120ctn;Fas1;Mkp3;Lac;CG7166;Ten-m;CG34353;Chc;beat-VI;parvin;kug;PlexA;SCAR;CG43333;Mmp1;baz;Hem;fz;wash;Cad87A;Rac1;Ggamma1;beat-IIIc;how;Ndg;Src42A;m;EcR;crol;NijB;tutl;Arpc1"
"cell morphogenesis involved in differentiation"	"beat-Ia;ptc;lola;fra;Prosap;fz;fz2;Ten-m;Src64B;Moe"	"stan;ft;Dscam1;bif;conv;NT1;CG9705;hdc;sbb;nompA;erm;Ptp61F;side;otk;grh;haf;Abi;Hsc70-4;Khc;Wnk;lola;fs(1)Yb;nos;brat;nudC;ham;kis;CG44153;Dscam3;dac;E(Pc);ab;Scm;gogo;Ulp1;kn;TER94;beat-Va;Nedd4;nub;mid;sav;Hr51;CadN2;sad;Dab;kuz;RunxA;neo;chb;Vav;spen;ssh;ss;spz;Sos;jing;beat-IIb;pum;for;retn;Actbeta;Psc;Nf-YC;Abl;tup;Pak3;chn;Src64B;kra;capt;G9a;beat-IIa;pk;beat-Ic;Toll-7;dpr11;Fmr1;beat-Vb;Poxm;mud;Stat92E;Nak;Efhc1.1;dsh;RhoGAP100F;hep;slmb;grn;Br140;CG6701;Wnt4;hop;Girdin;XNP;cnn;enok;chif;acj6;Dlic;msps;ara;Wnt2;beat-Ia;N;RhoGEF2;D;ago;bon;kat-60L1;unc-5;CadN;daw;Prosap;btl;Dscam4;ftz-f1;robo3;Ptp10D;dock;Toll-6;Mbs;RhoGAP71E;usp;Lim3;msn;tum;frac;Rab5;trc;en;ko;cnc;stl;Pi3K92E;wts;Mp;CG34401;tsr;Drl-2;Oli;Gnf1;pod1;mmy;Optix;ds;sff;tap;SMC1;wrapper;Lis-1;shg;klg;pdm3;Traf4;Cdc42;dom;velo;CG42797;nudE;CG41099;Ptp69D;Pak;cyr;Cont;CG11584;dar1;Rab35;DAAM;oc;egh;comm;jbug;spri;beat-Ib;run;beat-IV;CG6867;raptor;lva;Gprk2;Liprin-beta;CG12717;fs(1)h;comm3;brm;Dref;RhoGAP93B;Med;amos;NetB;Dbx;Ire1;Chi;Ptpmeg;spz5;CkIIalpha;nerfin-1;mirr;sick;Dl;Kr;mey;alpha-Cat;Tm1;beat-Vc;CG32564;ninaG;Nrk;WASp;zye;gukh;put;Dscam2;Bap55;crb;fru;SoxN;gcm2;p120ctn;Fas1;E(z);CG7166;nvy;cher;14-3-3epsilon;Cul3;Ank2;drl;Ten-m;Dhc64C;nyo;aPKC;CdGAPr;ap;tok;ph-p;CG34353;Rok;Rab6;psidin;sens;pbl;beat-VI;cta;parvin;smt3;bur;futsch;chic;PlexA;Rab1;SCAR;NetA;RhoGAPp190;Sec15;ena;fax;tai;baz;Hem;Alk;trx;fz;pho;Smox;Patj;Rac1;Ptp52F;Ptp4E;hh;eve;babo;Liprin-alpha;E(spl)m8-HLH;spas;beat-IIIc;Src42A;trio;tsl;Shc;m;Ras85D;Wnt5;EcR;rictor;Tor;wnd;Moe;Trim9;tutl;Cdk5alpha;Arpc1;CG2116;vvl;Vang;gcm;sqz;eya"
"cell part morphogenesis"	"beat-Ia;ptc;lola;fra;Prosap;fz;fz2;Ten-m;Src64B;Moe"	"stan;Dscam1;bif;conv;NT1;CG9705;hdc;sbb;nompA;erm;Ptp61F;side;otk;haf;Abi;Hsc70-4;Khc;Wnk;lola;nos;brat;nudC;ham;kis;CG44153;Dscam3;Hsc70-5;dac;E(Pc);ab;Scm;gogo;Ulp1;kn;TER94;beat-Va;Nedd4;nub;mid;sav;Hr51;CadN2;sad;Dab;kuz;RunxA;chb;Vav;spen;ssh;ss;spz;Sos;jing;beat-IIb;pum;for;retn;Actbeta;Psc;Nf-YC;Abl;tup;Pak3;chn;Src64B;kra;capt;G9a;beat-IIa;pk;beat-Ic;Toll-7;dpr11;Fmr1;beat-Vb;Poxm;mud;Nak;Efhc1.1;dsh;RhoGAP100F;hep;grn;Br140;CG6701;Wnt4;Girdin;XNP;enok;chif;acj6;Dlic;msps;ara;Wnt2;beat-Ia;N;RhoGEF2;D;ago;bon;kat-60L1;unc-5;CadN;daw;Prosap;btl;Dscam4;ftz-f1;robo3;Ptp10D;dock;Toll-6;sn;Mbs;usp;Lim3;msn;tum;frac;Rab5;trc;en;ko;cnc;Pi3K92E;wts;Mp;CG34401;tsr;Drl-2;Oli;Gnf1;pod1;mmy;Optix;sff;tap;SMC1;wrapper;Lis-1;shg;klg;pdm3;bnl;Cdc42;dom;velo;CG42797;nudE;Ptp69D;Pak;ths;Cont;CG11584;dar1;DAAM;oc;egh;comm;jbug;spri;beat-Ib;run;beat-IV;CG6867;raptor;lva;Liprin-beta;CG12717;fs(1)h;comm3;brm;Dref;RhoGAP93B;Med;amos;NetB;Dbx;Ire1;Chi;Ptpmeg;spz5;CkIIalpha;nerfin-1;mirr;sick;Kr;Tm1;beat-Vc;CG32564;ninaG;Nrk;WASp;gukh;htl;put;Dscam2;Bap55;crb;fru;SoxN;gcm2;p120ctn;Fas1;E(z);CG7166;nvy;cher;14-3-3epsilon;Cul3;Ank2;drl;Ten-m;Dhc64C;CdGAPr;ap;tok;CG34353;Rok;Rab6;psidin;sens;pbl;beat-VI;smt3;bur;futsch;chic;PlexA;Rab1;SCAR;NetA;RhoGAPp190;Sec15;ena;fax;tai;Hem;Alk;trx;fz;pho;Smox;GckIII;Rac1;Ptp52F;Ptp4E;hh;eve;babo;Liprin-alpha;E(spl)m8-HLH;spas;beat-IIIc;Src42A;trio;Shc;heix;Wnt5;EcR;rictor;Tor;wnd;Moe;Trim9;tutl;Mob4;Cdk5alpha;Arpc1;CG2116;vvl;Vang;Letm1;gcm;sqz;eya"
"cell-cell signaling"	"twi;Prosap;fz;fz2;Ten-m;Src64B;Glut1;kek6;svp;Grip"	"stan;ft;NT1;Dop1R1;Nlg4;TkR99D;Sytbeta;Nlg2;5-HT1B;unc-13-4A;dtr;5-HT2A;arm;otk;mtt;Ser;osa;Hsc70-4;nAChRalpha2;Wnk;Grd;Rph;dco;nej;stj;tws;AdoR;CG3822;kn;nAChRalpha3;TER94;5-HT2B;Gycbeta100B;Syx5;GABA-B-R2;mts;spen;BTBD9;Cul1;Rab3-GEF;apt;hkb;PK1-R;nAChRbeta2;pum;GluRIID;Reck;Fife;fj;Abl;CG15537;Src64B;Sin3A;pk;CG7094;CG32447;Bili;Fmr1;mGluR;lin;pav;tll;Nmdar1;dsh;slmb;Wnt4;twi;mAChR-A;nmo;CG34402;B-H2;DAT;cac;clumsy;nau;lic;svp;Wnt2;GluRIIE;5-HT7;Cep89;N;Shal;stas;hyd;wntD;lqfR;Rbp;Grip;daw;Prosap;Syx13;CG11155;Neto;HisCl1;CG1909;Scamp;tum;Wnt6;5-HT1A;mAChR-B;skd;Csk;gro;pygo;CkIIbeta2;CanA1;lgs;Pi3K92E;CG32206;wts;cmpy;Drl-2;Ih;Arf79F;ds;nito;CG2577;Ir93a;GluRIIA;Wnt10;CanB2;Ssdp;boss;gish;Cdc42;upd2;RhoGAP92B;phyl;Mer;nemy;brp;mop;dimm;nwk;CG12147;Snx6;Csp;CASK;CG10339;rtv;Atg1;CG12344;aop;GluRIIC;CanB;l(2)gl;VGAT;CG8916;Notum;ort;Smg6;Tusp;Axn;nAChRalpha1;SH3PX1;sgl;RanBP3;CG9962;Apc2;CG9961;spz5;Syngr;CkIIalpha;Rpt6R;Tip60;VGlut;hpo;X11Lbeta;Cby;Plc21C;Dl;vg;nAChRalpha7;nAChRalpha6;gsb;GluRIIB;Akt1;CG11523;gammaSnap2;Nlg1;Gdi;Vps26;scramb2;Hip14;Sytalpha;Snx3;Lcch3;Syt7;BicD;nAChRalpha5;Csas;Sec22;Rdl;Pgk;Apc;SoxN;comt;tsh;Syx4;CkIIbeta;Pka-C1;CDase;Ank2;drl;ppk16;Ten-m;CG14505;Snap24;Arf51F;nAChRbeta3;Rim;Dyrk2;CG6927;NFAT;fusl;Rpt6;ppk11;Rok;Cdc16;sr;Arc1;Pp1alpha-96A;Synd;Chc;CG5541;pbl;sca;upd3;wg;Rab1;mth;Sec15;Cat;fz4;Tnks;Alk;Nrx-1;rl;fz;Vps35;Ca-beta;Synj;hh;Syx1A;mfr;spas;Ir21a;Src42A;Slob;nAChRbeta1;Wnt5;Sod2;CtBP;crol;Syx7;ebd1;Oamb;Roc1a;Letm1;hyx;Galphas;cdm;twit;stmA"
"epithelial tube morphogenesis"	"Btk29A;twi;ptc;lola;fz;svp;disco-r;Moe;Sp1"	"e(y)3;ft;salr;hdc;d;sbb;ovo;bab1;stg;arm;CycE;otk;Gug;Ser;Poxn;Mrtf;Bap170;osa;ctp;lola;dy;fw;tay;trh;dco;kis;H;psq;heph;cic;dac;dx;ebi;cad;cg;ab;kn;mor;Lam;net;Nedd4;dmt;kkv;jumu;Hr51;wge;caup;Chd1;odd;spen;dome;ss;Sos;jing;Cks30A;fj;ase;mwh;ey;CG13366;pk;f;al;rn;Drak;foi;Stat92E;dsh;hep;slpr;hop;twi;lbe;nmo;Dok;B-H2;Hph;ara;svp;Hs3st-B;lbl;so;PDZ-GEF;N;cv-2;hyd;RhoGEF2;ago;knk;dap;Stim;btl;polybromo;ftz-f1;Ptp10D;sn;Mbs;RhoGAP71E;msn;sob;Wnt6;Rab5;Mad;trc;en;mbc;skd;pygo;RasGAP1;lgs;ed;tsr;RhoGAP19D;mmy;TfAP-2;RhoGAP54D;Cyp301a1;VhaAC39-2;Cbl;Mtl;byn;mam;fkh;inv;shg;cnk;Traf4;bnl;Asx;Cdc42;RhoGAP92B;ck;Pak;ac;flr;in;btd;bi;Sp1;Rca1;msk;Dsor1;lft;Myo31DF;l(2)gl;oc;MYPT-75D;pyd;Crk;pim;Gprk2;Axn;Cip4;CG17211;gus;brm;S;Dll;Plzf;C15;Med;pot;l(3)psg2;Chi;zfh2;Su(dx);par-1;dve;mirr;Dl;sqa;vg;gammaCOP;Kr;RhoGAP68F;fng;tnc;svr;VhaAC39-1;Dr;put;CG31406;disco-r;Cyp18a1;Rbsn-5;crb;fru;scrib;vn;tsh;RhoGAP16F;Mkp3;Lim1;px;Pka-C1;drk;salm;Cul3;chm;mthl1;aPKC;ttk;ap;tok;tow;fand;zip;neur;opa;Duox;tld;Rok;cos;sax;dpp;EloA;par-6;pbl;sca;parvin;upd3;wg;Su(H);Btk29A;qua;chic;B-H1;step;Mmp1;magu;Pvf1;wmd;barr;esg;rib;baz;Mnn1;rl;fz;Smox;Rac1;Ptp4E;hh;bowl;sno;babo;fuss;how;Src42A;unk;trio;Shc;m;Ras85D;EcR;Hs6st;crol;Tor;Moe;thr;Ubx;hyx;Galphas;pio;eya;sha"
"muscle structure development"	"Pax;twi;lola;sls;Zasp66;Grip"	"Zasp67;sns;nsl1;Gug;lid;Abi;Khc;lola;ab;Tl;kn;hbs;Antp;Nedd4;mask;caup;Abd-B;kuz;Vav;sing;akirin;spz;PyK;retn;lmd;tup;Pak3;Cf2;chn;Tsp;CG13366;Sin3A;coro;Poxm;Scgdelta;Stat92E;pav;lms;twi;lbe;ara;nau;Wnt2;lbl;Vrp1;N;kirre;LamC;Grip;tw;CG14260;dock;org-1;wech;tum;numb;mbc;skd;exd;ed;bap;rols;tin;CanB2;Tpi;kon;Scgbeta;E(spl)mdelta-HLH;flr;ths;msk;ens;Sec24CD;aop;DAAM;raptor;SmD3;Crk;CG9961;vg;Kr;Six4;Akt1;wap;Alh;WASp;htl;unc-45;Dr;pcs;Pgk;Pkg21D;fru;klar;cher;salm;drl;Arf51F;crp;Pglym78;mspo;ttk;ap;siz;zip;Rok;sr;dpp;Him;Gapdh1;parvin;wg;tub;SCAR;abd-A;Hem;Alk;Rac1;eve;slou;how;ImpL3;Ras85D;hoip;ball;Wnt5;Tor;ebd1;Pten;Ubx;eya"
"neuron projection development"	"beat-Ia;ptc;lola;fra;Prosap;fz;fz2;Ten-m;Src64B;Moe"	"stan;Dscam1;bif;conv;NT1;CG9705;hdc;sbb;nompA;erm;Ptp61F;side;otk;haf;Abi;Hsc70-4;Khc;Ret;Wnk;lola;nos;CHORD;brat;nudC;ham;kis;CG44153;Dscam3;dac;E(Pc);ab;Scm;gogo;Ulp1;kn;TER94;beat-Va;Nedd4;nub;mid;sav;Hr51;CadN2;sad;Dab;kuz;RunxA;chb;Vav;spen;ssh;ss;spz;Sos;jing;beat-IIb;pum;for;retn;Actbeta;Psc;Nf-YC;Abl;tup;Pak3;chn;Src64B;kra;capt;G9a;beat-IIa;pk;beat-Ic;Toll-7;dpr11;Fmr1;beat-Vb;Poxm;mud;Nak;Efhc1.1;dsh;RhoGAP100F;hep;grn;Br140;CG6701;Wnt4;Girdin;XNP;Spn;enok;chif;acj6;Dlic;msps;ara;Wnt2;beat-Ia;N;Kat60;RhoGEF2;D;ago;bon;kat-60L1;unc-5;CadN;daw;Prosap;btl;Dscam4;ftz-f1;robo3;Ptp10D;dock;Toll-6;sn;Mbs;usp;Lim3;msn;tum;frac;Rab5;trc;en;ko;cnc;Pi3K92E;wts;Mp;CG34401;tsr;Drl-2;Oli;Gnf1;pod1;mmy;Optix;sff;tap;Patronin;SMC1;wrapper;Lis-1;shg;klg;pdm3;Cdc42;dom;velo;CG42797;nudE;Ptp69D;Pak;Con;stai;Cont;CG11584;dar1;DAAM;oc;egh;comm;jbug;spri;beat-Ib;run;beat-IV;CG6867;raptor;lva;Liprin-beta;CG12717;fs(1)h;comm3;brm;Dref;RhoGAP93B;Med;amos;NetB;Dbx;Ire1;Chi;Ptpmeg;spz5;CkIIalpha;nerfin-1;mirr;sick;Kr;Akt1;Tm1;beat-Vc;CG32564;ninaG;Nrk;WASp;gukh;put;bchs;Dscam2;Bap55;crb;fru;SoxN;gcm2;p120ctn;Fas1;E(z);Pka-C1;CG7166;nvy;cher;14-3-3epsilon;Cul3;Ank2;drl;Ten-m;Dhc64C;CdGAPr;ap;tok;CG34353;Rok;Rab6;psidin;sens;pbl;beat-VI;smt3;bur;Imp;futsch;chic;PlexA;Rab1;SCAR;NetA;RhoGAPp190;Sec15;ena;Mmp1;fax;tai;Hem;Alk;trx;fz;pho;Smox;GckIII;Rac1;Ptp52F;Ptp4E;hh;eve;babo;Liprin-alpha;E(spl)m8-HLH;spas;beat-IIIc;Src42A;trio;Shc;Wnt5;EcR;rictor;Tor;wnd;Moe;Trim9;tutl;Pten;Mob4;Cdk5alpha;Arpc1;CG2116;vvl;Vang;gcm;sqz;eya"
"photoreceptor cell differentiation"	"lola;fz;Ten-m;Src64B;svp;Moe"	"stan;BRWD3;arm;sv;grh;eff;osa;Rip11;Khc;lola;nej;prom;dac;ebi;CG13251;hbs;lz;cdi;mask;sav;CadN2;mts;Dab;rno;ss;Sos;Src64B;capt;ey;sdk;dsh;RhoGAP100F;hop;rin;cnn;B-H2;svp;tgo;mbt;PDZ-GEF;N;Rab11;Nf-YA;CadN;ru;Mbs;msn;gl;Mcm10;RasGAP1;dos;wts;ed;tsr;Rala;yrt;Atx2;Optix;lilli;Cbl;sev;Lis-1;boss;klg;cnk;Pph13;phyl;Mer;E(spl)mdelta-HLH;mop;Afti;msk;Dsor1;msi;aop;oc;Syn2;vimar;SP2353;S;Ire1;hpo;Dl;p47;ninaG;Nrk;crb;scrib;tinc;klar;drk;salm;Ten-m;melt;bun;ttk;csw;neur;Cdc16;Rab6;sens;sca;sina;B-H1;edl;baz;Alk;rl;fz;GAA1;sw;Patj;Rac1;hh;Cpn;Liprin-alpha;sinah;ro;Src42A;Shc;Ras85D;EcR;spg;Moe;tutl;Pten;didum;Doa;Vps4;eys;eya"
"sensory organ development"	"beat-Ia;ptc;lola;fra;fz;Ten-m;Src64B;svp;Moe"	"Mlf;stan;ft;da;jv;salr;d;arm;sns;RASSF8;sv;CycE;Gug;grh;Ser;Poxn;Abi;eff;Hrb98DE;Hrb87F;Rip11;Amun;ctp;Khc;lola;Abp1;fw;NAT1;dco;SRm160;H;nej;prom;cic;dac;ebi;CG13251;tws;ab;Scm;hbs;Lam;lz;rdo;Su(var)2-10;cdi;mask;sav;jumu;pnr;caup;CadN2;mts;eyg;Dab;rno;aux;Vav;spen;dome;ssh;ss;rdx;Sos;danr;fj;Abl;tup;chn;Src64B;ase;capt;fred;ey;sdk;pk;f;al;rn;Stat92E;snama;tll;dsh;RhoGAP100F;Wnt4;hop;scra;rin;Cyp303a1;nmo;caz;B-H2;ara;svp;tgo;Hs3st-B;mbt;beat-Ia;so;kibra;PDZ-GEF;N;kirre;pad;AP-1-2beta;fl(2)d;Rab11;uif;Nf-YA;CadN;dap;Stim;btl;toy;ru;trr;sn;Mbs;Mad;Scr;gl;trc;Cul5;numb;skd;Cyt-c-d;Mcm10;RasGAP1;toe;exd;dos;wts;ed;tsr;Rala;yrt;Atx2;Arf79F;Optix;ds;cno;lilli;Cbl;Sox15;Mtl;nito;tap;sc;Nup154;sev;mam;faf;Lis-1;boss;shg;gish;klg;cnk;Traf4;bnl;Asx;Cdc42;Pph13;phyl;Mer;E(spl)mdelta-HLH;ck;ac;Afti;bi;RacGAP84C;msk;pelo;Dsor1;msi;aop;l(2)gl;oc;Syn2;vimar;run;pyd;atk;zen;SP2353;S;Dref;C15;amos;NetB;Ire1;Chi;Nhe2;CkIIalpha;hpo;mirr;Dl;vg;Kr;CG32301;ec;fng;p47;ninaG;Nrk;WASp;nuf;a;put;bchs;Apc;crb;scrib;tinc;p120ctn;tsh;Eb1;klar;Lim1;Pka-C1;drk;nvy;salm;Cul3;chm;Ten-m;tio;Arf51F;melt;bun;aPKC;ttk;csw;zip;neur;Rok;Cdc16;Rab6;sax;Chc;dpp;jagn;sens;sca;sina;wg;Su(H);futsch;B-H1;Awh;dan;SCAR;NetA;Sec15;edl;ena;Hem;BobA;Alk;Sirup;trx;rl;fz;GAA1;Mitf;sw;pie;Rac1;Ocho;hh;Cpn;Liprin-alpha;E(spl)m8-HLH;sinah;ro;Src42A;unk;Shc;sano;Ras85D;Spf45;spg;E(spl)m2-BFM;CtBP;Hs6st;Moe;Trim9;tutl;DNApol-alpha60;Pten;AP-1mu;didum;wds;Arpc1;CG13465;Doa;Vang;hyx;E(spl)m7-HLH;Vps4;eys;eya;Utx"
