GO ID	GO category	FDR	Enrichment Ratio	Genes
GO:0051606	detection of stimulus	0	1.546643689479731	Dscam1, nompC, Ac78C, TkR99D, Rh7, Ir25a, TrpA1, rdgC, Pkd2, stj, Ir84a, ninaB, Ir7d, Or59b, Gr21a, FKBP59, Trpgamma, Ir40a, Gr98b, Ir10a, Or59c, Or22a, Ir20a, Ir51b, Gr59b, Ir94c, Or74a, Ir68a, Or10a, Ir7f, Snmp1, Fmr1, Or1a, Gr68a, Ir67c, Gr93b, nan, Gr61a, Or49a, Ir64a, Or46a, Gr9a, Gr33a, Or42a, acj6, Ir56d, cac, Gr5a, Ir60b, Or83a, Ir94a, Gr10b, Gr64f, Gr59a, Stim, Gr59c, Gr58a, Gr57a, Or65a, CG1339, ppk26, Ir7e, Or56a, Gr22e, Gr77a, Or82a, Cerk, CheB93b, Ir100a, Ir85a, Ir76a, Gr58c, Or65c, Ir87a, Gr10a, Or13a, Gr59e, Ir93a, Or98a, Or67b, Or30a, Ir75b, Or43a, Gr36b, Or98b, Or23a, Gr32a, Or71a, Ir94g, Ir56a, Gr28b, Or33c, ppk, Pld, Gr36c, Or45b, Ir94b, Ir7b, Ir68b, Or19b, shakB, Ir54a, Ir41a, Gr98a, Or88a, Or33b, Ir52b, rpk, Gycalpha99B, Ir67a, Gr39a, Ir48b, Ir75c, Ir52d, Or47a, Or85e, Gr22a, Or49b, Or7a, Ir47a, ktub, CheB53b, Gr59d, Gr93d, Ir11a, Ir75d, Ir8a, Or85f, CG32395, Or92a, CheA29a, Gr28a, Gr63a, Or33a, Ir94e, Or24a, PIP5K59B, Gr97a, Or85c, Or85b, Gr59f, Ir60e, Or22c, Ir94d, Gr36a, Rh5, Ir60a, Fic, Or94b, Ir7g, Ir31a, Or42b, Or83c, CheB93a, Ir94h, Ir75a, Ir67b, stops, Or67c, Orco, CheB38b, Or67a, Rab6, Ir7c, Gr43a, Gr23a, Or22b, Gr22f, Gr8a, brv1, Gr93a, Or63a, Or59a, porin, Gr98c, Or47b, Gr89a, Gr22b, Ir56b, Ir94f, Ir48c, Gr92a, Or65b, Or43b, brv3, Or85d, Gr22c, Or69a, Gr47b, CG31750, Ir52a, Or67d, Or2a, Ir21a, Gr98d, Cib2, Ir92a, Ir60d, Ir7a, Rh6, Gr66a, Or85a, Gr47a, CG12780, Gr39b, rtp, inaC, trpl, stmA
GO:0007600	sensory perception	2.76e-13	1.3992308086642513	Dhc36C, CG9492, Dhc93AB, Dscam1, btv, salr, nompC, eag, Ac78C, TkR99D, Nmdar2, Rh7, nompA, Ir25a, TrpA1, rempA, Myo10A, DCX-EMAP, rdgC, dpr17, dpr2, Oct-TyrR, stj, ebi, Ir84a, dpr3, CG9313, CG4329, bw, SKIP, dpr10, Or59b, Gr21a, FKBP59, Trpgamma, iav, Ir40a, unc, Gr98b, Or59c, Or22a, dpr20, na, Gr59b, Or74a, dpr12, dpr14, dpr15, f, Or10a, dpr11, Snmp1, Fmr1, dpr5, dpr4, Nmdar1, Or1a, Gr68a, Gr93b, nan, ppk19, Gr61a, Or49a, Ir64a, Or46a, Gr9a, Gr33a, Or42a, acj6, B-H2, cac, svp, Gr5a, dpr8, Or83a, Gr10b, Gr64f, Gr59a, Gr59c, Gr58a, Gr57a, Or65a, CG1339, ppk26, sei, NaCP60E, Obp56c, Desi, Or56a, gl, Gr22e, Gr77a, Or82a, CheB93b, Obp56b, Snmp2, CG14921, Ir100a, nompB, dpr16, Ir76a, Gr58c, Or65c, disco, Gr10a, Or13a, Gr59e, CheA46a, Ir93a, Or98a, sev, Or67b, Or30a, Ir75b, faf, Or43a, Gr36b, sosie, Or98b, dpr18, boss, Or23a, Gr32a, pdm3, Or71a, Cdc42, Obp59a, Gr28b, Or33c, ppk, Gr36c, Or45b, phyl, poe, CG6696, ck, Obp50e, Obp83a, Or19b, Obp56i, CheA86a, Gr98a, Or88a, Or33b, lush, rpk, Gycalpha99B, Gr39a, Ir75c, Obp73a, Or47a, Or85e, Obp50a, Gr22a, S, Or49b, Or7a, dpr19, Kap3, CG14636, tilB, ktub, CheB53b, CheA7a, Gr59d, Gr93d, sol, Obp93a, dpr13, Ir11a, Ir75d, ninaG, sws, Ir8a, Or85f, CG32395, Obp47a, Or92a, CheA29a, Gr28a, Gr63a, Or33a, Or24a, Obp99c, Gr97a, Obp58b, scrib, Or85c, Eb1, Or85b, Obp18a, Zmynd10, Gr59f, salm, Ank2, Or22c, Gr36a, Rh5, Fic, Or94b, Dyrk2, Ir31a, Or42b, Obp83cd, Or83c, CheB93a, Ir75a, stops, Or67c, ppk11, Orco, CheB38b, Or67a, CG5921, CG11865, Obp46a, sens, Gr43a, Gr23a, sina, Or22b, Obp83ef, Gr22f, Gr8a, brv1, Gr93a, wtrw, Obp58d, B-H1, Klp68D, Obp85a, Or63a, Or59a, Gr98c, Or47b, Gr89a, Obp83g, Gr22b, Obp57e, Gr92a, Or65b, Or43b, Or85d, Gr22c, Or69a, Gr47b, CheA87a, Rac1, CG31750, CG15254, Cpn, Or67d, Or2a, Ir21a, ro, t, Gr98d, dpr9, Ir92a, Ir7a, dpr7, Obp22a, Rh6, Gr66a, Or85a, Gr47a, tko, Obp99d, Doa, Gr39b, rtp, inaC, Galphas, trpl
GO:0045165	cell fate commitment	1.25e-12	1.4437410981521432	stan, da, arm, sv, CycE, enc, grh, gcl, Ser, osa, lola, brat, trh, simj, ham, polo, H, nej, H15, dac, tws, kn, Antp, Klp10A, CycA, lz, cdi, nub, mid, sav, pnr, caup, mts, Abd-B, Dab, kuz, spen, Sos, hkb, cas, bin, tup, chn, Src64B, ase, ey, wor, hb, rn, Fmr1, mud, pav, tll, dl, Wnt4, twi, stau, rin, lbe, cnn, scw, CG34402, msps, ara, svp, Wnt2, lbl, N, Rab11, wntD, uif, dap, Hey, btl, ru, bsh, tum, Wnt6, Mad, gl, en, Cul5, numb, skd, Galphai, RasGAP1, Sgt1, exd, dos, CG32206, wts, ed, Rala, bap, Cbl, byn, piwi, Patronin, sc, sev, tin, mam, Lis-1, Wnt10, inv, boss, klg, cnk, Traf4, mael, ftz, Asx, Cdc42, phyl, nudE, ac, yki, ths, msk, Dsor1, msi, aop, l(2)gl, oc, egh, run, pyd, bora, stumps, AGO1, S, C15, amos, Apc2, Dbx, Ire1, par-1, CkIIalpha, hpo, Dl, Kr, fng, WASp, nuf, htl, Dr, pcs, BicD, Apc, Doc1, scrib, vn, drk, 14-3-3epsilon, salm, Cul3, chm, spn-E, Dhc64C, melt, bun, aPKC, ttk, ap, csw, fand, zip, neur, flfl, dpp, orb, par-6, sens, sca, egl, sina, wg, Su(H), Klp98A, Sox102F, l(3)mbt, cpa, lab, pasha, abd-A, esg, baz, BobA, rl, fz, Patj, Ocho, hh, Ggamma1, eve, E(spl)m8-HLH, slou, how, ro, Src42A, tsl, Ras85D, Wnt5, EcR, loco, spg, E(spl)m2-BFM, CtBP, ana2, Pten, mira, tor, vnd, Ubx, CG13465, gcm, eya
GO:0007423	sensory organ development	1.49e-10	1.3258196093333416	Mlf, stan, ft, da, jv, salr, d, arm, sns, RASSF8, sv, CycE, Gug, grh, Ser, Poxn, Abi, eff, Hrb98DE, Hrb87F, Rip11, Amun, ctp, Khc, lola, Abp1, fw, NAT1, dco, SRm160, H, nej, prom, cic, dac, ebi, CG13251, tws, ab, Scm, hbs, Lam, lz, rdo, Su(var)2-10, cdi, mask, sav, jumu, pnr, caup, CadN2, mts, eyg, Dab, rno, aux, Vav, spen, dome, ssh, ss, rdx, Sos, danr, fj, Abl, tup, chn, Src64B, ase, capt, fred, ey, sdk, pk, f, al, rn, Stat92E, snama, tll, dsh, RhoGAP100F, Wnt4, hop, scra, rin, Cyp303a1, nmo, caz, B-H2, ara, svp, tgo, Hs3st-B, mbt, beat-Ia, so, kibra, PDZ-GEF, N, kirre, pad, AP-1-2beta, fl(2)d, Rab11, uif, Nf-YA, CadN, dap, Stim, btl, toy, ru, trr, sn, Mbs, Mad, Scr, gl, trc, Cul5, numb, skd, Cyt-c-d, Mcm10, RasGAP1, toe, exd, dos, wts, ed, tsr, Rala, yrt, Atx2, Arf79F, Optix, ds, cno, lilli, Cbl, Sox15, Mtl, nito, tap, sc, Nup154, sev, mam, faf, Lis-1, boss, shg, gish, klg, cnk, Traf4, bnl, Asx, Cdc42, Pph13, phyl, Mer, E(spl)mdelta-HLH, ck, ac, Afti, bi, RacGAP84C, msk, pelo, Dsor1, msi, aop, l(2)gl, oc, Syn2, vimar, run, pyd, atk, zen, SP2353, S, Dref, C15, amos, NetB, Ire1, Chi, Nhe2, CkIIalpha, hpo, mirr, Dl, vg, Kr, CG32301, ec, fng, p47, ninaG, Nrk, WASp, nuf, a, put, bchs, Apc, crb, scrib, tinc, p120ctn, tsh, Eb1, klar, Lim1, Pka-C1, drk, nvy, salm, Cul3, chm, Ten-m, tio, Arf51F, melt, bun, aPKC, ttk, csw, zip, neur, Rok, Cdc16, Rab6, sax, Chc, dpp, jagn, sens, sca, sina, wg, Su(H), futsch, B-H1, Awh, dan, SCAR, NetA, Sec15, edl, ena, Hem, BobA, Alk, Sirup, trx, rl, fz, GAA1, Mitf, sw, pie, Rac1, Ocho, hh, Cpn, Liprin-alpha, E(spl)m8-HLH, sinah, ro, Src42A, unk, Shc, sano, Ras85D, Spf45, spg, E(spl)m2-BFM, CtBP, Hs6st, Moe, Trim9, tutl, DNApol-alpha60, Pten, AP-1mu, didum, wds, Arpc1, CG13465, Doa, Vang, hyx, E(spl)m7-HLH, Vps4, eys, eya, Utx
GO:0007417	central nervous system development	2.29e-10	1.440922382461165	stan, Dscam1, NT1, CycT, erm, CycE, grh, MCPH1, Abi, Pcl, mbf1, Nup358, brat, dac, shd, ab, pdm2, asp, Uba1, Scm, Ulp1, kn, Lam, Antp, alphaTub67C, Ror, HGTX, nub, mid, Hr51, sad, kuz, Vav, ssh, spz, apt, jing, hkb, cas, Tao, danr, Rcc1, Psc, Abl, ced-6, Src64B, ase, ey, wor, hb, Prp8, cib, Fmr1, foi, mud, tll, dl, glu, Pc, lbe, cnn, sti, enok, PsGEF, svp, tgo, mbt, lbl, N, D, ago, dap, Prosap, ftz-f1, robo3, Ptp10D, toy, usp, bsh, Mad, en, numb, mbc, Galphai, exd, tsr, mmy, disco, tap, sc, SMC1, tin, mam, Lis-1, shg, ftz, velo, mop, eg, dimm, ac, Nipped-B, DAAM, oc, run, Notum, SmD3, 18w, Mgat1, CG13287, CG12717, Npc1b, brm, Dll, Apc2, Ptpmeg, spz5, tacc, chinmo, Dl, Kr, gsb, unpg, grim, ebo, htl, Dr, spz4, mute, bchs, Dmtn, Apc, Eph, fru, SoxN, vn, spz6, lov, CkIIbeta, drl, Dhc64C, dib, bun, ap, csw, siz, ph-p, neur, sr, smt3, wg, elav, fdl, chic, lab, pasha, dan, RhoGAPp190, Mmp1, esg, rib, Hem, Smox, Rac1, Ptp4E, hh, eve, S-Lap1, babo, trio, EcR, loco, spg, mira, Rnp4F, vnd, Surf6, vvl, eya
GO:0003002	regionalization	2.35e-10	1.3226305819125588	Hsp83, pip, stan, CG1943, ft, cact, swa, crm, sbb, ovo, arm, enc, Gug, gcl, Ser, bic, osa, prd, Khc, nos, brat, exu, gammaTub37C, kis, H, psq, H15, cic, dac, dx, osk, cad, tws, Tl, bcd, kn, TER94, mor, Antp, net, lz, lig, CG5890, CG11399, rump, mid, pnr, kni, caup, mts, Abd-B, odd, spen, dome, ss, pb, rdx, spz, apt, jing, pum, danr, retn, Dfd, fj, tup, Cf2, capt, fred, pk, f, hb, Dp, Fmr1, lin, Stat92E, tll, gsb-n, dsh, dl, hep, slmb, hop, Pc, twi, stau, rin, nmo, scw, Su(Tpl), B-H2, msps, ara, lic, Hs3st-B, Wnt2, N, btz, cv-2, mago, D, Ada2b, Rab11, sktl, unc-5, uif, ru, sn, sob, Rab5, Mad, Scr, croc, en, Cul5, numb, skd, pygo, cnc, RasGAP1, CG14073, lgs, exd, dos, slp2, tsr, lwr, TfAP-2, jvl, disco, lilli, Cbl, nito, faf, Lis-1, inv, boss, shg, cnk, mael, ftz, upd2, glo, dom, krimp, phyl, Mer, E(spl)mdelta-HLH, ck, dmpd, btd, Ge-1, bi, msk, Dsor1, CTCF, l(2)gl, Rab35, nab, oc, run, Notum, CG4477, SmD3, milt, tsg, lolal, Axn, spoon, Mgat1, Grip128, AGO1, fs(1)h, zen, gus, brm, S, sgl, Dll, Plzf, Med, amos, NetB, Apc2, Chi, CG8149, Su(dx), par-1, CkIIalpha, dve, Dl, sqa, vg, Kr, spir, gsb, fng, Tm1, WASp, nuf, Dr, put, pcs, BicD, Apc, Rbsn-5, SoxN, lost, scrib, vn, tsh, Mkp3, klar, Lim1, CkIIbeta, Mrp4, Pka-C1, 14-3-3epsilon, salm, chm, spn-E, tio, Dhc64C, aPKC, ap, fs(1)M3, csw, zip, armi, neur, opa, tld, Nipped-A, Rab6, sax, CG8405, Rab7, Chc, dpp, EloA, orb, sens, egl, wg, Su(H), chic, tud, B-H1, lab, Grip71, dan, tub, dpn, fs(1)N, ena, step, abd-A, baz, Tnks, BobA, rl, fz, tara, hh, bowl, eve, Syx1A, sno, srw, mfr, slp1, E(spl)m8-HLH, fuss, clos, tsl, Shc, m, Ras85D, AnxB9, EcR, loco, CtBP, Moe, mira, tor, vnd, didum, Ubx, CG13465, vvl, Doa, Parp, E(spl)m7-HLH, Vps4, gcm, sha
GO:0009890	negative regulation of biosynthetic process	2.35e-10	1.3165382161709114	e(y)3, phol, Nos, smg, salr, CG31224, sbb, ovo, MESR4, erm, Hmt4-20, arm, Gug, gcl, lid, me31B, geminin, Bap170, Pcl, Hmx, Hsc70-4, tey, Khc, Smr, Nelf-A, nos, brat, Paip2, Jarid2, Cp190, simj, kis, Pask, H, psq, heph, cic, gpp, ebi, Pop2, ab, bcd, Scm, Lam, Antp, net, upSET, lz, Mi-2, msl-1, HGTX, CG3847, Hers, Hsf, nub, mid, pnr, kni, eyg, odd, GATAe, twin, ss, gnu, apt, jing, hkb, insv, vig2, cas, gw, pum, Rga, Usp7, CG8677, retn, CG43347, Psc, Dfd, Not1, chn, CG7372, kra, Iswi, Elba2, Sin3A, hb, al, Rbf, rn, Fmr1, Eip78C, Vsx1, Su(var)3-7, dl, MTA1-like, Pc, z, CG32767, lbe, Vsx2, CG8036, XNP, CG2199, enok, acj6, B-H2, tim, CG7691, svp, tgo, so, CG13296, N, LamC, Rif1, pad, fl(2)d, D, CG2982, CG6576, Ote, mip120, CG4360, Hey, Top2, polybromo, CG13293, tra, Oaz, Su(z)12, Bsg25A, CG12071, usp, sob, Rcd-1, wde, mof, Tgi, en, gro, e, Mcm10, blanks, toe, CG1894, CG7368, pgc, MBD-like, spt4, Optix, dsf, TfAP-2, bgcn, bin3, Cbl, Sox15, piwi, Pdcd4, CG12236, tin, fkh, mael, ftz, Asx, Su(var)205, Elba3, E2f2, krimp, E(spl)mdelta-HLH, CG2120, eg, btd, bi, asf1, BigH1, Sfmbt, Tis11, msi, aop, Not3, dar1, CTCF, nab, oc, run, Msh6, CoRest, lolal, CG13287, sug, AGO1, HHEX, CG11966, fs(1)h, C15, CG2053, tth, Chi, zfh2, Tip60, wuc, dve, uri, mirr, CG12605, Kr, JIL-1, Six4, Srp9, Fer3, jub, CG7987, HP1b, casp, CG3065, cyc, su(Hw), Chrac-14, scrib, per, tsh, E(z), CG12299, CG10631, Lim1, Unr, nvy, chm, spn-E, CG42741, cid, Sxl, Sap130, tio, Mip, Eip75B, Rcd-1r, ttk, Spt5, ph-p, BubR1, CDC45L, Parg, mu2, scny, alien, orb, sens, HP1e, CG9932, wg, Su(H), elav, Brms1, Sox102F, l(3)mbt, Gsc, B-H1, CG1620, mip40, stc, Mnt, CG4872, dpn, Ssb-c31a, CG6204, CG15262, abd-A, esg, DMAP1, pho, CG8336, wash, msl-3, bowl, eve, NC2alpha, ph-d, slp1, E(spl)m8-HLH, slou, esc, CG14655, Kdm4A, knrl, Hexim, EcR, CtBP, crol, egg, Bin1, plu, Rh6, Oamb, CG6843, vnd, mip130, Ubx, CG10959, AstA, E(spl)m7-HLH, RecQ5, Ino80
GO:1902680	positive regulation of RNA biosynthetic process	2.35e-10	1.3165382161709114	e(y)3, TfIIEalpha, da, CycT, Rpt1, CG5098, CG9899, ovo, MESR4, arm, Mtor, nsl1, sv, grh, lid, Mrtf, Bap170, osa, Pcl, mbf1, Nup153, prd, lok, lola, trh, nej, RYBP, H15, gpp, cad, Tl, pdm2, bcd, kn, mor, Antp, lz, lig, msl-1, HGTX, Hsf, nub, mid, pnr, Bap60, tou, caup, Abd-B, Deaf1, odd, GATAe, Rcd5, Nup98-96, akirin, pb, apt, jing, Nup50, CG8677, repo, bin, retn, lmd, Nf-YC, Dfd, tup, Cf2, chn, CG10887, Iswi, ase, CG8944, ey, wor, hb, Taf4, sima, Axud1, lin, Stat92E, tll, CG6220, dl, hep, MTA1-like, Taf7, comr, CG4374, twi, z, CG32767, Rcd1, CG2199, Su(Tpl), enok, acj6, B-H2, TfIIFalpha, ara, nau, CG7691, Rpt3, tgo, so, N, ash1, D, Ada2b, CG10555, Nf-YA, Trf2, polybromo, ftz-f1, toy, Oaz, Cdk12, trr, org-1, CG12071, usp, sob, CG2113, Mad, mof, Scr, gl, en, pygo, Eaf, cnc, CG1894, exd, bap, spt4, Optix, TfAP-2, CG10543, disco, lilli, Rpt4R, byn, sc, tin, mam, fkh, Ssdp, ftz, Asx, Cdk7, Crtc, Su(var)205, MBD-R2, E2f2, Pph13, dmrt11E, Spt6, sisA, CG17202, CG32732, CG3347, Rtf1, Xbp1, dimm, ac, Taf12, dmpd, yki, btd, CG7379, Nipped-B, BigH1, srl, CG5641, Ptx1, Rpt5, dar1, oc, dre4, e(y)2b, Wbp2, Tbp, run, CoRest, dmrt93B, lolal, xmas-2, sug, CG11966, fs(1)h, MED19, zen, brm, dmrt99B, Dref, ssp, Dll, C15, CG7804, TfIIA-S-2, tth, Chi, zfh2, Rpt6R, Tip60, Hr96, mirr, Blm, vg, JIL-1, Six4, HP1b, onecut, dgrn, cyc, topi, Myb, Bap55, CG13204, CG11247, su(Hw), SoxN, gcm2, nht, Cfp1, Doc1, CG43058, tsh, Taf1, Lim1, CG7786, chm, scf, Eip75B, CG4496, ttk, Spt5, ap, CG3328, NFAT, CG15269, Doc3, tomb, Rpt6, opa, CG12054, mu2, Rpt4, EloA, sens, Su(H), vis, Brms1, CG17829, CG10462, Sox102F, B-H1, CG31008, MED6, lab, TfIIA-L, CG31627, Fip1, aly, Ssb-c31a, SCAP, tai, CG17440, MED21, abd-A, esg, bip2, Rpt3R, trx, pho, TFAM, Mitf, msl-3, tara, Hcf, bowl, eve, sno, Taf6, NC2alpha, schlank, Bgb, esc, ro, CG12609, EcR, CtBP, rictor, Tor, ebd1, udd, Hr38, vnd, Ubx, Taf2, vvl, hyx, gcm, eya, Utx
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	3.77e-10	1.325161326867187	e(y)3, phol, Nos, salr, CG31224, sbb, ovo, MESR4, erm, Hmt4-20, arm, Gug, gcl, lid, Hrb98DE, geminin, Bap170, Pcl, Hmx, mbf1, Hsc70-4, tey, Khc, Smr, Nelf-A, nos, Jarid2, Cp190, simj, kis, swm, H, psq, cic, gpp, ebi, ab, Scm, Lam, Antp, net, upSET, lz, Mi-2, msl-1, HGTX, CG3847, Hers, Hsf, nub, mid, pnr, kni, eyg, odd, GATAe, ss, gnu, jing, hkb, insv, vig2, cas, pum, Usp7, CG8677, retn, CG43347, Psc, Dfd, chn, CG7372, Iswi, Elba2, Sin3A, hb, al, Rbf, rn, Fmr1, Eip78C, Vsx1, Su(var)3-7, dl, MTA1-like, Pc, z, CG32767, lbe, Vsx2, CG8036, XNP, CG2199, enok, acj6, B-H2, tim, CG7691, svp, tgo, so, CG13296, N, LamC, Rif1, pad, fl(2)d, mago, D, CG2982, Ote, mip120, CG4360, Hey, Top2, polybromo, CG13293, BI-1, Oaz, Su(z)12, Bsg25A, CG12071, usp, sob, wde, mof, Tgi, en, gro, Mcm10, blanks, toe, CG1894, CG7368, pgc, MBD-like, spt4, Optix, dsf, TfAP-2, bin3, Sox15, piwi, Pdcd4, CG12236, tin, fkh, Acn, mael, ftz, Asx, Su(var)205, Elba3, E2f2, E(spl)mdelta-HLH, CG2120, eg, btd, bi, asf1, BigH1, Sfmbt, aop, dar1, CTCF, nab, oc, run, Msh6, CoRest, LS2, lolal, CG13287, Nab2, sug, AGO1, HHEX, CG11966, fs(1)h, C15, CG7804, tth, Chi, zfh2, Tip60, wuc, dve, uri, mirr, Blm, CG12605, Kr, JIL-1, Six4, Fer3, jub, CG7987, HP1b, CG3065, cyc, su(Hw), Chrac-14, scrib, per, tsh, E(z), CG12299, CG10631, Lim1, nvy, chm, spn-E, CG42741, cid, Sxl, Sap130, tio, Eip75B, ttk, Spt5, ph-p, BubR1, CDC45L, Parg, mu2, scny, alien, RnpS1, sens, HP1e, CG9932, wg, Su(H), elav, Brms1, Sox102F, l(3)mbt, Gsc, B-H1, CG1620, mip40, stc, Mnt, CG4872, dpn, Ssb-c31a, CG6204, abd-A, esg, DMAP1, pho, CG8336, wash, msl-3, bowl, eve, NC2alpha, ph-d, slp1, E(spl)m8-HLH, slou, esc, CG14655, Kdm4A, snRNP-U1-70K, knrl, Hexim, EcR, CtBP, crol, egg, Bin1, plu, Rh6, Oamb, CG6843, vnd, mip130, Cap-D3, Ubx, CG10959, E(spl)m7-HLH, RecQ5, Ino80
GO:0048880	sensory system development	7.41e-9	1.3269275085282974	Mlf, stan, ft, d, arm, sns, RASSF8, sv, CycE, Gug, grh, Ser, eff, Hrb98DE, Hrb87F, Rip11, Amun, Khc, lola, fw, dco, SRm160, nej, prom, cic, dac, CG13251, Scm, hbs, Lam, lz, Su(var)2-10, cdi, mask, sav, jumu, caup, CadN2, mts, eyg, Dab, rno, aux, Vav, spen, dome, ssh, ss, rdx, Sos, danr, fj, Abl, chn, Src64B, capt, fred, ey, sdk, pk, rn, Stat92E, snama, tll, dsh, RhoGAP100F, Wnt4, hop, rin, nmo, caz, B-H2, ara, svp, tgo, Hs3st-B, mbt, beat-Ia, so, kibra, PDZ-GEF, N, kirre, AP-1-2beta, fl(2)d, Rab11, Nf-YA, CadN, btl, toy, ru, trr, Mbs, Mad, gl, skd, Cyt-c-d, Mcm10, RasGAP1, toe, exd, dos, wts, ed, tsr, Rala, yrt, Atx2, Arf79F, Optix, ds, cno, lilli, Cbl, Mtl, nito, Nup154, sev, mam, faf, Lis-1, boss, shg, gish, klg, cnk, Traf4, bnl, Cdc42, Pph13, phyl, Mer, E(spl)mdelta-HLH, Afti, bi, RacGAP84C, msk, pelo, Dsor1, msi, aop, oc, Syn2, vimar, run, pyd, zen, SP2353, S, Dref, NetB, Ire1, Chi, Nhe2, CkIIalpha, hpo, mirr, Dl, vg, Kr, ec, fng, p47, ninaG, Nrk, a, put, bchs, Apc, crb, scrib, tinc, p120ctn, tsh, klar, Lim1, Pka-C1, drk, salm, Ten-m, tio, Arf51F, melt, bun, aPKC, ttk, csw, zip, neur, Rok, Cdc16, Rab6, sax, Chc, dpp, sens, sca, sina, wg, Su(H), futsch, B-H1, Awh, dan, SCAR, NetA, ena, Alk, Sirup, trx, rl, fz, GAA1, Mitf, sw, pie, Rac1, hh, Cpn, Liprin-alpha, E(spl)m8-HLH, sinah, ro, Src42A, unk, Shc, sano, Ras85D, Spf45, spg, Moe, Trim9, tutl, DNApol-alpha60, Pten, AP-1mu, didum, wds, Arpc1, Doa, Vang, hyx, E(spl)m7-HLH, Vps4, eys, eya
