geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0060089	molecular transducer activity	http://amigo.geneontology.org/amigo/term/GO:0060089	449	7	2.612115846718098	2.6798198896097607	0.01419527893444772	1	35851;36377;38098;40090;41491;43729;45307	ptc;fra;fz;fz2;Gr61a;kek6;svp
GO:0016301	kinase activity	http://amigo.geneontology.org/amigo/term/GO:0016301	392	6	2.280510939673707	2.630989352262644	0.024984515685052222	1	33948;34132;41256;48973;50391;326219	CG11221;Btk29A;Sk2;Src64B;CG43143;Grip
GO:0042802	identical protein binding	http://amigo.geneontology.org/amigo/term/GO:0042802	210	4	1.2217022891109144	3.274120082815735	0.03308996804101616	1	37655;40090;40464;41491	twi;fz2;Ten-m;svp
GO:0008092	cytoskeletal protein binding	http://amigo.geneontology.org/amigo/term/GO:0008092	326	5	1.8965473630959908	2.63636969858629	0.03975299080371142	1	31729;31816;38988;40464;44013	sls;Ten-m;Zasp66;CG2258;Moe
GO:0016773	phosphotransferase activity, alcohol group as acceptor	http://amigo.geneontology.org/amigo/term/GO:0016773	346	5	2.012899962058935	2.483978386529279	0.049245485395061905	1	33948;34132;41256;48973;326219	CG11221;Btk29A;Sk2;Src64B;CG43143
GO:0005102	signaling receptor binding	http://amigo.geneontology.org/amigo/term/GO:0005102	253	4	1.4718603768812444	2.717649080598041	0.058574432587700676	1	35851;48973;50225;50391	ptc;Prosap;Src64B;Grip
GO:0017171	serine hydrolase activity	http://amigo.geneontology.org/amigo/term/GO:0017171	296	4	1.7220184646515746	2.322855464159812	0.09218432812055932	1	38738;44297;12798281;12798282	ome;ndl;CG43125;CG43124
GO:0019904	protein domain specific binding	http://amigo.geneontology.org/amigo/term/GO:0019904	89	2	0.5177690653851018	3.862725940400586	0.09434399871800703	1	36377;40090	fra;fz2
GO:0038024	cargo receptor activity	http://amigo.geneontology.org/amigo/term/GO:0038024	20	1	0.11635259896294423	8.594565217391304	0.11026642025805178	1	35851	ptc
GO:0008238	exopeptidase activity	http://amigo.geneontology.org/amigo/term/GO:0008238	103	2	0.5992158846591628	3.3376952300548757	0.12036840512622282	1	31506;44297	ome;CG3108
