geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0031175	neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0031175	473	14	4.4721606163184315	3.130477905671704	1.2094717490596096e-4	0.02965344163570416	32398;33314;35135;35540;37386;38436;38516;38578;38769;41719;42103;42226;43974;326152	robo3;ham;erm;shg;EcR;dar1;ago;RhoGEF64C;Mp;trio;Dscam3;fru;twf;NetA
GO:0007417	central nervous system development	http://amigo.geneontology.org/amigo/term/GO:0007417	262	10	2.477179876269406	4.036848553387993	1.670616430180516e-4	0.02965344163570416	33314;35540;36555;37386;38516;41719;42162;42226;43974;326152	robo3;erm;shg;EcR;mam;ago;trio;sr;fru;twf
GO:0032990	cell part morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0032990	460	13	4.349247111007354	2.989023081052067	3.420492559222943e-4	0.0391923876114042	32398;33314;35135;35540;37386;38436;38516;38578;38769;42103;42226;43974;326152	robo3;ham;erm;shg;EcR;dar1;ago;RhoGEF64C;Mp;trio;Dscam3;fru;NetA
GO:0042330	taxis	http://amigo.geneontology.org/amigo/term/GO:0042330	363	11	3.432123263686238	3.2050130939019827	5.723290462746888e-4	0.0391923876114042	32398;33314;37386;38516;38578;38769;42103;42226;42803;43974;326152	robo3;erm;shg;ago;RhoGEF64C;Mp;trio;Dscam3;fru;Hmgcr;NetA
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	73	5	0.6902066067468192	7.244207677997632	6.059964189923939e-4	0.0391923876114042	33830;34132;38769;41887;7354466	psd;Btk29A;Mp;AdamTS-A;CG42342
GO:0000904	cell morphogenesis involved in differentiation	http://amigo.geneontology.org/amigo/term/GO:0000904	493	13	4.661258316797012	2.788946485362983	6.624065511786625e-4	0.0391923876114042	32398;33314;35135;35540;37386;38436;38516;38578;38769;42103;42226;43974;326152	robo3;ham;erm;shg;EcR;dar1;ago;RhoGEF64C;Mp;trio;Dscam3;fru;NetA
GO:0048736	appendage development	http://amigo.geneontology.org/amigo/term/GO:0048736	338	10	3.195751138088012	3.1291547958214623	0.0012420658420554398	0.06299048198995445	31913;34132;35540;36555;37386;37890;38578;42130;42226;43974	Btk29A;shg;EcR;bs;mam;RhoGEF64C;trio;osa;fru;Sp1
GO:0045595	regulation of cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0045595	412	11	3.8954126298587606	2.823834352151504	0.0016139959526078052	0.06663418489154317	32398;33473;35135;35540;37386;38436;38516;41719;42130;43974;326152	ham;erm;Syt1;shg;EcR;dar1;ago;trio;osa;twf;NetA
GO:0060322	head development	http://amigo.geneontology.org/amigo/term/GO:0060322	135	6	1.2764094782304192	4.700685871056241	0.0016893173634475733	0.06663418489154317	33314;35540;37386;41719;43974;326152	robo3;erm;shg;EcR;trio;twf
GO:0010817	regulation of hormone levels	http://amigo.geneontology.org/amigo/term/GO:0010817	98	5	0.926578732345045	5.396195515243134	0.0022801348024623636	0.0809447854874139	35706;35707;36780;39999;246651	Jhe;CG30495;CG2065;CG2070;Eip75B
