GO	genes
detection of stimulus	Ir21a;Gr21a;Or22a;Or22b;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Or22c;Or23a;Gr23a;Or24a;Ir25a;nompC;Fic;Gr28a;Gr28b;CheA29a;Or30a;FKBP59;Ir31a;porin;Gr32a;Or33a;Or33b;Or33c;Rh5;Rab6;Gr33a;Pkd2;ppk;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;CheB38b;Gr39a;Gr39b;Ir40a;Ir41a;Or42a;Or42b;Pld;Or43a;Dscam1;Gr43a;CG1339;Or43b;CG12780;stmA;Or45b;trpl;Or46a;Gr47a;Ir47a;Or47a;Or47b;Gr47b;Ir48b;Ir48c;Or49a;Or49b;stj;Ir51b;Ir52a;Ir52b;Ir52d;CheB53b;inaC;Ir54a;Ir56a;Ir56b;Ir56d;Or56a;Gr57a;Cib2;ktub;Gr58c;Gr58a;PIP5K59B;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;Gr59e;Gr59f;Ir60a;Ir60b;Ir60d;Ir60e;Gr61a;Or63a;Gr63a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;Gr66a;TrpA1;Or67a;Ir67a;Or67b;Or67c;Or67d;Ir67b;Ir67c;Ir68a;Gr68a;Ir68b;Rh7;Or69a;nan;Or71a;Or74a;Ir75a;Ir75b;Ir75c;Ir75d;brv1;Ir76a;rdgC;Gr77a;Ac78C;Or82a;rpk;rtp;Cerk;Or83a;Orco;Or83c;Ir84a;Or85a;Or85b;Or85c;Or85d;Or85e;Ir85a;Or85f;Fmr1;Ir87a;ninaB;Or88a;Rh6;Gr89a;Gr92a;Ir92a;Or92a;Ir93a;Snmp1;CheB93a;CheB93b;Gr93a;Gr93b;Gr93d;Ir94a;Ir94b;Ir94c;Or94b;Ir94d;Ir94e;Ir94f;Ir94g;Ir94h;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;Or98a;Or98b;Gycalpha99B;TkR99D;stops;Ir100a;Or1a;Or2a;brv3;Gr5a;Ir7a;Ir7b;Ir7c;Ir7d;Ir7e;Ir7f;Ir7g;Or7a;Gr8a;Ir8a;Gr9a;Ir10a;Gr10b;Gr10a;Or10a;cac;Ir11a;acj6;Stim;Or13a;Or19b;shakB;Ir20a
sensory perception	Ir21a;ebi;rempA;Gr21a;S;Or22a;Or22b;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Obp22a;Or22c;dpr3;Or23a;Gr23a;Or24a;Ir25a;nompC;Fic;Gr28a;Gr28b;poe;CheA29a;Or30a;ppk11;FKBP59;dpr19;Ir31a;dpr2;Gr32a;CG14921;salr;salm;Or33a;Or33b;Or33c;Rh5;Gr33a;Dyrk2;ppk;ck;CG15254;CG11865;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;Dhc36C;btv;CheB38b;Gr39a;Gr39b;nompB;Ir40a;Or42a;Or42b;dpr12;Eb1;Or43a;Dscam1;Gr43a;CG1339;Or43b;pdm3;Or45b;CheA46a;trpl;Or46a;Obp46a;Gr47a;Obp47a;Or47a;nompA;Or47b;Gr47b;Or49a;Or49b;stj;Obp50a;Obp50e;phyl;CheB53b;inaC;dpr13;Obp56b;Obp56c;Or56a;Obp56i;Obp57e;Gr57a;CG9313;ktub;Gr58c;Gr58a;CG4329;Obp59a;Obp58b;Obp58d;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;bw;Gr59e;Gr59f;Galphas;sei;NaCP60E;Gr61a;dpr20;Rac1;Or63a;Gr63a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;Ank2;Snmp2;Gr66a;TrpA1;Or67a;Or67b;dpr10;Or67c;Or67d;Gr68a;Klp68D;Rh7;Or69a;Zmynd10;sens;nan;DCX-EMAP;Or71a;sina;Obp73a;Or74a;Ir75a;Ir75b;Ir75c;Ir75d;brv1;lush;Ir76a;rdgC;Gr77a;Ac78C;Oct-TyrR;CG14636;Or82a;rpk;dpr16;rtp;Or83a;Orco;Nmdar1;Obp83a;Or83c;Obp83cd;Obp83ef;Obp83g;dpr11;Ir84a;wtrw;Or85a;Obp85a;Or85b;Or85c;Or85d;Or85e;Or85f;CG9492;Fmr1;Desi;CheA86a;ninaG;dpr5;dpr4;dpr17;dpr15;Cpn;svp;CheA87a;Or88a;dpr9;Rh6;Gr89a;gl;Gr92a;Ir92a;Or92a;Ir93a;Dhc93AB;Obp93a;Snmp1;CheB93a;CheB93b;Gr93a;Gr93b;Gr93d;SKIP;Or94b;sosie;boss;scrib;ro;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;Or98a;Or98b;Doa;ppk19;Gycalpha99B;Obp99c;Obp99d;TkR99D;stops;faf;Ir100a;dpr7;Or1a;Nmdar2;Or2a;tko;Gr5a;CG5921;iav;CheA7a;Ir7a;dpr14;sws;Or7a;t;Gr8a;Ir8a;Gr9a;Myo10A;sev;Kap3;Gr10b;Gr10a;Or10a;cac;Ir11a;na;dpr8;eag;acj6;Or13a;dpr18;disco;f;B-H2;B-H1;CG6696;Obp18a;Cdc42;Or19b;unc;sol;tilB
cell fate commitment	l(2)gl;spen;S;aop;dpp;Mad;ed;Traf4;H15;mid;eya;uif;Wnt4;wg;Wnt6;Wnt10;chm;mts;numb;gcm;Pten;da;piwi;salm;bun;nub;kuz;Sos;Su(H);Cul3;esg;wor;CycE;dac;dl;BicD;amos;ham;tup;brat;scw;bsh;rl;ap;Src42A;EcR;tor;Hey;gcl;ana2;Ggamma1;Wnt2;dap;eve;lola;stan;inv;en;ths;sca;cnn;drk;fand;tum;AGO1;mam;phyl;Asx;kn;aPKC;pcs;chn;Lis-1;cnk;Patronin;grh;stau;par-1;hpo;cpa;twi;egl;yki;zip;Kr;trh;ru;Patj;Dbx;dos;enc;pav;Src64B;Dhc64C;vn;Galphai;bin;melt;msk;Cbl;Doc1;RasGAP1;nudE;simj;CycA;byn;ara;caup;sens;btl;nuf;fz;CG13465;BobA;Ocho;Dab;sina;bora;CG32206;polo;fng;skd;mael;CkIIalpha;hkb;cas;lab;ftz;Antp;rn;Sgt1;hb;pyd;neur;Ras85D;Fmr1;tws;svp;CG34402;CtBP;wntD;rin;flfl;stumps;spn-E;pnr;msps;Ubx;abd-A;Abd-B;osa;htl;14-3-3epsilon;gl;cdi;Dl;Ire1;mira;H;Rab11;tin;bap;lbl;lbe;C15;slou;tsl;how;loco;klg;sav;hh;orb;Apc2;msi;boss;E(spl)m2-BFM;E(spl)m8-HLH;scrib;ro;Ser;l(3)mbt;Klp98A;WASp;Apc;spg;Cul5;Dr;wts;tll;pasha;ttk;ey;Sox102F;sv;ac;sc;ase;vnd;arm;csw;egh;N;Rala;oc;Dsor1;lz;nej;sev;Klp10A;mud;exd;baz;par-6;Wnt5;Cdc42;run
sensory organ development	l(2)gl;spen;al;ebi;Pph13;ds;S;capt;aop;eys;dpp;lilli;Mad;fred;ed;ft;tutl;Traf4;Lam;bchs;PDZ-GEF;eya;Liprin-alpha;uif;Wnt4;wg;chm;mts;Sirup;d;numb;Pka-C1;pelo;Dref;Pten;Utx;da;pie;Trim9;SCAR;Nup154;ab;salr;salm;Rab6;bun;Sos;Arpc1;Su(H);ck;Cul3;CycE;beat-Ia;Cyp303a1;dac;Cyt-c-d;CadN;CadN2;rdo;amos;tup;Nhe2;Mcm10;tsh;tio;Spf45;rl;p120ctn;Src42A;Eb1;vimar;pk;so;p47;didum;scra;sax;nito;Optix;sns;Vang;Su(var)2-10;dap;lola;stan;sca;vg;NAT1;Nrk;drk;fl(2)d;mam;Sox15;phyl;Asx;aPKC;hbs;chn;Arf51F;Poxn;Mlf;SP2353;Lis-1;Khc;Syn2;Alk;cnk;grh;fj;edl;sano;ena;hpo;shg;a;Chi;tsr;snama;nvy;prom;zip;Kr;rno;klar;Rac1;ru;CG32301;dos;Awh;Src64B;jv;melt;nmo;msk;Cbl;Gug;Shc;Nf-YA;RasGAP1;toe;eyg;ara;caup;mirr;SRm160;sens;Abp1;btl;nuf;fz;CG13465;BobA;Ocho;Mbs;Abl;Dab;sina;sinah;tap;trc;DNApol-alpha60;atk;CG13251;fng;skd;Hem;Ten-m;Arf79F;CkIIalpha;aux;cno;jagn;zen;Scr;rn;RacGAP84C;pyd;tgo;neur;hyx;Ras85D;AP-1mu;Scm;tws;jumu;ninaG;Cpn;svp;CtBP;yrt;rin;Hrb87F;rdx;Abi;trx;Afti;put;kibra;eff;Atx2;pnr;gish;pad;ss;tinc;gl;cdi;Dl;bnl;Ire1;Hs6st;cic;Stat92E;H;Sec15;Rab11;C15;klg;sav;hh;unk;Cdc16;mask;crb;ssh;danr;dan;msi;RASSF8;boss;E(spl)mdelta-HLH;E(spl)m2-BFM;E(spl)m7-HLH;E(spl)m8-HLH;scrib;ro;Ser;Mtl;Hrb98DE;WASp;Apc;spg;Doa;Cul5;wts;tll;dco;ttk;faf;RhoGAP100F;ey;toy;sv;Mitf;ac;sc;ase;sdk;futsch;trr;arm;csw;wds;kirre;N;Rala;ec;bi;ctp;GAA1;sn;oc;Lim1;Moe;Dsor1;lz;nej;sev;dsh;hop;Amun;fw;NetA;NetB;Chc;Stim;exd;caz;mbt;Rok;f;B-H2;B-H1;Vps4;Rip11;Hs3st-B;Vav;dome;Mer;Cdc42;AP-1-2beta;sw;run
central nervous system development	robo3;chinmo;erm;Mad;mid;Lam;bchs;chic;mmy;eya;smt3;wg;SoxN;numb;Ror;ab;spz4;bun;nub;pdm2;kuz;esg;wor;CycE;dac;glu;dl;brat;drl;bsh;dimm;Nipped-B;ap;EcR;jing;Dscam1;babo;unpg;ced-6;Uba1;dap;eve;stan;en;MCPH1;Prp8;SmD3;fdl;Psc;cnn;mam;Prosap;kn;Hr51;Lis-1;mute;grh;Pcl;rib;18w;Mgat1;shg;apt;tsr;enok;Mmp1;spz6;Dll;gsb;lov;Kr;Ptpmeg;trio;Rac1;spz5;dib;ago;NT1;Src64B;Dhc64C;vn;CG13287;Rcc1;velo;vvl;Galphai;foi;S-Lap1;alphaTub67C;sti;D;HGTX;shd;mop;brm;Notum;mbf1;Abl;tap;CycT;grim;ftz-f1;siz;Pc;eg;Hem;hkb;tacc;cas;Dmtn;lab;ftz;Antp;hb;tgo;neur;Scm;Fmr1;sad;svp;Abi;htl;sr;fru;Dl;Surf6;mira;tin;lbl;lbe;loco;hh;mbc;SMC1;Apc2;asp;ssh;danr;dan;Nup358;spz;Apc;spg;Dr;tll;pasha;Eph;ey;toy;ac;sc;ase;ebo;elav;vnd;DAAM;usp;csw;ph-p;PsGEF;N;cib;Ptp4E;Rnp4F;Smox;oc;Ptp10D;CkIIbeta;CG12717;mud;exd;disco;mbt;RhoGAPp190;Ulp1;Vav;Tao;run;Npc1b
regionalization	l(2)gl;net;spen;kis;lwr;S;capt;Su(dx);Rab5;dpp;lilli;Mad;sob;odd;bowl;slp1;slp2;fred;ft;Cf2;H15;mid;chic;uif;milt;wg;chm;mts;Rbsn-5;SoxN;numb;gcm;Pka-C1;Ge-1;salm;Plzf;prd;Rab6;Su(H);ck;cact;dac;dl;BicD;amos;Grip71;tup;brat;gammaTub37C;scw;spir;cad;step;tsh;tio;rl;gus;Nipped-A;ap;EcR;jing;pk;didum;tor;sax;nito;lig;dpn;gcl;lin;Wnt2;clos;sqa;eve;TER94;dmpd;psq;stan;sha;inv;en;SmD3;bic;vg;Dp;AGO1;phyl;kn;aPKC;pcs;unc-5;CG8405;Lis-1;krimp;Khc;cnk;stau;lolal;fj;sbb;ena;par-1;Mgat1;exu;sktl;shg;mago;tud;dom;cv-2;dve;twi;apt;retn;egl;Chi;tsr;Dll;zip;gsb-n;gsb;Kr;klar;ru;dos;Hsp83;armi;enc;nab;srw;Dhc64C;vn;vvl;sgl;CTCF;nmo;msk;Cbl;Gug;mfr;CG4477;Shc;RasGAP1;ara;caup;sens;D;nuf;fz;CG13465;BobA;brm;Notum;CG14073;Mkp3;pip;Su(Tpl);kni;CG11399;fng;skd;Pc;croc;TfAP-2;mael;CkIIalpha;Parp;tub;lost;opa;lab;pb;zen;bcd;Dfd;Scr;ftz;Antp;CG1943;Ada2b;hb;osk;neur;pum;CG8149;rump;Ras85D;Fmr1;tws;Mrp4;glo;CtBP;rin;rdx;put;jvl;Tm1;spn-E;mor;pnr;msps;tara;ss;Ubx;abd-A;Abd-B;osa;14-3-3epsilon;nos;Dl;mira;cic;Stat92E;H;AnxB9;Rab11;slmb;tsl;loco;hh;cnc;EloA;orb;Rab7;Syx1A;Apc2;tld;danr;dan;Tnks;CG5890;boss;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;scrib;Tl;spz;Ser;btz;WASp;Apc;Doa;Cul5;Dr;Axn;tll;pygo;Med;faf;lgs;fuss;vnd;fs(1)N;arm;csw;crm;N;bi;ovo;spoon;fs(1)M3;swa;dx;sn;fs(1)h;oc;Lim1;Moe;Dsor1;lz;btd;dsh;hop;m;CkIIbeta;tsg;hep;lic;sno;NetB;Grip128;Chc;exd;disco;baz;f;B-H2;B-H1;Vps4;upd2;Hs3st-B;dome;Mer;Rab35;run
negative regulation of biosynthetic process	net;kis;al;ebi;Gsc;erm;aop;insv;Elba2;tim;sob;odd;bowl;slp1;Bsg25A;Elba3;mid;Lam;dsf;lid;wg;chm;Su(var)205;Ssb-c31a;Chrac-14;alien;Rcd-1r;me31B;CG12299;Nos;piwi;ab;salr;crol;esc;nub;CG9932;Sfmbt;Su(H);stc;CG15262;esg;dl;msl-1;brat;Top2;CG10631;E2f2;Mcm10;CG8677;tsh;tio;Not3;BubR1;EcR;bin3;jing;Bap170;geminin;so;CG1620;Kdm4A;Hey;Optix;dpn;gcl;Not1;eve;psq;wde;en;wash;Sin3A;spt4;Iswi;wuc;sug;Psc;cid;mip120;fl(2)d;AGO1;Sox15;Oaz;Asx;LamC;chn;Rif1;casp;krimp;Khc;MESR4;Hsf;Pcl;lolal;Ote;sbb;mip40;Spt5;plu;DMAP1;NC2alpha;dve;pgc;CG42741;apt;retn;bgcn;CG3065;Pask;Chi;enok;nvy;uri;egg;Kr;CG2199;mu2;dar1;CG12605;nab;blanks;scny;CG13287;CG13293;CG13296;msl-3;CTCF;Srp9;Cbl;Unr;Gug;CG6576;smg;phol;Jarid2;CG8336;E(z);simj;JIL-1;CG7368;Pop2;toe;eyg;mirr;Sap130;sens;Tgi;upSET;D;HGTX;RecQ5;gnu;Msh6;CG7372;tra;Mip;Eip75B;CG6843;asf1;tey;cyc;Mi-2;Su(z)12;knrl;kni;Six4;Eip78C;Pc;TfAP-2;eg;mael;hkb;CG14655;kra;Rga;MTA1-like;cas;gpp;bcd;Dfd;ftz;Antp;rn;CG8036;hb;CG11966;tgo;pum;HP1e;MBD-like;Scm;Fmr1;Fer3;svp;Paip2;CtBP;Su(var)3-7;su(Hw);CG7987;Hexim;BigH1;Hsc70-4;Cp190;Rh6;spn-E;GATAe;pnr;Bin1;pad;ss;Ubx;abd-A;Hmx;CG7691;CG31224;nos;Ino80;cic;CG4360;H;Oamb;HHEX;Nelf-A;e;tin;lbe;C15;slou;orb;CG6204;twin;AstA;polybromo;vig2;XNP;msi;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;gro;scrib;l(3)mbt;CG1894;fkh;CG12071;ttk;heph;CG2053;zfh2;gw;Sox102F;pho;elav;vnd;Hmt4-20;Rbf;CDC45L;arm;mip130;usp;ph-d;ph-p;z;per;N;Parg;Mnt;Tip60;CG2982;bi;ovo;CG32767;Vsx2;Vsx1;mof;CG12236;CG3847;Sxl;fs(1)h;CG2120;CG10959;oc;Lim1;HP1b;lz;btd;CG43347;Usp7;Tis11;Smr;Brms1;tth;Pdcd4;jub;acj6;CG4872;B-H2;B-H1;CoRest;e(y)3;Rcd-1;Hers;run
positive regulation of RNA biosynthetic process	Pph13;Axud1;lilli;Mad;CG3347;sob;odd;bowl;Cf2;H15;mid;tomb;lid;eya;CG4496;chm;Su(var)205;Ssb-c31a;SoxN;tai;gcm;gcm2;Dref;Utx;da;esc;prd;nub;pdm2;Tor;Su(H);CG15269;nht;esg;wor;dl;msl-1;tup;CG10462;lok;Hr38;cad;E2f2;CG31627;CG8677;dimm;tsh;Nipped-B;ap;SCAP;EcR;jing;Bap170;Eaf;so;Rpt1;Optix;lig;udd;Nup50;lin;eve;dmpd;lola;CG13204;en;tou;Mtor;vis;spt4;Iswi;vg;sug;CG43058;CG6220;mam;Rcd1;Oaz;Asx;kn;chn;CG7786;Bap55;MESR4;grh;CG5098;Hsf;Pcl;lolal;Spt5;CG10543;Xbp1;NC2alpha;Tbp;comr;Rtf1;RYBP;twi;CG9899;apt;retn;Chi;yki;enok;CG3328;Dll;trh;ebd1;scf;CG2199;Bgb;dre4;mu2;Mrtf;CG2113;aly;dar1;Rcd5;vvl;bin;msl-3;akirin;Doc3;Doc1;Nf-YA;Taf2;JIL-1;TfIIEalpha;byn;Rpt4R;ssp;ara;caup;mirr;Wbp2;sens;D;HGTX;CG7804;brm;Taf4;mbf1;CycT;Crtc;MED19;Eip75B;ftz-f1;ash1;Taf6;cyc;Deaf1;Su(Tpl);Six4;Cdk12;TfAP-2;CG11247;MED21;srl;Fip1;opa;MTA1-like;dgrn;TfIIFalpha;gpp;Taf1;lab;pb;zen;bcd;Dfd;Scr;ftz;Antp;e(y)2b;Taf7;Ada2b;hb;CG11966;tgo;hyx;Rpt3R;MED6;topi;Taf12;Blm;MBD-R2;CG17202;CG5641;CtBP;trx;su(Hw);BigH1;nsl1;mor;GATAe;pnr;tara;Ubx;abd-A;Abd-B;osa;CG7379;Ssdp;repo;gl;CG7691;CG10887;Stat92E;TFAM;dmrt93B;tin;bap;C15;lmd;cnc;EloA;CG4374;nau;Rpt5;Nup98-96;polybromo;Hr96;Tl;ro;TfIIA-L;CG1894;fkh;dmrt99B;sima;Rpt6R;tll;CG12071;Ptx1;CG31008;CG12054;pygo;ttk;Hcf;bip2;zfh2;onecut;ey;Sox102F;toy;sv;pho;Mitf;ac;sc;ase;vnd;CG17829;TfIIA-S-2;trr;arm;usp;z;N;Tip60;ovo;CG32767;Cdk7;mof;schlank;Spt6;Rpt4;Nf-YC;CG32732;fs(1)h;CG10555;Trf2;org-1;oc;Lim1;HP1b;CG17440;Cfp1;lz;nej;btd;Rpt3;sisA;Brms1;hep;Bap60;sno;dmrt11E;tth;NFAT;acj6;CG8944;Myb;exd;disco;Nup153;xmas-2;B-H2;B-H1;CG12609;rictor;CoRest;e(y)3;run;Rpt6
negative regulation of nucleobase-containing compound metabolic process	net;kis;al;ebi;Gsc;erm;aop;insv;Elba2;tim;sob;odd;bowl;slp1;Bsg25A;Elba3;mid;Cap-D3;Lam;dsf;lid;snRNP-U1-70K;wg;chm;Su(var)205;Ssb-c31a;Chrac-14;alien;CG12299;Nos;piwi;ab;salr;crol;esc;nub;CG9932;Sfmbt;Su(H);stc;esg;dl;msl-1;Acn;Top2;swm;CG10631;E2f2;Mcm10;CG8677;tsh;tio;BubR1;EcR;bin3;jing;Bap170;geminin;so;CG1620;Kdm4A;Hey;Optix;dpn;gcl;eve;psq;wde;en;wash;Sin3A;spt4;Iswi;wuc;sug;Psc;cid;mip120;fl(2)d;AGO1;Sox15;Oaz;Asx;LamC;chn;Rif1;Khc;MESR4;Hsf;Pcl;lolal;Ote;sbb;mip40;Spt5;plu;DMAP1;mago;NC2alpha;dve;pgc;CG42741;LS2;retn;CG3065;Chi;enok;nvy;uri;egg;Kr;CG2199;mu2;dar1;CG12605;nab;blanks;scny;CG13287;CG13293;CG13296;msl-3;CTCF;BI-1;Gug;phol;Jarid2;CG8336;E(z);simj;JIL-1;CG7368;toe;eyg;mirr;Sap130;sens;Tgi;upSET;D;HGTX;RecQ5;gnu;Msh6;CG7804;CG7372;mbf1;Eip75B;CG6843;asf1;tey;cyc;Mi-2;Su(z)12;knrl;kni;Six4;Eip78C;Pc;TfAP-2;eg;mael;hkb;CG14655;MTA1-like;cas;gpp;Dfd;ftz;Antp;rn;CG8036;hb;CG11966;tgo;pum;HP1e;RnpS1;MBD-like;Scm;Fmr1;Fer3;Blm;svp;CtBP;Su(var)3-7;su(Hw);CG7987;Hexim;BigH1;Hsc70-4;Cp190;Rh6;spn-E;GATAe;pnr;Bin1;pad;ss;Ubx;abd-A;Hmx;CG7691;CG31224;nos;Ino80;cic;CG4360;H;Oamb;HHEX;Nelf-A;tin;lbe;C15;slou;CG6204;Nab2;polybromo;vig2;XNP;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;gro;scrib;l(3)mbt;CG1894;fkh;Hrb98DE;CG12071;ttk;zfh2;Sox102F;pho;elav;vnd;Hmt4-20;Rbf;CDC45L;arm;mip130;usp;ph-d;ph-p;z;per;N;Parg;Mnt;Tip60;CG2982;bi;ovo;CG32767;Vsx2;Vsx1;mof;CG12236;CG3847;Sxl;fs(1)h;CG2120;CG10959;oc;Lim1;HP1b;lz;btd;CG43347;Usp7;Smr;Brms1;tth;Pdcd4;jub;acj6;CG4872;B-H2;B-H1;CoRest;e(y)3;Hers;run
sensory system development	spen;Pph13;ds;S;capt;aop;eys;dpp;lilli;Mad;fred;ed;ft;tutl;Traf4;Lam;bchs;PDZ-GEF;eya;Liprin-alpha;Wnt4;wg;mts;Sirup;d;Pka-C1;pelo;Dref;Pten;pie;Trim9;SCAR;Nup154;salm;Rab6;bun;Sos;Arpc1;Su(H);CycE;beat-Ia;dac;Cyt-c-d;CadN;CadN2;Nhe2;Mcm10;tsh;tio;Spf45;rl;p120ctn;Src42A;vimar;pk;so;p47;didum;sax;nito;Optix;sns;Vang;Su(var)2-10;lola;stan;sca;vg;Nrk;drk;fl(2)d;mam;phyl;aPKC;hbs;chn;Arf51F;Mlf;SP2353;Lis-1;Khc;Syn2;Alk;cnk;grh;fj;sano;ena;hpo;shg;a;Chi;tsr;snama;prom;zip;Kr;rno;klar;Rac1;ru;dos;Awh;Src64B;melt;nmo;msk;Cbl;Gug;Shc;Nf-YA;RasGAP1;toe;eyg;ara;caup;mirr;SRm160;sens;btl;fz;Mbs;Abl;Dab;sina;sinah;DNApol-alpha60;CG13251;fng;skd;Ten-m;Arf79F;CkIIalpha;aux;cno;zen;rn;RacGAP84C;pyd;tgo;neur;hyx;Ras85D;AP-1mu;Scm;jumu;ninaG;Cpn;svp;yrt;rin;Hrb87F;rdx;trx;Afti;put;kibra;eff;Atx2;gish;ss;tinc;gl;cdi;Dl;bnl;Ire1;cic;Stat92E;Rab11;klg;sav;hh;unk;Cdc16;mask;crb;ssh;danr;dan;msi;RASSF8;boss;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;scrib;ro;Ser;Mtl;Hrb98DE;Apc;spg;Doa;wts;tll;dco;ttk;faf;RhoGAP100F;ey;toy;sv;Mitf;sdk;futsch;trr;arm;csw;wds;kirre;N;Rala;ec;bi;GAA1;oc;Lim1;Moe;Dsor1;lz;nej;sev;dsh;hop;Amun;fw;NetA;NetB;Chc;exd;caz;mbt;Rok;B-H2;B-H1;Vps4;Rip11;Hs3st-B;Vav;dome;Mer;Cdc42;AP-1-2beta;sw;run
