geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0060089	molecular transducer activity	http://amigo.geneontology.org/amigo/term/GO:0060089	449	292	182.84810927026683	1.5969538934001026	0	0	30978;31023;31107;31165;31169;31207;31234;31293;31408;31750;31767;31865;31867;32039;32085;32086;32099;32115;32246;32553;32554;32562;32803;32860;32864;32928;32975;32976;33007;33062;33157;33228;33244;33248;33251;33253;33275;33335;33381;33450;33453;33529;33543;33623;33683;33788;33789;33798;33812;33823;33851;33962;34304;34341;34367;34545;34553;34601;34603;34615;34641;34642;34705;34761;34819;34826;34878;35332;35394;35449;35514;35516;35535;35644;35652;35655;35705;35743;35832;35846;35900;35980;36094;36125;36130;36145;36168;36187;36283;36350;36368;36413;36436;36445;36475;36601;36702;36703;36790;36899;36960;36961;37004;37088;37191;37196;37272;37347;37501;37555;37711;37715;37716;37854;37883;37892;37905;38056;38098;38296;38298;38357;38433;38453;38616;38622;38636;38742;38839;38858;38910;38935;39015;39063;39109;39120;39189;39269;39324;39389;39443;39516;39564;39641;39663;39869;39929;39982;39983;39984;40019;40020;40034;40045;40105;40157;40195;40198;40245;40292;40345;40385;40393;40401;40412;40575;40648;40650;40665;40744;40754;40891;40913;40955;41008;41011;41017;41018;41119;41286;41426;41513;41638;41639;41713;41715;41726;41809;41927;42133;42135;42136;42160;42258;42261;42402;42415;42425;42452;42471;42473;42523;42530;42561;42568;42652;42707;42711;42712;42820;42918;42919;42920;42993;43026;43098;43146;43222;43253;43305;43341;43375;43393;43414;43484;43551;43583;43643;43644;43656;43669;43681;43729;43822;43838;43875;43935;44126;44483;44484;44817;44873;45910;53425;117327;117336;117338;117342;117343;117344;117345;117346;117348;117349;117467;117470;117472;117476;117477;117481;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;170887;192481;246395;260693;318011;318012;318013;318158;318623;318778;318912;318914;2768688;2768728;2768964;3346150;3346209;3885573;5740349;5740590;5740629;8673994	Ir21a;nAChRbeta3;CG2839;GABA-B-R3;Gr21a;Pkg21D;GluRIIC;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Or22c;Or23a;Gr23a;Mad;CG3277;for;Or24a;Ir25a;GluRIIA;GluRIIB;CG7236;TrissinR;dsf;CG13995;Ddr;Nlg2;Gr28a;Gr28b;nAChRalpha6;CG44153;mthl15;Ror;Ir31a;Gr32a;Gyc32E;Or33a;Or33c;Rh5;Gr33a;CG31760;Pk34A;Tehao;rk;nAChRalpha5;GABA-B-R1;Gr36a;Gr36b;Gr36c;CG31750;Hr38;Ret;clumsy;Gr39a;Ir40a;Or42a;Or42b;CCHa2-R;Or43a;Dscam1;Gr43a;CG1339;Or43b;mtt;Cirl;babo;Or45b;Or46a;Gr47a;stan;Mat1;mthl13;CG12344;CG13229;Or47a;Gr47b;otk;Or49a;Dh44-R2;Or49b;Drl-2;Nrk;Dh31-R;Dh44-R1;Hr51;unc-5;Ptp52F;Alk;CG15614;mthl4;mthl3;CCHa1-R;CG33958;5-HT1B;5-HT1A;Toll-7;Gr57a;Gr58c;Gr58a;NtR;wrapper;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;CG43795;Or59b;Or59c;CG10339;CG13575;mAChR-A;CG13579;mthl9;Gr61a;MsR2;MsR1;FMRFaR;Eip63E;Gr63a;Gr64a;Gr64f;Ir64a;Lkr;mthl2;Or65a;Or65b;Or65c;GluRIA;CG32395;mthl6;PGRP-SD;mthl7;Gr66a;TrpA1;GluRIB;PGRP-LC;Or67a;Or67b;Or67c;Ir68a;Gr68a;Rh7;Ptp69D;Or69a;CG10738;btl;Or71a;Toll-6;PGRP-SB2;Or74a;Ir75a;Ir75b;Ir75c;Grd;AstC-R2;AstC-R1;GNBP1;ftz-f1;CG32206;Ir76a;sNPF-R;Ir76b;Toll-9;Gr77a;Pitslre;Eip78C;Cdk12;CapaR;CG7166;CG32447;Oct-TyrR;Or82a;CG34357;5-HT2A;Or83a;Orco;Nmdar1;Or83c;NPFR;Ir84a;Nlg1;mAChR-B;Or85c;Or85d;5-HT2B;Or85e;Or85f;mthl11;TkR86C;HisCl1;CG34402;Octbeta3R;PK2-R2;PK2-R1;PK1-R;Or88a;Dop1R1;Sdr;CG31183;Lgr1;TyrRII;TyrR;htl;CG18208;Rh2;ort;Nlg4;Ir92a;Or92a;GluRIIE;GluRIID;Ir93a;CG3822;ETHR;SIFaR;GABA-B-R2;Gr93a;Gr93b;Gr93d;Octbeta1R;klg;Or94a;Or94b;CG34355;nAChRalpha1;nAChRalpha2;nAChRbeta2;Hr96;Cad96Ca;Lgr3;CCAP-R;boss;Tl;Gr97a;RYa-R;Gr98a;Gr98b;Gr98c;CG34353;Or98a;Or98b;AstA-R2;CG33203;Dop1R2;TkR99D;AdoR;CG12069;Pka-C2;tll;5-HT7;CG15556;kek6;mGluR;CG11155;Or1a;fz3;Nmdar2;usp;CG4313;Or2a;Pdfr;N;AstA-R1;Proc-R;Gr5a;Or7a;nAChRalpha3;Gr8a;Ir8a;Gr9a;sev;Gr10b;Gr10a;Or10a;PGRP-SA;Ptp10D;hec;CG8916;Lcch3;Or13a;CG33639;CG32547;CCKLR-17D1;CCKLR-17D3;nAChRalpha7;et;dome;Dop2R;Or19b;shakB
GO:0022803	passive transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0022803	250	170	101.80852409257619	1.6698012422360249	0	0	31071;31107;31246;31550;31621;31686;31694;31767;31867;32067;32092;32158;32189;32349;32428;32468;32553;32554;32606;32671;32731;32901;32928;33062;33109;33126;33157;33228;33275;33599;33683;33768;33788;33789;33886;33887;34299;34304;34499;34500;34651;34826;34843;34886;34921;34950;34951;34980;34991;35006;35394;35449;36005;36071;36095;36145;36254;36456;36526;36715;36716;36806;36864;37022;37047;37250;37252;37286;37398;37479;37498;37566;37614;37843;37844;37881;37895;37917;37953;37981;38037;38133;38352;38504;38616;38742;38835;39015;39110;39194;39269;39362;39571;39660;39661;39982;39983;39984;40116;40129;40157;40198;40551;40650;40665;40891;40931;41052;41125;41426;41428;41654;41671;42222;42415;42471;42473;42765;42768;42770;42918;42919;42920;43145;43188;43324;43486;43487;43489;43702;43753;43822;43935;44483;44484;44978;45338;45910;246442;246504;246631;251414;317838;318213;318575;318593;318610;318623;318632;318727;318728;318912;2768714;2768722;2768987;3346226;3354990;3354991;3885612;3885617;3885628;5740840;7354400;7354416;7354417;7354418;7354434;7354472;8673994;8674091	Ir21a;nAChRbeta3;GluRIIC;Shaw;Ir25a;nompC;GluRIIA;GluRIIB;ppk7;ppk14;Shawl;ppk16;ppk11;nAChRalpha6;Ir31a;ppk10;Porin2;porin;Pkd2;nAChRalpha5;ppk;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;ppk13;clumsy;Ir40a;Ir41a;ppk25;CG1688;KCNQ;Ir47a;CG12344;Ir48b;AQP;stj;Ir51b;Ir52a;Ir52b;Ir52d;CngA;Nach;Ir54a;Elk;Ir56b;Ir56d;ppk6;CG34396;CngB;ppk9;NtR;ppk12;CG42260;ppk3;sei;ppk29;Ir60a;SerT;Ir60b;Ir60e;Mid1;NaCP60E;pyx;CG9194;Ir62a;Shab;tipE;Ir64a;zpg;GluRIA;ppk26;TrpA1;GluRIB;Ir67a;Ir67b;Ir67c;Ir68a;CG6938;nan;Best4;Best3;Ir75a;Ir75b;Ir75c;Grd;brv1;Shal;Ir76a;Ir76b;ppk5;CG1090;Orco;Nmdar1;Ir84a;wtrw;Ir85a;Task7;HisCl1;ClC-a;Ir87a;Task6;CG10864;ort;Ir92a;GluRIIE;GluRIID;Ir93a;CG3822;Ir94a;Ir94b;Ir94c;Ir94e;Ir94f;Ir94g;Irk2;nAChRalpha1;nAChRalpha2;nAChRbeta2;ppk22;CG14540;ppk15;ppk31;unc80;ppk20;ppk30;ppk19;ppk24;Ir100a;CG11155;CG3638;Nmdar2;brv3;ppk8;CG42594;CG42265;Ca-alpha1T;CG42340;iav;Tom40;Ir7a;Ir7d;Ir7e;Ir7f;Ir7g;nAChRalpha3;Ir8a;Ir10a;CG43155;cac;Ir11a;Clic;na;eag;Cngl;CG8916;Lcch3;CG4239;ppk28;ppk23;Inx5;nAChRalpha7;shakB;tty;Ir20a;CG12061;CG17167
GO:0043565	sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0043565	490	251	199.54470722144933	1.2578634807960452	8.054660596279462e-7	3.517201793708698e-5	30982;30985;31165;31227;31230;31249;31331;31336;31379;31397;31429;31430;31469;31470;31572;31577;31622;31742;31773;31802;31807;31813;31879;31880;31883;31912;32014;32213;32225;32266;32291;32517;32567;32663;32723;32724;32757;32758;32894;32943;33010;33059;33208;33229;33239;33240;33392;33419;33441;33442;33529;33538;33581;33608;33692;33823;33841;34000;34119;34277;34328;34395;34413;34483;34568;34629;34673;34804;34881;34888;34908;34956;35047;35147;35184;35225;35266;35332;35341;35364;35380;35390;35662;35686;35764;35800;35942;36039;36118;36158;36170;36239;36240;36461;36678;36702;36802;36825;36986;37038;37068;37069;37322;37364;37367;37379;37464;37481;37492;37564;37631;37654;37668;37730;37734;37785;37788;37818;37822;37973;38004;38005;38012;38065;38116;38159;38254;38468;38490;38700;38766;38817;38989;39039;39091;39095;39313;39405;39418;39419;39439;39440;39570;39697;39962;40045;40162;40164;40287;40345;40374;40398;40428;40489;40549;40605;40693;40783;40826;40827;40828;40830;40832;40833;40834;40835;40879;40962;40972;41001;41032;41042;41084;41087;41095;41151;41182;41265;41266;41394;41396;41666;41697;41737;41740;41860;41944;42110;42141;42177;42191;42228;42237;42393;42413;42469;42494;42495;42536;42537;42541;42542;42544;42547;42553;42717;42736;42767;42799;42882;42952;42958;42993;43010;43011;43150;43151;43156;43158;43160;43161;43190;43234;43385;43495;43656;43660;43764;43795;43812;43819;43825;43833;43843;44108;44849;45396;45976;47080;47763;47894;48317;48535;48903;53446;53560;317817;318554;326152;3885665;5740879	al;Ets21C;Pph13;Gsc;erm;aop;Axud1;insv;Elba2;Mad;CG3347;sob;slp2;Cf2;dsf;H2.0;CG4496;Su(var)205;gcm;Dref;GATAd;CG34367;da;CG12299;salr;prd;pdm2;Smg5;Su(H);stc;sna;crp;dl;tup;Lim3;Top2;bsh;Hr38;cad;RPA2;del;Mcm10;so;Orc1;Hey;Optix;dpn;unpg;eve;psq;CG12942;CG12391;inv;en;Dp;chn;Hr51;CG7786;CG4282;MESR4;grh;Hsf;Pcl;lms;otp;Rx;hbn;CG10543;CG10321;HmgD;comr;rad50;fd59A;CG42741;CG9876;pita;apt;retn;ken;PHDP;CG3065;Sox14;Dll;gsb-n;gsb;Kr;trh;bab1;CG2199;Dbx;CG12605;Chd64;Ets65A;bin;CTCF;Cdc6;Doc1;Nf-YA;phol;TfIIEalpha;CG4328;toe;eyg;ara;caup;D;HGTX;CG7372;l(3)73Ah;Eip74EF;ftz-f1;cyc;Deaf1;kni;Eip78C;croc;TfAP-2;eg;mael;CG34031;hkb;opa;MTA1-like;Hr83;pb;zen2;zen;bcd;Dfd;Scr;ftz;Antp;rn;grn;RpA-70;CG7963;hb;M1BP;tgo;Rel;D1;MBD-like;FoxP;jumu;Rfx;CG6808;CG6813;sqd;Hrb87F;E5;ems;trx;su(Hw);FK506-bp1;srp;pnr;Abd-B;Hmx;CG17803;Ssdp;CG18599;CG7691;CG31224;CG4936;cic;CG4360;CG15696;dmrt93B;HHEX;tin;bap;lbl;lbe;C15;slou;DNApol-alpha180;lmd;CG31365;CG4374;nau;Spps;Ets96B;Saf-B;Hr96;fd96Ca;fd96Cb;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;tx;ro;Hrb98DE;dmrt99B;tll;CG12071;CG31008;ttk;mod;CG32006;zfh2;ey;fd102C;toy;sv;pho;sc;ase;usp;gt;z;HLH3B;Mnt;fd3F;bi;HLH4C;ovo;CG32767;Vsx2;Vsx1;CG12219;CG3847;Nf-YC;CG15336;Trf2;oc;CG11294;Lim1;CG17440;Cfp1;lz;btd;CG2202;CG11085;Smr;CG4318;dmrt11E;acj6;CG8944;exd;CG9609;B-H2;B-H1;unc-4;OdsH;CG7423;CG32532;fd19B;run
GO:0003700	DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0003700	471	240	191.80725939041355	1.2512560826047396	2.3890433513695797e-6	7.824116975735373e-5	30982;30985;31027;31165;31227;31249;31331;31336;31379;31397;31429;31430;31469;31470;31523;31572;31622;31773;31778;31802;31883;31912;31991;32014;32068;32266;32268;32291;32543;32567;32663;32723;32724;32941;33010;33051;33059;33229;33239;33240;33392;33496;33529;33581;33608;33692;33759;33769;33823;33837;34000;34277;34280;34328;34395;34413;34483;34560;34629;34665;34673;34881;34888;34906;34908;34956;35047;35135;35147;35266;35332;35341;35430;35662;35764;35800;35813;35942;36039;36158;36170;36227;36240;36421;36461;36571;36575;36678;36702;36802;36825;36986;37027;37038;37063;37068;37069;37367;37379;37464;37492;37631;37654;37655;37734;37785;37818;37822;37886;38012;38065;38116;38159;38338;38451;38468;38700;38718;38766;38821;38897;39036;39038;39039;39091;39095;39103;39349;39419;39439;39440;39569;39570;39665;39697;39765;39821;39962;40045;40162;40164;40287;40345;40374;40398;40428;40549;40605;40667;40783;40826;40828;40830;40832;40833;40834;40835;40850;40879;40962;40990;41001;41032;41042;41084;41087;41134;41182;41265;41266;41394;41396;41411;41737;41944;41988;42141;42144;42177;42210;42228;42237;42393;42413;42428;42433;42494;42495;42536;42537;42542;42717;42736;42767;42799;42882;42952;42993;43010;43011;43020;43023;43150;43151;43156;43158;43160;43161;43190;43495;43580;43656;43660;43812;43819;43825;43833;43843;43928;44018;44108;44272;44548;44849;44855;45318;45339;45816;45976;47080;47249;47763;48317;48903;53446;53560;317817;318860;3346145;4379817	net;Ets21C;Pph13;Gsc;aop;lilli;Mad;sob;slp2;Cf2;vri;H15;dsf;lid;CG4496;chm;gcm;gcm2;Dref;GATAd;da;CG12299;ab;prd;bun;pdm2;Su(H);stc;wor;sna;crp;dl;ham;tup;bsh;Hr38;cad;CG31627;tsh;tio;so;Hey;Optix;dpn;pdm3;unpg;eve;lola;CG12942;CG12391;CG13204;en;vg;Dp;cg;Sox15;kn;chn;Hr51;CG7786;CG4282;MESR4;HLH54F;grh;CG5098;Hsf;Pcl;rib;Rx;CG10543;CG10321;comr;fd59A;twi;CG42741;apt;retn;ken;CG3065;Sox14;nvy;Kr;trh;bab1;CG2199;Mrtf;Awh;CG12605;Ets65A;D19A;bin;akirin;CG7927;Doc3;Doc2;Doc1;Nf-YA;phol;Jarid2;byn;eyg;ara;caup;Sox21b;D;HGTX;CG7804;CG7372;Taf4;RAF2;l(3)73Ah;Eip74EF;ftz-f1;cyc;Deaf1;kni;Eip78C;croc;TfAP-2;eg;hkb;opa;mia;cas;Hr83;pb;zen;bcd;Dfd;Scr;ftz;Antp;Alh;rn;grn;Poxm;CG7963;hb;M1BP;tgo;Rel;CG16779;FoxP;jumu;Rfx;CG6808;CG6813;Fer3;trx;srp;pnr;ss;Abd-B;CG17803;CG17801;Ssdp;gl;CG7691;CG31224;CG4936;cic;CG4360;Stat92E;TFAM;dmrt93B;HHEX;tin;bap;lbe;lmd;CG31365;CG4374;nau;Spps;Ets96B;Hr96;fd96Ca;fd96Cb;danr;dan;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;tx;woc;dmrt99B;sima;tll;CG12071;ttk;CG32006;onecut;ey;fd102C;toy;sv;pho;sc;ase;Rbf;usp;gt;HLH3B;Mnt;fd3F;bi;HLH4C;ovo;CG32767;Vsx2;Vsx1;CG12236;CG12219;Nf-YC;Trf2;org-1;oc;lz;btd;CG33557;CG43347;CG2202;sisA;CG4318;Bap60;dmrt11E;acj6;Myb;exd;CG9609;B-H2;B-H1;CoRest;fd19B;RunxB;RunxA;run
GO:0008324	cation transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0008324	358	185	145.7898065005691	1.2689501717616851	1.1953832821598454e-5	3.1319041992587947e-4	31082;31107;31235;31246;31317;31340;31342;31550;31621;31767;31867;32092;32158;32428;32468;32606;32671;32731;32928;33228;33247;33275;33545;33547;33548;33599;33683;33768;33788;33789;33886;33887;33952;34046;34047;34048;34049;34051;34299;34304;34482;34499;34651;34661;34695;34826;34843;34863;34886;34921;34950;34951;34980;34991;35006;35376;35394;35915;36005;36071;36249;36328;36331;36526;36574;36742;36806;36849;36864;36900;37047;37157;37286;37398;37479;37498;37566;37614;37617;37728;37843;37844;37895;37912;37953;37981;38037;38133;38352;38407;38504;38521;38589;38616;38742;38835;38976;39015;39282;39458;39489;39571;39626;39939;39982;39983;39984;39996;40116;40129;40198;40271;40510;40551;40650;40665;40727;40748;40866;40867;40891;40931;41075;41125;41175;41449;41550;41671;41806;42041;42216;42222;42245;42307;42473;42739;42770;42918;42919;42920;43188;43324;43353;43486;43487;43489;43533;43668;43702;43822;44483;44484;45012;45338;48805;48971;117368;246504;246543;318213;318575;318593;318623;318868;318912;318916;326167;2768722;2768910;2768938;2768939;2768941;2768987;3346192;3346226;3354990;3354991;3885612;3885617;5740840;7354434;7354472;8674091;19835490;19835750	nAChRbeta3;Eaat2;GluRIIC;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;Ir25a;nompC;GluRIIA;GluRIIB;CG31644;ppk7;ppk14;nrv1;Ntl;CG33296;CG13793;CG13794;CG13795;CG13796;Shawl;ppk16;ppk11;nAChRalpha6;Ir31a;ppk10;Vha16-5;Porin2;ZnT33D;Pkd2;CG5421;Vha68-2;Vha68-3;nAChRalpha5;ppk;CG15279;CG33310;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Catsup;ppk13;Nhe2;clumsy;ppk25;CNT1;CG1688;CG44296;KCNQ;Tret1-2;Vha36-2;CG8850;Vmat;stj;VGAT;CG8249;CngA;DAT;Nach;Vha16-4;Elk;List;Vha100-3;ppk6;CG34396;CngB;ppk9;ppk12;CG45063;CG42260;blw;ppk3;levy;sei;ppk29;SerT;Letm1;Mid1;NaCP60E;pyx;CG9194;Shab;ZnT63C;tipE;VhaM9.7-a;Rh50;Ir64a;GluRIA;ppk26;foi;TrpA1;GluRIB;Vha16-2;CG10960;CG17300;nan;Zip71B;blot;Ir75a;Ir75c;Grd;Prestin;brv1;Shal;Ir76b;ZnT77C;ppk5;slif;CG1090;Orco;Nmdar1;CG1208;Vha14-2;CG14606;CG14605;Ir84a;wtrw;CG31100;Task7;CG9444;GC2;Vha55;Task6;VhaPPA1-2;VhaM9.7-d;Vha100-2;CG10864;CG7708;CG11703;GluRIIE;GluRIID;CG3822;Atpalpha;VhaAC39-2;Irk2;prt;nAChRalpha1;nAChRalpha2;nAChRbeta2;ppk22;ppk15;ppk31;unc80;mfrn;ppk20;ppk30;ppk19;Zip99C;Ctr1C;ppk24;CG11155;CG12773;Nmdar2;Vha36-3;brv3;CG10804;ppk8;yin;VhaAC39-1;CG42594;CG42265;Ca-alpha1T;CG42340;iav;nAChRalpha3;CG33181;Ir8a;CG43155;cac;na;eag;Cngl;CG4239;ppk28;ppk23;nAChRalpha7;CG12061;CG17167
GO:0005549	odorant binding	http://amigo.geneontology.org/amigo/term/GO:0005549	111	65	45.20298469710383	1.4379581444798837	1.017615447311826e-4	0.00222179372663082	30978;31207;31750;32086;32562;33335;33381;33450;33623;34601;34603;35514;35516;35644;35743;35980;36088;36187;36207;36350;36413;36600;37265;37605;37607;37711;37715;37716;39109;39120;39189;39641;39929;40136;40648;40650;40737;40744;40746;40747;41008;41011;41018;41119;41715;42425;42711;42712;43341;43375;170878;170882;246432;246666;246667;246672;260693;318011;318012;318013;318778;326110;2768728;2768955;2768964	Or22a;Obp22a;Or22c;Or23a;Or24a;Or33a;Or33c;Or42a;Or42b;Or43a;Or43b;Or45b;Or46a;Obp46a;Or47a;Obp47b;Or49a;Or49b;Obp50a;Obp50e;Obp51a;Obp56b;Obp56c;Obp56i;Obp57e;Obp59a;Obp58b;Or59a;Or59b;Or59c;Or65a;Or65b;Or65c;Or67a;Or67b;Or67c;Or69a;Or71a;Obp73a;Or74a;lush;Or82a;Or83a;Orco;Obp83a;Or83c;Obp83cd;Obp83ef;Obp83g;Or85c;Or85d;Or85e;Or85f;Or88a;Or92a;Or94a;Or94b;Or98a;Or98b;Or1a;Or2a;Or7a;Or10a;Or13a;Or19b
GO:0042393	histone binding	http://amigo.geneontology.org/amigo/term/GO:0042393	64	40	26.062982167699506	1.5347437888198758	3.406798260860988e-4	0.006375579602468421	31149;31362;31801;31948;32318;32965;33837;34119;34250;34709;35386;35397;35418;35485;36107;37043;37069;37798;37859;38248;39103;39551;39654;39744;40358;40508;41045;42065;42140;42428;43266;43343;43378;43560;43718;43928;44000;44811;45655;47906	lid;chm;Su(var)205;Cks30A;Sfmbt;CG9246;CG8677;Df31;d4;Caf1-105;Dek;Mapmodulin;Pcl;dom;Nap1;enok;E(bx);dre4;Jarid2;upSET;Msh6;brm;Pc;Chro;CG8223;cal1;CG7379;Stat92E;CG5815;mil;CG1894;Nlp;pygo;trr;Tip60;Spt6;Caf1-180;CG43902;tth;e(y)3
GO:0070003	threonine-type peptidase activity	http://amigo.geneontology.org/amigo/term/GO:0070003	26	19	10.588086505627924	1.7944696607740087	8.320628321650814e-4	0.013625028876703207	31511;32584;33449;33451;34359;34726;34999;36018;36951;37378;37683;37910;39628;40621;41079;41531;42457;43679;45269	Prosbeta4R1;Prosbeta4R2;Prosalpha6;Prosalpha6T;Prosbeta4;Prosalpha7;Prosbeta5;Prosalpha5;Prosalpha3;yip3;Prosalpha4T2;Prosbeta2;Prosbeta2R2;Prosbeta3;Prosalpha2;Prosalpha4T1;Prosalpha3T;Prosbeta2R1;Prosalpha4
GO:0003774	motor activity	http://amigo.geneontology.org/amigo/term/GO:0003774	95	54	38.68723915517895	1.3958090879372345	0.0010322170266592323	0.015024492276928826	31240;31405;31725;32028;32049;32057;32107;32785;33319;33412;34073;34179;34262;34445;34756;34944;35061;35073;35438;35653;35962;36167;36303;36495;36801;36810;37374;37671;37674;38001;38020;38170;38210;38226;38515;38580;39332;39445;39760;40568;41171;41440;41717;42199;42485;42978;43295;43379;43820;43984;45683;47216;53561;2768680	Cdlc2;robl22E;milt;CG14535;d;CG3769;Myo31DF;cmet;CG10859;CG10839;Dhc36C;btv;CG10834;cos;CG8800;BBS4;CG8407;cid;CG15701;Khc;Klp54D;CG9313;Klp59C;Klp59D;zip;Dic61B;robl62A;CG13930;Dhc62B;pav;Dhc64C;Klp68D;Klc;CG13074;CG14651;CG9492;CG6971;Kif19A;Dlc90F;Dhc93AB;Myo95E;CG10845;CG3339;Dhc98D;Kif3C;Klp3A;ctp;CG1571;Myo10A;Klp10A;Dlic;nod;Dhc16F;Sdic1
GO:0051959	dynein light intermediate chain binding	http://amigo.geneontology.org/amigo/term/GO:0051959	20	15	8.144681927406095	1.841692546583851	0.0019753173834369253	0.024079498716988595	31405;32785;33319;35061;35073;36303;38226;38385;38580;40568;41171;42199;42485;43295;43379	Cdlc2;Dhc36C;btv;CG8407;Dhc62B;Girdin;Dhc64C;CG14651;CG9492;Dlc90F;Dhc93AB;CG3339;Dhc98D;ctp;Dhc16F
