geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
dme03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?dme03050+36638+42805+36951+40717+2768973+43449+41079+40621+45269+36545+35701+50428+33105+36018+32047+42457+33449+33451+34999+43679+33738+31511+43635+39628+32584+39845+37910+34359+41531+42828+42641+34726+39351+40388+40174+35342+37378+41190	52	38	16.348917477251334	2.324312912636266	6.110423278471444e-10	7.882446029228163e-8	36638;42805;36951;40717;2768973;43449;41079;40621;45269;36545;35701;50428;33105;36018;32047;42457;33449;33451;34999;43679;33738;31511;43635;39628;32584;39845;37910;34359;41531;42828;42641;34726;39351;40388;40174;35342;37378;41190	Prosbeta4R1;Prosbeta4R2;Rpn11;Sem1;Prosalpha6;Prosalpha6T;Prosbeta4;Pomp;Rpt1;Prosalpha7;Prosbeta5;Rpn13;Rpn6;Prosalpha5;Prosalpha3;Prosalpha4T2;Rpt4R;Prosbeta2;Rpn12R;Rpn12;Rpn1;Rpn10;Prosbeta2R2;Rpn5;Prosbeta3;Rpt3R;Prosalpha2;Prosalpha4T1;Rpn7;Rpt5;Rpt2;Rpn2;Rpt6R;Prosalpha3T;Prosbeta2R1;Rpt3;Prosalpha4;Rpt6
dme04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?dme04080+40575+42530+43838+43669+36368+40393+35535+37191+34878+37196+32554+43484+40665+37004+33248+43098+32864+36475+318901+326265+31107+33007+32860+41017+37892+41286+42561+39984+42133+43551+40955+36601+41639+41638+32553+34226+41726+43583+41713	56	39	17.606526513962976	2.2150876817792984	3.5803482401064457e-9	2.3093246148686575e-7	40575;42530;43838;43669;36368;40393;35535;37191;34878;37196;32554;43484;40665;37004;33248;43098;32864;36475;318901;326265;31107;33007;32860;41017;37892;41286;42561;39984;42133;43551;40955;36601;41639;41638;32553;34226;41726;43583;41713	GABA-B-R3;Try29F;GABA-B-R1;CCHa2-R;Dh44-R2;Dh31-R;Dh44-R1;CCHa1-R;5-HT1B;5-HT1A;mAChR-A;CG33159;CG33160;Grd;CapaR;5-HT2A;Nmdar1;mAChR-B;5-HT2B;TkR86C;PK2-R2;PK2-R1;PK1-R;Dop1R1;Lgr1;SIFaR;GABA-B-R2;Lgr3;Dop1R2;TkR99D;AdoR;5-HT7;mGluR;Nmdar2;CG8916;Lcch3;CCKLR-17D1;CCKLR-17D3;Dop2R
dme00512	Mucin type O-glycan biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00512+43394+33481+33485+246627+33479+326151+33568+261610+33556+38106+3885645+5740612+5740876+39715+39713+32896+39714+36717+35792+34215	24	20	7.545654220269846	2.650532268795742	2.050587778468227e-7	8.817527447413376e-6	43394;33481;33485;246627;33479;326151;33568;261610;33556;38106;3885645;5740612;5740876;39715;39713;32896;39714;36717;35792;34215	CG3119;CG2975;CG2983;pgant2;CG31776;pgant4;pgant5;C1GalTA;CG8708;GalNAc-T1;CG30463;CG34056;CG34057;CG7304;CG7579;pgant8;CG34452;CG34451;CG10000;tgy
dme04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?dme04145+46080+40748+33941+44643+35526+38521+36328+42041+35073+41550+42216+40848+32180+32057+38146+40904+33458+31342+246543+39282+117406+35411+37888+33418+45012+31521+42739+34695+36173+43319+42841+36546+34495+34482+41806+31030+38580+42159+39130+31235+36310+36900+37238+41124+41183+33905+43984+32620	89	48	27.981801066834013	1.7154006593554465	6.779989766947381e-6	2.1865466998405303e-4	46080;40748;33941;44643;35526;38521;36328;42041;35073;41550;42216;40848;32180;32057;38146;40904;33458;31342;246543;39282;117406;35411;37888;33418;45012;31521;42739;34695;36173;43319;42841;36546;34495;34482;41806;31030;38580;42159;39130;31235;36310;36900;37238;41124;41183;33905;43984;32620	Rab5;Hrs;Sec61alpha;Tsp;Vha16-5;Nos;Vha68-2;Vha68-3;btv;Lamp1;Act42A;CG8860;Vha36-2;Cp1;Sec61beta;Vha16-4;Vha100-3;betaTub56D;betaTub60D;Rac1;VhaM9.7-a;Dhc64C;CG32396;alphaTub67C;Vha16-2;Syx7;Vha14-2;alphaTub84B;alphaTub84D;betaTub85D;alphaTub85E;Vha55;VhaPPA1-2;VhaM9.7-d;CG7794;Vha100-2;VhaAC39-2;Rab7;Mtl;Cnx99A;Sec22;Vha36-3;VhaAC39-1;Act5C;Dlic;CG1924;Cnx14D;Sdic1
dme04392	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04392+44039+37247+43651+32979+41995+33245+43673+252554+33627+41783+37851+42734	16	12	5.030436146846564	2.3854790419161676	4.196151022646255e-4	0.009945184425046993	44039;37247;43651;32979;41995;33245;43673;252554;33627;41783;37851;42734	ds;ft;hpo;yki;Pak;kibra;Pak3;sav;Rassf;wts;dco;Mer
dme04391	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04391+38657+37089+37247+44100+35526+43651+33529+33619+34405+35430+32979+2768940+33245+43673+33156+42186+33613+252554+33627+41783+34924+37851+31521+47594+34179+44448+42734+34009+32805+47877+46156+45959	61	32	19.178537809852525	1.6685317888812539	4.625667174440462e-4	0.009945184425046993	38657;37089;37247;44100;35526;43651;33529;33619;34405;35430;32979;2768940;33245;43673;33156;42186;33613;252554;33627;41783;34924;37851;31521;47594;34179;44448;42734;34009;32805;47877;46156;45959	l(2)gl;ds;Mad;fred;ed;ft;wg;mts;Pp2A-29B;d;lft;CycE;tsh;Act42A;aPKC;fj;hpo;yki;Patj;vn;Gug;tws;kibra;14-3-3epsilon;sav;Rassf;scrib;wts;dco;Act5C;upd2;Mer
dme00330	Arginine and proline metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00330+43416+42892+43623+50001+35507+40026+326111+326112+326114+43620+326188+40028+317911+326209+5740402+39403+36844+41922+36847+38986+39556+34495+40434+35767+43629+43628+43624+43625	53	28	16.663319736429244	1.6803374383308853	8.991672067137912e-4	0.01657036709515415	43416;42892;43623;50001;35507;40026;326111;326112;326114;43620;326188;40028;317911;326209;5740402;39403;36844;41922;36847;38986;39556;34495;40434;35767;43629;43628;43624;43625	CG34345;Nos;CG17337;Odc2;S-Lap8;loopin-1;S-Lap1;S-Lap2;S-Lap4;CG4300;CG6661;CG18231;CG32201;CG32199;P5CDh1;CG15864;CG4546;CG13611;CG11828;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;PH4alphaSG1;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013
dme04310	Wnt signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04310+45343+46456+31151+43644+40651+39885+39751+37909+43670+31075+32132+43856+31023+53445+48448+32078+35742+32221+43673+38146+32188+42504+53439+33212+44317+7354447+12798588+53557+42692+34009+34010+34011+43319+32818+48311+35065+41602+38890+43565+43162+36775+41633+37300+32551+8674098+32624	100	46	31.440225917791025	1.4630938123752495	0.001366489035457441	0.022034635696751237	45343;46456;31151;43644;40651;39885;39751;37909;43670;31075;32132;43856;31023;53445;48448;32078;35742;32221;43673;38146;32188;42504;53439;33212;44317;7354447;12798588;53557;42692;34009;34010;34011;43319;32818;48311;35065;41602;38890;43565;43162;36775;41633;37300;32551;8674098;32624	ebi;wg;Wnt6;Wnt10;CG7094;esn;pk;CanB2;Cul1;Rho1;Pkc53E;CkIIbeta2;Ssl;Roc1b;Rac1;CG43089;nmo;Notum;sinah;CkIIalpha;CG12147;pont;CtBP;wntD;slmb;Takl2;gro;Mtl;Axn;Pka-C2;CanA1;dco;fz3;DAAM;arm;CanB;nej;dsh;CkIIbeta;CG2577;CkIalpha;CycD;Pp2B-14D;CanA-14F;por;SteXh:CG42398
dme04013	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04013+36606+35253+38321+38657+32257+44851+39885+34167+43656+31872+31883+44030+32039+48317+43481+31667+38146+44111+33392+31379+45278+33212+53560+32256+35524+42692+43319+36952+39158+45959+37216+41785+48973+34790+40958+44747+43146+43162+41140+33834+41020+40549+37461	93	43	29.239410103545655	1.4706179039769922	0.0017137112163554402	0.02221485941042585	36606;35253;38321;38657;32257;44851;39885;34167;43656;31872;31883;44030;32039;48317;43481;31667;38146;44111;33392;31379;45278;33212;53560;32256;35524;42692;43319;36952;39158;45959;37216;41785;48973;34790;40958;44747;43146;43162;41140;33834;41020;40549;37461	ebi;aop;chic;mts;emb;raw;Sos;spi;Src42A;phyl;cnk;Tab2;PTP-ER;Rac1;msn;dos;Src64B;vn;msk;RasGAP1;sinah;hkb;puc;Mkk4;Ras85D;eff;cic;Takl2;boss;gro;Mtl;alph;tll;ttk;csw;bi;Dok;slpr;Dsor1;lz;sev;hep;lic
dme04330	Notch signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04330+43856+32078+34881+42313+34263+31589+31293+42445+43275+40062+41602+43558+36555+43162	22	14	6.916849701914026	2.024042823444021	0.0018114299447464788	0.02221485941042585	43856;32078;34881;42313;34263;31589;31293;42445;43275;40062;41602;43558;36555;43162	numb;Su(H);mam;CG6843;CtBP;Dl;H;gro;Ser;Tace;N;dx;nej;dsh
