geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0007600	sensory perception	http://amigo.geneontology.org/amigo/term/GO:0007600	413	214	94.39173573012724	2.2671476305069906	0	0	30978;31107;31207;31621;31686;31702;31750;31865;31867;32028;32039;32085;32086;32158;32189;32387;32428;32562;32572;32718;32723;32724;32856;33093;33130;33157;33230;33251;33335;33381;33450;33453;33623;33683;33768;34299;34408;34545;34547;34568;34601;34603;34615;34641;34843;34991;35061;35073;35414;35449;35514;35516;35644;35652;35655;35705;35743;35813;35980;36088;36094;36187;36207;36350;36413;36526;36600;36606;37265;37347;37374;37400;37501;37582;37605;37607;37711;37715;37716;37724;37843;37981;38098;38101;38453;38616;38835;38868;38935;39015;39109;39120;39180;39189;39324;39389;39481;39571;39617;39641;39929;39982;39983;40116;40136;40157;40198;40224;40333;40526;40619;40648;40650;40665;40737;40744;40746;40747;40800;40891;40931;41006;41008;41011;41018;41119;41171;41266;41292;41369;41381;41470;41473;41715;42210;42261;42415;42425;42452;42471;42485;42514;42568;42711;42712;43146;43234;43305;43341;43375;43489;43551;43683;43753;44873;45338;45587;47080;50320;117327;117336;117338;117342;117343;117344;117345;117346;117348;117349;117470;117472;117476;117477;117481;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;170878;170882;170887;192481;246432;246659;246666;246667;246672;260693;318011;318012;318013;318158;318736;318778;318912;326110;2768670;2768728;2768933;2768955;2768964;3346160;3346208;3346227;3772145;3772338;3885598;8673994	Ir21a;rempA;Gr21a;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Obp22a;Or22c;dpr3;Or23a;Gr23a;Or24a;Ir25a;nompC;Gr28a;Gr28b;CheA29a;ppk11;dpr19;Ir31a;dpr2;Gr32a;CG14921;salr;Or33a;Or33c;Rh5;Gr33a;ppk;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;Dhc36C;btv;CheB38b;Gr39a;nompB;Ir40a;Or42a;Or42b;dpr12;Or43a;Dscam1;Gr43a;CG1339;Or43b;pdm3;Or45b;CheA46a;Or46a;Obp46a;Gr47a;Or47a;Obp47b;nompA;Gr47b;Or49a;Or49b;stj;Obp50a;Obp50e;phyl;Obp51a;dpr13;Obp56b;Obp56c;Obp56i;Obp57e;Gr57a;CG9313;ktub;Gr58c;Gr58a;CG4329;Obp59a;Obp58b;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;bw;sei;NaCP60E;Gr61a;dpr20;Gr63a;Gr64a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;Snmp2;Gr66a;TrpA1;Or67a;Or67b;dpr10;Or67c;Gr68a;Rh7;Or69a;Zmynd10;nan;DCX-EMAP;Or71a;Obp73a;Or74a;Ir75a;Ir75b;Ir75c;brv1;lush;Ir76a;Ir76b;rdgC;Gr77a;Ac78C;Oct-TyrR;CG14636;Or82a;dpr16;Or83a;Orco;Nmdar1;Obp83a;Or83c;Obp83cd;Obp83ef;Obp83g;dpr11;Ir84a;wtrw;Obp85a;Or85c;Or85d;Or85e;Or85f;CG9492;Rfx;Desi;CheA86a;ninaG;dpr5;dpr4;dpr17;dpr15;Or88a;dpr9;gl;Rh2;Ir92a;Or92a;Ir93a;Dhc93AB;Snmp1;CheB93b;Gr93a;Gr93b;Gr93d;Or94a;Or94b;boss;ro;Gr97a;Gr98a;Gr98b;Gr98c;Or98a;Or98b;ppk19;TkR99D;stops;Ir100a;Or1a;Nmdar2;Or2a;Gr5a;iav;Ir7a;dpr14;Or7a;Gr8a;Ir8a;Gr9a;Myo10A;sev;Gr10b;Gr10a;Or10a;cac;Ir11a;na;dpr8;eag;acj6;Or13a;dpr18;f;B-H2;B-H1;CG6696;Or19b;unc;tilB
GO:0051606	detection of stimulus	http://amigo.geneontology.org/amigo/term/GO:0051606	285	173	65.13715419633478	2.655934268766912	0	0	30978;31207;31246;31686;31694;31750;31865;31867;32067;32085;32086;32158;32189;32562;33062;33126;33157;33251;33335;33381;33450;33453;33623;33683;33768;34024;34545;34601;34603;34615;34641;34651;34843;34991;35449;35514;35516;35644;35652;35655;35705;35743;35980;36094;36095;36187;36254;36350;36413;36526;36715;36716;37022;37250;37252;37347;37363;37400;37501;37711;37715;37716;37881;37917;38098;38453;38616;38835;38858;38935;39015;39109;39110;39120;39189;39194;39269;39324;39389;39571;39641;39929;39982;39983;40116;40157;40198;40224;40333;40648;40650;40744;40891;41008;41011;41018;41052;41119;41654;41678;41715;42261;42415;42425;42471;42514;42568;42711;42712;42765;42768;43305;43341;43375;43551;43683;43753;44873;47080;117327;117336;117338;117342;117343;117344;117345;117346;117348;117349;117470;117472;117476;117477;117481;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;170887;192481;246442;246631;246659;260693;317838;318011;318012;318013;318158;318610;318632;318727;318728;318736;318778;318912;326160;2768714;2768728;2768933;2768964;3885628;7354400;7354416;7354417;7354418;8673994	Ir21a;Gr21a;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Or22c;Or23a;Gr23a;Or24a;Ir25a;nompC;santa-maria;Gr28a;Gr28b;CheA29a;Ir31a;Gr32a;Or33a;Or33c;Rh5;Gr33a;Pkd2;ppk;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;ninaD;CheB38b;Gr39a;Ir40a;Ir41a;Or42a;Or42b;Or43a;Dscam1;Gr43a;CG1339;Or43b;Or45b;Or46a;Gr47a;Ir47a;Or47a;Gr47b;Ir48b;Or49a;Or49b;stj;Ir51b;Ir52a;Ir52b;Ir52d;Ir54a;Ir56b;Ir56d;Gr57a;Cib2;ktub;Gr58c;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;Ir60a;Ir60b;Ir60e;Gr61a;Ir62a;Gr63a;Gr64a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;PGRP-SD;Gr66a;TrpA1;Or67a;Ir67a;Or67b;Or67c;Ir67b;Ir67c;Ir68a;Gr68a;Rh7;Or69a;nan;Or71a;Or74a;Ir75a;Ir75b;Ir75c;brv1;Ir76a;Ir76b;rdgC;Gr77a;Ac78C;Or82a;Or83a;Orco;Or83c;Ir84a;Or85c;Or85d;Or85e;Ir85a;Or85f;Ir87a;ninaB;Or88a;Rh2;Ir92a;Or92a;Ir93a;Snmp1;CheB93b;Gr93a;Gr93b;Gr93d;Ir94a;Ir94b;Ir94c;Or94a;Or94b;Ir94e;Ir94f;Ir94g;Gr97a;Gr98a;Gr98b;Gr98c;Or98a;Or98b;TkR99D;stops;Ir100a;Or1a;Or2a;brv3;Gr5a;Ir7a;Ir7d;Ir7e;Ir7f;Ir7g;Or7a;Gr8a;Ir8a;Gr9a;Ir10a;Gr10b;Gr10a;Or10a;cac;Ir11a;acj6;Or13a;Or19b;shakB;Ir20a
GO:0007186	G protein-coupled receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007186	232	123	53.02392902999883	2.319707389665739	0	0	31023;31169;31234;31408;31718;32246;32674;32803;32860;32864;32874;32999;33007;33248;33812;33851;34341;34615;34642;34819;34845;34878;35419;35535;35705;35738;35832;35845;36030;36125;36168;36368;36385;36475;36601;36899;36960;36961;37004;37191;37196;37400;37522;37883;37892;37905;38003;38056;38284;38285;38296;38298;38357;38434;38622;38636;38839;38910;39389;39835;39861;39933;40019;40020;40180;40195;40224;40333;40393;40412;40575;40754;40955;41017;41170;41286;41547;41638;41639;41713;41726;41890;42101;42133;42135;42136;42258;42261;42452;42523;42530;42561;42652;42683;42952;43098;43146;43253;43393;43484;43551;43583;43669;43681;43683;43838;44125;44126;53427;53432;117342;117467;170887;246395;246420;317967;318914;2768688;2768691;3346150;3885573;5740362;5740629	GABA-B-R3;TrissinR;CG13995;CG44153;mthl15;Rh5;CG31760;ACXB;ACXA;rk;Pburs;GABA-B-R1;CG31750;Ac3;CCHa2-R;CG1339;Dgk;mtt;CG8642;FMRFa;stan;mthl13;CG13229;Dh44-R2;CG30054;CG17760;Dh31-R;Dh44-R1;CG15614;mthl4;mthl3;CCHa1-R;5-HT1B;5-HT1A;ktub;CG30280;CG43795;CG13575;mAChR-A;CG13579;ETH;Nplp1;mthl9;ACXD;CG32301;CG32305;MsR2;MsR1;FMRFaR;CG10359;Lkr;mthl2;CG32395;mthl6;mthl7;Rh7;CG43373;Galphaf;Mip;AstC-R2;AstC-R1;Ac76E;sNPF-R;rdgC;Ac78C;CapaR;CG32447;Oct-TyrR;5-HT2A;NPFR;CG34384;mAChR-B;5-HT2B;Dh44;mthl11;TkR86C;Octbeta3R;Hug;PK2-R2;PK2-R1;PK1-R;Dop1R1;Trissin;Eh;Lgr1;TyrRII;TyrR;CG18208;Rh2;ETHR;SIFaR;GABA-B-R2;Octbeta1R;CCAP;Ets96B;Lgr3;CCAP-R;boss;RYa-R;AstA-R2;Dop1R2;Dup99B;TkR99D;AdoR;5-HT7;CG15556;stops;mGluR;fz3;CG4313;Pdfr;AstA-R1;Proc-R;Tbh;hec;RSG7;CG33639;CG32547;CCKLR-17D1;CCKLR-17D3;CG42450;amn;Dop2R
GO:0006812	cation transport	http://amigo.geneontology.org/amigo/term/GO:0006812	397	161	90.73491303840318	1.774399672724185	4.440892098500626e-16	3.941291737419306e-14	31211;31235;31246;31550;31621;31767;32056;32092;32158;32260;32290;32428;32468;32606;32671;32731;32928;33275;33545;33547;33548;33599;33768;33788;33789;33832;33833;33886;33887;34046;34299;34304;34482;34499;34509;34651;34661;34695;34826;34843;34886;34921;34950;34951;34980;34991;35006;35068;35376;35814;36005;36071;36249;36328;36526;36742;36806;36849;36864;36900;37047;37132;37286;37398;37479;37498;37566;37614;37843;37844;37895;37953;37981;37983;38037;38133;38352;38501;38504;38521;38589;38742;38835;39015;39282;39489;39571;39626;39630;39984;40116;40129;40198;40271;40393;40551;40650;40727;40748;40866;40867;40931;41075;41125;41175;41215;41671;41806;42041;42222;42245;42307;42473;42706;42739;42770;42918;42919;43188;43324;43486;43487;43489;43583;43668;43702;43783;44483;44484;45338;50170;117368;246504;246543;318213;318575;318593;318623;318868;326167;326229;2768722;2768910;2768938;2768939;2768987;3346192;3346208;3346226;3354990;3354991;3885612;3885617;5740446;5740840;7354434;7354472;8674091;14462605;19835490;19835750	GluRIIC;dpr3;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;GluRIIA;GluRIIB;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Ntl;Shawl;ppk16;ppk11;nAChRalpha6;ppk10;Vha16-5;Porin2;CG7309;ZnT33D;Pkd2;CG5421;Vha68-3;nAChRalpha5;ppk;CG33310;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Sytalpha;ppk13;Nhe2;ppk25;CG2121;CG1688;CG44296;KCNQ;Tret1-2;Vha36-2;Vmat;stj;CG8249;CngA;DAT;Nach;Vha16-4;Elk;Rgk2;Vha100-3;Rgk1;ppk6;CG34396;Rgk3;CngB;ppk9;ppk12;CG45063;CG42260;ppk3;sei;ppk29;SerT;Mid1;NaCP60E;Tpc2;pyx;CG9194;Shab;Teh4;Teh3;tipE;VhaM9.7-a;Rh50;GluRIA;ppk26;TrpA1;GluRIB;Vha16-2;CG17300;nan;Zip71B;Sytbeta;Grd;brv1;Shal;Ir76b;ZnT77C;ppk5;CapaR;CG1090;Orco;CG1208;Vha14-2;CG14606;CG14605;wtrw;CG31100;Task7;CG9444;Teh1;Task6;VhaPPA1-2;VhaM9.7-d;CG10864;CG7708;CG11703;GluRIIE;GluRIID;CG3822;CG4704;VhaAC39-2;Irk2;prt;nAChRalpha1;nAChRalpha2;ppk22;ppk15;ppk31;unc80;ppk20;ppk30;ppk19;AdoR;Ctr1C;ppk24;Syt7;CG3078;Vha36-3;brv3;ppk8;CG42594;CG42265;Ca-alpha1T;CG42340;iav;nAChRalpha3;CG32669;rtv;CG43155;cac;Fer3HCH;Syt12;na;eag;Cngl;CG4239;ppk28;ppk23;nAChRalpha7;CG12061;CG17167
GO:0098660	inorganic ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0098660	336	135	76.7932765262052	1.7579664015759522	3.219646771412954e-13	1.9942936191341687e-11	31235;31246;31550;31621;32056;32092;32158;32260;32428;32554;32671;32731;33109;33545;33547;33548;33599;33768;33832;33833;33886;33887;34299;34482;34651;34661;34695;34843;34921;34950;34951;34980;34991;35006;35376;35763;36005;36071;36145;36249;36328;36526;36651;36742;36864;36900;37025;37047;37132;37286;37398;37498;37566;37843;37844;37953;37981;38037;38133;38352;38504;38521;38835;39015;39282;39489;39571;39626;39660;39661;39984;40038;40039;40116;40129;40198;40271;40551;40650;40727;40748;40866;40867;40931;41075;41101;41125;41175;41426;41428;41671;41806;41882;41901;42041;42222;42307;42473;42706;42739;42770;43145;43188;43486;43487;43489;43561;43668;43702;45910;246504;246543;318213;318575;318593;318868;326167;2768722;2768910;2768938;2768939;2768987;3346226;3354990;3354991;3885612;3885617;5740446;5740840;7354434;7354472;8674091;14462605;19835490;19835750	CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Shawl;ppk16;ppk11;ppk10;Vha16-5;ZnT33D;Pkd2;CG5421;Vha68-3;ppk;CG33310;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;ppk13;Nhe2;ppk25;Dic3;CG1688;CG44296;KCNQ;CG12344;Tret1-2;Vha36-2;stj;NaPi-T;CG8249;Nach;Vha16-4;CG5002;Elk;Rgk2;Vha100-3;Rgk1;ppk6;CG34396;Rgk3;ppk9;ppk12;CG45063;ppk3;sei;ppk29;Mid1;NaCP60E;pyx;CG9194;Shab;tipE;VhaM9.7-a;ppk26;TrpA1;Vha16-2;CG17300;nan;Zip71B;Best4;Best3;Grd;CG6893;Dic4;brv1;Shal;Ir76b;ZnT77C;ppk5;CG1090;Orco;CG1208;Vha14-2;CG14606;CG14605;wtrw;CG31100;CG16736;Task7;CG9444;HisCl1;ClC-a;Task6;VhaPPA1-2;CG6125;CG5404;VhaM9.7-d;CG10864;CG11703;ort;CG3822;CG4704;VhaAC39-2;Irk2;ppk22;CG14540;ppk15;ppk31;ppk20;ppk30;ppk19;CG7912;Ctr1C;ppk24;Vha36-3;brv3;ppk8;CG42594;CG42265;Ca-alpha1T;CG42340;iav;rtv;CG43155;cac;Fer3HCH;eag;Lcch3;ppk28;ppk23;tty;CG12061;CG17167
GO:0007215	glutamate receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007215	38	30	8.684953892844637	3.45424977151766	3.3706371027619753e-13	1.9942936191341687e-11	31107;31867;33157;33275;33683;33788;33789;35394;35449;35832;38616;38742;39269;39982;39983;40198;40412;40665;40891;42415;42471;42473;43146;43822;43838;44483;44484;318623;318912;8673994	Ir21a;GluRIIC;Ir25a;GluRIIA;GluRIIB;Ir31a;clumsy;Ir40a;mtt;Ir64a;GluRIA;GluRIB;Ir68a;Ir75a;Ir75b;Ir75c;Ir76b;CG32447;Nmdar1;Ir84a;Ir92a;GluRIIE;GluRIID;Ir93a;CG3822;boss;mGluR;CG11155;Nmdar2;Ir8a
GO:0007618	mating	http://amigo.geneontology.org/amigo/term/GO:0007618	187	86	42.739115209524925	2.012208244798523	1.5647483309066956e-12	7.935509392455385e-11	30980;31130;31718;31865;32022;32060;32085;32158;32246;32428;32731;32999;33130;33251;33453;33571;33823;33962;34545;34594;34641;34651;35073;35096;35655;36414;36741;36780;37196;37347;37844;38007;38453;38504;38935;39324;40136;40315;40398;40875;40891;41182;41988;42530;42568;43305;43343;43395;43396;43397;43669;43838;47763;48531;53523;117327;117336;117338;117343;117344;117345;117346;117348;117349;117368;117470;117472;117476;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;192481;246647;318158;2768691;2768722;2768992;3772154;5740700	Gr21a;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;tim;dsf;Nlg2;Gr28a;Gr28b;Gr32a;Acp33A;Pde1c;Gr33a;Pkd2;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;ppk25;Gr43a;lectin-46Ca;Gr47b;CG17575;antr;Poxn;Jhe;5-HT1A;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;ppk29;lov;Gr63a;tipE;Gr66a;Ilp5;Gr68a;lush;Gr77a;Sems;TfAP-2;Gld;Ir84a;FoxP;natalisin;ss;Abd-B;SIFaR;Gr93a;Gr93b;Gr93d;prt;Gr97a;Gr98a;Gr98b;Gr98c;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;Tbh;Gr8a;Gr9a;CG15208;CG15200;Gr10b;Gr10a;cac;hec;eag;Pp1-13C;ppk23;amn;tilB
GO:0019098	reproductive behavior	http://amigo.geneontology.org/amigo/term/GO:0019098	194	84	44.3389751371542	1.894495750976696	1.3679912758135515e-10	6.070461286422635e-9	30980;31130;31718;31865;32085;32158;32246;32428;32731;32999;33130;33251;33453;33571;33823;33962;34545;34594;34641;35073;35096;35655;36414;36716;36741;36780;37196;37347;37844;38007;38453;38504;38935;39324;40136;40315;40398;40891;41182;41988;42530;42568;43305;43343;43395;43396;43397;43669;43838;47763;53523;117327;117336;117338;117343;117344;117345;117346;117348;117349;117368;117470;117472;117476;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;192481;246620;246647;318158;2768691;2768722;2768992;3772154;4379909;5740700	Gr21a;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;tim;dsf;Nlg2;Gr28a;Gr28b;Gr32a;Acp33A;Pde1c;Gr33a;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;Tdc2;ppk25;Gr43a;lectin-46Ca;Gr47b;CG17575;antr;Ir52d;Poxn;Jhe;5-HT1A;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;ppk29;lov;Gr63a;tipE;BG642312;Gr66a;Ilp5;Gr68a;lush;Gr77a;Sems;TfAP-2;Ir84a;FoxP;natalisin;ss;Abd-B;SIFaR;Gr93a;Gr93b;Gr93d;prt;Gr97a;Gr98a;Gr98b;Gr98c;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;Tbh;Gr8a;Gr9a;Gr10b;Gr10a;cac;hec;eag;ppk23;amn;tilB
GO:0044782	cilium organization	http://amigo.geneontology.org/amigo/term/GO:0044782	123	60	28.11182444262869	2.1343331921572535	2.0668511346855212e-10	8.152579475704e-9	31396;31725;31736;32022;32200;33093;33130;33142;33217;33230;33826;33946;34262;34319;34702;34712;34756;34934;34944;35061;35073;35114;35349;35414;35962;36010;36167;36733;37125;37284;37374;37439;37577;37663;37674;38219;38282;38780;39330;39345;39481;39905;40246;40266;40595;40600;40887;40997;41171;41440;41676;41739;41775;41905;42443;42921;43307;318856;318950;5740837	BBS8;rempA;CG13999;TTLL3B;CG3769;CG42366;CG5142;CG5458;CG10859;Tektin-A;CG10839;CG31803;Dhc36C;btv;CG15161;Oseg5;dtr;nompB;CG8800;dila;BBS4;Cep89;CG17669;Efhc1.2;CG9313;CG15666;nsr;CG3085;Klp59D;Oseg4;Oseg2;BBS1;CG5964;CCDC151;Zmynd10;CG6652;in;atk;CG34425;CG17387;CG1126;Mst84Dc;CG7352;CG9492;CG6971;CG14367;CG3259;CG7886;CG4525;CG15923;CG13617;CG13972;CG3062;CG1571;CG10958;CG15208;Mks1;unc;tilB;CG17599
GO:0007635	chemosensory behavior	http://amigo.geneontology.org/amigo/term/GO:0007635	133	63	30.39733862495623	2.072549862910596	3.4455938102695427e-10	1.2231858026456877e-8	30978;31865;31867;32085;32253;32999;33251;33335;33453;33540;34545;34641;35514;35655;36350;37347;37973;37981;38453;38616;38657;38935;39324;40136;40648;40650;40665;40754;41726;42561;42568;43305;43551;44873;47080;53425;117327;117336;117338;117343;117344;117345;117346;117348;117349;117368;117470;117472;117476;117481;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;192481;318158;5740544	Gr21a;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;CG9664;Gr28a;Gr28b;Gr32a;Gr33a;Gr36a;Gr36b;Gr36c;Gr39a;Or42a;Gr43a;Gr47b;Or49a;Alk;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Dll;NaCP60E;Gr63a;Gr64a;Ir64a;vn;Gr66a;Gr68a;lush;Gr77a;Or83a;Orco;Nmdar1;NPFR;Dop1R1;GABA-B-R2;Gr93a;Gr93b;Gr93d;prt;Gr97a;Gr98a;Gr98b;Gr98c;TkR99D;Or1a;futsch;Gr5a;Gr8a;Ir8a;Gr9a;Gr10b;Gr10a;rad;acj6;amn
