userId	geneSymbol	geneName	entrezgene	gLink
CG11023	CG11023	NA	33155	https://www.ncbi.nlm.nih.gov/gene/?term=33155
Ir21a	Ir21a	Ionotropic receptor 21a	33157	https://www.ncbi.nlm.nih.gov/gene/?term=33157
CR43609	CR43609	NA	12797867	https://www.ncbi.nlm.nih.gov/gene/?term=12797867
Cda5	Cda5	Chitin deacetylase-like 5	33158	https://www.ncbi.nlm.nih.gov/gene/?term=33158
CR44987	CR44987	NA	19835103	https://www.ncbi.nlm.nih.gov/gene/?term=19835103
net	net	net	45339	https://www.ncbi.nlm.nih.gov/gene/?term=45339
CG42399	CG42399	NA	33176	https://www.ncbi.nlm.nih.gov/gene/?term=33176
CR44222	CR44222	NA	14462647	https://www.ncbi.nlm.nih.gov/gene/?term=14462647
CR44221	CR44221	NA	14462648	https://www.ncbi.nlm.nih.gov/gene/?term=14462648
CG13693	CG13693	NA	33187	https://www.ncbi.nlm.nih.gov/gene/?term=33187
CG17075	CG17075	NA	33191	https://www.ncbi.nlm.nih.gov/gene/?term=33191
CG3345	CG3345	NA	33192	https://www.ncbi.nlm.nih.gov/gene/?term=33192
Amnionless	Amnionless	amnionless	33199	https://www.ncbi.nlm.nih.gov/gene/?term=33199
CG31921	CG31921	NA	319027	https://www.ncbi.nlm.nih.gov/gene/?term=319027
CR45366	CR45366	NA	19835501	https://www.ncbi.nlm.nih.gov/gene/?term=19835501
al	al	aristaless	33208	https://www.ncbi.nlm.nih.gov/gene/?term=33208
BBS8	BBS8	Bardet-Biedl syndrome 8	33217	https://www.ncbi.nlm.nih.gov/gene/?term=33217
CG4133	CG4133	NA	33221	https://www.ncbi.nlm.nih.gov/gene/?term=33221
Ets21C	Ets21C	Ets at 21C	33229	https://www.ncbi.nlm.nih.gov/gene/?term=33229
nAChRbeta3	nAChRbeta3	nicotinic Acetylcholine Receptor beta3	33228	https://www.ncbi.nlm.nih.gov/gene/?term=33228
rempA	rempA	reduced mechanoreceptor potential A	33230	https://www.ncbi.nlm.nih.gov/gene/?term=33230
Ptth	Ptth	Prothoracicotropic hormone	33238	https://www.ncbi.nlm.nih.gov/gene/?term=33238
Pph13	Pph13	PvuII-PstI homology 13	33239	https://www.ncbi.nlm.nih.gov/gene/?term=33239
Gsc	Gsc	Goosecoid	33240	https://www.ncbi.nlm.nih.gov/gene/?term=33240
CR43648	CR43648	NA	14462654	https://www.ncbi.nlm.nih.gov/gene/?term=14462654
lectin-21Cb	lectin-21Cb	lectin-21Cb	33242	https://www.ncbi.nlm.nih.gov/gene/?term=33242
CR44797	CR44797	NA	19836232	https://www.ncbi.nlm.nih.gov/gene/?term=19836232
lectin-21Ca	lectin-21Ca	lectin-21Ca	53552	https://www.ncbi.nlm.nih.gov/gene/?term=53552
CG2839	CG2839	NA	33244	https://www.ncbi.nlm.nih.gov/gene/?term=33244
ds	ds	dachsous	33245	https://www.ncbi.nlm.nih.gov/gene/?term=33245
Hsp60B	Hsp60B	Heat shock protein 60B	48572	https://www.ncbi.nlm.nih.gov/gene/?term=48572
Eaat2	Eaat2	Excitatory amino acid transporter 2	33247	https://www.ncbi.nlm.nih.gov/gene/?term=33247
GABA-B-R3	GABA-B-R3	metabotropic GABA-B receptor subtype 3	33248	https://www.ncbi.nlm.nih.gov/gene/?term=33248
CG12506	CG12506	NA	33249	https://www.ncbi.nlm.nih.gov/gene/?term=33249
Gr21a	Gr21a	Gustatory receptor 21a	33251	https://www.ncbi.nlm.nih.gov/gene/?term=33251
Pkg21D	Pkg21D	Protein kinase, cGMP-dependent at 21D	33253	https://www.ncbi.nlm.nih.gov/gene/?term=33253
CR45259	CR45259	NA	19835966	https://www.ncbi.nlm.nih.gov/gene/?term=19835966
Pex12	Pex12	Peroxin 12	33256	https://www.ncbi.nlm.nih.gov/gene/?term=33256
CG15880	CG15880	NA	33257	https://www.ncbi.nlm.nih.gov/gene/?term=33257
CR44060	CR44060	NA	14462656	https://www.ncbi.nlm.nih.gov/gene/?term=14462656
CG13949	CG13949	NA	33266	https://www.ncbi.nlm.nih.gov/gene/?term=33266
CR45345	CR45345	NA	19835464	https://www.ncbi.nlm.nih.gov/gene/?term=19835464
CR45348	CR45348	NA	19835631	https://www.ncbi.nlm.nih.gov/gene/?term=19835631
Lsp1beta	Lsp1beta	Larval serum protein 1 beta	33274	https://www.ncbi.nlm.nih.gov/gene/?term=33274
GluRIIC	GluRIIC	Glutamate receptor IIC	33275	https://www.ncbi.nlm.nih.gov/gene/?term=33275
CG4341	CG4341	NA	33276	https://www.ncbi.nlm.nih.gov/gene/?term=33276
CR44801	CR44801	NA	19834880	https://www.ncbi.nlm.nih.gov/gene/?term=19834880
CG4375	CG4375	NA	33278	https://www.ncbi.nlm.nih.gov/gene/?term=33278
CG4415	CG4415	NA	33279	https://www.ncbi.nlm.nih.gov/gene/?term=33279
CG4629	CG4629	NA	33284	https://www.ncbi.nlm.nih.gov/gene/?term=33284
CG14339	CG14339	NA	33286	https://www.ncbi.nlm.nih.gov/gene/?term=33286
CG14340	CG14340	NA	33287	https://www.ncbi.nlm.nih.gov/gene/?term=33287
MFS3	MFS3	Major Facilitator Superfamily Transporter 3	33292	https://www.ncbi.nlm.nih.gov/gene/?term=33292
CG14342	CG14342	NA	33310	https://www.ncbi.nlm.nih.gov/gene/?term=33310
CR45346	CR45346	NA	19835817	https://www.ncbi.nlm.nih.gov/gene/?term=19835817
CR43263	CR43263	NA	12797874	https://www.ncbi.nlm.nih.gov/gene/?term=12797874
robo3	robo3	roundabout 3	33314	https://www.ncbi.nlm.nih.gov/gene/?term=33314
a5	a5	antennal protein 5	33317	https://www.ncbi.nlm.nih.gov/gene/?term=33317
CG5440	CG5440	NA	33318	https://www.ncbi.nlm.nih.gov/gene/?term=33318
Cdlc2	Cdlc2	Cytoplasmic dynein light chain 2	33319	https://www.ncbi.nlm.nih.gov/gene/?term=33319
CR45005	CR45005	NA	19834729	https://www.ncbi.nlm.nih.gov/gene/?term=19834729
CG31924	CG31924	NA	319030	https://www.ncbi.nlm.nih.gov/gene/?term=319030
CG5565	CG5565	NA	33323	https://www.ncbi.nlm.nih.gov/gene/?term=33323
CG14346	CG14346	NA	33325	https://www.ncbi.nlm.nih.gov/gene/?term=33325
CR44897	CR44897	NA	19836205	https://www.ncbi.nlm.nih.gov/gene/?term=19836205
CG33128	CG33128	NA	326263	https://www.ncbi.nlm.nih.gov/gene/?term=326263
CG18131	CG18131	NA	33331	https://www.ncbi.nlm.nih.gov/gene/?term=33331
CR44064	CR44064	NA	14462659	https://www.ncbi.nlm.nih.gov/gene/?term=14462659
Or22a	Or22a	Odorant receptor 22a	33335	https://www.ncbi.nlm.nih.gov/gene/?term=33335
haf	haf	hattifattener	33339	https://www.ncbi.nlm.nih.gov/gene/?term=33339
CG10869	CG10869	NA	33337	https://www.ncbi.nlm.nih.gov/gene/?term=33337
CR44603	CR44603	NA	19835151	https://www.ncbi.nlm.nih.gov/gene/?term=19835151
chinmo	chinmo	Chronologically inappropriate morphogenesis	33343	https://www.ncbi.nlm.nih.gov/gene/?term=33343
CR44976	CR44976	NA	19834890	https://www.ncbi.nlm.nih.gov/gene/?term=19834890
CG17648	CG17648	NA	33357	https://www.ncbi.nlm.nih.gov/gene/?term=33357
Gr22f	Gr22f	Gustatory receptor 22f	117349	https://www.ncbi.nlm.nih.gov/gene/?term=117349
CG17650	CG17650	NA	33358	https://www.ncbi.nlm.nih.gov/gene/?term=33358
Gr22e	Gr22e	Gustatory receptor 22e	117498	https://www.ncbi.nlm.nih.gov/gene/?term=117498
Gr22c	Gr22c	Gustatory receptor 22c	117499	https://www.ncbi.nlm.nih.gov/gene/?term=117499
Gr22a	Gr22a	Gustatory receptor 22a	117500	https://www.ncbi.nlm.nih.gov/gene/?term=117500
CG31933	CG31933	NA	326176	https://www.ncbi.nlm.nih.gov/gene/?term=326176
CG31664	CG31664	NA	33359	https://www.ncbi.nlm.nih.gov/gene/?term=33359
c-cup	c-cup	calcutta cup	33360	https://www.ncbi.nlm.nih.gov/gene/?term=33360
wry	wry	weary	33361	https://www.ncbi.nlm.nih.gov/gene/?term=33361
CG31663	CG31663	NA	33363	https://www.ncbi.nlm.nih.gov/gene/?term=33363
CG7295	CG7295	NA	33365	https://www.ncbi.nlm.nih.gov/gene/?term=33365
CR44075	CR44075	NA	14462664	https://www.ncbi.nlm.nih.gov/gene/?term=14462664
CG15357	CG15357	NA	50192	https://www.ncbi.nlm.nih.gov/gene/?term=50192
erm	erm	earmuff	326152	https://www.ncbi.nlm.nih.gov/gene/?term=326152
CR42874	CR42874	NA	10178915	https://www.ncbi.nlm.nih.gov/gene/?term=10178915
Obp22a	Obp22a	Odorant-binding protein 22a	246672	https://www.ncbi.nlm.nih.gov/gene/?term=246672
CG33543	CG33543	NA	3346207	https://www.ncbi.nlm.nih.gov/gene/?term=3346207
CR43464	CR43464	NA	12797878	https://www.ncbi.nlm.nih.gov/gene/?term=12797878
CR45712	CR45712	NA	19834900	https://www.ncbi.nlm.nih.gov/gene/?term=19834900
CG42296	CG42296	NA	53544	https://www.ncbi.nlm.nih.gov/gene/?term=53544
lectin-22C	lectin-22C	lectin-22C	7354375	https://www.ncbi.nlm.nih.gov/gene/?term=7354375
CR45298	CR45298	NA	19835189	https://www.ncbi.nlm.nih.gov/gene/?term=19835189
Or22c	Or22c	Odorant receptor 22c	33381	https://www.ncbi.nlm.nih.gov/gene/?term=33381
dpr3	dpr3	defective proboscis extension response 3	3346208	https://www.ncbi.nlm.nih.gov/gene/?term=3346208
CR44055	CR44055	NA	14462665	https://www.ncbi.nlm.nih.gov/gene/?term=14462665
CG4259	CG4259	NA	33385	https://www.ncbi.nlm.nih.gov/gene/?term=33385
