geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0060089	molecular transducer activity	http://amigo.geneontology.org/amigo/term/GO:0060089	449	276	115.8416592892374	2.382562557316913	0	0	30978;31023;31107;31169;31207;31234;31408;31750;31767;31865;31867;32039;32085;32086;32099;32246;32553;32554;32562;32803;32860;32864;32928;32975;33007;33062;33157;33228;33244;33248;33251;33253;33275;33335;33381;33450;33453;33543;33623;33683;33788;33789;33798;33812;33823;33851;33962;34304;34341;34367;34545;34553;34601;34603;34615;34641;34642;34705;34761;34819;34826;34878;35332;35394;35449;35514;35516;35535;35644;35652;35655;35705;35743;35832;35980;36094;36125;36145;36168;36187;36283;36350;36368;36413;36436;36445;36475;36601;36702;36703;36790;36899;36960;36961;37004;37088;37191;37196;37272;37347;37501;37555;37711;37715;37716;37854;37883;37892;37905;38056;38098;38296;38298;38357;38453;38616;38622;38636;38742;38839;38858;38910;38935;39015;39063;39109;39120;39189;39269;39324;39389;39516;39564;39641;39663;39869;39929;39982;39983;39984;40019;40020;40034;40105;40157;40195;40198;40245;40345;40393;40401;40412;40575;40648;40650;40665;40744;40754;40891;40913;40955;41008;41011;41017;41018;41119;41286;41426;41513;41638;41639;41713;41715;41726;41809;41927;42133;42135;42136;42160;42258;42261;42402;42415;42425;42452;42471;42473;42523;42530;42561;42568;42652;42707;42711;42712;42820;42918;42919;42920;43026;43098;43146;43253;43305;43341;43375;43393;43414;43484;43551;43583;43643;43644;43656;43669;43681;43729;43822;43838;43875;43935;44126;44483;44484;44873;45910;53425;117327;117336;117338;117342;117343;117344;117345;117346;117348;117349;117467;117470;117472;117476;117477;117481;117484;117485;117486;117487;117488;117496;117498;117499;117500;117501;170887;192481;246395;260693;318011;318012;318013;318158;318623;318778;318912;318914;2768688;2768728;2768964;3346150;3346209;3885573;5740349;5740590;5740629;8673994	Ir21a;nAChRbeta3;CG2839;GABA-B-R3;Gr21a;Pkg21D;GluRIIC;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Or22c;Or23a;Gr23a;CG3277;Or24a;Ir25a;GluRIIA;GluRIIB;CG7236;TrissinR;dsf;CG13995;Ddr;Nlg2;Gr28a;Gr28b;nAChRalpha6;CG44153;mthl15;Ror;Ir31a;Gr32a;Gyc32E;Or33a;Or33c;Rh5;Gr33a;CG31760;Pk34A;Tehao;rk;nAChRalpha5;GABA-B-R1;Gr36a;Gr36b;Gr36c;CG31750;Hr38;Ret;clumsy;Gr39a;Ir40a;Or42a;Or42b;CCHa2-R;Or43a;Dscam1;Gr43a;CG1339;Or43b;mtt;Or45b;Or46a;Gr47a;stan;mthl13;CG12344;CG13229;Or47a;Gr47b;otk;Or49a;Dh44-R2;Or49b;Drl-2;Nrk;Dh31-R;Dh44-R1;Hr51;unc-5;Ptp52F;Alk;CG15614;mthl4;mthl3;CCHa1-R;CG33958;5-HT1B;5-HT1A;Toll-7;Gr57a;Gr58c;Gr58a;NtR;wrapper;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;CG43795;Or59b;Or59c;CG10339;CG13575;mAChR-A;CG13579;mthl9;Gr61a;MsR2;MsR1;FMRFaR;Gr63a;Gr64a;Gr64f;Ir64a;Lkr;mthl2;Or65a;Or65b;Or65c;GluRIA;CG32395;mthl6;PGRP-SD;mthl7;Gr66a;TrpA1;GluRIB;PGRP-LC;Or67a;Or67b;Or67c;Ir68a;Gr68a;Rh7;Or69a;CG10738;btl;Or71a;Toll-6;PGRP-SB2;Or74a;Ir75a;Ir75b;Ir75c;Grd;AstC-R2;AstC-R1;GNBP1;CG32206;Ir76a;sNPF-R;Ir76b;Toll-9;Gr77a;Eip78C;CapaR;CG7166;CG32447;Oct-TyrR;Or82a;CG34357;5-HT2A;Or83a;Orco;Nmdar1;Or83c;NPFR;Ir84a;Nlg1;mAChR-B;Or85c;Or85d;5-HT2B;Or85e;Or85f;mthl11;TkR86C;HisCl1;CG34402;Octbeta3R;PK2-R2;PK2-R1;PK1-R;Or88a;Dop1R1;Sdr;CG31183;Lgr1;TyrRII;TyrR;htl;CG18208;Rh2;ort;Nlg4;Ir92a;Or92a;GluRIIE;GluRIID;Ir93a;CG3822;ETHR;SIFaR;GABA-B-R2;Gr93a;Gr93b;Gr93d;Octbeta1R;klg;Or94a;Or94b;CG34355;nAChRalpha1;nAChRalpha2;nAChRbeta2;Cad96Ca;Lgr3;CCAP-R;boss;Gr97a;RYa-R;Gr98a;Gr98b;Gr98c;CG34353;Or98a;Or98b;AstA-R2;CG33203;Dop1R2;TkR99D;AdoR;CG12069;Pka-C2;tll;5-HT7;CG15556;kek6;mGluR;CG11155;Or1a;fz3;Nmdar2;CG4313;Or2a;Pdfr;AstA-R1;Proc-R;Gr5a;Or7a;nAChRalpha3;Gr8a;Ir8a;Gr9a;sev;Gr10b;Gr10a;Or10a;PGRP-SA;hec;CG8916;Lcch3;Or13a;CG33639;CG32547;CCKLR-17D1;CCKLR-17D3;nAChRalpha7;et;Dop2R;Or19b;shakB
GO:0008324	cation transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0008324	358	164	92.36372834197547	1.775588782999233	0	0	31107;31235;31246;31317;31550;31621;31767;31867;32092;32158;32428;32468;32606;32671;32731;32928;33228;33247;33275;33545;33547;33548;33599;33683;33768;33788;33789;33886;33887;34046;34047;34048;34049;34051;34299;34304;34482;34499;34651;34661;34695;34826;34843;34863;34886;34921;34950;34951;34980;34991;35006;35376;35394;35915;36005;36071;36249;36328;36331;36526;36574;36742;36806;36849;36864;36900;37047;37157;37286;37398;37479;37498;37566;37614;37843;37844;37895;37953;37981;38037;38133;38352;38504;38521;38589;38616;38742;38835;39015;39282;39489;39571;39626;39982;39983;39984;40116;40129;40198;40271;40551;40650;40665;40727;40748;40866;40867;40891;40931;41075;41125;41175;41449;41671;41806;42041;42222;42245;42307;42473;42739;42770;42918;42919;42920;43188;43324;43486;43487;43489;43668;43702;43822;44483;44484;45338;117368;246504;246543;318213;318575;318593;318623;318868;318912;326167;2768722;2768910;2768938;2768939;2768941;2768987;3346192;3346226;3354990;3354991;3885612;3885617;5740840;7354434;7354472;8674091;19835490;19835750	nAChRbeta3;Eaat2;GluRIIC;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;Ir25a;nompC;GluRIIA;GluRIIB;CG31644;ppk7;ppk14;Ntl;CG33296;CG13793;CG13794;CG13795;CG13796;Shawl;ppk16;ppk11;nAChRalpha6;Ir31a;ppk10;Vha16-5;Porin2;ZnT33D;Pkd2;CG5421;Vha68-3;nAChRalpha5;ppk;CG15279;CG33310;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;ppk13;Nhe2;clumsy;ppk25;CNT1;CG1688;CG44296;KCNQ;Tret1-2;Vha36-2;CG8850;Vmat;stj;VGAT;CG8249;CngA;DAT;Nach;Vha16-4;Elk;List;Vha100-3;ppk6;CG34396;CngB;ppk9;ppk12;CG45063;CG42260;ppk3;sei;ppk29;SerT;Mid1;NaCP60E;pyx;CG9194;Shab;tipE;VhaM9.7-a;Rh50;Ir64a;GluRIA;ppk26;TrpA1;GluRIB;Vha16-2;CG17300;nan;Zip71B;Ir75a;Ir75c;Grd;brv1;Shal;Ir76b;ZnT77C;ppk5;CG1090;Orco;Nmdar1;CG1208;Vha14-2;CG14606;CG14605;Ir84a;wtrw;CG31100;Task7;CG9444;GC2;Task6;VhaPPA1-2;VhaM9.7-d;CG10864;CG7708;CG11703;GluRIIE;GluRIID;CG3822;VhaAC39-2;Irk2;prt;nAChRalpha1;nAChRalpha2;nAChRbeta2;ppk22;ppk15;ppk31;unc80;ppk20;ppk30;ppk19;Ctr1C;ppk24;CG11155;Nmdar2;Vha36-3;brv3;CG10804;ppk8;CG42594;CG42265;Ca-alpha1T;CG42340;iav;nAChRalpha3;Ir8a;CG43155;cac;na;eag;Cngl;CG4239;ppk28;ppk23;nAChRalpha7;CG12061;CG17167
GO:0022803	passive transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0022803	250	165	64.49981029467561	2.558147058823529	0	0	31107;31246;31550;31621;31686;31694;31767;31867;32067;32092;32158;32189;32428;32468;32553;32554;32606;32671;32731;32901;32928;33062;33109;33126;33157;33228;33275;33599;33683;33768;33788;33789;33886;33887;34299;34304;34499;34651;34826;34843;34886;34921;34950;34951;34980;34991;35006;35394;35449;36005;36071;36095;36145;36254;36456;36526;36715;36716;36806;36864;37022;37047;37250;37252;37286;37398;37479;37498;37566;37614;37843;37844;37881;37895;37917;37953;37981;38037;38133;38352;38504;38616;38742;38835;39015;39110;39194;39269;39362;39571;39660;39661;39982;39983;39984;40116;40129;40157;40198;40551;40650;40665;40891;40931;41052;41125;41426;41428;41654;41671;42222;42415;42471;42473;42765;42768;42770;42918;42919;42920;43145;43188;43324;43486;43487;43489;43702;43753;43822;43935;44483;44484;45338;45910;246442;246504;246631;317838;318213;318575;318593;318610;318623;318632;318727;318728;318912;2768714;2768722;2768987;3346226;3354990;3354991;3885612;3885617;3885628;5740840;7354400;7354416;7354417;7354418;7354434;7354472;8673994;8674091	Ir21a;nAChRbeta3;GluRIIC;Shaw;Ir25a;nompC;GluRIIA;GluRIIB;ppk7;ppk14;Shawl;ppk16;ppk11;nAChRalpha6;Ir31a;ppk10;Porin2;Pkd2;nAChRalpha5;ppk;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;ppk13;clumsy;Ir40a;Ir41a;ppk25;CG1688;KCNQ;Ir47a;CG12344;Ir48b;AQP;stj;Ir51b;Ir52a;Ir52b;Ir52d;CngA;Nach;Ir54a;Elk;Ir56b;Ir56d;ppk6;CG34396;CngB;ppk9;NtR;ppk12;CG42260;ppk3;sei;ppk29;Ir60a;SerT;Ir60b;Ir60e;Mid1;NaCP60E;pyx;CG9194;Ir62a;Shab;tipE;Ir64a;GluRIA;ppk26;TrpA1;GluRIB;Ir67a;Ir67b;Ir67c;Ir68a;CG6938;nan;Best4;Best3;Ir75a;Ir75b;Ir75c;Grd;brv1;Shal;Ir76a;Ir76b;ppk5;CG1090;Orco;Nmdar1;Ir84a;wtrw;Ir85a;Task7;HisCl1;ClC-a;Ir87a;Task6;CG10864;ort;Ir92a;GluRIIE;GluRIID;Ir93a;CG3822;Ir94a;Ir94b;Ir94c;Ir94e;Ir94f;Ir94g;Irk2;nAChRalpha1;nAChRalpha2;nAChRbeta2;ppk22;CG14540;ppk15;ppk31;unc80;ppk20;ppk30;ppk19;ppk24;Ir100a;CG11155;Nmdar2;brv3;ppk8;CG42594;CG42265;Ca-alpha1T;CG42340;iav;Ir7a;Ir7d;Ir7e;Ir7f;Ir7g;nAChRalpha3;Ir8a;Ir10a;CG43155;cac;Ir11a;na;eag;Cngl;CG8916;Lcch3;CG4239;ppk28;ppk23;Inx5;nAChRalpha7;shakB;tty;Ir20a;CG12061;CG17167
GO:0005549	odorant binding	http://amigo.geneontology.org/amigo/term/GO:0005549	111	65	28.63791577083597	2.2697182476594238	2.0472512574087887e-13	6.704747868013783e-12	30978;31207;31750;32086;32562;33335;33381;33450;33623;34601;34603;35514;35516;35644;35743;35980;36088;36187;36207;36350;36413;36600;37265;37605;37607;37711;37715;37716;39109;39120;39189;39641;39929;40136;40648;40650;40737;40744;40746;40747;41008;41011;41018;41119;41715;42425;42711;42712;43341;43375;170878;170882;246432;246666;246667;246672;260693;318011;318012;318013;318778;326110;2768728;2768955;2768964	Or22a;Obp22a;Or22c;Or23a;Or24a;Or33a;Or33c;Or42a;Or42b;Or43a;Or43b;Or45b;Or46a;Obp46a;Or47a;Obp47b;Or49a;Or49b;Obp50a;Obp50e;Obp51a;Obp56b;Obp56c;Obp56i;Obp57e;Obp59a;Obp58b;Or59a;Or59b;Or59c;Or65a;Or65b;Or65c;Or67a;Or67b;Or67c;Or69a;Or71a;Obp73a;Or74a;lush;Or82a;Or83a;Orco;Obp83a;Or83c;Obp83cd;Obp83ef;Obp83g;Or85c;Or85d;Or85e;Or85f;Or88a;Or92a;Or94a;Or94b;Or98a;Or98b;Or1a;Or2a;Or7a;Or10a;Or13a;Or19b
GO:0017171	serine hydrolase activity	http://amigo.geneontology.org/amigo/term/GO:0017171	296	124	76.36777538889592	1.6237215156332803	5.840961048164672e-10	1.530331794619144e-8	31033;31763;31797;32688;32831;32978;33385;33410;33483;33484;33667;33923;34226;34640;34743;34836;34859;34941;35050;35182;35691;35802;35906;35908;36036;36489;36852;36962;37309;37486;37491;37650;37705;37898;37974;38681;38687;38847;38953;39058;39124;39395;39421;39586;39597;39808;40098;40315;40317;40532;41048;41110;41482;41484;41496;41606;41608;41729;41958;41996;42016;42067;42323;42344;42347;42790;42800;43181;43360;43395;43396;43397;43432;43600;43601;43646;44856;59137;59145;59225;246384;246443;246444;246446;246447;246449;246456;246509;246529;246530;246532;246575;317943;318002;318005;318071;318192;318901;326126;326163;326265;2768840;2768841;2768846;2768847;2768859;2768923;2768924;2768944;3355066;3885587;3885588;5740179;5740413;5740609;5740743;5740854;5740868;10178792;12798282;12798330;12798414;14462452;14462622	CG4259;CG17234;CG4271;CG18557;CG3117;CG3355;CG11319;Try29F;rho-5;rho-6;CG9377;Send2;CG4650;CG18636;CG18420;CG31823;CG4793;CG18563;CG17572;CG17684;Corin;CG14760;CG30375;CG13744;CG8170;CG30002;CG12133;Ser8;CG30091;CG30082;CG30088;CG30087;CG33460;CG33461;CG33462;CG30083;CG33465;CG30098;CG33458;CG33459;CG4927;CG34458;CG10764;CG43110;CG11192;CG30289;CG30286;CG30287;CG33226;CG18735;CG4386;CG9294;CG43742;CG30187;CG42694;CG32833;CG30414;CG15873;CG3650;ru;CG33159;CG33160;CG32260;CG6462;CG6592;sphinx1;CG16998;CG32376;Jon66Cii;CG4477;CG18179;CG11529;CG10663;CG4613;CG4914;CG4998;CG14088;Sems;CG11037;CG14642;CG13318;CG12951;CG34409;CG17404;CG12256;CG3916;CG10041;CG11668;CG11670;CG9631;CG43336;Sb;CG10405;CG14892;CG17477;CG11626;CG31220;CG31219;CG7432;CG16710;CG18754;CG10232;CG34290;CG34129;CG4815;CG43124;CG34436;CG34437;CG9997;aqrs;CG34295;intr;CG11843;CG9737;CG9733;CG11313;CG11664;CG32755;CG1632;spirit;CG45002;Hayan;CG14227;CG32523
GO:0004175	endopeptidase activity	http://amigo.geneontology.org/amigo/term/GO:0004175	432	161	111.45567218919945	1.444520470225127	4.329948755099622e-8	9.453721448634174e-7	31033;31490;31511;31547;31763;31797;32561;32831;32856;32978;33005;33385;33410;33449;33451;33483;33484;33667;33892;33893;34226;34494;34640;34671;34726;34743;34836;34859;34941;35020;35050;35182;35691;35802;35906;35908;36036;36366;36489;36531;36852;36907;36962;37309;37315;37486;37491;37650;37683;37705;37898;37910;37974;38681;38687;38847;38953;39058;39124;39272;39273;39395;39421;39586;39597;39808;40098;40315;40317;40532;40621;40740;41048;41110;41482;41484;41496;41606;41608;41729;41958;41996;42016;42067;42094;42096;42344;42347;42449;42457;42699;42700;42754;42790;42800;42895;42944;42945;43014;43181;43255;43360;43395;43396;43397;43408;43411;43412;43432;43558;43600;43601;43646;43679;44856;59137;59145;59225;246384;246443;246444;246446;246447;246449;246456;246509;246529;246530;246532;246575;317943;318002;318005;318071;318192;318901;326126;326263;326265;2768840;2768841;2768846;2768847;2768859;2768923;2768924;2768944;3885587;3885588;5740179;5740413;5740609;5740743;5740854;5740868;10178792;12798282;12798330;12798414;14462452;14462622	CG33128;CG4259;CG17234;CG4271;Prosbeta4R1;Prosbeta4R2;CG18557;CG3117;CG3355;CG9507;CG42370;Try29F;rho-5;CG17134;rho-6;CG15485;Prosalpha6T;CG9377;Send2;CG4650;CG18636;CG18420;CG4793;CG13283;CG18563;CG17572;Corin;CG14760;CG30375;CG13744;CG8170;CG30002;CG12133;CG8550;Ser8;CG6347;CG30091;CG30082;CG30088;CG30087;CG33460;CG33461;CG33462;CG30083;CG33465;CG30098;CG33458;CG33459;CG4927;CG34458;ste24b;CG10764;CG43110;CG11192;CG13423;CG30289;CG30286;CG30287;CG33226;CG18735;CG4386;CG9294;CG43742;CG30187;CG42694;CG32833;yip3;CG30414;CG15873;Prosalpha4T2;CG3650;ru;CG33159;CG33160;CG32260;CG6462;CG6592;sphinx1;CG16998;CG32376;Jon66Cii;CG4477;CG18179;CG7573;CG6168;CG11529;CG10663;CG4613;CG4914;CG4998;CG14088;Sems;CG11037;CG14642;Prosbeta2R2;CG10280;CG13318;CG12951;CG34409;CG17404;CG12256;CG3916;CG10041;CG11668;CG11670;CG9631;CG43336;Sb;CG10405;CG14892;CG17477;CG17283;CG5863;CG31220;CG31219;CG7432;Nep4;Prosalpha4T1;CG4725;CG4723;CG6763;CG16710;CG18754;CG10232;CG34290;CG5715;tok;tld;CG13650;CG34129;Nep5;CG4815;CG43124;CG34436;CG34437;CG9997;aqrs;CG34295;intr;CG14529;CG14523;CG14527;CG11843;Tace;CG9737;CG9733;CG11313;Prosalpha3T;CG11664;CG4096;Prosbeta2R1;CG32755;Nep1;CG1632;spirit;mmd;Hayan;CG6696;CG14227;Nep3;CG32523
GO:0008061	chitin binding	http://amigo.geneontology.org/amigo/term/GO:0008061	122	58	31.475907423801697	1.8426792028286723	1.5796819663460582e-7	2.9562619655904806e-6	31935;33023;33144;33158;34336;35002;35845;36723;36880;37390;37522;38292;38293;38370;38386;38434;38906;38907;39010;39346;39352;39353;39354;39355;39356;39509;39511;39681;39756;40202;40209;40211;40212;40213;40215;40216;40869;40970;41687;42080;42232;42235;42248;42250;42251;42720;50074;50080;50424;53544;246535;2768952;3346166;3885639;3885667;5740165;8674097;12798218	Cda5;CG42296;Muc26B;obst-B;ChLD3;CG8642;CG8192;resilin;Cht8;Cht12;CG30280;CG13806;CG32302;Cht7;CG14957;CG42525;CG10359;CG13676;CG13675;CG34427;CG13312;CG5897;CG5883;CG7252;CG17826;obst-G;CG7248;CG43294;CG33263;CG10154;CG10140;CG33985;CG42729;obst-H;CG13075;obst-J;obst-F;CG7290;CG6996;CG7017;CG17145;CG17147;CG14607;mtg;Cht5;Mur89F;CG14304;CG14301;CG14300;CG34282;CG7714;CG7715;CG13837;CG13643;CG14244;Cht6;Peritrophin-A;Cda4
GO:0005506	iron ion binding	http://amigo.geneontology.org/amigo/term/GO:0005506	151	66	38.957885417984066	1.694137125048695	1.0976314048782854e-6	1.7973714254881923e-5	31188;31192;31193;32138;32170;32172;32260;32325;32857;33127;33438;33439;33748;33756;35115;35948;36105;36317;36318;36378;36412;36661;36666;36667;37139;38121;38840;38841;39592;40005;40024;40025;40026;40028;40224;41019;41272;41486;41487;41488;41536;41586;41605;41629;43304;43416;43620;43623;43624;43625;43628;43629;43663;44632;44858;45282;45706;49165;50001;246648;317911;326111;326112;326114;5740402;19836250	Cyp309a1;Cyp309a2;Cyp28d2;Cyp4ac3;Cyp6a16;CG34345;Cyp303a1;Cyp310a1;Cyp4e1;Cyp4p3;Cyp49a1;Cyp12d1-p;Cyp6g2;Cyp6t3;Cyp301a1;Cyp9h1;Cyp6a23;Cyp6a8;Cyp317a1;CG5493;Trh;dib;Cyp316a1;Cyp4d8;shd;Cyp312a1;CG18234;CG18233;CG18231;CG32201;CG32199;rdgC;CG15864;Cyp313b1;Cyp12e1;sad;Cyp313a5;Cyp313a2;Cyp313a3;Desat2;Cyp304a1;ry;CG8630;Cyp6a18;CG11828;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;PH4alphaSG1;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013;Cyp4c3;Cyp4d1;Cyp4d14;Cyp4d2;Cyp4ae1;Cyp28c1;Cyp311a1;Cyp318a1;Fer3HCH;CG11162;phm;Cyp6t1
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	http://amigo.geneontology.org/amigo/term/GO:0016701	39	24	10.061970405969396	2.385218702865761	2.5528596772073087e-6	3.71582908571286e-5	32026;34552;36481;37139;40024;40025;40026;40028;41678;43416;43620;43623;43624;43625;43626;43628;43629;50001;317911;326111;326112;326114;3885583;5740402	CG34345;hgo;CG10814;CG5493;CG18234;CG18233;CG18231;CG32201;CG32199;CG15864;ninaB;CG11828;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;CG31371;PH4alphaSG1;CG34041;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013;v
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	http://amigo.geneontology.org/amigo/term/GO:0016705	167	69	43.08587327684331	1.6014529764001406	7.127687154495632e-6	9.337270172389278e-5	31188;31192;31193;31718;32138;32170;32172;32325;32857;33127;33438;33439;33748;33756;34495;35115;35724;35948;36105;36317;36318;36378;36412;36481;36661;36666;36667;38121;38840;38841;39592;40005;40024;40025;40026;40028;40453;41019;41272;41486;41487;41488;41536;41586;41629;43304;43416;43620;43623;43624;43625;43626;43628;43629;43663;44632;44858;45282;45706;49165;50001;246648;317911;326111;326112;326114;3885583;5740402;19836250	Cyp309a1;Cyp309a2;Cyp28d2;Cyp4ac3;Cyp6a16;CG34345;Nos;Cyp303a1;Cyp310a1;cn;Cyp4e1;Cyp4p3;Cyp49a1;Cyp12d1-p;Cyp6g2;Cyp6t3;Cyp301a1;Cyp9h1;CG10814;Cyp6a23;Cyp6a8;Cyp317a1;Trh;dib;Cyp316a1;Cyp4d8;shd;Cyp312a1;CG18234;CG18233;CG18231;CG32201;CG32199;olf413;CG15864;Cyp313b1;Cyp12e1;sad;Cyp313a5;Cyp313a2;Cyp313a3;Desat2;Cyp304a1;CG8630;Cyp6a18;CG11828;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;CG31371;PH4alphaSG1;CG34041;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013;Cyp4c3;Cyp4d1;Cyp4d14;Cyp4d2;Cyp4ae1;Tbh;Cyp28c1;Cyp311a1;Cyp318a1;CG11162;phm;Cyp6t1
