geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
dme04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?dme04080+40575+42530+43838+43669+36368+40393+35535+37191+34878+37196+32554+43484+40665+37004+33248+43098+32864+36475+318901+326265+31107+33007+32860+41017+37892+41286+42561+39984+42133+43551+40955+36601+41639+41638+32553+34226+41726+43583+41713	56	39	8.170693442108565	4.7731566820276505	0	0	40575;42530;43838;43669;36368;40393;35535;37191;34878;37196;32554;43484;40665;37004;33248;43098;32864;36475;318901;326265;31107;33007;32860;41017;37892;41286;42561;39984;42133;43551;40955;36601;41639;41638;32553;34226;41726;43583;41713	GABA-B-R3;Try29F;GABA-B-R1;CCHa2-R;Dh44-R2;Dh31-R;Dh44-R1;CCHa1-R;5-HT1B;5-HT1A;mAChR-A;CG33159;CG33160;Grd;CapaR;5-HT2A;Nmdar1;mAChR-B;5-HT2B;TkR86C;PK2-R2;PK2-R1;PK1-R;Dop1R1;Lgr1;SIFaR;GABA-B-R2;Lgr3;Dop1R2;TkR99D;AdoR;5-HT7;mGluR;Nmdar2;CG8916;Lcch3;CCKLR-17D1;CCKLR-17D3;Dop2R
dme00512	Mucin type O-glycan biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00512+43394+33481+33485+33479+33568+261610+33556+38106+3885645+5740612+5740876+39715+39713+32896+39714+35792	24	16	3.501725760903671	4.569175627240144	7.91227228180702e-9	5.002678618026835e-7	43394;33481;33485;33479;33568;261610;33556;38106;3885645;5740612;5740876;39715;39713;32896;39714;35792	CG3119;CG2975;CG2983;pgant2;CG31776;pgant4;CG8708;CG34056;CG34057;CG7304;CG7579;pgant8;CG34452;CG34451;CG10000;tgy
dme00330	Arginine and proline metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00330+43416+42892+43623+50001+40026+326111+326112+326114+43620+326188+40028+317911+326209+5740402+36844+41922+36847+38986+39556+34495+35767+43629+43628+43624+43625	53	25	7.732977721995606	3.23290728342463	1.1634136320992639e-8	5.002678618026835e-7	43416;42892;43623;50001;40026;326111;326112;326114;43620;326188;40028;317911;326209;5740402;36844;41922;36847;38986;39556;34495;35767;43629;43628;43624;43625	CG34345;Nos;Odc2;S-Lap8;loopin-1;S-Lap1;S-Lap2;S-Lap4;CG6661;CG18231;CG32201;CG32199;CG15864;CG4546;CG13611;CG11828;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;PH4alphaSG1;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013
dme02010	ABC transporters	http://www.kegg.jp/kegg-bin/show_pathway?dme02010+38726+38725+41387+42382+35163+36428+39977+39971+38193+36582+47905+35366	22	12	3.209915280828365	3.7384164222873904	1.3032296878767724e-5	4.202915743402591e-4	38726;38725;41387;42382;35163;36428;39977;39971;38193;36582;47905;35366	CG31792;CG9270;l(2)03659;Mdr49;Mdr50;ABCB7;CG10226;Mdr65;CG6052;CG42816;Mrp4;CG31213
dme01100	Metabolic pathways	http://www.kegg.jp/kegg-bin/show_pathway?dme01100+43394+36627+36649+39469+40748+37130+32345+35307+32325+40409+33993+37541+40470+40875+35829+43416+43463+43512+39945+39279+31024+38521+38462+36079+36328+53512+36510+36524+42892+32964+42266+43461+43618+41468+42041+33476+31718+33064+43623+43661+35724+37375+50001+53501+34759+39741+39393+53504+5740847+37159+37756+40026+38370+31995+32026+40908+32212+33475+33481+33485+246409+31402+36969+246458+246535+246543+326111+326112+326114+43620+318597+33479+261628+318753+318868+326159+33568+318995+261610+326187+326188+317841+39282+40028+317911+317923+326209+38358+37861+33556+37540+31551+43191+37538+117364+38106+3885645+42402+5740402+35738+5740362+5740612+5740876+36076+37900+37695+41476+41253+3355171+31606+12797919+31935+326128+37590+19835750+36844+42739+41326+36847+53503+34552+37950+34586+34695+34409+41236+43189+37139+34355+43124+39975+41574+32816+39281+42326+38986+41324+41334+53506+53502+39556+34495+34482+42732+39653+31407+41806+42626+42621+39715+39713+40203+41787+39994+32896+39714+41605+36839+42178+32496+36863+31235+34124+36394+53583+35827+35792+35767+36904+36900+33839+38121+32497+41687+41680+37390+40347+53584+32418+43629+43628+43624+43625+31994+33431+33459	1012	186	147.65610291810478	1.2596837944664034	2.9315728909407035e-5	7.563458058627015e-4	43394;36627;36649;39469;40748;37130;32345;35307;32325;40409;33993;37541;40470;40875;35829;43416;43463;43512;39945;39279;31024;38521;38462;36079;36328;53512;36510;36524;42892;32964;42266;43461;43618;41468;42041;33476;31718;33064;43623;43661;35724;37375;50001;53501;34759;39741;39393;53504;5740847;37159;37756;40026;38370;31995;32026;40908;32212;33475;33481;33485;246409;31402;36969;246458;246535;246543;326111;326112;326114;43620;318597;33479;261628;318753;318868;326159;33568;318995;261610;326187;326188;317841;39282;40028;317911;317923;326209;38358;37861;33556;37540;31551;43191;37538;117364;38106;3885645;42402;5740402;35738;5740362;5740612;5740876;36076;37900;37695;41476;41253;3355171;31606;12797919;31935;326128;37590;19835750;36844;42739;41326;36847;53503;34552;37950;34586;34695;34409;41236;43189;37139;34355;43124;39975;41574;32816;39281;42326;38986;41324;41334;53506;53502;39556;34495;34482;42732;39653;31407;41806;42626;42621;39715;39713;40203;41787;39994;32896;39714;41605;36839;42178;32496;36863;31235;34124;36394;53583;35827;35792;35767;36904;36900;33839;38121;32497;41687;41680;37390;40347;53584;32418;43629;43628;43624;43625;31994;33431;33459	CG9886;CG9961;CG2964;G6P;CG3119;CG2975;CG2983;pgant2;CG31776;pgant4;CG31773;CG31644;Gal;Ugt37b1;CG34345;CG11289;CG8349;CG31874;CG5731;gny;Vha16-5;Nos;hgo;CG4988;Vha68-3;CG16848;Ugt36Bb;Ugt37a1;cn;Dgk;Odc2;CG8708;Mal-A4;Mal-A7;CG44296;Hdc;CG12913;CG30037;Vha36-2;CG8646;CG13334;S-Lap7;Adgf-E;CG10202;CG7848;S-Lap8;loopin-1;Amyrel;Ugt37c1;Vha16-4;CG9010;NT5E-2;CG30103;CG10924;CG5493;CG17821;Vha100-3;CG15651;Cht8;Cht12;CG3292;CG3264;CG11291;Ugt58Fa;CG3502;CG18128;CG3253;CG3483;ST6Gal;CG34056;CG34057;Trh;CG32487;Cht7;CG12766;VhaM9.7-a;S-Lap1;S-Lap2;S-Lap3;S-Lap4;Elo68alpha;CG12289;CG6140;Vha16-2;Est-P;CG10748;CG6661;FucTA;CG7304;CG7579;pgant8;CG34452;CG34451;CG17028;CG43206;CG12229;Adgf-B;CG7402;CG18231;CG32201;CG32199;Csas;CG7335;CG9389;CG11249;CG11437;Vha14-2;Gld;alpha-Est2;CG31473;CG34384;CG15864;CG5361;CG3999;CG6629;CG4706;Ugt86Di;Ugt86Dg;Ugt86De;Ugt35a;Ugt86Dj;Ugt86Dh;CG14740;CG3809;CG5999;ry;Adgf-C;CG31469;Cht5;CG7362;VhaPPA1-2;VhaM9.7-d;CG7985;Ada2a;CG14291;CG6255;Nlg4;CG7069;CG7059;CG6738;VhaAC39-2;CG13611;CG31115;alpha4GT2;CG5432;Hex-t1;Hex-t2;CG10000;CG11828;CG14507;CG11951;sro;CDase;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;PH4alphaSG1;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013;CG15547;CG17636;tw;Vha36-3;CG3009;CG7024;vanin-like;CG4095;Tbh;Cht6;CG9806;CG2111;v;CG2543;CG11162;CG10996;CG9514;CG9220;CG8105;CG6106;tgy;CG14212;CG15450;FucTC
dme00620	Pyruvate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00620+39469+37130+31830+49997+40409+39945+36510+34807+33475+318995+5740441+31606+39281+31407+42621+41787+36839	46	17	6.711641041732036	2.5329125759700797	1.333164822882038e-4	0.0025260524629365467	39469;37130;31830;49997;40409;39945;36510;34807;33475;318995;5740441;31606;39281;31407;42621;41787;36839	CG2964;CG31874;CG34161;Acyp;CG13334;CG7848;CG10924;CG6140;CG10748;CG12229;CG11249;CG11052;CG7362;CG7069;CG7024;CG4095;CG10970
dme00830	Retinol metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00830+35307+33993+53512+33679+53501+53504+37590+53503+41574+41334+53506+53502+53583+53584	34	14	4.9607781612802	2.8221378874130303	1.3707261426787465e-4	0.0025260524629365467	35307;33993;53512;33679;53501;53504;37590;53503;41574;41334;53506;53502;53583;53584	CG15629;Ugt37b1;CG11289;Ugt36Bb;Ugt37a1;Ugt37c1;Ugt58Fa;Ugt86Di;Ugt86Dg;Ugt86De;Ugt35a;Ugt86Dj;Ugt86Dh;CG5999
dme00053	Ascorbate and aldarate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00053+35307+33993+53512+53501+53504+37590+53503+41574+41334+53506+53502+53583+53584	33	13	4.814872921242547	2.6999674160964484	4.0158478663498975e-4	0.00647555468448921	35307;33993;53512;53501;53504;37590;53503;41574;41334;53506;53502;53583;53584	Ugt37b1;CG11289;Ugt36Bb;Ugt37a1;Ugt37c1;Ugt58Fa;Ugt86Di;Ugt86Dg;Ugt86De;Ugt35a;Ugt86Dj;Ugt86Dh;CG5999
dme00010	Glycolysis / Gluconeogenesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00010+36649+37130+32345+40409+39945+36510+33476+33475+43191+117364+34586+43189+31407+42626+42621+41787+36904+33459	55	18	8.024788202070912	2.243049853372434	4.931431439596512e-4	0.007068385063421667	36649;37130;32345;40409;39945;36510;33476;33475;43191;117364;34586;43189;31407;42626;42621;41787;36904;33459	CG9961;CG2964;G6P;CG4988;CG13334;CG10202;CG9010;CG10924;CG12229;CG11249;CG7362;CG7069;CG7059;CG5432;Hex-t1;Hex-t2;CG7024;CG10996
dme04213	Longevity regulating pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04213+40333+43644+39149+35419+53427+53432+48582+38285+317967+2768992+42852+38284+43133+48583+41609+40180+34198	56	17	8.170693442108565	2.0806067588325656	0.0018134189294979342	0.023393104190523352	40333;43644;39149;35419;53427;53432;48582;38285;317967;2768992;42852;38284;43133;48583;41609;40180;34198	CG9314;ACXB;ACXA;Ac3;ACXD;CG32301;CG32305;Ilp1;Ilp5;Ac76E;Ac78C;Hsp70Bb;Hsp70Bc;Hsc70-2;Hsp68;CG5948;Pka-C2
