geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0000904	cell morphogenesis involved in differentiation	http://amigo.geneontology.org/amigo/term/GO:0000904	493	153	79.75930897630442	1.9182713837886252	0	0	30971;31075;31165;31239;31293;31350;31554;31620;31622;31722;31816;31987;32057;32078;32080;32115;32119;32229;32256;32358;32743;32910;32920;32981;33014;33185;33262;33418;33834;33903;33981;34328;34519;34636;34772;34790;34793;34896;34974;35154;35197;35524;35555;35648;35900;35969;36040;36238;36329;36431;36491;36538;36550;36678;36773;36775;36791;36810;36915;37201;37230;37386;37528;37822;37837;37841;37859;37888;38146;38160;38385;38516;38580;38748;39106;39169;39443;39524;39693;39744;39826;39866;39875;39879;39958;40045;40147;40165;40391;40462;40517;40553;40607;40680;40699;41087;41094;41140;41168;41718;41737;41840;41852;41952;41995;42025;42186;42297;42313;42358;42389;42428;42446;42496;42504;42524;42853;42986;43080;43256;43402;43604;43651;43819;43901;43916;44027;44030;44039;44100;44205;44235;44548;44817;44839;45233;45655;45821;45830;45976;46068;47251;47594;48448;48973;49045;49070;49260;50225;50356;252554;3355072;3355143	spen;kis;dock;capt;Rab5;for;chic;mmy;smt3;Dref;SCAR;Rab6;kuz;Sos;Arpc1;Cul3;chif;Nak;brat;bur;p120ctn;Src42A;jing;Br140;Acsl;babo;prel;TER94;lola;E(Pc);Cam;Psc;cnn;tum;CG6701;Prosap;aPKC;chn;Dg;Rho1;Lis-1;Khc;RhoGEF2;sbb;ena;hts;shg;dom;retn;Sox14;Chi;tsr;enok;betaTub60D;Rac1;Ptp61F;Patj;msn;Girdin;ago;Src64B;Dhc64C;velo;path;nudE;Ptp69D;Liprin-beta;RhoGAP71E;brm;Mbs;fax;Abl;Dab;CG9705;nudC;Nedd4;ftz-f1;CG8765;trc;chb;Wnk;Hem;CkIIalpha;alpha-Cat;CG41099;Cont;Gnf1;kra;Xe7;Pak;Rel;pum;Ras85D;Scm;Fmr1;Pp1-87B;Abi;trx;Hsc70-4;Tm1;msps;Pak3;Fas1;14-3-3epsilon;nos;Dl;Ire1;psidin;Stat92E;bon;Pi3K92E;RhoGAP93B;slmb;Rab1;sav;SMC1;ssh;XNP;spz;WASp;hdc;wts;Gprk2;pho;G9a;DAAM;usp;egh;N;lva;sqh;pod1;Nf-YC;fs(1)h;Moe;spri;Gtp-bp;Dlic;dsh;hop;Ptp10D;bif;CG12717;hep;ben;mud;Rok;RhoGAPp190;CG34401;Ulp1;Vav;Cdc42;Rab35
GO:0009890	negative regulation of biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0009890	487	159	78.78860744718105	2.01805825933136	0	0	31015;31027;31151;31153;31165;31230;31293;31331;31362;31374;31429;31430;31523;31577;31722;31834;32169;32225;32318;32337;32941;32965;32966;33185;33212;33392;33441;33442;33569;33759;33782;33837;34119;34120;34364;34483;34521;34592;34709;34881;34888;35047;35121;35197;35225;35386;35390;35397;35485;35501;35552;35555;35560;35563;35864;36118;36133;36311;36382;36387;36390;36431;36495;36499;36527;36544;36612;36678;36769;36804;36810;36986;36993;37068;37069;37090;37528;37734;37818;37837;37859;38159;38257;38327;38648;38817;38883;38897;38961;38963;39034;39095;39103;39212;39241;39366;39455;39521;39551;39615;39654;39683;39697;40062;40141;40162;40170;40358;40489;40616;40680;40683;40687;40693;40793;40830;41027;41032;41084;41094;41151;41168;41591;41602;41627;41666;41740;41780;41840;41848;41981;42237;42297;42413;42445;42520;42880;42954;43016;43080;43162;43808;43819;43928;44027;44448;44703;45976;46156;48071;48317;48571;53442;53560;117294;246445;3772329;5740252;5740599	kis;ebi;aop;insv;Elba2;Thor;vri;Lam;lid;chm;Su(var)205;Ssb-c31a;Chrac-14;me31B;CG12299;piwi;crol;Sfmbt;Su(H);stc;dl;msl-1;brat;Top2;CG9246;Mcm10;CG8677;d4;Not3;bin3;jing;Bap170;geminin;gcl;Not1;psq;wde;wash;Sin3A;spt4;Iswi;Psc;cid;mip120;fl(2)d;AGO1;Asx;chn;Rif1;casp;krimp;Khc;MESR4;Dcr-2;Hsf;Pcl;lolal;Ote;sbb;Spt5;pgc;apt;retn;CG3065;Chi;enok;CG2199;mu2;MEP-1;scny;CTCF;Srp9;CG7927;Cbl;Unr;Gug;smg;phol;Jarid2;simj;JIL-1;Pop2;Sap130;Tgi;upSET;gnu;Msh6;AGO2;CG7372;CG6843;asf1;cyc;Mi-2;Su(z)12;Pc;mael;corto;kra;Rga;RpL13A;MTA1-like;gpp;bcd;CG8036;hb;tgo;pum;MBD-like;Scm;Fmr1;Paip2;CtBP;Su(var)3-7;sqd;su(Hw);BigH1;Hsc70-4;Cp190;pad;CG31224;nos;cic;CG4360;H;Nelf-A;twin;polybromo;vig2;XNP;gro;scrib;ttk;heph;gw;pho;Hmt4-20;Rbf;arm;mip130;usp;z;N;Mnt;Tip60;CG2982;ovo;CG32767;CG12236;CG3847;fs(1)h;HP1b;Usp7;Smr;tth;Pdcd4;Dsp1;CoRest;e(y)3;Rcd-1
GO:0000278	mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000278	485	200	78.46504027080658	2.54890584787492	0	0	31027;31038;31187;31240;31293;31405;31521;31554;31816;31872;31979;31988;32015;32049;32057;32078;32120;32152;32225;32358;32478;32543;32551;32646;32664;32751;32753;32946;33014;33156;33180;33211;33418;33445;33526;33529;33578;33758;33782;33834;33959;33981;34119;34245;34250;34404;34592;34790;34881;34924;34954;34966;34968;34993;35001;35199;35225;35288;35336;35380;35390;35526;35563;35649;35679;35686;35696;35713;35801;35900;35963;36001;36040;36264;36272;36306;36382;36431;36440;36461;36495;36498;36538;36612;36621;36653;36775;36791;36978;37187;37290;37461;37467;37528;37618;37723;37841;37888;38001;38160;38341;38515;38516;38580;38656;38669;38798;38811;38812;38989;39130;39136;39158;39169;39340;39429;39485;39554;39615;39654;39744;40232;40351;40358;40388;40506;40508;40589;40616;40620;40653;40848;40904;40958;41014;41094;41138;41180;41341;41366;41532;41585;41670;41785;41798;41942;41952;42065;42186;42199;42313;42438;42446;42467;42504;42524;42553;42761;42854;42946;42971;42986;43344;43448;43466;43481;43490;43651;43717;43724;43765;43856;43901;43916;44072;44118;44724;44839;45278;45826;45959;45969;47121;47594;47874;47877;48309;48448;48535;49260;49779;53438;53439;53561;53566;53567;59172;326205;3354896;3355136	l(2)gl;CG3436;AP-2alpha;Rab5;Drp1;toc;Mad;Spindly;Bub1;Lam;chic;Rca1;smt3;mts;Su(var)205;borr;Cks30A;pim;cmet;crol;Sos;Su(H);CycE;twe;Syx5;fzy;grp;glu;gammaTub37C;Top2;lok;Fs(2)Ket;del;Mcm10;Nipped-B;Act42A;geminin;Incenp;dpa;Orc1;scra;U2A;pnut;babo;Non1;dap;TER94;san;Mtor;MCPH1;SmD3;Sin3A;Psc;Cap-G;Dp;cid;mars;tum;Asx;Su(var)2-HP2;SMC2;aPKC;dup;Rho1;Lis-1;Patronin;prod;PCNA;PTP-ER;Rae1;CycB;mi;tsr;betaTub60D;zip;Ptp61F;Non2;pav;ago;Claspin;Dhc64C;mad2;Rcc1;Cdc27;eco;lark;RecQ4;Cdc6;alphaTub67C;SH3PX1;RasGAP1;nudE;CycA;vih;sti;Syx13;endos;gnu;Msh6;brm;Capr;polo;chb;pzg;Pc;Rpn10;Arf79F;Chro;CkIIalpha;vtd;tacc;corto;cno;Kat60;PEK;alphaTub84B;alphaTub84D;puc;Cenp-C;bel;pum;rump;dmt;PpD3;Fmr1;tws;pont;Tctp;Blm;Pp1-87B;Aos1;Spc25;Hrb87F;B52;eff;Rrp6;mor;msps;cal1;14-3-3epsilon;Dlc90F;gwl;Dl;Sep2;Pi3K92E;Synd;slmb;Rab1;DNApol-alpha180;RpS3;Syx1A;asp;CycB3;ssh;CG5003;larp;Slbp;stg;alph;Bub3;wts;gammaCOP;CycG;Map205;Rbf;MED22;csw;wapl;Klp3A;Zw10;N;ctp;Act5C;sqh;Moe;Dsor1;nej;PPP4R2r;Hmr;feo;Klp10A;Ran;Dlic;dsh;PhKgamma;wisp;Smr;mus101;ben;mud;Grip128;Myb;CycD;Rok;Sep4;Sap30;CG8188;CG8173;Grip84;Rab35
GO:0007423	sensory organ development	http://amigo.geneontology.org/amigo/term/GO:0007423	482	155	77.9796895062449	1.9876970654978954	0	0	31149;31151;31293;31332;31405;31607;31717;31816;31842;31872;32078;32080;32123;32567;32587;32631;32777;32850;32920;32976;32979;32981;32987;33156;33212;33281;33392;33496;33529;33619;33759;33782;33881;34089;34263;34286;34328;34413;34519;34527;34636;34665;34790;34793;34881;34896;34924;35253;35390;35524;35609;35696;35756;35927;36001;36329;36527;36555;36578;36612;36678;36699;36750;36775;36791;36810;36952;37201;37247;37386;37837;37841;37857;38001;38027;38067;38146;38321;38890;38961;39091;39158;39483;39520;39866;40165;40462;40506;40527;40620;40687;40714;40958;41062;41084;41086;41140;41168;41265;41602;41656;41704;41718;41737;41783;41785;41883;41981;42289;42313;42358;42428;42445;42501;42986;43096;43319;43385;43402;43415;43434;43481;43651;43654;43673;43749;43856;43906;43916;43928;44205;44448;44548;44747;45233;45278;45821;45959;46020;46156;47594;47877;47998;48317;48448;48535;48973;49070;49701;50070;53428;53560;252554;3355114;3355143	l(2)gl;spen;ebi;S;capt;aop;lilli;Mad;ed;vri;Lam;PDZ-GEF;chm;mts;Sirup;numb;pelo;Dref;da;SCAR;Nup154;Rab6;bun;Sos;Arpc1;Su(H);Cul3;CycE;spi;Mcm10;Spf45;p120ctn;Src42A;vimar;scra;nito;Su(var)2-10;dap;lola;Cam;NAT1;fl(2)d;mam;Opa1;Asx;aPKC;chn;Arf51F;Mlf;Rho1;Lis-1;Khc;cnk;ena;hpo;shg;Chi;tsr;snama;zip;rno;klar;Rac1;dos;Src64B;nmo;msk;Cbl;Gug;Nf-YA;RasGAP1;SRm160;Abp1;Mbs;Abl;Dab;trc;skd;Hem;Arf79F;CkIIalpha;aux;cno;RpL13A;jagn;puc;pyd;tgo;hyx;Ras85D;Scm;tws;jumu;CtBP;yrt;rin;Hrb87F;rdx;Abi;trx;kibra;eff;Atx2;gish;pad;cdi;Dl;Ire1;cic;Stat92E;H;Rab11;sav;mask;ssh;RASSF8;scrib;Mtl;Hrb98DE;WASp;Doa;Cul5;alph;wts;cindr;dco;ttk;faf;trr;arm;csw;wds;N;Rala;ctp;Pink1;sn;Moe;AP-1gamma;Dsor1;nej;dsh;hop;Amun;exd;caz;mbt;Rok;Vps4;Rip11;Vav;dome;Mer;Cdc42;AP-1-2beta
GO:0003002	regionalization	http://amigo.geneontology.org/amigo/term/GO:0003002	472	158	76.3618536243726	2.069095922909482	0	0	31151;31268;31293;31429;31459;31554;31580;31589;31717;31722;31816;31872;32078;32080;32132;32256;32257;32317;32478;32567;32777;32976;32979;33014;33156;33185;33226;33281;33379;33418;33496;33529;33692;33834;34263;34541;34636;34881;34969;35047;35051;35197;35199;35341;35478;35555;35756;35771;35864;35956;36040;36061;36118;36306;36461;36544;36772;36773;36791;36804;36810;36952;37065;37201;37345;37356;37386;37402;37528;37734;37757;37837;37841;38001;38067;38321;38389;38427;38580;38760;38817;38890;38961;39158;39683;39744;40046;40081;40171;40295;40358;40489;40559;40577;40616;40830;40844;40966;41032;41066;41094;41137;41138;41140;41431;41602;41666;41704;41788;41852;41942;41952;42130;42186;42297;42313;42428;42445;42501;42504;42841;42854;43222;43256;43331;43402;43415;43434;43565;43718;43749;43791;43906;43928;44027;44205;44448;44543;44703;44747;45233;45278;45325;45655;45683;45827;45931;45959;45976;46068;46156;47594;47877;47998;48448;53560;117294;2768852	l(2)gl;spen;kis;lwr;S;capt;Su(dx);Rab5;lilli;Mad;Cf2;chic;milt;chm;mts;numb;Ge-1;Rab6;Su(H);cact;dl;BicD;brat;gammaTub37C;spir;cad;gus;jing;nito;lig;Acsl;gcl;lin;Myd88;TER94;dmpd;psq;SmD3;bic;Dp;AGO1;aPKC;CG8405;Dg;Lis-1;krimp;Khc;cnk;stau;lolal;sbb;ena;par-1;exu;sktl;shg;mago;dom;apt;retn;egl;Chi;tsr;zip;klar;dos;Hsp83;armi;enc;Dhc64C;sgl;CTCF;nmo;msk;Cbl;Gug;RasGAP1;AGO2;brm;CG14073;Mkp3;Su(Tpl);CG11399;skd;Pc;mael;CkIIalpha;lost;MED31;corto;bcd;CG1943;Ada2b;hb;osk;pum;CG8149;rump;Ras85D;Fmr1;tws;glo;CtBP;sqd;rin;rdx;jvl;Tm1;mor;msps;osa;14-3-3epsilon;nos;Dl;cic;Stat92E;H;Rab11;slmb;Rab7;Syx1A;scrib;Tl;spz;btz;WASp;Doa;Cul5;Axn;pygo;faf;lgs;arm;csw;crm;N;ovo;spoon;sqh;swa;dx;sn;fs(1)h;Moe;Dsor1;dsh;hop;CkIIbeta;hep;lic;BthD;Grip128;exd;Dsp1;Vps4;dome;Mer;Rab35
GO:0006325	chromatin organization	http://amigo.geneontology.org/amigo/term/GO:0006325	416	170	67.3019726858877	2.525928932178932	0	0	30971;31015;31149;31187;31230;31362;31374;31444;31521;31801;31834;31848;31880;32079;32080;32169;32268;32278;32301;32318;32350;32458;32593;32630;32664;32941;32965;33212;33418;33442;33505;33761;33781;33782;33837;34119;34245;34311;34480;34516;34521;34592;34709;35121;35225;35386;35390;35397;35418;35485;35552;35555;35560;35648;35649;35713;35880;36107;36118;36133;36238;36241;36264;36311;36382;36387;36390;36431;36495;36527;36544;36560;36612;36621;36645;36810;36993;37069;37188;37481;37528;37554;37767;37798;37851;37859;37922;38248;38257;38478;38648;38652;38812;38887;39103;39142;39241;39429;39522;39551;39650;39683;39744;40047;40111;40133;40141;40170;40596;40616;40684;40693;40793;40966;41027;41045;41073;41086;41151;41168;41181;41219;41265;41295;41341;41406;41602;41627;41737;41740;41780;41840;41844;41848;41911;41942;42065;42130;42140;42428;42816;42954;43016;43080;43229;43266;43439;43529;43560;43819;43856;43928;44000;44235;44703;44724;44811;45655;45830;46156;48071;48903;49228;53428;53439;117294;246445;3355136;3772329;5740599	ebi;Rab5;Elba2;Chd1;Ncoa6;Hel25E;Lam;lid;chm;Su(var)205;Chrac-14;borr;Etl1;Dpy-30L1;YL-1;piwi;crol;Sfmbt;msl-1;Top2;CG9246;bur;Mcm10;CG8677;Df31;Nipped-B;d4;bin3;jing;Bap170;Br140;Incenp;U2A;MrgBP;Caf1-105;psq;wde;san;E(Pc);tou;Mtor;wash;Sin3A;spt4;Iswi;Psc;cid;fl(2)d;AGO1;Rcd1;Asx;Su(var)2-HP2;BEAF-32;Rif1;Khc;Dcr-2;Pcl;lolal;Topors;dom;HmgD;pgc;Rtf1;Ssrp;Nap1;yki;enok;Nurf-38;E(bx);dre4;mu2;Rcd5;scny;Bre1;eco;HP4;Gug;Jarid2;Naa60;JIL-1;sti;Spt20;upSET;CG12316;AGO2;brm;l(3)73Ah;HipHop;Chd3;ash1;asf1;Mi-2;Su(z)12;ctrip;corto;Atu;MTA1-like;gpp;Ada2b;CG8036;CG8223;E(var)3-9;hyx;MBD-like;Scm;hyd;Art4;Fmr1;pont;jumu;Art1;Tctp;Taf12;CtBP;Su(var)3-7;trx;su(Hw);BigH1;Hsc70-4;Set;Cp190;nsl1;mor;cal1;osa;CG7379;Stat92E;bon;mod(mdg4);Nup98-96;polybromo;vig2;XNP;His2Av;CG5815;yem;dgt1;Nlp;pho;G9a;Hmt4-20;trr;wapl;z;wds;Tip60;CG2982;dhd;Act5C;Spt6;Caf1-180;HP1b;His3.3B;Cfp1;nej;Pa1;hop;Usp7;Bap60;HDAC4;Set2;tth;Nup93-1;Top1;CG9915;Dsp1;Nup153;Sap30;CoRest;e(y)3
GO:0007163	establishment or maintenance of cell polarity	http://amigo.geneontology.org/amigo/term/GO:0007163	216	86	34.945255048441695	2.4609921971033084	0	0	31239;31293;31332;31405;31459;31717;31816;32049;32078;32080;32107;32777;32981;33156;33281;33392;33409;33418;33619;34636;35051;35253;35771;36173;36461;36773;36775;36791;36810;37244;37356;37386;37402;37757;37841;38001;38146;38580;38765;38890;38961;39169;39332;39903;40489;40517;40553;40620;41062;41066;41140;41398;41656;41666;41704;41718;41788;41952;42186;42313;42501;42504;42567;42691;42946;43319;43331;43673;43856;43901;43916;44072;44100;44448;44548;44747;44839;45233;45278;45959;47594;47877;47998;48571;49701;2768852	l(2)gl;S;capt;aop;Sec24CD;Rab5;ed;mts;Rab6;BicD;spi;lig;lola;Dp;aPKC;Dg;Rho1;Lis-1;Khc;par-1;TBCB;sktl;shg;mago;egl;tsr;zip;Rac1;Patj;Dhc64C;Galphai;nmo;msk;Cbl;nudE;Klp68D;CG6664;chb;Syx7;mael;alpha-Cat;Cont;cno;pyd;osk;Ras85D;tws;Csk;yrt;sqd;rin;rdx;Abi;jvl;msps;gish;14-3-3epsilon;Dl;Rab11;slmb;CASK;CG45049;asp;scrib;Mtl;btz;dco;heph;csw;egh;N;Rala;ctp;spoon;sn;Moe;nej;Klp10A;Ran;dsh;hop;nod;mud;Rok;Vps4;Cdc42
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	211	84	34.13633710750555	2.4607209536119488	0	0	31027;31187;31240;31795;31816;31988;32049;32107;32119;32458;32721;32979;33226;33418;33435;33578;33758;34245;34404;34550;34924;34993;35001;35199;35223;35225;35390;35649;36264;36440;36491;36495;36498;36621;36920;37187;37188;37618;38232;38515;38580;38656;38812;38958;39142;39158;39169;39241;39340;40170;40232;40300;40388;40508;40616;40848;41014;41180;41366;41585;41798;41952;42065;42297;43312;43448;43490;43901;43916;44118;44724;45826;45959;46006;47121;47874;47877;49228;49260;53561;53566;2768940;3354896;3355136	lwr;Rab5;oaf;Spindly;Bub1;mts;Pp2A-29B;borr;pim;RfC38;cmet;CycE;grp;glu;gammaTub37C;RanGAP;Top2;Mcm10;Nipped-B;Incenp;san;Mtor;Cap-G;cnn;cid;mars;Su(var)2-HP2;dup;tef;prod;Topors;CycB;Cdc37;pav;Dhc64C;mad2;eco;mtrm;Naa60;RasGAP1;nudE;JIL-1;CycA;vih;Mi-2;polo;Spc105R;chb;Rpn10;Chro;vtd;corto;Kat60;alphaTub84B;Cenp-C;bel;dmt;tws;Blm;Pp1-87B;Spc25;Rrp6;msps;cal1;nos;mod(mdg4);wdb;Slbp;Bub3;Rbf;east;wapl;Klp3A;Zw10;Trf4-1;Moe;Hmr;Klp10A;nod;bif;Top1;Rok;Fim;Mer
GO:0006403	RNA localization	http://amigo.geneontology.org/amigo/term/GO:0006403	193	83	31.224232520135402	2.6581918369483137	0	0	31239;31459;31580;31816;32057;32132;32152;32350;32478;32510;32593;32602;32630;32851;32869;32979;33002;33156;33781;33834;34167;34527;34541;34549;34636;35051;35235;35400;35784;35849;36040;36264;36306;36791;36810;36830;36993;37065;37345;37402;37467;37528;37757;38033;38067;38389;38580;38645;39027;39034;39130;39394;39683;40489;40559;41066;41138;41431;41666;41788;41852;41952;41973;42501;42504;42642;42816;42841;42854;43041;43096;43331;43448;43944;44271;44543;45827;45931;47594;48448;50428;53443;2768852	l(2)gl;Hel25E;chic;Sem1;emb;Nup154;Ge-1;Nup160;Rab6;BicD;swm;spir;CG8671;Nup50;CG14749;TER94;Mtor;SmD3;bic;aPKC;Lis-1;Khc;Nup62;Dcr-2;stau;par-1;exu;mago;Rae1;egl;thoc7;klar;Hsp83;enc;Dhc64C;CG10576;pix;smg;alphaTub67C;thoc6;AGO2;mael;CkIIalpha;lost;osk;rump;Fmr1;glo;sqd;jvl;Tm1;msps;Mat89Ba;SF2;Rab11;slmb;AP-2mu;Nup98-96;Rab7;Syx1A;Nup358;RASSF8;btz;Slbp;egh;spoon;swa;Moe;sbr;Dlic;CkIIbeta;wisp;Nup93-1;Grip128;CG8184;CG9915;U2af50;Nup153;xmas-2;CG6540;CG6961;Mer;Nup205
GO:0009798	axis specification	http://amigo.geneontology.org/amigo/term/GO:0009798	193	88	31.224232520135402	2.818323875318694	0	0	31293;31459;31580;31722;31816;31872;32132;32257;32478;32979;33014;33156;33226;33834;34541;34636;34969;35047;35051;35199;35341;35478;35771;35864;36040;36118;36306;36461;36773;36791;36804;36810;36952;37065;37244;37345;37356;37386;37402;37528;37757;38001;38067;38321;38389;38427;38580;38961;39158;40489;40559;40577;40830;41032;41066;41094;41138;41140;41431;41666;41788;41852;41952;42186;42297;42313;42501;42504;42854;43222;43256;43331;43749;43916;44448;44543;45233;45278;45325;45683;45827;45931;47594;47998;48448;48571;53560;2768852	l(2)gl;lwr;capt;chic;milt;Ge-1;Rab6;cact;dl;BicD;gammaTub37C;spir;cad;gus;lig;gcl;lin;TER94;psq;SmD3;bic;Dp;aPKC;Dg;Lis-1;krimp;Khc;cnk;stau;par-1;TBCB;exu;sktl;shg;mago;egl;zip;klar;dos;Hsp83;armi;enc;Dhc64C;Cbl;RasGAP1;mael;CkIIalpha;lost;MED31;bcd;hb;osk;pum;rump;Ras85D;Fmr1;glo;sqd;rin;jvl;Tm1;msps;14-3-3epsilon;nos;Dl;cic;Rab11;slmb;Syx1A;scrib;Tl;spz;btz;faf;heph;csw;N;spoon;swa;fs(1)h;Moe;Dsor1;CkIIbeta;lic;Grip128;Rok;Mer;Rab35
