geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0019899	enzyme binding	http://amigo.geneontology.org/amigo/term/GO:0019899	469	145	69.99114708486151	2.0716905785840773	0	0	31075;31151;31716;31800;31942;31987;32001;32088;32209;32225;32256;32257;32358;32551;32631;32796;32850;32920;32970;32976;32981;33003;33156;33226;33262;33270;33578;33629;33881;34070;34119;34167;34250;34593;34790;34896;34924;34974;35051;35121;35151;35237;35246;35336;35420;35496;35653;35696;35730;35742;35784;35801;35929;36102;36311;36387;36492;36498;36544;36554;36683;36775;36881;36915;36952;36990;37528;37542;37554;37618;37702;37851;38146;38232;38456;38516;38613;38669;38961;39156;39313;39340;39385;39430;39475;39961;40032;40133;40171;40179;40193;40388;40620;40684;40693;40700;40998;41062;41086;41151;41341;41367;41532;41704;41737;41785;41911;41995;42216;42371;42515;42665;42703;42793;42804;42817;42862;42971;43041;43319;43434;43565;43611;43724;43775;43856;43916;44000;44039;44100;44261;44496;44573;44747;45233;46080;47121;47141;47874;49070;50070;53442;318566;326237;5740235	l(2)gl;lwr;dock;PNUTS;capt;Spindly;RpL40;PDZ-GEF;Rack1;Su(var)205;emb;Cks30A;CycY;Sos;Cul3;CycE;chif;BicD;msl-1;Nedd8;CG10188;ref(2)P;Fs(2)Ket;Cul2;CG30440;cos;scra;Nop17l;Cul1;Nup50;pnut;CG18659;RanBPM;wash;spt4;cbs;mars;AGO1;RN-tre;Sec61beta;CG11807;dup;Rho1;CG5522;RhoGEF2;cnk;POSH;Spt5;ari-2;Rtf1;CycB;Golgin245;yki;Rac1;Cdc37;Patj;eIF5B;Ubi-p63E;ago;Uev1A;Rcc1;msk;Uba2;Cbl;I-2;TfIIEalpha;CycA;RhoGAP68F;tral;MICAL-like;Mbs;CycT;MYPT-75D;ash1;Su(Tpl);RhoGDI;CG14184;Rpn10;cno;Atu;MTA1-like;Atg17;Pak;Atg13;pyd;hyx;MBD-like;Fmr1;Tctp;Ranbp9;Aos1;rdx;trx;eff;nsl1;Pak3;Vha100-2;RhoGAP92B;SNF4Agamma;Efa6;CG7029;CG10254;RanBP3;mbc;Tsc1;mask;CycB3;Nup358;Mtl;Cul5;CG34133;Axn;CG2218;CycG;Crk;RhoGAP1A;ebo;DAAM;arm;Zw10;MAPk-Ak2;Spt6;Ubi-p5E;sws;Crag;nej;ZAP3;spri;Atg8a;Evi5;Sec16;Smr;hep;lic;ben;CycD;mbt;Rok;ari-1;Rip11;Vav;Ranbp21;dome;Cdc42;pico
GO:0003682	chromatin binding	http://amigo.geneontology.org/amigo/term/GO:0003682	196	83	29.250031617554065	2.8376037703216883	0	0	31268;31293;31362;31773;31834;31848;32225;32350;32630;32941;32965;32971;33212;33441;33442;33505;33782;33824;33837;34119;34527;34709;35001;35047;35121;35225;35686;35784;36264;36311;36382;36390;36431;36495;36612;36645;36653;36830;37069;37482;37730;37767;38248;38327;38669;38817;39103;39551;39650;40045;40111;40133;40170;40171;40351;40358;40616;40693;40966;41498;41627;41737;41740;41780;41848;41911;42687;42816;42824;42853;42954;43560;43793;43819;44000;44235;44326;47249;48071;49228;53442;3354896;3355136	ebi;insv;Elba2;Chd1;Lam;Gpdh;lid;Su(var)205;Nup154;Sfmbt;glu;dl;msl-1;Top2;Nipped-B;Orc1;Nup50;Mtor;wash;Sin3A;Iswi;Psc;cid;Asx;BEAF-32;SMC2;Nup62;Pcl;Spt5;LBR;pita;Ssrp;dre4;MEP-1;Rcc1;CTCF;mRpL12;Jarid2;upSET;CG12316;ftz-f1;Chd3;ash1;Mi-2;Su(Tpl);Su(z)12;pzg;Pc;vtd;corto;MTA1-like;Ada2b;MBD-R2;Su(var)3-7;trx;su(Hw);BigH1;Cp190;nsl1;bon;mod(mdg4);wge;Nup98-96;sba;SMC1;polybromo;woc;Nlp;bip2;pho;crm;N;Tip60;Spt6;Trf2;HP1b;His3.3B;Smr;Nup93-1;Nup153;CoRest;e(y)3;CG14215
GO:0008092	cytoskeletal protein binding	http://amigo.geneontology.org/amigo/term/GO:0008092	326	106	48.650562792462374	2.1788031610689407	2.220446049250313e-16	9.695947748393033e-15	31075;31110;31201;31240;31350;31359;31474;31554;31620;31717;31816;32015;32016;32049;32107;32119;32268;32478;32721;32760;32946;32979;33156;33346;33445;33578;33757;33834;33863;33882;34445;34519;34636;34793;34956;35051;35311;35649;35653;35696;35801;35991;36311;36329;36491;36498;36578;36775;36791;36810;36978;37043;37065;37179;37201;37230;37239;37386;37387;37521;37628;37841;38001;38067;38385;38418;38490;38491;38515;39034;39075;39169;39332;39475;39505;39520;39958;40517;40569;40589;40904;41084;41158;41392;41656;41848;41852;41952;42389;42467;42946;42986;43402;43737;43765;43901;44100;45233;45683;45931;46194;47594;53561;53566;261329;2768716	l(2)gl;capt;cpb;Drp1;Spindly;Bsg25D;chic;stai;Pez;milt;Myo31DF;SCAR;cmet;Rab6;Arpc1;crp;BicD;spir;Arpc2;mim;Incenp;cos;scra;pnut;Map60;wash;Cam;cnn;mars;Opa1;aPKC;Rho1;Lis-1;Khc;Patronin;Mapmodulin;stau;CG18190;ena;hts;CG7744;shg;cpa;Vrp1;RpL23;tsr;zip;klar;Patj;Spn;Girdin;kst;Chd64;ens;pav;smg;Hsp26;nudE;Klp68D;MICAL-like;flr;Abp1;Nedd4;chb;alpha-Cat;Fip1;tacc;Kat60;alphaTub84D;tgo;CG8176;Kap-alpha3;Jupiter;yrt;Cp190;Tm1;msps;psidin;Synd;asp;ssh;WASp;CG1890;Map205;DAAM;inc;Vinc;Klp3A;lva;cib;Mlc-c;sqh;pod1;sn;Moe;feo;sofe;Klp10A;nod;bif;Bap60;Grip128;Fim;Socs16D;Grip84;Mer
GO:0042393	histone binding	http://amigo.geneontology.org/amigo/term/GO:0042393	64	37	9.551030732262552	3.873927436440678	2.220446049250313e-15	7.271960811294775e-14	31149;31362;31801;32318;32965;33837;34119;34250;34709;35386;35397;35418;35485;36107;37043;37069;37798;37859;38248;39103;39551;39654;39744;40358;40508;41045;42065;42140;42428;43266;43560;43718;43928;44000;44811;45655;47906	lid;chm;Su(var)205;Cks30A;Sfmbt;CG9246;CG8677;Df31;d4;Caf1-105;Dek;Mapmodulin;Pcl;dom;Nap1;enok;E(bx);dre4;Jarid2;upSET;Msh6;brm;Pc;Chro;CG8223;cal1;CG7379;Stat92E;CG5815;Nlp;pygo;trr;Tip60;Spt6;Caf1-180;tth;e(y)3
GO:0044877	protein-containing complex binding	http://amigo.geneontology.org/amigo/term/GO:0044877	225	74	33.577842418110535	2.203834274952919	5.432543304095816e-12	1.4233263456731037e-10	31201;31580;31620;31717;31773;31848;31914;32119;32616;32721;32977;33214;33262;33346;33738;34070;34119;34286;34287;34793;34804;34968;35051;35154;35311;35696;35900;36264;36390;36495;36545;36683;36791;37069;37230;37239;37387;37521;37723;37767;37912;38248;38765;38824;39027;39313;39505;39520;39654;39765;39909;40111;40170;40369;40517;40680;40790;41168;41290;41780;41852;42389;42501;42841;43229;43402;43785;43901;44000;46194;47251;48071;53442;261329	RpLP1;dock;cpb;Rpn11;Rack1;Su(var)205;pelo;CG4364;Arpc1;Smg5;fzy;BicD;Nak;Arpc2;scra;babo;Mtor;Iswi;cid;Rpn13;CG11807;Lis-1;Pcl;hts;Spt5;CG7744;cpa;Vrp1;mi;Ssrp;Letm1;dre4;Spn;Galphai;smid;pix;TfIIEalpha;flr;Abp1;Msh6;Taf4;Ilp8;Chd3;Mi-2;Su(z)12;chb;barc;alpha-Cat;kra;TfIIFalpha;CG8176;Scm;TfIIFbeta;BigH1;Tm1;psidin;Rab11;Rab7;His2Av;WASp;Rad23;Vinc;Spt6;swa;pod1;sn;Trf2;His3.3B;CG1354;Gtp-bp;bif;rngo;Fim;Ubqn
GO:0003729	mRNA binding	http://amigo.geneontology.org/amigo/term/GO:0003729	197	64	29.399266472745666	2.176925062376323	2.7665647550634276e-10	6.04033304855515e-9	31086;31448;31481;31580;32009;32587;32602;32869;33304;33967;34119;34412;35027;35051;35197;35225;35235;35305;37065;37528;37734;37757;37914;38526;38811;38937;38963;39034;39377;39875;39957;40240;40369;40529;40562;40687;40739;40830;41066;41094;41138;41147;41431;41666;41670;41807;42596;42819;42848;42897;42958;43385;43448;43554;43764;44029;46020;47457;47998;48535;48571;53442;53443;3354996	CG4887;x16;Su(var)205;mRpS7;CG12288;BicD;brat;Top2;swm;La;NAT1;stau;Spt5;apt;egl;ytr;CG4612;CG1316;lark;CG7185;Unr;smg;yps;CG9705;Edc3;eRF1;barc;CG14641;srl;RpL13A;Rm62;bcd;Ref1;osk;pum;rump;RnpS1;Fmr1;glo;sqd;rin;Hrb87F;B52;RpS5b;SF2;how;eIF4G2;Rox8;Nab2;Saf-B;Hrb98DE;Slbp;CG7903;heph;mod;ssx;Rnp4F;CG4119;swa;Imp;caz;U2af50;CG6961;CG17168
GO:0008134	transcription factor binding	http://amigo.geneontology.org/amigo/term/GO:0008134	190	62	28.354622486404452	2.186592328278323	4.3207182276461253e-10	8.085915540309178e-9	31027;31151;31773;32079;32169;32268;32567;32941;33105;33212;33226;33496;33529;34413;34881;34969;35047;35386;35552;35653;35701;36241;36390;36461;36750;37090;37481;37837;37851;38338;38543;39095;39313;39521;39744;39765;39970;40045;40141;40385;40562;40693;40725;40790;41086;41290;41406;41565;41602;42186;42828;42993;43162;43793;43819;43856;43928;44811;45976;46156;53560;117294	ebi;lwr;lilli;Mad;chm;da;Su(H);cact;dl;CG9246;bin3;cos;Rpt1;tou;Iswi;Dp;Mlf;Ote;HmgD;retn;Chi;yki;E(bx);Mrtf;DOR;Gug;phol;TfIIEalpha;Tgi;brm;Taf4;Crtc;ftz-f1;asf1;Cdk12;srl;MTA1-like;dgrn;TfIIFalpha;hyx;TfIIFbeta;Taf12;Su(fu);CtBP;14-3-3epsilon;cic;Rpt2;Hr96;gro;bip2;pho;Rbf;arm;Trf2;nej;Pa1;Usp7;Bap60;exd;Dsp1;CoRest;Rpt6
GO:0019904	protein domain specific binding	http://amigo.geneontology.org/amigo/term/GO:0019904	89	36	13.281902112052611	2.7104551513997333	3.70080810441209e-9	6.060073270974797e-8	31332;31405;31589;32078;32268;33003;33379;33392;35154;35956;36118;37201;37767;37837;38321;38389;38961;39866;39958;40620;41062;41718;41848;42186;42199;42371;43162;43222;43654;43793;44039;44703;48317;49228;326197;2768716	Su(dx);aop;Nak;mim;Myd88;psq;lolal;ena;Ssrp;Chi;dos;Hsp83;Cbl;Dab;Nedd4;Ndfip;cno;Pak;pyd;Abi;Cp190;14-3-3epsilon;Dlc90F;RhoGAP92B;mod(mdg4);gro;Tl;cindr;ttk;bip2;Rala;ctp;dx;dsh;Bap60;pico
GO:0140030	modification-dependent protein binding	http://amigo.geneontology.org/amigo/term/GO:0140030	34	17	5.0739850765144805	3.3504237288135594	1.5076027944926906e-6	2.1943996230949162e-5	32522;33837;34119;34709;35246;36040;37069;38844;39103;39551;39654;40358;40388;42140;43718;43785;44811	lid;Su(var)205;Sfmbt;ref(2)P;TER94;Pcl;E(bx);CG7546;Jarid2;upSET;Msh6;Pc;Rpn10;CG7379;pygo;Rad23;Graf
GO:0003712	transcription coregulator activity	http://amigo.geneontology.org/amigo/term/GO:0003712	148	44	22.08675856835715	1.9921438387540082	2.726316158052633e-6	3.533402943282788e-5	31038;31149;31151;32225;32268;32567;32941;33212;33441;33529;34120;35386;36061;36382;36555;37090;37851;38073;38257;38338;38543;38821;39522;40062;40403;40562;40577;40693;40966;41151;41526;41602;42445;42993;43162;43718;43816;43856;43906;43928;44027;44728;46156;53439	ebi;insv;Mad;chm;Ssb-c31a;CG9246;dmpd;Sin3A;mam;Ote;sbb;yki;MED14;mu2;Mrtf;DOR;akirin;Gug;Spt20;CG6843;skd;MED1;srl;MED31;MTA1-like;Ada2b;MBD-like;MED6;pont;CG17202;CtBP;H;Hr96;gro;pygo;MED26;MED22;trr;arm;nej;Smr;Bap60;exd;CoRest
