geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
dme03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?dme03050+36638+42805+36951+40717+43449+41079+45269+36545+35701+50428+33105+36018+32047+34999+33738+39628+32584+39845+34359+41531+42828+42641+40388+40174+35342+37378	52	26	8.76184499529338	2.9674115456238357	2.837398893618115e-8	3.6602445727673683e-6	36638;42805;36951;40717;43449;41079;45269;36545;35701;50428;33105;36018;32047;34999;33738;39628;32584;39845;34359;41531;42828;42641;40388;40174;35342;37378	Rpn11;Sem1;Prosalpha6;Prosbeta4;Pomp;Rpt1;Prosalpha7;Prosbeta5;Rpn13;Rpn6;Prosalpha5;Prosalpha3;Prosbeta2;Rpn12;Rpn1;Rpn10;Rpn5;Prosbeta3;Prosalpha2;Rpn7;Rpt5;Rpt2;Rpn2;Rpt3;Prosalpha4;Rpt6
dme04144	Endocytosis	http://www.kegg.jp/kegg-bin/show_pathway?dme04144+38750+37387+35311+35554+32981+36311+37521+31144+43402+33025+33346+49045+33458+42665+33418+39958+39417+33379+33211+41840+47594+42501+42841+41551+34505+32850+32777+38961+42642+48973+36810+36699+35900+34126+40168+40506+36775+34793+33014+39866+37356	122	41	20.556636335111392	1.9944897273865125	3.198853566033222e-6	2.063260550091428e-4	38750;37387;35311;35554;32981;36311;37521;31144;43402;33025;33346;49045;33458;42665;33418;39958;39417;33379;33211;41840;47594;42501;42841;41551;34505;32850;32777;38961;42642;48973;36810;36699;35900;34126;40168;40506;36775;34793;33014;39866;37356	AP-2alpha;cpb;Su(dx);Rab5;Hrs;Snx6;Stam;Arpc1;Arpc2;Pld;babo;wash;aPKC;Arf51F;Rho1;Khc;sktl;cpa;Vrp1;Src64B;CG10103;Cbl;ArfGAP1;Dab;Nedd4;Rab8;Arf79F;Snx3;Hsc70-4;Rab11;AP-2mu;Efa6;Rab7;WASp;Gprk2;Vps26;Vps4;Rip11;Cdc42;Rab35;Rab10
dme04013	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04013+35253+38321+32257+44851+34167+31872+44030+48317+43481+31667+38146+44111+33392+45278+33212+53560+32256+35524+43319+36952+39158+45959+37216+41785+48973+34790+40958+44747+43162+41140+33834+41020+37461	93	33	15.670222780043929	2.1059049678620774	8.162541583978111e-6	3.509892881110588e-4	35253;38321;32257;44851;34167;31872;44030;48317;43481;31667;38146;44111;33392;45278;33212;53560;32256;35524;43319;36952;39158;45959;37216;41785;48973;34790;40958;44747;43162;41140;33834;41020;37461	ebi;aop;chic;mts;emb;raw;Sos;spi;Src42A;cnk;Tab2;PTP-ER;Rac1;msn;dos;Src64B;msk;RasGAP1;puc;Mkk4;Ras85D;eff;cic;gro;Mtl;alph;ttk;csw;Dok;slpr;Dsor1;hep;lic
dme04392	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04392+44039+37247+43651+32979+41995+43673+252554+41783+37851+42734	16	10	2.695952306244117	3.709264432029795	5.181775339480055e-5	0.0015147700875557835	44039;37247;43651;32979;41995;43673;252554;41783;37851;42734	hpo;yki;Pak;kibra;Pak3;sav;Rassf;wts;dco;Mer
dme04330	Notch signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04330+43856+32078+34881+42313+34263+31589+31293+42445+40062+41602+36555+43162	22	12	3.7069344210856605	3.2371762315896393	5.871201889751099e-5	0.0015147700875557835	43856;32078;34881;42313;34263;31589;31293;42445;40062;41602;36555;43162	numb;Su(H);mam;CG6843;CtBP;Dl;H;gro;N;dx;nej;dsh
dme04391	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04391+37247+44100+35526+43651+33529+33619+32979+2768940+43673+33156+42186+252554+41783+34924+37851+31521+47594+44448+42734+47877+46156+45959	61	22	10.278318167555696	2.140428000122111	2.06342604347709e-4	0.004436365993475744	37247;44100;35526;43651;33529;33619;32979;2768940;43673;33156;42186;252554;41783;34924;37851;31521;47594;44448;42734;47877;46156;45959	l(2)gl;Mad;ed;mts;Pp2A-29B;CycE;Act42A;aPKC;hpo;yki;Patj;Gug;tws;kibra;14-3-3epsilon;sav;Rassf;scrib;wts;dco;Act5C;Mer
dme04120	Ubiquitin mediated proteolysis	http://www.kegg.jp/kegg-bin/show_pathway?dme04120+42793+44118+41532+43434+38516+35420+35998+32358+35742+43611+31214+33226+42504+39958+33379+40596+34896+34968+34002+42105+38961+41785+44496+39691+41611+35927+32510+32751+38798+41181	100	30	16.84970191402573	1.7804469273743018	6.661880739922132e-4	0.012276894506427929	42793;44118;41532;43434;38516;35420;35998;32358;35742;43611;31214;33226;42504;39958;33379;40596;34896;34968;34002;42105;38961;41785;44496;39691;41611;35927;32510;32751;38798;41181	lwr;Su(dx);CG4502;Cul3;fzy;Cul2;Cul1;Su(var)2-10;Uba1;ago;Cdc27;Uba2;Cbl;vih;CG7656;Nedd4;ctrip;hyd;Aos1;pic;eff;CG5823;slmb;CG10254;Cul5;CG2218;CG2924;ben;CG8184;CG8188
dme03013	RNA transport	http://www.kegg.jp/kegg-bin/show_pathway?dme03013+42816+35173+44261+44029+32350+39483+43041+33002+32970+43331+34167+44072+41397+32153+43944+41147+38033+35784+35336+33226+46020+37727+32630+33981+34527+34549+39394+37528+36830+32851+33781+35512+36264+33569+36913+32566+37402+40589+37467+35223	148	40	24.937558832758082	1.6040062408777491	9.5815934050969e-4	0.01484441639458356	42816;35173;44261;44029;32350;39483;43041;33002;32970;43331;34167;44072;41397;32153;43944;41147;38033;35784;35336;33226;46020;37727;32630;33981;34527;34549;39394;37528;36830;32851;33781;35512;36264;33569;36913;32566;37402;40589;37467;35223	lwr;Thor;Hel25E;smt3;emb;Nup154;Nup160;Acn;RanGAP;Fs(2)Ket;Gp210;Nup50;Mtor;NAT1;Nup62;CG8963;mago;Rae1;wmd;thoc7;eIF5B;thoc6;SRm160;tacc;Ref1;RnpS1;Fmr1;CG14712;Nup98-96;Nup358;btz;sbr;Ran;Upf1;Nup93-1;eIF5;Nup153;CG6540;Ranbp21;Nup205
dme04320	Dorso-ventral axis formation	http://www.kegg.jp/kegg-bin/show_pathway?dme04320+45931+44543+33692+31872+41666+33392+31293+3355150+34521+34790+41140+31239	28	12	4.717916535927205	2.5434956105347166	0.0010356569577616437	0.01484441639458356	45931;44543;33692;31872;41666;33392;31293;3355150;34521;34790;41140;31239	aop;Cf2;piwi;Sos;spir;enc;AGO3;Ras85D;sqd;egh;N;Dsor1
dme04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?dme04145+46080+44643+35526+41550+42216+40848+32057+38146+40904+33458+31342+35411+37888+33418+45012+31521+36173+43319+42841+36546+31030+38580+39130+36310+37238+33905	89	26	14.9962347034829	1.7337685435105559	0.002295359222513893	0.02961013397042922	46080;44643;35526;41550;42216;40848;32057;38146;40904;33458;31342;35411;37888;33418;45012;31521;36173;43319;42841;36546;31030;38580;39130;36310;37238;33905	Rab5;Hrs;Sec61alpha;Vha68-2;Lamp1;Act42A;CG8860;Cp1;Sec61beta;betaTub56D;betaTub60D;Rac1;Dhc64C;alphaTub67C;Syx7;alphaTub84B;alphaTub84D;Vha55;Vha100-2;Rab7;Mtl;Cnx99A;Sec22;VhaAC39-1;Act5C;Dlic
dme03430	Mismatch repair	http://www.kegg.jp/kegg-bin/show_pathway?dme03430+35119+40607+32113+41968+34550+39654+37290+35364+40972	20	9	3.369940382805146	2.6706703910614524	0.0029740771455792903	0.03294966067214533	35119;40607;32113;41968;34550;39654;37290;35364;40972	RfC38;tos;RPA2;PCNA;Msh6;Gnf1;RpA-70;mtSSB;RPA3
dme03030	DNA replication	http://www.kegg.jp/kegg-bin/show_pathway?dme03030+40607+3772329+33213+32113+35679+41968+39014+34550+42553+40973+37290+35364+40972	35	13	5.897395669909006	2.204362862463421	0.0030650847136879378	0.03294966067214533	40607;3772329;33213;32113;35679;41968;39014;34550;42553;40973;37290;35364;40972	CG13690;Chrac-14;RfC38;RPA2;dpa;PCNA;Mcm7;Gnf1;RpA-70;Mcm2;mtSSB;DNApol-alpha180;RPA3
dme04141	Protein processing in endoplasmic reticulum	http://www.kegg.jp/kegg-bin/show_pathway?dme04141+46080+33409+44643+38389+38500+38096+32977+36025+43785+32124+35742+40653+36040+31215+326234+2768916+32133+41840+32256+42358+43354+42105+37029+40459+39557+34619+40055+39651+41785+36310+41646+36270+33905+34707	133	34	22.41010354565422	1.5171728203189538	0.006025606940460282	0.05605545345860746	46080;33409;44643;38389;38500;38096;32977;36025;43785;32124;35742;40653;36040;31215;326234;2768916;32133;41840;32256;42358;43354;42105;37029;40459;39557;34619;40055;39651;41785;36310;41646;36270;33905;34707	Sec24CD;Sec61alpha;CG33303;CG6766;DnaJ-H;Cul1;Sec24AB;TER94;ERp60;CG8860;Sec61beta;OstDelta;CG13887;Hsp83;Ero1L;Hsc70Cb;Pdi;Ugt;Csp;PEK;Droj2;eff;Hsc70-4;CG5823;Ire1;Gp93;Cnx99A;Rad23;CG2918;l(1)G0320;prtp;Hsc70-3;hep;Ubqn
dme04140	Autophagy	http://www.kegg.jp/kegg-bin/show_pathway?dme04140+39454+38543+38017+117294+34182+40700+31872+39522+40653+326174+326175+32001+35411+41957+42446+43580+42358+42841+42862+36959+36546+40044+45959+40998+35793+41140	95	26	16.007216818324444	1.624267372341468	0.006083537584655074	0.05605545345860746	39454;38543;38017;117294;34182;40700;31872;39522;40653;326174;326175;32001;35411;41957;42446;43580;42358;42841;42862;36959;36546;40044;45959;40998;35793;41140	CG31928;CG31926;mts;Bace;Lamp1;RagC-D;Cp1;EDTP;Pdk1;DOR;Atg1;Spt20;Atg3;PEK;Atg17;Atg13;Ras85D;Akt1;Ire1;Pi3K92E;Rab7;Tsc1;sima;Dsor1;Atg8a;Dsp1
dme04068	FoxO signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04068+33944+38017+40232+32169+43856+31872+42515+43673+32001+37618+41957+42446+42971+41295+34790+38890+35900+32551+41140	65	19	10.952306244116725	1.7347944420570118	0.008567246515249871	0.0736783200311489	33944;38017;40232;32169;43856;31872;42515;43673;32001;37618;41957;42446;42971;41295;34790;38890;35900;32551;41140	homer;Sos;babo;CycB;Pdk1;nmo;polo;Ras85D;Art1;Akt1;Pi3K92E;SNF4Agamma;CycB3;dco;Dsor1;nej;Atg8a;Usp7;CycD
