userId	geneSymbol	geneName	entrezgene	gLink
l(2)gl	l(2)gl	lethal (2) giant larvae	33156	https://www.ncbi.nlm.nih.gov/gene/?term=33156
Gs1	Gs1	Glutamine synthetase 1	33172	https://www.ncbi.nlm.nih.gov/gene/?term=33172
CG3436	CG3436	NA	33180	https://www.ncbi.nlm.nih.gov/gene/?term=33180
spen	spen	split ends	44205	https://www.ncbi.nlm.nih.gov/gene/?term=44205
kis	kis	kismet	33185	https://www.ncbi.nlm.nih.gov/gene/?term=33185
CG11912	CG11912	NA	33205	https://www.ncbi.nlm.nih.gov/gene/?term=33205
AP-2alpha	AP-2alpha	Adaptor Protein complex 2, alpha subunit	33211	https://www.ncbi.nlm.nih.gov/gene/?term=33211
ebi	ebi	ebi	33212	https://www.ncbi.nlm.nih.gov/gene/?term=33212
CG13690	CG13690	NA	33213	https://www.ncbi.nlm.nih.gov/gene/?term=33213
RpLP1	RpLP1	Ribosomal protein LP1	33214	https://www.ncbi.nlm.nih.gov/gene/?term=33214
crq	crq	croquemort	33219	https://www.ncbi.nlm.nih.gov/gene/?term=33219
lwr	lwr	lesswright	33226	https://www.ncbi.nlm.nih.gov/gene/?term=33226
dock	dock	dreadlocks	33262	https://www.ncbi.nlm.nih.gov/gene/?term=33262
drongo	drongo	drongo	33263	https://www.ncbi.nlm.nih.gov/gene/?term=33263
dbe	dbe	dribble	33269	https://www.ncbi.nlm.nih.gov/gene/?term=33269
PNUTS	PNUTS	PNUTS	33270	https://www.ncbi.nlm.nih.gov/gene/?term=33270
S	S	Star	33281	https://www.ncbi.nlm.nih.gov/gene/?term=33281
Pino	Pino	Pinocchio	33288	https://www.ncbi.nlm.nih.gov/gene/?term=33288
CG4552	CG4552	NA	33289	https://www.ncbi.nlm.nih.gov/gene/?term=33289
capt	capt	capulet	45233	https://www.ncbi.nlm.nih.gov/gene/?term=45233
CG4887	CG4887	NA	33304	https://www.ncbi.nlm.nih.gov/gene/?term=33304
CG43349	CG43349	NA	12797873	https://www.ncbi.nlm.nih.gov/gene/?term=12797873
CG31928	CG31928	NA	326175	https://www.ncbi.nlm.nih.gov/gene/?term=326175
CG31926	CG31926	NA	326174	https://www.ncbi.nlm.nih.gov/gene/?term=326174
cpb	cpb	capping protein beta	33346	https://www.ncbi.nlm.nih.gov/gene/?term=33346
Eno	Eno	Enolase	33351	https://www.ncbi.nlm.nih.gov/gene/?term=33351
CG15356	CG15356	NA	33370	https://www.ncbi.nlm.nih.gov/gene/?term=33370
Su(dx)	Su(dx)	Suppressor of deltex	33379	https://www.ncbi.nlm.nih.gov/gene/?term=33379
GlyP	GlyP	Glycogen phosphorylase	33386	https://www.ncbi.nlm.nih.gov/gene/?term=33386
aop	aop	anterior open	33392	https://www.ncbi.nlm.nih.gov/gene/?term=33392
Uch	Uch	Ubiquitin carboxy-terminal hydrolase	33397	https://www.ncbi.nlm.nih.gov/gene/?term=33397
CG15387	CG15387	NA	33403	https://www.ncbi.nlm.nih.gov/gene/?term=33403
Sec24CD	Sec24CD	Secretory 24CD	33409	https://www.ncbi.nlm.nih.gov/gene/?term=33409
Rab5	Rab5	Rab5	33418	https://www.ncbi.nlm.nih.gov/gene/?term=33418
Axud1	Axud1	AXIN1 up-regulated 1	33419	https://www.ncbi.nlm.nih.gov/gene/?term=33419
oaf	oaf	out at first	33435	https://www.ncbi.nlm.nih.gov/gene/?term=33435
insv	insv	insensitive	33441	https://www.ncbi.nlm.nih.gov/gene/?term=33441
Elba2	Elba2	Early boundary activity 2	33442	https://www.ncbi.nlm.nih.gov/gene/?term=33442
Drp1	Drp1	Dynamin related protein 1	33445	https://www.ncbi.nlm.nih.gov/gene/?term=33445
CG31689	CG31689	NA	326154	https://www.ncbi.nlm.nih.gov/gene/?term=326154
Hrs	Hrs	Hepatocyte growth factor regulated tyrosine kinase substrate	33458	https://www.ncbi.nlm.nih.gov/gene/?term=33458
Cwc25	Cwc25	Cwc25	33460	https://www.ncbi.nlm.nih.gov/gene/?term=33460
CG31694	CG31694	NA	33489	https://www.ncbi.nlm.nih.gov/gene/?term=33489
CG8814	CG8814	NA	33492	https://www.ncbi.nlm.nih.gov/gene/?term=33492
NTPase	NTPase	NTPase	33495	https://www.ncbi.nlm.nih.gov/gene/?term=33495
lilli	lilli	lilliputian	33496	https://www.ncbi.nlm.nih.gov/gene/?term=33496
Rrp1	Rrp1	Recombination repair protein 1	33500	https://www.ncbi.nlm.nih.gov/gene/?term=33500
CG9641	CG9641	NA	33502	https://www.ncbi.nlm.nih.gov/gene/?term=33502
Chd1	Chd1	Chromodomain-helicase-DNA-binding protein 1	33505	https://www.ncbi.nlm.nih.gov/gene/?term=33505
CG3558	CG3558	NA	48421	https://www.ncbi.nlm.nih.gov/gene/?term=48421
toc	toc	toucan	33526	https://www.ncbi.nlm.nih.gov/gene/?term=33526
Mad	Mad	Mothers against dpp	33529	https://www.ncbi.nlm.nih.gov/gene/?term=33529
Hydr2	Hydr2	alpha/beta hydrolase2	33532	https://www.ncbi.nlm.nih.gov/gene/?term=33532
E23	E23	Early gene at 23	43895	https://www.ncbi.nlm.nih.gov/gene/?term=43895
CG34394	CG34394	NA	33552	https://www.ncbi.nlm.nih.gov/gene/?term=33552
CG12795	CG12795	NA	33561	https://www.ncbi.nlm.nih.gov/gene/?term=33561
Thor	Thor	thor	33569	https://www.ncbi.nlm.nih.gov/gene/?term=33569
Spindly	Spindly	spindly	33578	https://www.ncbi.nlm.nih.gov/gene/?term=33578
for	for	foraging	44817	https://www.ncbi.nlm.nih.gov/gene/?term=44817
CG34176	CG34176	NA	5740391	https://www.ncbi.nlm.nih.gov/gene/?term=5740391
ed	ed	echinoid	33619	https://www.ncbi.nlm.nih.gov/gene/?term=33619
RpL40	RpL40	Ribosomal protein L40	33629	https://www.ncbi.nlm.nih.gov/gene/?term=33629
l(2)k05819	l(2)k05819	lethal (2) k05819	33644	https://www.ncbi.nlm.nih.gov/gene/?term=33644
Dim1	Dim1	Dim1	33645	https://www.ncbi.nlm.nih.gov/gene/?term=33645
CG15432	CG15432	NA	33647	https://www.ncbi.nlm.nih.gov/gene/?term=33647
Cf2	Cf2	Chorion factor 2	33692	https://www.ncbi.nlm.nih.gov/gene/?term=33692
Jon25Bi	Jon25Bi	Jonah 25Bi	33708	https://www.ncbi.nlm.nih.gov/gene/?term=33708
Rtnl1	Rtnl1	Reticulon-like1	33721	https://www.ncbi.nlm.nih.gov/gene/?term=33721
CG14036	CG14036	NA	33735	https://www.ncbi.nlm.nih.gov/gene/?term=33735
Rpn11	Rpn11	Regulatory particle non-ATPase 11	33738	https://www.ncbi.nlm.nih.gov/gene/?term=33738
pgant5	pgant5	polypeptide GalNAc transferase 5	326151	https://www.ncbi.nlm.nih.gov/gene/?term=326151
Bsg25D	Bsg25D	Blastoderm-specific gene 25D	33757	https://www.ncbi.nlm.nih.gov/gene/?term=33757
Bub1	Bub1	Bub1 kinase	33758	https://www.ncbi.nlm.nih.gov/gene/?term=33758
vri	vri	vrille	33759	https://www.ncbi.nlm.nih.gov/gene/?term=33759
