userId	geneSymbol	geneName	entrezgene	gLink
CG31862	CG31862	NA	318989	https://www.ncbi.nlm.nih.gov/gene/?term=318989
CG42313	CG42313	NA	3346206	https://www.ncbi.nlm.nih.gov/gene/?term=3346206
beat-Ia	beat-Ia	beaten path Ia	34947	https://www.ncbi.nlm.nih.gov/gene/?term=34947
Pax	Pax	Paxillin	35215	https://www.ncbi.nlm.nih.gov/gene/?term=35215
Lectin-galC1	Lectin-galC1	Galactose-specific C-type lectin	35216	https://www.ncbi.nlm.nih.gov/gene/?term=35216
CG16771	CG16771	NA	35218	https://www.ncbi.nlm.nih.gov/gene/?term=35218
CG13085	CG13085	NA	35219	https://www.ncbi.nlm.nih.gov/gene/?term=35219
CG10237	CG10237	NA	35222	https://www.ncbi.nlm.nih.gov/gene/?term=35222
CG3515	CG3515	NA	33437	https://www.ncbi.nlm.nih.gov/gene/?term=33437
CG11221	CG11221	NA	33948	https://www.ncbi.nlm.nih.gov/gene/?term=33948
Btk29A	Btk29A	Btk family kinase at 29A	34132	https://www.ncbi.nlm.nih.gov/gene/?term=34132
Oaz	Oaz	O/E-associated zinc finger protein	36609	https://www.ncbi.nlm.nih.gov/gene/?term=36609
Lapsyn	Lapsyn	Leucine-rich repeat activity-regulated protein at synapses	37418	https://www.ncbi.nlm.nih.gov/gene/?term=37418
HmgZ	HmgZ	HMG protein Z	37480	https://www.ncbi.nlm.nih.gov/gene/?term=37480
CngB	CngB	Cyclic nucleotide-gated ion channel subunit B	37479	https://www.ncbi.nlm.nih.gov/gene/?term=37479
HmgD	HmgD	High mobility group protein D	37481	https://www.ncbi.nlm.nih.gov/gene/?term=37481
twi	twi	twist	37655	https://www.ncbi.nlm.nih.gov/gene/?term=37655
CG42741	CG42741	NA	37654	https://www.ncbi.nlm.nih.gov/gene/?term=37654
Tsp42Ec	Tsp42Ec	Tetraspanin 42Ec	35612	https://www.ncbi.nlm.nih.gov/gene/?term=35612
CG30160	CG30160	NA	246490	https://www.ncbi.nlm.nih.gov/gene/?term=246490
CG43340	CG43340	NA	35698	https://www.ncbi.nlm.nih.gov/gene/?term=35698
ptc	ptc	patched	35851	https://www.ncbi.nlm.nih.gov/gene/?term=35851
lola	lola	longitudinals lacking	44548	https://www.ncbi.nlm.nih.gov/gene/?term=44548
fra	fra	frazzled	36377	https://www.ncbi.nlm.nih.gov/gene/?term=36377
CG33752	CG33752	NA	3771860	https://www.ncbi.nlm.nih.gov/gene/?term=3771860
Prosap	Prosap	prosap	50225	https://www.ncbi.nlm.nih.gov/gene/?term=50225
fz	fz	frizzled	45307	https://www.ncbi.nlm.nih.gov/gene/?term=45307
CG3919	CG3919	NA	39582	https://www.ncbi.nlm.nih.gov/gene/?term=39582
bbg	bbg	big bang	39583	https://www.ncbi.nlm.nih.gov/gene/?term=39583
CG17177	CG17177	NA	39601	https://www.ncbi.nlm.nih.gov/gene/?term=39601
ome	ome	omega	44297	https://www.ncbi.nlm.nih.gov/gene/?term=44297
CG5151	CG5151	NA	39772	https://www.ncbi.nlm.nih.gov/gene/?term=39772
Baldspot	Baldspot	baldspot	39860	https://www.ncbi.nlm.nih.gov/gene/?term=39860
fz2	fz2	frizzled 2	40090	https://www.ncbi.nlm.nih.gov/gene/?term=40090
sls	sls	sallimus	44013	https://www.ncbi.nlm.nih.gov/gene/?term=44013
olf413	olf413	olf413	40453	https://www.ncbi.nlm.nih.gov/gene/?term=40453
Ten-m	Ten-m	Tenascin major	40464	https://www.ncbi.nlm.nih.gov/gene/?term=40464
CG33772	CG33772	NA	3772205	https://www.ncbi.nlm.nih.gov/gene/?term=3772205
CG32485	CG32485	NA	38363	https://www.ncbi.nlm.nih.gov/gene/?term=38363
Sk2	Sk2	Sphingosine kinase 2	326219	https://www.ncbi.nlm.nih.gov/gene/?term=326219
Claspin	Claspin	claspin	326205	https://www.ncbi.nlm.nih.gov/gene/?term=326205
Src64B	Src64B	Src oncogene at 64B	48973	https://www.ncbi.nlm.nih.gov/gene/?term=48973
ndl	ndl	nudel	38738	https://www.ncbi.nlm.nih.gov/gene/?term=38738
