geneSet	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
TGANTCA_AP1_C	http://www.broadinstitute.org/gsea/msigdb/cards/TGANTCA_AP1_C	1826	36	17.362916006339145	2.0733844468784226	2.3293601134621866e-6	0.0011500292199690398	39835;37892;318668;43772;36883;31913;38436;34132;35738;47384;35135;32398;42103;36163;32191;37895;34863;41967;39999;43923;42130;39415;326152;5740629;50003;33473;5740472;45248;32955;36592;41887;42071;318651;43397;246493;32609	CG15279;ham;erm;Syt1;Btk29A;Nckx30C;Shroom;CG5550;Fili;CG43795;mAChR-A;SerT;prom;Dgk;Spn47C;CG32103;CG43373;Eip75B;dar1;axo;AdamTS-A;CG31296;sra;CG6126;CG31266;CG31267;Dscam3;osa;intr;CG45263;CG2316;Pkcdelta;NetA;CG9981;CG14207;Sp1
MYB_Q3	http://www.broadinstitute.org/gsea/msigdb/cards/MYB_Q3	467	16	4.440570522979398	3.603140613847252	6.101957900406241e-6	0.0011500292199690398	38436;42103;32398;34132;39999;43923;31678;35707;35706;246651;37012;34863;37895;37892;35135;318668	CG15279;ham;Btk29A;CG6424;mAChR-A;SerT;CG30495;CG2065;CG2070;Eip75B;dar1;axo;CG31296;Dscam3;NetA;CHES-1-like
AML1_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/AML1_Q6	475	16	4.516640253565769	3.5424561403508767	7.5784462600925195e-6	0.0011500292199690398	42071;318651;31678;7354466;35738;42162;33824;34132;41719;37895;34863;32442;43923;41887;33473;37012	CG15279;Syt1;Gpdh;Btk29A;CG6424;SerT;Dgk;axo;AdamTS-A;CG42342;CG31266;CG31267;sr;twf;Rab3-GEF;CHES-1-like
AML1_01	http://www.broadinstitute.org/gsea/msigdb/cards/AML1_01	475	16	4.516640253565769	3.5424561403508767	7.5784462600925195e-6	0.0011500292199690398	42071;318651;31678;7354466;35738;42162;33824;34132;41719;37895;34863;32442;43923;41887;33473;37012	CG15279;Syt1;Gpdh;Btk29A;CG6424;SerT;Dgk;axo;AdamTS-A;CG42342;CG31266;CG31267;sr;twf;Rab3-GEF;CHES-1-like
OCT1_01	http://www.broadinstitute.org/gsea/msigdb/cards/OCT1_01	628	18	5.971473851030111	3.0143312101910826	1.738629443948092e-5	0.002085925317255137	34132;35738;47384;42162;5740472;37890;33473;39999;45248;43923;38436;31678;326152;34863;37895;31913;7354466;39147	CG15279;erm;Syt1;Btk29A;Nckx30C;Fili;bs;SerT;Dgk;Eip75B;dar1;axo;CG8177;sra;CG42342;sr;CHES-1-like;Sp1
GCANCTGNY_MYOD_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/GCANCTGNY_MYOD_Q6	1498	30	14.24405705229794	2.1061415220293727	2.0618701653263294e-5	0.002085925317255137	39835;37892;36883;42162;34132;33824;42071;318651;32398;32191;39999;36163;43923;39147;35540;33509;41887;34863;37895;38436;5740472;31913;45248;5740629;33314;42103;50003;32955;33473;39415	robo3;CG15279;Syt1;CG17265;Gpdh;Btk29A;Nckx30C;CG5550;Fili;CG43795;EcR;mAChR-A;SerT;Spn47C;CG32103;CG43373;Eip75B;dar1;axo;CG8177;AdamTS-A;CG31266;CG31267;Dscam3;sr;CG45263;Pkcdelta;NetA;CG14207;Sp1
TGTTTGY_HNF3_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/TGTTTGY_HNF3_Q6	1230	26	11.695721077654516	2.2230352303523038	3.8026771481680655e-5	0.0028942029565516506	36592;38436;36163;37892;42103;42162;36883;32955;5740472;37895;34863;41967;31913;39999;39415;43923;32398;31678;33314;326152;50003;41217;42130;32191;41719;37012	robo3;CG15279;erm;Shroom;CG5550;CG6424;Fili;mAChR-A;SerT;Spn47C;CG32103;Eip75B;dar1;axo;CG6126;Dscam3;osa;sr;CG45263;Glut4EF;twf;Pkcdelta;NetA;CG14207;CHES-1-like;Sp1
YATGNWAAT_OCT_C	http://www.broadinstitute.org/gsea/msigdb/cards/YATGNWAAT_OCT_C	734	19	6.979397781299525	2.722297910990009	4.044203386088796e-5	0.0028942029565516506	318668;35738;47384;42162;5740472;34132;39999;37890;33473;43923;31678;34863;37895;45248;33314;42103;31913;7354466;39147	robo3;CG15279;Syt1;Btk29A;Nckx30C;Fili;bs;SerT;Dgk;Eip75B;axo;CG8177;CG31296;sra;CG42342;Dscam3;sr;CHES-1-like;Sp1
RTAAACA_FREAC2_01	http://www.broadinstitute.org/gsea/msigdb/cards/RTAAACA_FREAC2_01	1557	30	14.805071315372425	2.0263326910725756	4.446096061694327e-5	0.0028942029565516506	37892;318668;31913;38436;31678;47384;35135;34132;42103;32191;318651;42071;39999;33314;39147;32398;35540;36883;41887;5740472;45248;33565;37410;38516;36592;33473;5740661;34131;33284;37012	CG4629;robo3;ham;Syt1;msl-2;Btk29A;CG8086;Nckx30C;Shroom;CG34457;CG5550;CG6424;CG30389;Fili;EcR;mAChR-A;Eip75B;dar1;ago;CG8177;AdamTS-A;CG31296;sra;CG31266;CG31267;Dscam3;Pkcdelta;NetA;CHES-1-like;Sp1
HNF1_C	http://www.broadinstitute.org/gsea/msigdb/cards/HNF1_C	613	17	5.828843106180666	2.9165307232191404	4.768044409475536e-5	0.0028942029565516506	42162;36883;36163;318651;42071;39999;34132;37895;34863;37287;33509;5740472;33314;42103;38436;31913;39147	robo3;CG15279;CG17265;Btk29A;CG5550;CG9864;Fili;SerT;Spn47C;Eip75B;dar1;CG8177;CG31266;CG31267;Dscam3;sr;Sp1
