geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	http://amigo.geneontology.org/amigo/term/GO:0016614	122	6	1.1572024788162387	5.184918032786886	0.001007887177461475	0.13203322024745323	33824;35706;35707;42803;246651;3772692	Gpdh;Menl-2;CG30495;CG2065;CG2070;Hmgcr
GO:0003700	DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0003700	471	10	4.467560389528266	2.2383581033262563	0.012959489236627264	0.6278003170624552	31678;31913;35135;35540;37367;37890;38436;39999;42162;42226	ham;Rx;EcR;bs;Eip75B;dar1;sr;fru;CHES-1-like;Sp1
GO:0042802	identical protein binding	http://amigo.geneontology.org/amigo/term/GO:0042802	210	6	1.9919059061590996	3.0121904761904763	0.014377106497613479	0.6278003170624552	33473;33814;33824;35540;37386;42103	Syt1;rau;Gpdh;shg;EcR;Dscam3
GO:0022804	active transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0022804	262	6	2.4851397495889715	2.414351145038168	0.03750186754291085	1	34863;37895;39147;39458;43772;45248	CG15279;Nckx30C;SerT;CG10960;CG8177;CG2316
GO:0005509	calcium ion binding	http://amigo.geneontology.org/amigo/term/GO:0005509	198	5	1.8780827115214367	2.6622895622895624	0.039412446910029875	1	33473;35738;37386;39415;42006	Syt1;shg;Dgk;CG32103;Cad89D
GO:0005326	neurotransmitter transporter activity	http://amigo.geneontology.org/amigo/term/GO:0005326	39	2	0.3699253825724042	5.406495726495726	0.052499365297040024	1	34863;37895	CG15279;SerT
GO:0008509	anion transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0008509	166	4	1.5745541924876691	2.5404016064257027	0.07238008196210233	1	34863;37895;39147;39415	CG15279;SerT;CG32103;CG8177
GO:0046983	protein dimerization activity	http://amigo.geneontology.org/amigo/term/GO:0046983	316	6	2.9973441254584543	2.0017721518987344	0.07856404989327292	1	33473;33814;33824;35540;37386;37890	Syt1;rau;Gpdh;shg;EcR;bs
GO:0008092	cytoskeletal protein binding	http://amigo.geneontology.org/amigo/term/GO:0008092	326	6	3.0921967876565066	1.9403680981595093	0.08819884867722205	1	33611;36167;36592;37386;39572;41719	capu;Shroom;shg;BBS4;nuf;twf
GO:0043565	sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0043565	490	8	4.647780447704566	1.721251700680272	0.0915135457910411	1	31678;31913;35540;37367;37890;38436;39999;326152	erm;Rx;EcR;bs;Eip75B;dar1;CHES-1-like;Sp1
