geneSet	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
SRF_C	http://www.broadinstitute.org/gsea/msigdb/cards/SRF_C	338	12	2.1014263074484947	5.710407239819004	7.334681861870251e-7	4.4521518901552426e-4	48973;34132;37654;35851;38109;41491;35215;42734;35612;39017;38988;44013	Pax;Btk29A;CG42741;Tsp42Ec;ptc;sls;Src64B;Zasp66;Tsp66E;Glut1;Rassf;svp
RSRFC4_Q2	http://www.broadinstitute.org/gsea/msigdb/cards/RSRFC4_Q2	315	11	1.958429842740461	5.616744475568004	2.7062414961198655e-6	8.213442940723792e-4	50391;48973;34132;35851;38109;41491;37655;64875;39772;31913;37654	Btk29A;twi;CG42741;ptc;CG5151;Src64B;Glut1;svp;disco-r;Grip;Sp1
STAT5A_02	http://www.broadinstitute.org/gsea/msigdb/cards/STAT5A_02	275	9	1.7097403389004024	5.263957219251337	4.144375327075345e-5	0.00632508483056099	37654;31913;34132;48973;35851;40090;45307;36609;44013	Btk29A;Oaz;CG42741;ptc;fz;fz2;sls;Src64B;Sp1
AGCYRWTTC_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/AGCYRWTTC_UNKNOWN	222	8	1.3802267463123248	5.796149090266737	5.9214935745677266e-5	0.00632508483056099	34132;48973;44297;31913;37654;43314;43944;36609	Btk29A;Oaz;CG42741;ome;Src64B;CG5639;sbr;Sp1
RTAAACA_FREAC2_01	http://www.broadinstitute.org/gsea/msigdb/cards/RTAAACA_FREAC2_01	1557	22	9.680238936974279	2.27267117508532	6.122051213164337e-5	0.00632508483056099	37654;31913;31506;48973;34132;39583;36377;38738;35851;41491;38109;37655;40464;43314;36609;37479;64875;44297;39860;44013;31031;42734	Btk29A;Oaz;CngB;twi;CG42741;ptc;fra;bbg;ome;Baldspot;sls;Ten-m;Src64B;ndl;Glut1;Rassf;CG5639;svp;disco-r;CG3108;CG43867;Sp1
POU6F1_01	http://www.broadinstitute.org/gsea/msigdb/cards/POU6F1_01	362	10	2.2506400097525296	4.443180587151987	6.252143160356827e-5	0.00632508483056099	50391;48973;34132;41491;35612;39017;40464;44548;64875;31913	Btk29A;Tsp42Ec;lola;Ten-m;Src64B;Tsp66E;svp;disco-r;Grip;Sp1
TATAAA_TATA_01	http://www.broadinstitute.org/gsea/msigdb/cards/TATAAA_TATA_01	1827	24	11.358893087894673	2.1128819343829486	7.657368735836112e-5	0.006640032603789313	43314;34132;48973;31506;50391;38738;38109;41491;37655;45307;40090;35851;39111;42734;40464;39583;36609;44548;37654;37479;64875;39772;31913;33437	CG3515;Btk29A;Oaz;CngB;twi;CG42741;ptc;lola;fz;bbg;CG5151;fz2;Ten-m;Src64B;ndl;Glut1;CG42673;Rassf;CG5639;svp;disco-r;CG3108;Grip;Sp1
NCX_01	http://www.broadinstitute.org/gsea/msigdb/cards/NCX_01	387	10	2.406070949652566	4.156153417439327	1.0936025414731709e-4	0.007940016442967296	34132;48973;50391;38738;41491;35851;37654;43944;39583;31913	Btk29A;CG42741;ptc;bbg;Src64B;ndl;svp;sbr;Grip;Sp1
SRF_Q6	http://www.broadinstitute.org/gsea/msigdb/cards/SRF_Q6	482	11	2.9967085212727054	3.6706940037425757	1.432488073291882e-4	0.007940016442967296	48973;34132;39772;37654;35851;41491;35215;42734;38988;44013;31913	Pax;Btk29A;CG42741;ptc;CG5151;sls;Src64B;Zasp66;Rassf;svp;Sp1
PAX8_B	http://www.broadinstitute.org/gsea/msigdb/cards/PAX8_B	188	7	1.168840668048275	5.988840216937839	1.465133630856874e-4	0.007940016442967296	50391;35851;37655;35612;39017;64875;31913	twi;Tsp42Ec;ptc;Tsp66E;disco-r;Grip;Sp1
