geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0007600	sensory perception	http://amigo.geneontology.org/amigo/term/GO:0007600	413	251	111.93953542663711	2.242281951978444	0	0	30978;31107;31207;31538;31621;31672;31686;31702;31750;31863;31865;31867;32028;32039;32085;32086;32158;32189;32387;32428;32562;32572;32579;32718;32723;32724;32856;32897;33093;33130;33157;33230;33251;33335;33336;33381;33450;33453;33623;33683;33768;34236;34299;34408;34545;34547;34568;34569;34601;34602;34603;34615;34641;34843;34915;34917;34991;35061;35073;35414;35449;35514;35516;35644;35652;35655;35705;35743;35813;35980;36003;36088;36094;36162;36187;36212;36350;36413;36526;36600;36606;36897;37265;37269;37347;37374;37400;37501;37582;37605;37607;37609;37711;37715;37716;37724;37725;37726;37805;37843;37981;38098;38101;38354;38453;38616;38835;38863;38868;38935;39015;39109;39120;39180;39189;39191;39324;39389;39481;39571;39617;39641;39929;39982;39983;40065;40116;40136;40157;40224;40333;40526;40619;40627;40648;40650;40665;40737;40744;40746;40747;40800;40891;40931;40991;41006;41007;41008;41011;41018;41119;41171;41292;41369;41381;41470;41473;41474;41491;41642;41715;41889;42007;42210;42415;42425;42452;42471;42485;42506;42514;42540;42568;42712;42961;43146;43234;43305;43309;43341;43375;43489;43493;43496;43551;43683;43753;44873;45328;45338;45587;47080;50320;117327;117336;117338;117342;117343;117344;117345;117346;117347;117348;117349;117470;117472;117473;117476;117477;117484;117485;117486;117487;117488;117492;117496;117498;117499;117500;117501;170878;170882;170887;192481;246432;246659;246667;246672;260693;318011;318012;318013;318158;318736;318778;318912;326110;2768670;2768728;2768865;2768933;2768955;2768964;3346160;3346204;3346208;3346227;3772145;3772338;3885598;8673994	Ir21a;rempA;Gr21a;Or22a;Or22b;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Obp22a;Or22c;dpr3;Or23a;Gr23a;Or24a;Ir25a;nompC;Gr28a;Gr28b;CheA29a;Or30a;ppk11;dpr19;Ir31a;dpr2;Gr32a;CG14921;salr;salm;Or33a;Or33b;Or33c;Rh5;Gr33a;ppk;CG15254;CG11865;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;Dhc36C;btv;CheB38b;Gr39a;Gr39b;nompB;Ir40a;Or42a;Or42b;dpr12;Or43a;Dscam1;Gr43a;CG1339;Or43b;pdm3;Or45b;CheA46a;trpl;Or46a;Obp46a;Gr47a;Obp47a;Or47a;nompA;Or47b;Gr47b;Or49a;Or49b;stj;Obp50a;Obp50e;phyl;CheB53b;inaC;dpr13;Obp56b;Obp56c;Or56a;Obp56i;Obp57e;Gr57a;CG9313;ktub;Gr58c;Gr58a;CG4329;Obp59a;Obp58b;Obp58d;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;bw;Gr59e;Gr59f;Galphas;sei;NaCP60E;Gr61a;dpr20;Or63a;Gr63a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;Ank2;Snmp2;Gr66a;TrpA1;Or67a;Or67b;dpr10;Or67c;Or67d;Gr68a;Rh7;Or69a;Zmynd10;sens;nan;DCX-EMAP;Or71a;Obp73a;Or74a;Ir75a;Ir75b;Ir75c;Ir75d;brv1;lush;Ir76a;rdgC;Gr77a;Ac78C;Oct-TyrR;CG14636;Or82a;dpr16;rtp;Or83a;Orco;Nmdar1;Obp83a;Or83c;Obp83cd;Obp83ef;Obp83g;dpr11;Ir84a;wtrw;Or85a;Obp85a;Or85b;Or85c;Or85d;Or85e;Or85f;CG9492;Desi;CheA86a;ninaG;dpr5;dpr4;dpr17;dpr15;Cpn;svp;CheA87a;Or88a;dpr9;Rh6;Gr89a;gl;Gr92a;Ir92a;Or92a;Ir93a;Dhc93AB;Obp93a;Snmp1;CheB93a;CheB93b;Gr93a;Gr93b;Gr93d;Or94b;sosie;boss;ro;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;Or98a;Or98b;ppk19;Gycalpha99B;Obp99d;TkR99D;stops;Ir100a;dpr7;Or1a;Nmdar2;Or2a;Gr5a;CG5921;iav;CheA7a;Ir7a;dpr14;Or7a;t;Gr8a;Ir8a;Gr9a;Myo10A;sev;Gr10b;Gr10a;Or10a;cac;Ir11a;na;dpr8;eag;acj6;Or13a;dpr18;disco;f;B-H2;B-H1;CG6696;Obp18a;Or19b;unc;tilB
GO:0006812	cation transport	http://amigo.geneontology.org/amigo/term/GO:0006812	397	187	107.60289482899499	1.7378714605883487	0	0	31211;31235;31246;31271;31456;31457;31550;31621;31653;31767;31955;32056;32092;32158;32290;32428;32468;32671;32731;32928;33275;33542;33545;33547;33548;33599;33768;33788;33789;33832;33833;33886;33887;33961;34295;34299;34304;34390;34482;34509;34557;34587;34651;34661;34695;34826;34843;34886;34921;34950;34951;34980;34991;35006;35068;35131;35376;35579;35814;36003;36005;36055;36071;36249;36328;36526;36589;36742;36806;36849;36864;36865;36900;37047;37132;37398;37479;37498;37546;37566;37614;37770;37843;37844;37895;37953;37981;37983;38037;38133;38440;38501;38504;38521;38589;38742;38835;39015;39282;39489;39571;39626;39630;39662;39984;40066;40116;40129;40271;40393;40551;40650;40727;40728;40748;40866;40867;40931;41075;41125;41175;41215;41671;41806;42036;42041;42222;42245;42307;42308;42357;42473;42706;42710;42739;42742;42795;42890;42918;42919;43188;43311;43324;43485;43486;43487;43489;43583;43668;43702;43783;44483;44484;45338;45668;49090;117368;246504;246543;317846;318213;318575;318593;318623;318868;326167;326229;2768722;2768910;2768938;2768939;2768987;3346192;3346208;3346226;3354990;3354991;3885612;3885617;5740446;5740746;5740840;5740846;7354434;7354472;8674091;14462605	GluRIIC;dpr3;CG34172;CG15406;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;GluRIIA;GluRIIB;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Nha1;Shawl;ppk18;ppk16;ppk11;nAChRalpha6;CG4995;ppk10;Vha16-5;CG7309;Ca-beta;Vha100-5;ZnT33D;Pkd2;CG5421;Vha68-3;Vha68-1;nAChRalpha5;ppk;CG33310;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Sytalpha;Irk3;ppk13;Nhe2;Zip42C.1;ppk25;CG2121;RyR;trpl;CG1688;sut4;KCNQ;Tret1-2;Vha36-2;Vmat;stj;Ih;CG8249;CngA;DAT;Nach;Picot;Vha16-4;Elk;Rgk2;Vha100-3;Rgk1;CG34396;Rgk3;CngB;ppk9;dve;ppk12;CG42260;ppk3;CG4797;sei;ppk29;SerT;Mid1;NaCP60E;Tpc2;pyx;CG9194;ppk27;Teh4;tipE;VhaM9.7-a;Rh50;GluRIA;ppk26;TrpA1;GluRIB;Vha16-3;Vha16-2;CG17300;nan;Zip71B;Sytbeta;CG7255;Grd;CG14077;brv1;Shal;ZnT77C;ppk5;CapaR;CG1090;Orco;CG1208;CG1213;Vha14-2;CG14606;CG14605;wtrw;CG31100;Task7;CG9444;Teh1;Task6;VhaPPA1-2;Glut3;VhaM9.7-d;CG10864;CG7708;VAChT;CG11703;CG5250;CG4662;GluRIIE;GluRIID;CG3822;CG4704;Nha2;VhaAC39-2;Irk1;prt;Orct2;nAChRalpha1;nAChRalpha2;ppk22;ppk15;ppk31;CG5646;unc80;ppk21;ppk20;ppk30;ppk19;AdoR;Ctr1C;ppk24;JYalpha;Syt7;CG3078;Vha36-3;brv3;w;ppk8;CG42594;SK;NAAT1;CG42265;Ca-alpha1T;CG42340;iav;CG4607;nAChRalpha3;Hk;CG32669;rtv;CG43155;cac;Syt12;na;eag;Cngl;ppk28;ppk23;nAChRalpha7;CG12061;CG17167
GO:0051606	detection of stimulus	http://amigo.geneontology.org/amigo/term/GO:0051606	285	199	77.24641064550018	2.5761714795170527	0	0	30978;31207;31246;31686;31690;31692;31694;31750;31865;31867;32067;32085;32086;32158;32189;32562;33062;33126;33157;33251;33335;33336;33381;33450;33453;33623;33683;33768;34236;34545;34601;34602;34603;34615;34641;34651;34843;34991;35449;35514;35516;35644;35652;35655;35705;35743;35834;35980;36003;36094;36095;36187;36212;36254;36257;36350;36413;36526;36715;36716;36897;37022;37250;37252;37269;37347;37363;37400;37501;37633;37711;37715;37716;37725;37726;37881;37917;38098;38354;38453;38616;38835;38935;39015;39109;39110;39120;39189;39191;39194;39269;39324;39378;39389;39571;39641;39929;39982;39983;40065;40116;40157;40224;40333;40627;40648;40650;40744;40891;40991;41007;41008;41011;41018;41052;41119;41654;41678;41715;41889;42007;42415;42425;42471;42514;42540;42568;42712;42765;42768;42769;43305;43309;43341;43375;43493;43551;43683;43753;44873;47080;117327;117336;117338;117342;117343;117344;117345;117346;117347;117348;117349;117470;117472;117473;117476;117477;117484;117485;117486;117487;117488;117492;117496;117498;117499;117500;117501;170887;192481;246442;246471;246631;246659;260693;317838;318011;318012;318013;318158;318610;318632;318727;318728;318736;318778;318912;2768714;2768728;2768933;2768964;3346204;7354400;7354402;7354412;7354416;7354417;7354418;8673994	Ir21a;Gr21a;Or22a;Or22b;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Or22c;Or23a;Gr23a;Or24a;Ir25a;nompC;Gr28a;Gr28b;CheA29a;Or30a;Ir31a;Gr32a;Or33a;Or33b;Or33c;Rh5;Gr33a;Pkd2;ppk;Trpgamma;Gr36a;Gr36b;Gr36c;CG31750;CheB38b;Gr39a;Gr39b;Ir40a;Ir41a;Or42a;Or42b;Or43a;Dscam1;Gr43a;CG1339;Or43b;CG12780;Or45b;trpl;Or46a;Gr47a;Ir47a;Or47a;Or47b;Gr47b;Ir48b;Ir48c;Or49a;Or49b;stj;Ir51b;Ir52a;Ir52b;Ir52d;CheB53b;inaC;Ir54a;Ir56a;Ir56b;Ir56d;Or56a;Gr57a;Cib2;ktub;Gr58c;Gr58a;PIP5K59B;Gr59a;Gr59b;Gr59c;Gr59d;Or59a;Or59b;Or59c;Gr59e;Gr59f;Ir60a;Ir60b;Ir60d;Ir60e;Gr61a;Or63a;Gr63a;Gr64f;Ir64a;Or65a;Or65b;Or65c;CG32395;ppk26;Gr66a;TrpA1;Or67a;Ir67a;Or67b;Or67c;Or67d;Ir67b;Ir67c;Ir68a;Gr68a;Ir68b;Rh7;Or69a;nan;Or71a;Or74a;Ir75a;Ir75b;Ir75c;Ir75d;brv1;Ir76a;rdgC;Gr77a;Ac78C;Or82a;rtp;Or83a;Orco;Or83c;Ir84a;Or85a;Or85b;Or85c;Or85d;Or85e;Ir85a;Or85f;Ir87a;ninaB;Or88a;Rh6;Gr89a;Gr92a;Ir92a;Or92a;Ir93a;Snmp1;CheB93a;CheB93b;Gr93a;Gr93b;Gr93d;Ir94a;Ir94b;Ir94c;Or94b;Ir94d;Ir94e;Ir94f;Ir94g;Ir94h;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;Or98a;Or98b;Gycalpha99B;TkR99D;stops;Ir100a;Or1a;Or2a;brv3;Gr5a;Ir7a;Ir7b;Ir7c;Ir7d;Ir7e;Ir7f;Ir7g;Or7a;Gr8a;Ir8a;Gr9a;Ir10a;Gr10b;Gr10a;Or10a;cac;Ir11a;acj6;Or13a;Or19b;shakB;Ir20a
GO:0007186	G protein-coupled receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007186	232	136	62.88128866581067	2.1628055481303274	0	0	31169;31234;31408;31463;31718;31744;31928;32246;32674;32803;32860;32864;32874;32999;33007;33248;33812;33851;34181;34341;34615;34642;34689;34819;34878;35419;35535;35705;35738;35832;35845;36125;36168;36368;36385;36475;36601;36897;36899;36960;37004;37191;37196;37400;37522;37805;37883;37892;37905;38003;38056;38058;38284;38285;38296;38298;38357;38434;38622;38636;38839;38910;39191;39389;39409;39835;39861;39933;39966;40019;40020;40195;40224;40333;40393;40412;40575;40754;40955;41017;41170;41286;41547;41638;41639;41713;41726;41742;41889;41890;42018;42101;42133;42135;42258;42452;42523;42530;42561;42652;42683;42836;42947;42952;43098;43146;43253;43393;43484;43493;43551;43583;43669;43678;43681;43683;43838;43982;44126;53427;53432;59235;117342;117467;170887;246395;246420;246525;317967;318914;2768688;2768691;3346150;3885573;5740362;5740629	GABA-B-R3;TrissinR;CG13995;Dh31;CG44153;mthl15;Rh5;CG31760;ACXC;ACXB;ACXA;rk;GABA-B-R1;CG31750;Ac3;CCHa2-R;CG1339;Dgk;mtt;CG8642;stan;mthl13;CG13229;Dh44-R2;CG30054;CG17760;Dh31-R;Dh44-R1;inaC;CG15614;mthl4;CCHa1-R;5-HT1B;5-HT1A;ktub;CG30280;CG30281;CG43795;Galphas;CG13575;mAChR-A;CG13579;Nplp1;mthl9;mth;ACXD;CG32301;CG32305;MsR2;MsR1;FMRFaR;CG10359;Lkr;mthl2;CG32395;mthl6;mthl7;Or67d;Rh7;CrzR;Nplp3;CG43373;Galphaf;Mip;CG7497;AstC-R2;AstC-R1;sNPF-R;rdgC;Ac78C;CapaR;CG32447;Oct-TyrR;5-HT2A;NPFR;CG34384;mAChR-B;5-HT2B;Dh44;mthl11;TkR86C;Octbeta3R;Hug;PK2-R2;PK2-R1;PK1-R;Dop1R1;Crz;Rh6;Trissin;NPF;Eh;Lgr1;TyrRII;CG18208;Oamb;ETHR;SIFaR;GABA-B-R2;Octbeta1R;CCAP;CG31140;AstA;Ets96B;Lgr3;CCAP-R;boss;RYa-R;AstA-R2;Dop1R2;Gycalpha99B;Dup99B;TkR99D;AdoR;5-HT7;CG11318;CG15556;stops;mGluR;CG4313;Pdfr;AstA-R1;Proc-R;SPR;Tbh;Gbeta5;CG1889;hec;RSG7;CG33639;CG32547;CCKLR-17D1;CCKLR-17D3;CG42450;amn;Dop2R
GO:0007618	mating	http://amigo.geneontology.org/amigo/term/GO:0007618	187	105	50.684486984942225	2.0716397905180393	0	0	30980;31130;31251;31271;31463;31718;31865;32022;32060;32085;32158;32246;32428;32731;32999;33130;33251;33453;33571;33739;33823;33962;34036;34162;34531;34545;34594;34641;34651;34977;35073;35096;35655;36741;36780;37196;37347;37725;37726;37844;38007;38453;38504;38746;38935;39150;39191;39324;40136;40315;40398;40891;41182;41988;42018;42226;42530;42568;43036;43305;43309;43343;43395;43396;43397;43669;43838;43982;47763;48531;53522;53523;117327;117336;117338;117343;117344;117345;117346;117347;117348;117349;117368;117470;117472;117473;117476;117484;117485;117486;117487;117488;117492;117496;117498;117499;117500;117501;192481;318158;2768691;2768722;3772154;4379864;5740700	Gr21a;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;tim;qtc;dsf;Nlg2;Gr28a;Gr28b;Cyp4d21;Acp29AB;Acp32CD;Gr32a;Acp33A;Pde1c;Gr33a;Pkd2;jhamt;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;Gr39b;ppk25;Gr43a;lectin-46Cb;lectin-46Ca;Gr47b;Poxn;Jhe;5-HT1A;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;ppk29;lov;Gr63a;tipE;ple;Gr66a;Ilp2;Or67d;Gr68a;lush;Gr77a;Sems;TfAP-2;Ir84a;FoxP;natalisin;ss;NPF;Abd-B;fru;Gr92a;Oamb;SIFaR;Gr93a;Gr93b;Gr93d;prt;lobo;to;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;per;w;SPR;Tbh;Gr8a;Gr9a;CG15208;CG15200;Gr10b;Gr10a;cac;hec;eag;Pp1-13C;ppk23;amn;tilB
GO:0098660	inorganic ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0098660	336	160	91.06945255048443	1.756900865427997	2.220446049250313e-16	1.3137639124731019e-14	31235;31246;31456;31550;31621;31653;31955;32056;32092;32158;32249;32428;32554;32671;32731;33109;33542;33545;33547;33548;33599;33768;33832;33833;33886;33887;33961;34295;34299;34482;34557;34587;34651;34661;34695;34843;34921;34950;34951;34980;34991;35006;35131;35376;35579;35763;36003;36005;36055;36071;36145;36249;36328;36526;36589;36651;36742;36864;36865;36900;37025;37047;37132;37398;37498;37566;37770;37843;37844;37953;37981;38037;38133;38440;38504;38521;38835;39015;39054;39282;39489;39571;39626;39660;39661;39984;40038;40039;40066;40116;40129;40271;40551;40650;40727;40728;40748;40866;40867;40931;41075;41125;41175;41426;41428;41671;41806;41882;41901;42036;42041;42222;42307;42308;42357;42473;42706;42710;42739;42742;43145;43188;43485;43486;43487;43489;43561;43634;43636;43668;43702;45668;45910;49090;246504;246543;317846;318213;318575;318593;318868;326167;2768722;2768910;2768938;2768939;2768987;3346226;3354990;3354991;3885612;3885617;5740446;5740746;5740840;5740846;7354434;7354472;8674091;14462605	CG34172;CG15406;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Nha1;Shawl;ppk18;ppk16;ppk11;ppk10;Vha16-5;Ca-beta;Vha100-5;ZnT33D;Pkd2;CG5421;Vha68-3;Vha68-1;ppk;CG33310;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Irk3;ppk13;Nhe2;Zip42C.1;ppk25;Dic3;RyR;trpl;CG1688;sut4;KCNQ;CG12344;Tret1-2;Vha36-2;stj;Ih;NaPi-T;CG8249;Nach;Picot;Vha16-4;CG5002;Elk;Rgk2;Vha100-3;Rgk1;CG34396;Rgk3;ppk9;ppk12;ppk3;CG4797;sei;ppk29;Mid1;NaCP60E;pyx;CG9194;ppk27;tipE;VhaM9.7-a;ppk26;TrpA1;Rdl;Vha16-3;Vha16-2;CG17300;nan;Zip71B;Best4;Best3;Grd;CG6893;Dic4;CG14077;brv1;Shal;ZnT77C;ppk5;CG1090;Orco;CG1208;CG1213;Vha14-2;CG14606;CG14605;wtrw;CG31100;Task7;CG9444;HisCl1;ClC-a;Task6;VhaPPA1-2;CG6125;CG5404;Glut3;VhaM9.7-d;CG10864;CG11703;CG5250;ort;CG4662;CG3822;CG4704;Nha2;VhaAC39-2;Irk1;ppk22;CG14540;ppk15;ppk31;ppk21;ppk20;ppk30;ppk19;CG7912;CG9702;CG9717;Ctr1C;ppk24;JYalpha;Vha36-3;brv3;ppk8;CG42594;SK;CG42265;Ca-alpha1T;CG42340;iav;CG4607;Hk;rtv;CG43155;cac;CG15719;eag;Lcch3;ppk28;ppk23;tty;CG12061;CG17167
GO:0019098	reproductive behavior	http://amigo.geneontology.org/amigo/term/GO:0019098	194	103	52.58176724641065	1.958853903051937	8.659739592076221e-15	4.391725078838655e-13	30980;31130;31251;31271;31463;31718;31865;32085;32158;32246;32428;32731;32999;33130;33251;33453;33571;33739;33823;33962;34531;34545;34594;34641;34977;35073;35096;35655;36236;36716;36741;36780;37196;37347;37725;37726;37844;38007;38453;38504;38746;38935;39150;39191;39324;40136;40315;40398;40891;41182;41988;42018;42226;42530;42568;43036;43305;43309;43343;43395;43396;43397;43669;43838;43982;47763;47954;53522;53523;117327;117336;117338;117343;117344;117345;117346;117347;117348;117349;117368;117470;117472;117473;117476;117484;117485;117486;117487;117488;117492;117496;117498;117499;117500;117501;192481;246620;318158;2768691;2768722;3772154;4379909;5740700	Gr21a;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;tim;qtc;dsf;Nlg2;Gr28a;Gr28b;Acp32CD;Gr32a;Acp33A;Pde1c;Gr33a;jhamt;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;Gr39b;Tdc2;ppk25;Gr43a;lectin-46Cb;lectin-46Ca;Gr47b;Drip;Ir52d;Poxn;Jhe;5-HT1A;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;ppk29;lov;Gr63a;tipE;BG642312;ple;Gr66a;Ilp2;Or67d;Gr68a;lush;Gr77a;Sems;TfAP-2;Ir84a;FoxP;natalisin;ss;NPF;Abd-B;fru;Gr92a;Oamb;SIFaR;Gr93a;Gr93b;Gr93d;prt;to;Mst57Da;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;per;w;SPR;Tbh;Gr8a;Gr9a;Gr10b;Gr10a;cac;hec;eag;ppk23;amn;tilB
GO:0006040	amino sugar metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006040	137	79	37.132485117310615	2.1275171793759466	3.397282455352979e-14	1.5075440895628844e-12	31935;32056;32913;33023;33026;33144;33158;33913;34336;35002;36723;37104;37390;38292;38293;38370;38402;38405;38619;38906;38907;39010;39011;39105;39326;39346;39352;39353;39354;39355;39356;39360;39509;39510;39511;39756;40202;40209;40211;40212;40213;40214;40215;40216;40442;40869;40970;41986;42080;42232;42235;42248;42250;42720;43221;43504;45884;47137;49815;50074;50080;50082;50424;53544;246535;317828;318583;2768952;3346166;3354921;3885638;3885639;3885667;5740165;5740622;8674097;10178859;12798218;12798438	Cda5;CG42296;Muc26B;CG9550;obst-B;ChLD3;CG8192;Idgf5;Cht8;Cht12;Cht4;CG13806;CG32302;Cht7;CG42525;ckd;CG12009;CG4835;CG13676;CG13675;CG34426;CG34427;CG13312;CG32024;CG13308;CG32036;Muc68D;CG5897;CG5883;CG7252;CG17826;obst-G;CG7248;CG43294;CG43896;CG33263;CG10154;CG10725;CG10140;CG33986;CG33985;CG42729;CG42728;CG13075;obst-J;obst-F;CG7290;CG6996;CG7017;CG6933;CG17145;CG17147;CG43218;CS-2;Gfat1;kkv;CG14607;mtg;knk;CG14880;Mur89F;CG14304;CG14301;CG14300;CG34282;CG7714;CG13837;CG13643;CG14244;CG14247;CG31077;CG3348;CG1969;Cht6;rtv;Muc18B;Peritrophin-A;CG17065;Cda4
GO:0007635	chemosensory behavior	http://amigo.geneontology.org/amigo/term/GO:0007635	133	74	36.048324967900086	2.052799958552712	2.6081359294494177e-12	1.0287647277272703e-10	30978;31865;31867;32085;32253;32999;33251;33268;33335;33453;33540;34545;34641;35514;35655;36350;36589;37347;37725;37726;37973;37981;38453;38616;38657;38935;39054;39324;40136;40648;40650;40665;40754;41726;42018;42561;42568;43305;43309;43551;43982;44355;44873;47080;53425;117327;117336;117338;117343;117344;117345;117346;117347;117348;117349;117368;117470;117472;117473;117476;117484;117485;117486;117487;117488;117492;117496;117498;117499;117500;117501;192481;318158;5740544	Gr21a;aru;Or22a;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;CG9664;Gr28a;Gr28b;Gr32a;Gr33a;Gr36a;Gr36b;Gr36c;drl;Gr39a;Gr39b;Or42a;Gr43a;Gr47b;Or49a;Ih;Alk;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;Dll;NaCP60E;Gr63a;Ir64a;vn;Gr66a;Rdl;Gr68a;lush;Gr77a;Or83a;Orco;Nmdar1;NPFR;Dop1R1;NPF;Gr92a;Oamb;GABA-B-R2;Gr93a;Gr93b;Gr93d;prt;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;TkR99D;Or1a;futsch;Gr5a;Gr8a;Ir8a;Gr9a;Gr10b;Gr10a;rad;acj6;amn
GO:0007215	glutamate receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007215	38	31	10.299521419400024	3.0098485878779635	3.521516411808534e-12	1.2501383261920296e-10	31107;31692;31867;33157;33275;33683;33788;33789;35394;35449;35832;38616;38742;39269;39982;39983;40065;40412;40665;40891;42415;42471;42473;43146;43822;43838;44483;44484;318623;318912;8673994	Ir21a;GluRIIC;Ir25a;GluRIIA;GluRIIB;Ir31a;clumsy;Ir40a;mtt;Ir64a;GluRIA;GluRIB;Ir68a;Ir75a;Ir75b;Ir75c;Ir75d;CG32447;Nmdar1;Ir84a;Ir92a;GluRIIE;GluRIID;Ir93a;CG3822;boss;mGluR;CG11155;Nmdar2;Ir7c;Ir8a
