geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0000278	mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000278	485	248	98.67573246177191	2.5132825854226923	0	0	31027;31044;31052;31157;31187;31240;31263;31293;31405;31441;31521;31543;31582;31594;31738;31816;31872;31874;31979;31988;32015;32049;32057;32078;32120;32152;32225;32351;32478;32543;32551;32646;32664;32703;32751;32753;32946;33014;33114;33156;33180;33211;33418;33445;33526;33529;33758;33782;33834;33959;33965;33974;33981;33991;34067;34119;34245;34250;34404;34592;34790;34881;34924;34954;34966;34968;34993;35001;35130;35199;35225;35287;35288;35336;35380;35381;35390;35483;35522;35526;35563;35576;35584;35649;35679;35686;35696;35713;35801;35865;35878;35900;36001;36017;36040;36264;36272;36286;36306;36382;36431;36440;36461;36495;36498;36538;36551;36612;36621;36653;36791;36956;36978;37042;37187;37290;37461;37467;37528;37618;37723;37749;37791;37841;37923;38001;38160;38341;38428;38492;38515;38516;38580;38656;38669;38762;38798;38811;38812;38879;38989;39068;39130;39136;39158;39169;39203;39340;39429;39485;39554;39594;39615;39654;39744;40232;40351;40358;40388;40506;40508;40589;40620;40653;40848;40859;40904;41014;41094;41138;41180;41341;41366;41532;41585;41670;41785;41798;41919;41942;41952;42065;42066;42186;42199;42313;42438;42446;42467;42504;42524;42553;42753;42846;42854;42871;42946;42971;42982;42986;43228;43288;43344;43448;43466;43490;43517;43651;43717;43724;43765;43856;43901;43916;43999;44072;44118;44259;44724;44839;44848;44870;44889;44915;45031;45278;45826;45959;45969;47121;47396;47594;47874;47877;48309;48448;48535;49779;53438;53561;53566;53567;59172;326205;3354888;3354896;3355136;3771934	l(2)gl;CG3436;AP-2alpha;Rab5;Drp1;toc;Mad;Bub1;Lam;chic;Rca1;Wee1;SA;smt3;Mnn1;cdc14;mts;Su(var)205;borr;Cks30A;pim;cmet;cana;crol;Tor;Sos;Su(H);CycE;twe;Syx5;fzy;grp;glu;Grip71;gammaTub37C;Top2;barr;lok;Fs(2)Ket;del;E2f2;Mcm10;rl;Nipped-B;Nipped-A;BubR1;Act42A;geminin;Mob4;Eb1;Incenp;dpa;Orc1;scra;U2A;pnut;stmA;ana2;babo;dap;Orc6;TER94;san;Mtor;MCPH1;pds5;SmD3;Sin3A;Psc;Cap-G;Dp;cid;mars;tum;Ctf4;Asx;Su(var)2-HP2;SMC2;aPKC;dup;Lis-1;Bap55;Patronin;sub;thr;prod;PCNA;plu;PTP-ER;Rae1;CycB;mi;CG30183;DNA-ligI;tsr;CG11414;zip;Ptp61F;Non2;CycJ;RfC4;pav;ago;Claspin;Dhc64C;mad2;Rcc1;Mis12;Cdc27;eco;lark;pbl;RecQ4;Cdc6;Klp67A;alphaTub67C;SH3PX1;nbs;RasGAP1;nudE;E(z);CycA;vih;sti;Syx13;endos;RecQ5;gnu;Msh6;brm;Capr;polo;DNApol-alpha60;trbl;chb;pzg;Pc;Rpn10;Arf79F;Chro;CkIIalpha;vtd;tacc;cno;Kat60;PEK;alphaTub84B;Sas-4;alphaTub84D;Cenp-C;bel;pum;rump;dmt;PpD3;Fmr1;tws;Tctp;Blm;Aos1;Spc25;Hrb87F;B52;eff;Rrp6;spn-E;mor;msps;cal1;cher;14-3-3epsilon;Dlc90F;gwl;Dl;Sep2;Pi3K92E;Synd;slmb;Rab1;DNApol-alpha180;Cdc16;spas;Syx1A;Apc2;asp;CycB3;Mink;ssh;ball;l(3)mbt;CG5003;larp;Slbp;stg;Bub3;ncd;wts;gammaCOP;CycG;Map205;Rbf;mus81;CDC45L;Ocrl;csw;ph-d;wapl;Klp3A;Zw10;fs(1)Ya;N;ctp;Cdk7;Act5C;raptor;PpV;APC7;Smox;Moe;Dsor1;ric8a;nej;PPP4R2r;Hmr;feo;Klp10A;Ran;Dlic;dsh;PhKgamma;wisp;Smr;mus101;jub;mud;Grip128;Myb;CycD;Rok;Sep4;Sap30;baz;CG8188;CG8173;Grip84;Rab35;Pp4-19C;Sep1
GO:0007423	sensory organ development	http://amigo.geneontology.org/amigo/term/GO:0007423	482	182	98.06536710633827	1.8559049475911946	0	0	31017;31149;31151;31293;31332;31405;31517;31717;31816;31872;32078;32080;32123;32537;32556;32567;32587;32631;32777;32850;32920;32976;32979;32981;32987;33156;33212;33281;33392;33496;33529;33619;33782;33881;34089;34263;34284;34286;34328;34377;34413;34519;34527;34636;34665;34790;34793;34881;34882;34896;34924;35390;35524;35584;35609;35674;35680;35696;35731;35756;35922;35927;36001;36497;36527;36555;36612;36678;36699;36750;36791;36810;36952;37201;37247;37386;37837;37841;37857;38001;38027;38067;38146;38321;38890;38961;39091;39158;39483;39520;39572;39866;39884;40165;40462;40464;40506;40527;40620;40714;41062;41084;41085;41086;41140;41150;41168;41265;41602;41656;41704;41718;41737;41744;41772;41783;41785;41883;41981;42289;42313;42358;42380;42428;42445;42499;42501;42738;42753;42896;42986;43087;43096;43319;43385;43402;43404;43415;43434;43651;43673;43749;43852;43856;43906;43916;43928;43991;44052;44160;44205;44315;44448;44548;44642;44747;44915;45233;45278;45307;45821;45959;46020;46156;47594;47877;47998;48317;48448;48535;48973;49070;49701;50070;53428;53560;249072;252554;3354888;3355114;3355143;3885647	l(2)gl;spen;ebi;S;capt;aop;lilli;Mad;ed;Lam;PDZ-GEF;Liprin-alpha;chm;mts;Sirup;numb;Pka-C1;pelo;Dref;Pten;Utx;da;pie;SCAR;Nup154;Rab6;bun;Sos;Arpc1;Su(H);ck;Cul3;CycE;Mcm10;Spf45;rl;p120ctn;Src42A;Eb1;vimar;p47;didum;scra;sax;nito;Vang;Su(var)2-10;dap;lola;NAT1;drk;fl(2)d;mam;Asx;aPKC;chn;Arf51F;Mlf;Lis-1;Khc;cnk;ena;hpo;shg;a;Chi;tsr;snama;zip;rno;klar;Rac1;dos;Src64B;nmo;msk;Cbl;Gug;Shc;Nf-YA;RasGAP1;SRm160;Abp1;nuf;fz;Mbs;Abl;Dab;sina;trc;DNApol-alpha60;skd;Hem;Ten-m;Arf79F;CkIIalpha;aux;cno;jagn;pyd;tgo;neur;hyx;Ras85D;AP-1mu;Scm;tws;jumu;CtBP;yrt;rin;Hrb87F;rdx;Abi;trx;Afti;put;kibra;eff;Atx2;gish;pad;cdi;Dl;Ire1;Hs6st;cic;Stat92E;H;Sec15;Rab11;sav;unk;Cdc16;mask;crb;ssh;msi;RASSF8;scrib;Mtl;Hrb98DE;WASp;Apc;spg;Doa;Cul5;wts;dco;ttk;faf;Mitf;sdk;trr;arm;csw;wds;N;Rala;ctp;GAA1;sn;Moe;Dsor1;nej;dsh;hop;Amun;Chc;Stim;exd;caz;mbt;Rok;Vps4;Rip11;Vav;dome;Mer;Cdc42;AP-1-2beta;sw
GO:0007017	microtubule-based process	http://amigo.geneontology.org/amigo/term/GO:0007017	478	177	97.25154663242675	1.8200224688352933	0	0	31153;31239;31240;31405;31816;31874;32015;32016;32049;32057;32071;32078;32107;32152;32437;32478;32537;32543;32581;32703;32752;32946;33156;33346;33782;33836;33863;33965;33981;34067;34110;34167;34250;34284;34286;34404;34527;34636;34993;35051;35130;35199;35380;35576;35584;35649;35653;35679;35680;35730;35878;35991;36040;36072;36264;36311;36491;36492;36495;36498;36538;36560;36706;36718;36791;36810;36978;37042;37043;37065;37179;37188;37238;37239;37244;37290;37356;37387;37402;37528;37618;37757;37841;38044;38067;38155;38341;38385;38389;38427;38478;38491;38515;38580;38656;38762;38765;38879;39068;39130;39169;39332;39430;39445;39454;39572;39610;39903;40232;40464;40489;40508;40589;40620;40639;40682;40848;40859;40904;40982;41066;41392;41585;41788;41848;41952;42186;42199;42467;42501;42504;42524;42743;42846;42871;42874;42927;42946;42982;43228;43310;43312;43331;43402;43466;43517;43717;43765;43901;43916;44072;44160;44642;44819;44839;44870;45031;45233;45269;45374;45683;45894;45959;45969;47121;47594;47877;48571;53561;53566;53567;249072;326245;2768852;2768940;3355134;3771934	l(2)gl;capt;cpb;Lam;ifc;stai;Liprin-alpha;Wee1;smt3;milt;cdc14;mts;Rbsn-5;Pp2A-29B;emb;Cks30A;Pka-C1;pelo;pim;Nup154;cmet;cana;Rab6;grp;BicD;Grip71;gammaTub37C;del;CG17528;Mob4;Eb1;Incenp;cos;dpa;didum;Nop17l;ana2;Map60;TER94;mlt;Prosbeta5;Mtor;wash;cnn;cbs;cid;mars;tum;Rcd1;aPKC;dup;SRPK;Khc-73;Lis-1;Khc;Patronin;sub;thr;Mapmodulin;stau;CG18190;Topors;betaTub56D;CG7744;par-1;TBCB;PCNA;sktl;cpa;mago;CycB;egl;tsr;wac;fwd;klar;msd1;Non2;Girdin;Hsp83;armi;Rcd5;ens;pav;Dhc64C;mad2;Mis12;Galphai;pbl;Klp67A;alphaTub67C;nudE;Klp68D;tral;Klc;Atg1;nuf;mop;CG6664;CG33052;polo;chb;Ten-m;mael;Chro;tacc;cno;Kat60;Prosbeta7;asl;alphaTub84B;Sas-4;alphaTub84D;lds;Sgt1;osk;Fmr1;tws;Jupiter;Spc25;jvl;Cp190;msps;14-3-3epsilon;Dlc90F;gwl;Synd;Rab11;slmb;Rab1;cnc;spas;Apc2;CHORD;ana1;asp;Mink;ball;Klp98A;wdb;btz;larp;WASp;Apc;stg;ncd;gammaCOP;heph;Map205;mip130;egh;Klp3A;ctp;Moe;ric8a;feo;sofe;Klp10A;Ran;Dlic;Kap3;dsh;nod;wisp;g;mud;Lsd-2;Grip128;Chc;Myb;kat80;Rok;baz;par-6;Grip84;sw;Pp4-19C
GO:0003002	regionalization	http://amigo.geneontology.org/amigo/term/GO:0003002	472	186	96.03081592155947	1.9368782636599668	0	0	31151;31268;31293;31429;31459;31580;31589;31717;31722;31816;31872;32078;32080;32132;32256;32257;32273;32478;32537;32567;32703;32777;32976;32979;33014;33156;33185;33226;33281;33379;33418;33496;33529;33692;33834;34110;34263;34284;34541;34622;34636;34881;34882;34969;35047;35051;35130;35197;35199;35341;35425;35478;35483;35540;35555;35680;35717;35731;35756;35771;35864;36040;36061;36118;36306;36461;36544;36674;36772;36791;36804;36810;36952;37065;37201;37323;37345;37356;37386;37402;37417;37528;37734;37757;37837;37841;38001;38067;38321;38389;38427;38580;38760;38817;38890;38961;39158;39572;39744;40046;40081;40171;40295;40358;40489;40554;40559;40830;40844;40966;41032;41066;41085;41094;41137;41138;41140;41431;41602;41704;41772;41788;41852;41919;41942;41952;42130;42186;42297;42313;42428;42445;42492;42501;42504;42672;42743;42749;42752;42841;42854;42871;43095;43222;43256;43331;43402;43415;43434;43565;43718;43725;43749;43791;43906;43928;44027;44052;44205;44448;44543;44642;44703;44747;45233;45278;45307;45325;45655;45683;45827;45931;45959;45973;45976;45994;46156;47594;47877;47998;48448;53560;2768852;3354888;3355109;5740204	l(2)gl;spen;kis;lwr;S;capt;Su(dx);Rab5;lilli;Mad;Cf2;chic;milt;chm;mts;Rbsn-5;numb;Pka-C1;Ge-1;Plzf;Rab6;Su(H);ck;cact;dl;BicD;Grip71;brat;gammaTub37C;spir;cad;step;rl;gus;Nipped-A;EcR;jing;didum;tor;sax;nito;lig;gcl;lin;clos;TER94;dmpd;psq;SmD3;bic;Dp;AGO1;aPKC;pcs;CG8405;Lis-1;krimp;Khc;cnk;stau;lolal;sbb;ena;par-1;Mgat1;exu;sktl;shg;mago;tud;dom;apt;retn;egl;Chi;tsr;zip;klar;dos;Hsp83;armi;enc;Dhc64C;sgl;CTCF;nmo;msk;Cbl;Gug;Shc;RasGAP1;nuf;fz;brm;CG14073;Mkp3;Su(Tpl);CG11399;skd;Pc;mael;CkIIalpha;Parp;tub;lost;bcd;CG1943;Ada2b;hb;osk;neur;pum;CG8149;rump;Ras85D;Fmr1;tws;glo;CtBP;rin;rdx;put;jvl;Tm1;spn-E;mor;msps;osa;14-3-3epsilon;nos;Dl;cic;Stat92E;H;AnxB9;Rab11;slmb;loco;cnc;EloA;orb;Rab7;Syx1A;Apc2;Tnks;scrib;Tl;spz;btz;WASp;Apc;Doa;Cul5;Axn;pygo;Med;faf;lgs;fs(1)N;arm;csw;crm;N;ovo;spoon;fs(1)M3;swa;dx;sn;fs(1)h;Moe;Dsor1;dsh;hop;CkIIbeta;hep;lic;sno;Grip128;Chc;exd;baz;Vps4;dome;Mer;Rab35
GO:0006468	protein phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0006468	461	172	93.79280961830278	1.8338292743331555	0	0	30998;31293;31332;31441;31543;31582;31716;31839;31872;32080;32097;32120;32132;32256;32257;32551;32631;32752;32753;32771;32876;32919;32920;32948;32963;32979;32981;33156;33212;33214;33346;33758;33881;33965;33981;33991;34070;34132;34245;34250;34284;34328;34593;34831;34924;34961;34974;34993;35154;35288;35425;35522;35524;35649;35717;35731;35758;35900;35970;36001;36302;36497;36579;36598;36674;36706;36952;37121;37203;37247;37387;37461;37618;37767;37858;38017;38032;38146;38160;38232;38369;38428;38714;38890;38961;39071;39241;39340;39429;39454;39615;39858;39961;40031;40081;40143;40165;40232;40292;40385;40391;40527;40554;40620;40653;40700;40813;40998;41020;41042;41062;41140;41341;41366;41398;41704;41718;41772;41778;41957;41995;42064;42187;42289;42358;42446;42515;42567;42616;42630;42634;42817;42971;42986;43080;43228;43312;43319;43404;43415;43423;43651;43673;43724;43775;43803;43804;43916;43991;43999;44030;44039;44111;44233;44573;44817;45821;45959;45969;47396;47594;48448;48973;49045;49701;53554;2768852;3354888;3355040;3355064;3355134;14462485	l(2)gl;ebi;RpLP1;cpb;for;Bub1;PDZ-GEF;Wee1;smt3;Mnn1;Rack1;mts;Btk29A;borr;Cks30A;Pka-C1;Dref;Pten;CycY;Tor;Dyrk2;CycE;heix;chif;grp;Nak;lok;step;rl;Haspin;CG17528;BubR1;Src42A;Incenp;tor;sax;CG8726;babo;Pdk;dap;CG8878;drk;CG8485;Tfb1;aPKC;pcs;SRPK;cnk;slim;hppy;par-1;hpo;cpa;PTP-ER;CycB;Ssrp;gek;Pdk1;CG7028;Rac1;Ptp61F;Cdc37;msn;CG11486;CycJ;Src64B;CG10289;nmo;Cbl;Hsp67Bc;JIL-1;CycA;sti;Atg1;gnu;Mo25;Abl;CycT;bora;Mkp3;wnd;trc;polo;trbl;Pitslre;Cdk12;Wnk;CkIIalpha;CG17514;aux;tub;cno;PEK;Atg17;Pak;Taf1;Atg13;Mkk4;M1BP;pyd;Ras85D;Tctp;Csk;Blm;rdx;Abi;put;Hexim;Akt1;gish;Pak3;GckIII;CG7156;koko;fray;gwl;cdi;Ire1;Pi3K92E;SNF4Agamma;CASK;PSR;CG13850;mats;mbc;CycB3;ssh;XNP;ball;wdb;Mtl;spg;Doa;CG1951;wts;dco;Gprk2;CycG;krz;Crk;Eph;mav;svr;N;Rala;Cdk7;MAPk-Ak2;raptor;PpV;sws;slpr;CG7766;Dsor1;hop;Drak;PhKgamma;CkIIbeta;hep;lic;CycD;mbt;Rok;par-6;CG8173;mnb;Pvf1;rictor;Vav;Tao;MKP-4;Mer;Cdc42
GO:0006325	chromatin organization	http://amigo.geneontology.org/amigo/term/GO:0006325	416	196	84.63732928679818	2.3157630522088355	0	0	30971;31015;31052;31149;31187;31230;31263;31329;31362;31374;31444;31518;31521;31638;31801;31834;31880;32079;32080;32169;32243;32268;32278;32301;32318;32350;32458;32630;32664;32941;32965;33000;33212;33418;33442;33505;33761;33781;33782;33837;33991;34119;34245;34311;34377;34480;34516;34521;34592;34595;34709;35121;35225;35390;35397;35418;35483;35522;35552;35555;35560;35648;35649;35678;35713;35744;35880;36107;36118;36133;36238;36241;36264;36311;36382;36387;36390;36431;36495;36527;36544;36560;36612;36615;36621;36645;36810;36956;37069;37123;37188;37339;37481;37528;37554;37560;37767;37798;37851;37859;37922;37962;38145;38248;38257;38478;38648;38652;38779;38812;38887;39103;39142;39203;39241;39429;39522;39551;39650;39744;40047;40111;40133;40134;40141;40170;40596;40693;40793;40813;40966;41027;41045;41073;41086;41151;41168;41181;41219;41265;41295;41341;41406;41602;41627;41737;41740;41780;41840;41844;41848;41911;41919;41942;41965;42065;42130;42140;42314;42428;42616;42816;42954;43016;43080;43228;43229;43266;43439;43529;43560;43788;43819;43856;43928;44000;44235;44703;44724;44811;44889;45655;45830;46156;48071;48903;49228;50403;53428;246445;3354971;3355064;3355109;3355136;3772329;5740599	ebi;Rab5;Elba2;Chd1;Ncoa6;Hel25E;Lam;lid;Mnn1;chm;Su(var)205;Chrac-14;borr;Etl1;Utx;Dpy-30L1;YL-1;piwi;crol;esc;Sfmbt;msl-1;Top2;bur;Mcm10;CG8677;Df31;Haspin;Nipped-B;Nipped-A;BubR1;bin3;jing;Bap170;Br140;Incenp;CG1620;U2A;Kdm4A;MrgBP;Caf1-105;psq;wde;san;E(Pc);tou;Mtor;wash;Sin3A;spt4;Iswi;Psc;cid;fl(2)d;AGO1;Rcd1;Asx;LamC;Su(var)2-HP2;BEAF-32;Rif1;Khc;Bap55;Pcl;lolal;Prp19;Topors;DMAP1;dom;HmgD;pgc;Rtf1;Mes4;Ssrp;Nap1;yki;enok;Nurf-38;egg;E(bx);scf;dre4;mu2;Rcd5;scny;Bre1;msl-3;eco;HP4;Gug;Jarid2;Naa60;E(z);JIL-1;sti;Spt20;upSET;CG12316;brm;l(3)73Ah;HipHop;Chd3;ash1;Taf6;asf1;Mi-2;Su(z)12;Set1;Parp;ctrip;MTA1-like;gpp;Taf1;Ada2b;CG8036;CG8223;E(var)3-9;hyx;MBD-like;Scm;hyd;Art4;Fmr1;jumu;Art1;Tctp;Taf12;CtBP;Su(var)3-7;trx;su(Hw);BigH1;Hsc70-4;Set;Cp190;nsl1;spn-E;mor;Bin1;cal1;osa;CG7379;Ino80;Stat92E;bon;mod(mdg4);PSR;Nup98-96;polybromo;vig2;XNP;ball;His2Av;CG5815;yem;dgt1;Nlp;Hcf;pho;G9a;Hmt4-20;CDC45L;trr;ph-d;wapl;z;wds;fs(1)Ya;Parg;Tip60;CG2982;dhd;mof;Act5C;Spt6;CG32732;CG12659;Caf1-180;HP1b;Cfp1;nej;Pa1;hop;Usp7;Brms1;Bap60;HDAC4;Set2;tth;Nup93-1;Top1;Nup153;Sap30;CoRest;e(y)3;Hers
GO:0008283	cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0008283	364	146	74.05766312594841	1.9714367674780755	0	0	31014;31027;31293;31738;31816;31869;31874;32080;32268;32337;32458;32543;32551;32703;32752;32876;32976;32979;32981;33015;33156;33203;33226;33281;33418;33419;33496;33782;33882;33991;34225;34263;34328;34377;34527;34665;34924;34961;34966;35047;35151;35197;35341;35540;35686;35878;35881;35900;35998;36173;36382;36491;36538;36544;36587;36750;36791;36878;37065;37247;37528;37618;37723;37851;37857;37859;37922;38001;38146;38160;38198;38389;38428;38516;38580;38765;38779;38961;39203;39340;39394;39744;39958;40048;40081;40232;40308;40554;40589;40620;40642;40982;41032;41140;41360;41398;41675;41783;41911;41942;41952;41957;42130;42313;42428;42446;42504;42632;42634;42672;42819;42862;42871;42896;42971;43041;43222;43288;43415;43434;43466;43651;43724;43725;43728;43991;44100;44448;44543;44642;44728;44747;44839;45307;45467;45655;45821;45959;47396;47594;47877;53438;252554;3354888;3355133;5740599	l(2)gl;Pi3K21B;lwr;S;Rab5;Axud1;lilli;Lam;Pez;Mnn1;mts;alien;numb;Dref;Pten;Utx;Nup154;bun;Tor;CycE;heix;Syx5;dl;Nedd8;brat;cad;rl;conu;EcR;Orc1;ana2;Ggamma1;babo;Uba1;Sin3A;cnn;tum;AGO1;SelD;aPKC;Mlf;Lis-1;Sod2;stau;hpo;dom;pgc;CycB;mi;yki;snama;enok;Nurf-38;zip;Rac1;Ptp61F;Bgb;Patj;Hsp83;CycJ;enc;ago;Dhc64C;Galphai;msl-3;msk;RecQ4;Cbl;E(z);CycA;thoc6;fz;brm;Abl;Nedd4;Cat;Mkp3;polo;CSN3;Syx7;tub;tacc;cno;mtd;hd;Sgt1;hb;Ras85D;MED6;Fmr1;tws;CG5214;Csk;flfl;kibra;nsl1;mor;msps;Akt1;osa;Dl;Stat92E;Pi3K92E;slmb;lqfR;mats;loco;sav;eIF4G2;Tsc1;Apc2;crb;CycB3;Nup358;scrib;Tl;l(3)mbt;Apc;Doa;Cul5;stg;wts;CycG;Med;pasha;Roc1a;Rbf;N;Smox;Moe;mxc;ric8a;hop;Bap60;Pdcd4;mud;Top1;Myb;CycD;baz;par-6;Pvf1;dome;Mer;Cdc42;Phf7
GO:0007163	establishment or maintenance of cell polarity	http://amigo.geneontology.org/amigo/term/GO:0007163	216	111	43.94630559122213	2.5258095875565756	0	0	31239;31293;31332;31405;31459;31717;31816;31874;32049;32071;32078;32080;32107;32537;32703;32752;32777;32919;32981;32990;33156;33281;33392;33409;33418;33619;34110;34284;34636;35051;35584;35771;35878;35881;35922;36173;36461;36592;36670;36718;36791;36810;37244;37356;37386;37402;37757;37841;38001;38146;38580;38765;38890;38961;39169;39332;39903;40191;40489;40517;40553;40620;40982;41062;41066;41140;41398;41656;41704;41718;41788;41952;42186;42313;42492;42501;42504;42567;42672;42691;42743;42752;42871;42896;42946;43319;43331;43673;43856;43901;43916;44052;44072;44100;44448;44548;44642;44747;44839;45233;45278;45307;45959;47594;47877;47998;48571;49701;2768852;3355109;3355131	l(2)gl;S;capt;aop;Sec24CD;Rab5;ed;mts;Rbsn-5;Pka-C1;Rab6;BicD;cta;Eb1;lig;ana2;Ggamma1;Vang;lola;Dp;Shroom;Lap1;aPKC;Khc-73;Lis-1;Khc;par-1;TBCB;sktl;shg;mago;egl;tsr;zip;Rac1;Patj;Dhc64C;Galphai;nmo;msk;Cbl;Shc;nudE;Klp68D;fz;CG6664;kug;chb;Syx7;mael;alpha-Cat;Parp;Cont;cno;Sgt1;pyd;osk;Ras85D;tws;Csk;yrt;rin;rdx;Abi;jvl;msps;gish;14-3-3epsilon;Dl;AnxB9;Rab11;slmb;CASK;loco;CG45049;cnc;orb;Apc2;crb;asp;scrib;Mtl;btz;Apc;dco;heph;csw;egh;N;Rala;ctp;spoon;sn;Moe;ric8a;nej;Klp10A;Ran;Kap3;dsh;hop;nod;mud;Chc;Rok;baz;par-6;Vps4;rictor;Cdc42;parvin
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	211	104	42.929029998832725	2.422603073091282	0	0	31027;31044;31187;31240;31594;31795;31816;31988;32049;32107;32119;32458;32979;33226;33418;33435;33758;33974;34067;34245;34404;34550;34924;34993;35001;35199;35223;35225;35287;35390;35522;35584;35649;36264;36286;36440;36491;36495;36498;36621;36920;37042;37187;37188;37618;38232;38492;38515;38580;38656;38762;38812;38958;39068;39142;39158;39169;39241;39340;39594;40170;40232;40300;40388;40508;40848;41014;41180;41296;41366;41585;41798;41919;41952;42065;42297;42634;42753;42846;42896;42982;43228;43312;43448;43490;43517;43901;43916;44118;44724;44870;45826;45959;46006;47121;47874;47877;49228;53561;53566;2768940;3354896;3355136;3771934	lwr;Rab5;oaf;Bub1;SA;cdc14;mts;Pp2A-29B;borr;pim;RfC38;cmet;cana;CycE;grp;glu;gammaTub37C;RanGAP;Top2;barr;Mcm10;Nipped-B;BubR1;Eb1;Incenp;san;Mtor;pds5;Cap-G;cnn;cid;mars;Su(var)2-HP2;dup;tef;sub;thr;prod;Topors;CycB;Cdc37;RfC4;pav;Dhc64C;mad2;Mis12;eco;mtrm;Klp67A;Naa60;RasGAP1;nudE;JIL-1;CycA;vih;RecQ5;Mi-2;polo;Spc105R;chb;Rpn10;Chro;vtd;Kat60;alphaTub84B;Cenp-C;bel;dmt;tws;Mcm5;Blm;Spc25;Rrp6;spn-E;msps;cal1;nos;mod(mdg4);mats;Cdc16;spas;crb;Mink;ball;wdb;Slbp;Bub3;ncd;Rbf;mus81;east;wapl;Klp3A;Zw10;APC7;Trf4-1;Moe;Hmr;Klp10A;nod;bif;Top1;Rok;Mer
GO:0006403	RNA localization	http://amigo.geneontology.org/amigo/term/GO:0006403	193	93	39.26683786623089	2.3684107265479386	0	0	31239;31459;31580;31816;32057;32132;32152;32350;32478;32510;32537;32602;32630;32851;32869;32979;33002;33156;33781;33834;34110;34167;34284;34527;34541;34549;34636;35051;35130;35235;35400;35680;35784;36040;36264;36306;36595;36791;36810;36830;37065;37345;37402;37417;37467;37528;37757;38067;38389;38580;38645;39034;39130;39394;40189;40489;40559;41066;41138;41431;41788;41852;41919;41952;42342;42360;42501;42504;42642;42743;42752;42816;42841;42854;43041;43096;43331;43448;43517;43944;44271;44409;44543;45827;45931;46091;47594;48448;50428;53443;317878;326153;2768852	l(2)gl;tho2;Hel25E;chic;Sem1;Rbsn-5;emb;Pka-C1;Nup154;Ge-1;Nup160;Rab6;BicD;Grip71;swm;spir;CG8671;didum;Nup50;TER94;Mtor;SmD3;bic;Arc1;aPKC;Lis-1;Khc;Nup62;stau;par-1;exu;mago;tud;Rae1;Nup214;egl;klar;Hsp83;enc;Dhc64C;CG10576;smg;alphaTub67C;thoc6;Nxf3;Tom20;mael;CkIIalpha;lost;osk;rump;Fmr1;glo;jvl;Tm1;spn-E;msps;SF2;Nup58;CG4572;Rab11;slmb;AP-2mu;cnc;orb;Nup98-96;Rab7;Syx1A;Nup358;RASSF8;btz;Slbp;ncd;egh;Cbp80;spoon;swa;Moe;sbr;Dlic;CkIIbeta;wisp;Nup93-1;Grip128;CG8184;Chc;U2af50;Nup153;xmas-2;CG6540;CG6961;Mer;Nup205
