geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0019899	enzyme binding	http://amigo.geneontology.org/amigo/term/GO:0019899	469	187	89.03111167320097	2.1003893637361872	0	0	31075;31090;31151;31597;31716;31800;31874;31942;31987;32070;32088;32209;32225;32243;32256;32257;32551;32631;32752;32796;32850;32898;32920;32970;32976;32981;33003;33114;33156;33165;33203;33226;33262;33270;33629;33881;34070;34110;34119;34167;34250;34593;34790;34892;34896;34924;34974;35051;35121;35151;35237;35246;35287;35336;35420;35425;35454;35496;35576;35653;35678;35696;35730;35742;35780;35784;35801;35929;36102;36311;36387;36492;36498;36544;36554;36683;36698;36881;36915;36952;36990;37528;37536;37542;37554;37618;37702;37749;37851;37864;38146;38232;38428;38456;38516;38613;38669;38879;38961;39156;39313;39329;39340;39385;39430;39475;39572;39594;39884;39961;40032;40133;40171;40179;40249;40327;40361;40388;40620;40693;40700;40785;40934;40998;41062;41072;41086;41151;41341;41367;41459;41532;41704;41737;41785;41911;41960;41995;42171;42216;42371;42498;42499;42515;42634;42665;42703;42793;42804;42817;42862;42896;42971;43041;43228;43319;43404;43434;43565;43611;43724;43775;43856;43916;43974;43999;44000;44039;44052;44100;44496;44573;44747;45233;46080;47121;47141;47874;49070;50070;53442;248194;318566;326237;3354888;3355040;5740235	l(2)gl;Zir;Pi3K21B;lwr;dock;PNUTS;capt;RpL40;PDZ-GEF;Rack1;Rbsn-5;Su(var)205;emb;Cks30A;CycY;Sos;Pol32;Cul3;CycE;chif;BicD;msl-1;Nedd8;CG10188;ref(2)P;barr;Fs(2)Ket;Cul2;step;Tif-IA;rl;CG30440;Mob4;cos;CG1620;scra;Nop17l;Cul1;Cul4;Nup50;pnut;CG18659;RanBPM;wash;spt4;cbs;mars;AGO1;RN-tre;Sec61beta;CG11807;CG8155;dup;CG5522;RhoGEF2;cnk;POSH;Spt5;Vps35;ari-2;Rtf1;CycB;Golgin245;CG30183;yki;tamo;trio;Rac1;Cdc37;Patj;CycJ;Ubi-p63E;ago;Uev1A;Rcc1;pbl;msk;Uba2;Cbl;Shc;I-2;TfIIEalpha;Pi3K68D;CycA;RhoGAP68F;tral;MICAL-like;nuf;RecQ5;Mbs;sina;CycT;MYPT-75D;ash1;Su(Tpl);RhoGDI;RhoBTB;trbl;siz;CG7324;Rpn10;CG17514;cno;MTA1-like;Atg17;Pak;CG42724;Taf7;Atg13;pyd;CG11970;hyx;MBD-like;Fmr1;Tctp;Ranbp9;GCC185;Aos1;rdx;trx;eff;nsl1;CG5916;Pak3;cdm;Vha100-2;RhoGAP92B;CG5745;Sec15;SNF4Agamma;mats;Efa6;Gclm;CG7029;CG10254;RanBP3;mbc;Tsc1;mask;crb;CycB3;Nup358;ball;Mtl;spg;Cul5;CG34133;Axn;CG2218;CycG;Crk;RhoGAP1A;ebo;DAAM;CG11448;arm;Zw10;MAPk-Ak2;Spt6;Ubi-p5E;CG3226;sws;Crag;ric8a;nej;ZAP3;spri;CG1657;Evi5;Sec16;Smr;Brms1;hep;lic;CycD;mbt;Rok;par-6;ari-1;Rip11;RhoGAP18B;Vav;Ranbp21;dome;Cdc42;pico;Sep1
GO:0008092	cytoskeletal protein binding	http://amigo.geneontology.org/amigo/term/GO:0008092	326	135	61.88516504363223	2.1814598038935187	0	0	31075;31110;31201;31240;31350;31359;31474;31597;31620;31717;31816;32015;32016;32049;32071;32107;32119;32268;32351;32478;32581;32946;32979;32990;33156;33346;33445;33757;33834;33863;33882;34445;34519;34636;34719;34793;34882;34956;35051;35058;35084;35130;35311;35584;35649;35653;35680;35696;35758;35801;35991;36311;36491;36498;36592;36718;36791;36810;36978;37043;37065;37179;37201;37239;37386;37387;37521;37628;37749;37841;38001;38044;38059;38067;38385;38490;38491;38515;39034;39068;39075;39077;39169;39332;39475;39505;39520;39572;39958;40464;40517;40569;40589;40859;40904;41084;41158;41353;41392;41656;41848;41852;41952;42066;42389;42467;42492;42846;42896;42946;42982;42986;43310;43402;43517;43737;43765;43770;43901;44100;44160;44250;44870;45233;45683;45931;46194;47594;53556;53561;53566;261329;2768716;3355134;3771934	l(2)gl;capt;cpb;Drp1;Bsg25D;chic;stai;Pez;milt;Myo31DF;SCAR;cmet;cana;Rab6;CG9426;Arpc1;ck;crp;BicD;qua;kel;Grip71;spir;Arpc2;CG17528;Eb1;mim;Incenp;cos;didum;scra;CG8726;pnut;Map60;wash;cnn;mars;Shroom;Cpsf160;aPKC;Khc-73;Lis-1;Khc;Patronin;sub;Mapmodulin;stau;CG18190;ena;CG7744;shg;cpa;Vrp1;RpL23;CG30183;tsr;zip;wac;Ptpmeg;klar;Patj;Spn;Girdin;Chd64;ens;pav;smg;Klp67A;Hsp26;Hsp23;nudE;Klp68D;MICAL-like;flr;Abp1;nuf;dbo;Nedd4;chb;Ten-m;alpha-Cat;Fip1;tacc;Kat60;Sas-4;alphaTub84D;tgo;CG8176;Kap-alpha3;Arfip;Jupiter;yrt;Cp190;Tm1;msps;cher;psidin;Synd;AnxB9;spas;crb;asp;Mink;ssh;Klp98A;WASp;ncd;CG1890;Map205;Ank;DAAM;inc;Vinc;Klp3A;lva;cib;Mlc-c;CG3226;pod1;sn;Moe;feo;sofe;Klp10A;Kap3;nod;bif;Bap60;jub;Grip128;kat80;Grip84;Mer;parvin;sw
GO:0003682	chromatin binding	http://amigo.geneontology.org/amigo/term/GO:0003682	196	102	37.207031744024285	2.7414172864348934	0	0	31052;31268;31293;31362;31518;31738;31773;31834;32225;32321;32350;32630;32941;32965;32971;33000;33212;33441;33442;33505;33782;33837;33974;33991;34119;34377;34527;34595;34709;35001;35047;35121;35225;35287;35686;35744;35784;36264;36311;36382;36390;36431;36495;36551;36612;36645;36653;36685;36830;37069;37476;37482;37701;37730;37767;37924;38248;38669;38779;38817;39103;39164;39460;39551;39650;40045;40111;40133;40170;40171;40351;40358;40693;40966;41498;41627;41737;41740;41780;41848;41911;42687;42816;42824;42853;42954;43288;43560;43788;43793;43819;44000;44235;44326;44889;47249;47396;48071;49228;53442;3354896;3355136	ebi;insv;Elba2;Chd1;Lam;lid;SA;Mnn1;Su(var)205;Utx;Nup154;esc;Tor;Sfmbt;glu;dl;msl-1;Top2;barr;Nipped-B;Orc1;Kdm4A;Nup50;Mtor;wash;Sin3A;Iswi;Psc;cid;Ctf4;Asx;BEAF-32;SMC2;row;Nup62;Pcl;Spt5;Tbp;LBR;Ice1;pita;Ssrp;uri;dre4;Rcc1;msl-3;CTCF;mRpL12;Jarid2;Taf2;Wbp2;upSET;CG12316;ftz-f1;Chd3;ash1;Mi-2;Su(Tpl);Su(z)12;pzg;Pc;vtd;MTA1-like;Ada2b;MBD-R2;Su(var)3-7;trx;su(Hw);BigH1;Cp190;nsl1;bon;mod(mdg4);wge;Nup98-96;sba;SMC1;polybromo;woc;l(3)mbt;Nlp;Hcf;bip2;pho;CDC45L;ph-d;crm;N;Tip60;mof;Spt6;Smox;Trf2;HP1b;Smr;NFAT;Nup93-1;Nup153;CoRest;e(y)3;CG14215;Hers
GO:0042393	histone binding	http://amigo.geneontology.org/amigo/term/GO:0042393	64	41	12.149234855191603	3.3746981179213855	2.4424906541753444e-15	7.999156892424253e-14	31149;31362;31518;31801;32318;32965;33015;33837;34119;34250;34709;35397;35418;35744;36107;37043;37069;37798;37859;38248;38779;39103;39551;39654;39744;40358;40508;41045;42065;42140;42314;42428;43266;43560;43718;43928;44000;44811;45655;47906;3355109	lid;chm;Su(var)205;Cks30A;Sfmbt;CG8677;Df31;Kdm4A;Caf1-105;Dek;Mapmodulin;Pcl;dom;Nap1;enok;E(bx);dre4;msl-3;Jarid2;upSET;Msh6;brm;Pc;Chro;Parp;CG8223;cal1;CG7379;Ino80;Stat92E;CG5815;Nlp;pygo;trr;Tip60;mof;Spt6;Caf1-180;tth;e(y)3;Phf7
GO:0008134	transcription factor binding	http://amigo.geneontology.org/amigo/term/GO:0008134	190	78	36.06804097635007	2.1625793330761947	9.15045816896054e-13	2.3974200402676615e-11	31027;31151;31773;32079;32169;32268;32321;32567;32941;33105;33212;33226;33496;33529;34225;34242;34377;34413;34881;34969;35047;35381;35540;35552;35653;35678;35701;36241;36390;36461;36750;37090;37471;37476;37481;37837;37851;38082;38198;38338;38643;39095;39164;39313;39521;39744;39765;39970;39987;39999;40045;40134;40141;40385;40562;40693;40725;40790;40813;40934;41086;41406;41602;41965;42186;42828;42993;43162;43284;43793;43819;43856;43928;44811;45976;46156;53560;3354888	ebi;lwr;lilli;Mad;chm;alien;tai;Utx;da;Su(H);cact;dl;E2f2;rl;EcR;bin3;cos;CG1620;Rpt1;tou;Iswi;Dp;Mlf;Ote;NC2alpha;Tbp;HmgD;retn;Chi;yki;E(bx);ebd1;Bgb;Mrtf;DnaJ-1;Gug;phol;Taf2;TfIIEalpha;Tgi;brm;Taf4;Crtc;MED19;Eip75B;ftz-f1;Taf6;asf1;Cdk12;srl;MTA1-like;dgrn;TfIIFalpha;Taf1;Taf7;hyx;Taf12;CtBP;Bin1;14-3-3epsilon;cic;Rpt2;Hr96;gro;TfIIA-L;bip2;pho;Rbf;arm;Trf2;nej;Pa1;Usp7;Bap60;NFAT;exd;CoRest;Rpt6
GO:0003729	mRNA binding	http://amigo.geneontology.org/amigo/term/GO:0003729	197	77	37.39686353863665	2.0589962021934616	2.403144350182629e-11	5.246865164565406e-10	31086;31448;31481;31518;31558;31580;32009;32222;32587;32602;32869;33201;33967;33982;34119;34412;35051;35098;35197;35225;35235;35305;36595;37065;37411;37528;37734;37757;37914;38526;38779;38811;38937;38963;39034;39842;39875;39957;40240;40369;40529;40562;40739;40830;41066;41094;41138;41147;41431;41670;41807;42166;42596;42662;42752;42819;42848;42897;42958;43087;43231;43385;43448;44029;44095;44250;44409;46020;47457;47998;48535;48571;53442;53443;326153;3354996;3772180	U2af38;tho2;x16;snRNP-U1-70K;Su(var)205;mRpS7;BicD;RpS26;brat;Top2;swm;La;NAT1;Arc1;Cpsf160;fus;stau;Spt5;CG4266;apt;egl;ytr;CG4612;CG1316;msl-3;lark;CG7185;Unr;smg;mbf1;CG9705;Edc3;eRF1;barc;CG14641;srl;Rm62;bcd;Ref1;osk;pum;rump;RnpS1;Fmr1;glo;rin;Hrb87F;B52;RpS5b;SF2;Cbp20;how;CG6937;orb;eIF4G2;Rox8;Nab2;Saf-B;msi;Rb97D;Hrb98DE;Slbp;heph;ssx;Cbp80;Rnp4F;CG4119;mof;Spx;swa;Sxl;Imp;Tis11;caz;U2af50;CG6961;CG17168
GO:0044877	protein-containing complex binding	http://amigo.geneontology.org/amigo/term/GO:0044877	225	83	42.71215378778298	1.9432408024280108	1.2959056050476647e-10	2.4251947751606296e-9	31201;31580;31620;31717;31773;31914;32119;32616;32977;33214;33262;33346;33738;34070;34119;34286;34595;34793;34804;34882;34968;35051;35058;35154;35311;35680;35696;35731;35900;36264;36390;36495;36545;36592;36683;36791;37069;37239;37387;37476;37521;37723;37767;37912;38248;38765;38824;39313;39505;39520;39654;39765;40111;40170;40191;40369;40517;40680;40790;41168;41744;41772;41780;41852;42389;42501;42752;42841;42994;43105;43229;43284;43402;43785;43901;44000;46194;47396;48071;53442;261329;3355040;3355131	RpLP1;dock;cpb;Rpn11;Rack1;Su(var)205;pelo;esc;Tor;Arpc1;Smg5;ck;fzy;BicD;qua;Nak;Arpc2;cta;didum;scra;sax;babo;Mtor;Iswi;cid;Rpn13;Shroom;CG11807;Lis-1;Pcl;Spt5;CG7744;cpa;Tbp;Vrp1;mi;Ssrp;Letm1;dre4;Spn;Galphai;smid;TfIIEalpha;flr;Abp1;Msh6;Taf4;Chd3;Mi-2;Su(z)12;kug;chb;barc;alpha-Cat;CG17514;kra;TfIIFalpha;CG8176;Scm;Afti;put;BigH1;Tm1;psidin;Rab11;orb;Rab7;Smg6;LpR2;His2Av;TfIIA-L;WASp;Rad23;Vinc;Spt6;swa;pod1;sn;Trf2;CG1354;bif;rngo;Ubqn
GO:0003712	transcription coregulator activity	http://amigo.geneontology.org/amigo/term/GO:0003712	148	61	28.095105602630582	2.1711966796910165	2.3950441629949637e-10	3.921884816904253e-9	31149;31151;31638;31771;32225;32268;32351;32567;32941;33212;33223;33441;33529;34120;34225;34242;35262;35483;35540;35678;36061;36382;36555;37090;37339;37851;38073;38198;38257;38338;38821;39460;39522;39842;39987;39999;40062;40403;40562;40693;40934;40966;41151;41526;41602;41965;42445;42993;43162;43284;43718;43788;43816;43856;43906;43928;44027;44728;46156;47718;3354977	ebi;MED15;insv;Mad;chm;Ssb-c31a;alien;tai;CG10631;Nipped-A;EcR;CG1620;dmpd;Sin3A;mam;Ote;sbb;DMAP1;yki;MED14;Bgb;mu2;Mrtf;akirin;Gug;Wbp2;Spt20;mbf1;MED19;Eip75B;CG6843;skd;MED1;MED21;srl;MTA1-like;Taf7;Ada2b;MBD-like;MED6;CG17202;CtBP;Bin1;H;Hr96;gro;TfIIA-L;pygo;Hcf;MED26;CG17829;trr;arm;CG32732;CG10555;nej;Smr;Bap60;jub;exd;CoRest
GO:0016301	kinase activity	http://amigo.geneontology.org/amigo/term/GO:0016301	392	119	74.41406348804857	1.599160083753688	1.8202944818135336e-8	2.64953974575081e-7	31441;31667;31839;31872;32080;32097;32120;32132;32256;32257;32551;32631;32753;32771;32948;33461;33742;33758;33965;34132;34170;34284;34831;34924;34993;35154;35288;35522;35524;35717;35731;35758;35900;35970;36302;36579;36587;36598;36706;36774;37062;37203;37247;37356;37465;37564;37618;37834;37858;38017;38032;38369;38428;38890;39213;39241;39329;39340;39429;39454;39858;40143;40165;40232;40292;40385;40391;40527;40554;40640;40653;40813;41020;41062;41398;41772;41957;41995;42064;42187;42273;42289;42358;42446;42515;42567;42620;42630;42971;43165;43228;43415;43423;43651;43661;43673;43724;43803;43916;43999;44030;44039;44111;44233;44573;44817;45374;45821;45969;47396;47594;48448;48973;49045;49701;2768852;3354888;3355064;3355134	Pgk;for;CG5828;Bub1;Wee1;Btk29A;Akap200;Pka-C1;Tor;Dyrk2;CycE;grp;Nak;lok;rl;Haspin;CG17528;BubR1;Src42A;tor;sax;CG8726;babo;Pdk;CG8878;CG8485;SelD;Tfb1;aPKC;SRPK;CG8414;CG5757;hppy;par-1;hpo;sktl;CG10082;rad50;CycB;Adk2;gek;Pdk1;CG7028;fwd;msn;CG11486;CycJ;Src64B;nmo;CG11811;JIL-1;Pi3K68D;CycA;sti;Atg1;Mo25;Abl;wnd;trc;polo;trbl;Pitslre;Cdk12;Wnk;CkIIalpha;aux;tub;Cerk;PEK;Pak;Taf1;Mkk4;pyd;Csk;put;Akt1;gish;Pak3;GckIII;CG7156;fray;gwl;dnk;cdi;Ire1;Pi3K92E;SNF4Agamma;CASK;PyK;CG13850;CycB3;Dak1;ball;Doa;CG1951;wts;CG15547;dco;Gprk2;CycG;Eph;Cdk7;MAPk-Ak2;Dok;slpr;CG7766;Dsor1;hop;Drak;PhKgamma;CkIIbeta;hep;lic;CycD;mbt;Rok;CG8173;mnb;Tao
GO:0031072	heat shock protein binding	http://amigo.geneontology.org/amigo/term/GO:0031072	33	21	6.26444922220817	3.3522500151414207	2.0879295625775285e-8	2.735187726976562e-7	32133;33226;33897;34119;34707;35426;36583;38232;38944;39121;39518;41173;41346;41646;41840;42852;43958;44910;47762;48582;50022	lwr;Fic;Su(var)205;FKBP59;DnaJ-H;CG1416;Hsc70-5;spag;Cdc37;CG7182;CG8336;stv;unc-45;CG16817;CG6693;Hsp70Bbb;Hsp70Bb;Droj2;Hsc70-4;Hsp68;Hsc70-3
