geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
dme03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?dme03050+36638+42802+42805+36951+40717+43449+41079+40639+45269+36545+35701+50428+33105+36018+32047+34999+33738+39628+37894+32584+31567+39855+39845+35176+34359+41531+42828+42641+40388+40174+46058+35342+37378	52	33	12.22089739566991	2.700292697956249	6.857532319770598e-10	8.846216692504072e-8	36638;42802;42805;36951;40717;43449;41079;40639;45269;36545;35701;50428;33105;36018;32047;34999;33738;39628;37894;32584;31567;39855;39845;35176;34359;41531;42828;42641;40388;40174;46058;35342;37378	Rpn11;Sem1;Prosalpha6;Prosbeta4;Rpt1;Prosalpha7;Prosbeta5;Rpn13;Rpn6;Prosalpha5;Prosalpha3;Prosbeta2;Rpn12;Rpn1;Rpn10;Rpn5;Prosbeta3;Prosalpha2;Rpn7;Rpt5;Rpt2;Rpn2;Rpt3;Prosalpha4;Rpt6;Rpn3;Pomp;Prosbeta1;Rpn8;Prosbeta6;Prosbeta7;Rpn9;Rpt4
dme04144	Endocytosis	http://www.kegg.jp/kegg-bin/show_pathway?dme04144+38750+37387+35311+31746+35425+35554+32981+36311+37521+42265+31144+53554+43402+37961+33025+33346+49045+31738+33458+42665+40327+39572+33418+39958+39417+33379+33211+41840+47594+32703+37536+42501+32752+42841+41551+34505+32850+32777+38961+42642+48973+36810+36699+35900+35890+34126+40168+40506+36775+34110+34793+32537+33014+39866+37356	122	55	28.67210542830248	1.9182407143951496	7.342087093853422e-8	4.735646175535457e-6	38750;37387;35311;31746;35425;35554;32981;36311;37521;42265;31144;53554;43402;37961;33025;33346;49045;31738;33458;42665;40327;39572;33418;39958;39417;33379;33211;41840;47594;32703;37536;42501;32752;42841;41551;34505;32850;32777;38961;42642;48973;36810;36699;35900;35890;34126;40168;40506;36775;34110;34793;32537;33014;39866;37356	AP-2alpha;cpb;Su(dx);Rab5;Snx6;Stam;Arpc1;Arpc2;Pld;babo;wash;aPKC;Arf51F;Khc;sktl;cpa;Vrp1;Src64B;CG10103;Cbl;ArfGAP1;Dab;Nedd4;Rab8;Arf79F;Snx3;Hsc70-4;Rab11;AP-2mu;Efa6;Rab7;WASp;Gprk2;Vps26;Vps4;Rip11;Cdc42;Rab35;Rab10;Hrs;Rbsn-5;step;CG8243;Rho1;Vps35;Eps-15;nuf;siz;EndoA;krz;Smox;Traf6;Chc;baz;par-6
dme03030	DNA replication	http://www.kegg.jp/kegg-bin/show_pathway?dme03030+40607+37560+38228+3772329+33213+38492+32113+35679+34892+31603+41296+31449+41968+39014+44915+37791+43278+34550+42553+40973+37290+35364+40972	35	23	8.225604016316286	2.7961472439443065	1.1239522268446933e-7	4.832994575432181e-6	40607;37560;38228;3772329;33213;38492;32113;35679;34892;31603;41296;31449;41968;39014;44915;37791;43278;34550;42553;40973;37290;35364;40972	CG13690;Chrac-14;RfC38;RPA2;dpa;PCNA;Mcm7;Gnf1;RpA-70;Mcm2;mtSSB;DNApol-alpha180;RPA3;Pol32;Mes4;DNA-ligI;CG12018;RfC4;DNApol-alpha60;Mcm5;DNApol-alpha73;Mcm3;Mcm6
dme04013	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04013+35253+38321+31746+45973+32257+44851+3354888+34167+35717+31872+44030+48317+43481+31667+38146+44111+33477+33392+44052+45278+33212+53560+32256+35524+45994+43319+36497+36952+39158+45959+37216+41785+48973+34790+40958+44747+34132+43162+36878+41140+33834+41020+37461+39884	93	44	21.856604957640414	2.013121437902867	2.914394502395723e-7	9.398922270226207e-6	35253;38321;31746;45973;32257;44851;3354888;34167;35717;31872;44030;48317;43481;31667;38146;44111;33477;33392;44052;45278;33212;53560;32256;35524;45994;43319;36497;36952;39158;45959;37216;41785;48973;34790;40958;44747;34132;43162;36878;41140;33834;41020;37461;39884	ebi;aop;chic;mts;emb;Sos;Src42A;cnk;Tab2;PTP-ER;Rac1;msn;dos;Src64B;msk;RasGAP1;Mkk4;Ras85D;eff;cic;gro;Mtl;ttk;csw;Dok;slpr;Dsor1;hep;lic;Duox;Btk29A;raw;spi;rl;tor;drk;Sod2;Shc;sina;puc;alph;fs(1)N;fs(1)M3;Traf6
dme03430	Mismatch repair	http://www.kegg.jp/kegg-bin/show_pathway?dme03430+35119+40607+38228+38492+32113+34892+41968+37791+34550+39654+36705+37290+35364+40972	20	14	4.700345152180734	2.9785046728971962	1.2886478121809652e-5	3.3247113554268903e-4	35119;40607;38228;38492;32113;34892;41968;37791;34550;39654;36705;37290;35364;40972	RfC38;tos;RPA2;PCNA;Msh6;Gnf1;RpA-70;mtSSB;RPA3;Pol32;Pms2;DNA-ligI;CG12018;RfC4
dme04392	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04392+44039+32351+37247+43651+42634+32979+41995+43673+252554+41783+37851+42734	16	12	3.7602761217445875	3.191255006675567	1.8444900809821974e-5	3.9656536741117243e-4	44039;32351;37247;43651;42634;32979;41995;43673;252554;41783;37851;42734	hpo;yki;Pak;kibra;Pak3;sav;Rassf;wts;dco;Mer;mats;jub
dme04120	Ubiquitin mediated proteolysis	http://www.kegg.jp/kegg-bin/show_pathway?dme04120+42793+44118+31746+33932+33035+41532+43434+31594+38516+35420+31014+35998+32358+35742+43611+31214+33226+42504+39958+33379+40596+34896+34968+34002+37123+40249+42105+41260+42753+38961+41785+44496+39691+41611+35927+32510+32751+38798+35780+41181+34699+39884	100	42	23.50172576090367	1.7871028037383176	2.4008002795450345e-5	4.424331943732992e-4	42793;44118;31746;33932;33035;41532;43434;31594;38516;35420;31014;35998;32358;35742;43611;31214;33226;42504;39958;33379;40596;34896;34968;34002;37123;40249;42105;41260;42753;38961;41785;44496;39691;41611;35927;32510;32751;38798;35780;41181;34699;39884	lwr;Su(dx);CG4502;Cul3;fzy;Cul2;Cul1;Su(var)2-10;Uba1;ago;Cdc27;Uba2;Cbl;vih;CG7656;Nedd4;ctrip;hyd;Aos1;pic;eff;CG5823;slmb;CG10254;Cul5;CG2218;CG2924;CG8184;CG8188;CG11070;CG9934;Cul4;Prp19;sina;RhoBTB;Bruce;Cdc16;Roc1a;APC7;Traf6;ben;HERC2
dme04391	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04391+32351+37247+44100+35526+43651+33529+33619+42634+32979+2768940+43673+33156+42186+252554+41783+34924+37851+31521+47594+44448+42734+32703+32752+47877+42896+46156+45959	61	27	14.33605271415124	1.8833636104970561	2.487063941527534e-4	0.004010390605713149	32351;37247;44100;35526;43651;33529;33619;42634;32979;2768940;43673;33156;42186;252554;41783;34924;37851;31521;47594;44448;42734;32703;32752;47877;42896;46156;45959	l(2)gl;Mad;ed;mts;Pp2A-29B;CycE;Act42A;aPKC;hpo;yki;Patj;Gug;tws;kibra;14-3-3epsilon;sav;Rassf;scrib;wts;dco;Act5C;Mer;mats;crb;jub;baz;par-6
dme04330	Notch signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04330+43856+32078+34881+42313+34263+31589+31293+42445+40062+41602+36555+31840+43162	22	13	5.170379667398808	2.5143221264716593	3.497008819383085e-4	0.005012379307782422	43856;32078;34881;42313;34263;31589;31293;42445;40062;41602;36555;31840;43162	numb;Su(H);mam;CG6843;CtBP;Dl;H;gro;N;dx;nej;dsh;Bx42
dme03420	Nucleotide excision repair	http://www.kegg.jp/kegg-bin/show_pathway?dme03420+40607+37560+38228+3772329+38492+32113+31014+43785+31441+34892+37791+34550+36130+41611+36598+35780+37290+35364+40972	39	19	9.165673046752431	2.0729519701482317	4.774580297497444e-4	0.006159208583771703	40607;37560;38228;3772329;38492;32113;31014;43785;31441;34892;37791;34550;36130;41611;36598;35780;37290;35364;40972	Chrac-14;RfC38;RPA2;PCNA;Gnf1;RpA-70;pic;Rad23;RPA3;Pol32;Cul4;Mat1;Tfb1;Mes4;DNA-ligI;CG12018;RfC4;Roc1a;Cdk7
