geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0061077	chaperone-mediated protein folding	http://amigo.geneontology.org/amigo/term/GO:0061077	41	4	0.025246305418719212	158.4390243902439	5.056559615468359e-9	2.2173013913828754e-5	39071;39076;42852;48582	Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0009408	response to heat	http://amigo.geneontology.org/amigo/term/GO:0009408	87	4	0.053571428571428575	74.66666666666666	1.10063461233878e-7	2.4131413875527752e-4	39071;39076;42852;48582	Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0006457	protein folding	http://amigo.geneontology.org/amigo/term/GO:0006457	118	4	0.07266009852216748	55.05084745762712	3.769547680665397e-7	5.509822193239255e-4	39071;39076;42852;48582	Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0009266	response to temperature stimulus	http://amigo.geneontology.org/amigo/term/GO:0009266	138	4	0.08497536945812809	47.07246376811594	7.074382739613583e-7	7.75529207830139e-4	39071;39076;42852;48582	Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0009628	response to abiotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0009628	431	4	0.26539408866995073	15.071925754060326	6.511663702879478e-5	0.04251960882053882	39071;39076;42852;48582	Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0051084	'de novo' posttranslational protein folding	http://amigo.geneontology.org/amigo/term/GO:0051084	21	2	0.01293103448275862	154.66666666666666	6.787622844783847e-5	0.04251960882053882	42852;48582	Hsp70Bb;Hsp68
GO:0051085	chaperone cofactor-dependent protein refolding	http://amigo.geneontology.org/amigo/term/GO:0051085	21	2	0.01293103448275862	154.66666666666666	6.787622844783847e-5	0.04251960882053882	42852;48582	Hsp70Bb;Hsp68
GO:0042026	protein refolding	http://amigo.geneontology.org/amigo/term/GO:0042026	23	2	0.01416256157635468	141.2173913043478	8.172670942618865e-5	0.04479645260422965	42852;48582	Hsp70Bb;Hsp68
GO:0006458	'de novo' protein folding	http://amigo.geneontology.org/amigo/term/GO:0006458	26	2	0.01600985221674877	124.92307692307692	1.0489250356193747e-4	0.05110595867989953	42852;48582	Hsp70Bb;Hsp68
GO:0034620	cellular response to unfolded protein	http://amigo.geneontology.org/amigo/term/GO:0034620	30	2	0.01847290640394089	108.26666666666665	1.4022983597650196e-4	0.06149078307569611	42852;48582	Hsp70Bb;Hsp68
