geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0061077	chaperone-mediated protein folding	http://amigo.geneontology.org/amigo/term/GO:0061077	41	8	0.2741027445460943	29.186136071887034	2.18934093076939e-10	9.600259981423775e-7	39071;39076;39077;40450;42852;44910;48582;50022	Hsp23;CG7130;unc-45;Hsp70Bbb;Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0009266	response to temperature stimulus	http://amigo.geneontology.org/amigo/term/GO:0009266	138	9	0.9225897255453905	9.755148741418765	3.1513513043535113e-7	6.909337734795074e-4	36694;38746;39071;39076;39077;42852;44910;48582;50022	Trpm;ple;Hsp23;unc-45;Hsp70Bbb;Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0006457	protein folding	http://amigo.geneontology.org/amigo/term/GO:0006457	118	8	0.788881069669247	10.140945584299732	1.1112002538116172e-6	0.0016242043709879805	39071;39076;39077;40450;42852;44910;48582;50022	Hsp23;CG7130;unc-45;Hsp70Bbb;Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0009408	response to heat	http://amigo.geneontology.org/amigo/term/GO:0009408	87	7	0.5816326530612245	12.035087719298247	1.7168615302765033e-6	0.0018821094525656168	39071;39076;39077;42852;44910;48582;50022	Hsp23;unc-45;Hsp70Bbb;Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0051084	'de novo' posttranslational protein folding	http://amigo.geneontology.org/amigo/term/GO:0051084	21	4	0.14039408866995073	28.49122807017544	1.0127725345032701e-5	0.007401679272994732	40450;42852;48582;50022	CG7130;Hsp70Bbb;Hsp70Bb;Hsp68
GO:0051085	chaperone cofactor-dependent protein refolding	http://amigo.geneontology.org/amigo/term/GO:0051085	21	4	0.14039408866995073	28.49122807017544	1.0127725345032701e-5	0.007401679272994732	40450;42852;48582;50022	CG7130;Hsp70Bbb;Hsp70Bb;Hsp68
GO:0042026	protein refolding	http://amigo.geneontology.org/amigo/term/GO:0042026	23	4	0.1537649542575651	26.013729977116707	1.4833154716953345e-5	0.00929191191912006	39077;42852;48582;50022	Hsp23;Hsp70Bbb;Hsp70Bb;Hsp68
GO:0006458	'de novo' protein folding	http://amigo.geneontology.org/amigo/term/GO:0006458	26	4	0.17382125263898662	23.012145748987855	2.4665183685268488e-5	0.01351960380748779	40450;42852;48582;50022	CG7130;Hsp70Bbb;Hsp70Bb;Hsp68
GO:0007492	endoderm development	http://amigo.geneontology.org/amigo/term/GO:0007492	10	3	0.06685432793807178	44.87368421052632	3.331814195617344e-5	0.016233339164202283	41944;41945;43383	srp;GATAe;fkh
GO:0034605	cellular response to heat	http://amigo.geneontology.org/amigo/term/GO:0034605	42	4	0.28078817733990147	14.24561403508772	1.7030579075560937e-4	0.0746790892463347	42852;44910;48582;50022	unc-45;Hsp70Bbb;Hsp70Bb;Hsp68
