geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0051082	unfolded protein binding	http://amigo.geneontology.org/amigo/term/GO:0051082	90	7	0.5795027723126454	12.07932098765432	1.6647605591835202e-6	0.0018745203896406437	39071;39076;39077;40450;42852;48582;50022	Hsp23;CG7130;Hsp70Bbb;Hsp67Bc;Hsp67Ba;Hsp70Bb;Hsp68
GO:0051787	misfolded protein binding	http://amigo.geneontology.org/amigo/term/GO:0051787	12	3	0.07726703630835272	38.826388888888886	5.40195611928862e-5	0.017786093535916335	42852;48582;50022	Hsp70Bbb;Hsp70Bb;Hsp68
GO:0031072	heat shock protein binding	http://amigo.geneontology.org/amigo/term/GO:0031072	33	4	0.21248434984796996	18.824915824915823	5.614342211801571e-5	0.017786093535916335	42852;44910;48582;50022	unc-45;Hsp70Bbb;Hsp70Bb;Hsp68
GO:0044183	protein binding involved in protein folding	http://amigo.geneontology.org/amigo/term/GO:0044183	13	3	0.08370595600071544	35.83974358974359	6.990104389814622e-5	0.017786093535916335	42852;48582;50022	Hsp70Bbb;Hsp70Bb;Hsp68
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	http://amigo.geneontology.org/amigo/term/GO:0000981	283	9	1.8222142729386515	4.939045936395759	7.897910095877592e-5	0.017786093535916335	33759;34669;36424;38752;41944;41945;43383;43660;43664	vri;nub;sug;vvl;srp;GATAe;fkh;Ptx1;CG12071
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	http://amigo.geneontology.org/amigo/term/GO:0016705	167	6	1.075299588624575	5.579840319361278	7.019043652136681e-4	0.1317240525384317	35561;38746;41520;43591;44620;246648	Fmo-2;Cyp12d1-p;ple;Cyp9f2;CG9747;CG14630
GO:0005201	extracellular matrix structural constituent	http://amigo.geneontology.org/amigo/term/GO:0005201	30	3	0.19316759077088178	15.530555555555555	9.173533113596699e-4	0.14756283265585549	32913;39326;2768980	Muc68Ca;Muc68D;Muc18B
GO:0034040	lipid-transporting ATPase activity	http://amigo.geneontology.org/amigo/term/GO:0034040	9	2	0.05795027723126453	34.51234567901235	0.0014295342948670298	0.17885062400225285	33354;39307	CG17646;CG32091
GO:0034041	sterol-transporting ATPase activity	http://amigo.geneontology.org/amigo/term/GO:0034041	9	2	0.05795027723126453	34.51234567901235	0.0014295342948670298	0.17885062400225285	33354;39307	CG17646;CG32091
GO:0017127	cholesterol transporter activity	http://amigo.geneontology.org/amigo/term/GO:0017127	12	2	0.07726703630835272	25.884259259259256	0.0025882504442993337	0.2527203303962731	33354;39307	CG17646;CG32091
