geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
dme04213	Longevity regulating pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04213+43383+31220+48582+42852+50022+48583+33569	56	7	0.42171320991528083	16.598958333333332	9.680376988896455e-8	1.2487686315676427e-5	43383;31220;48582;42852;50022;48583;33569	Thor;Hsp70Bbb;fkh;Ilp6;Hsp70Bb;Hsp70Bc;Hsp68
dme00790	Folate biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00790+38746+38632+31782+38633	40	4	0.30122372136805775	13.279166666666667	1.8876264572043056e-4	0.01217519064896777	38746;38632;31782;38633	CG10592;CG5150;ple;CG12116
dme04141	Protein processing in endoplasmic reticulum	http://www.kegg.jp/kegg-bin/show_pathway?dme04141+39447+48582+42852+50022+48583	133	5	1.001568873548792	4.992167919799499	0.002628727696456501	0.11303529094762954	39447;48582;42852;50022;48583	CG10973;Hsp70Bbb;Hsp70Bb;Hsp70Bc;Hsp68
dme00730	Thiamine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00730+38632+38633	21	2	0.1581424537182303	12.646825396825397	0.010460799355543116	0.3036876881983376	38632;38633	CG10592;CG5150
dme04144	Endocytosis	http://www.kegg.jp/kegg-bin/show_pathway?dme04144+48582+42852+50022+48583	122	4	0.918732350172576	4.353825136612022	0.01198785466385699	0.3036876881983376	48582;42852;50022;48583	Hsp70Bbb;Hsp70Bb;Hsp70Bc;Hsp68
dme03040	Spliceosome	http://www.kegg.jp/kegg-bin/show_pathway?dme03040+48582+42852+50022+48583	128	4	0.9639159083777847	4.149739583333333	0.01412500875341105	0.3036876881983376	48582;42852;50022;48583	Hsp70Bbb;Hsp70Bb;Hsp70Bc;Hsp68
dme00010	Glycolysis / Gluconeogenesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00010+45880+40406	55	2	0.4141826168810794	4.828787878787879	0.0633577289425068	1	45880;40406	ImpL3;CG32444
dme04711	Circadian rhythm	http://www.kegg.jp/kegg-bin/show_pathway?dme04711+33759	9	1	0.06777533730781299	14.75462962962963	0.06584946698057148	1	33759	vri
dme01100	Metabolic pathways	http://www.kegg.jp/kegg-bin/show_pathway?dme01100+38753+38746+45880+38632+31782+43661+326133+40406+38633+36506+39530	1012	11	7.620960150611861	1.4433876811594202	0.10460985370847542	1	38753;38746;45880;38632;31782;43661;326133;40406;38633;36506;39530	CG6145;CG10592;CG5150;ImpL3;ple;Prat2;CG8745;CG32444;CG31343;CG12116;CG15547
dme00760	Nicotinate and nicotinamide metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00760+36506	15	1	0.11295889551302164	8.852777777777778	0.1074182014478604	1	36506	CG6145
