cat,gene_list,genes
sensory organ development,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_rau_-0.665159044482046_0.00939515260481737_5.64e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
sensory system development,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_rau_-0.665159044482046_0.00939515260481737_5.64e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
cell morphogenesis involved in differentiation,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_rau_-0.665159044482046_0.00939515260481737_5.64e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
enzyme linked receptor protein signaling pathway,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
negative regulation of developmental process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_BBS4_-4.10809765755377_0.00052201602620366_7.76e-06_sra_0.503075204696094_2.96606382950168e-05_3.72e-05
regulation of protein modification process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_sra_0.503075204696094_2.96606382950168e-05_3.72e-05
positive regulation of developmental process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_ago_0.563998902200919_0.000146227175631492_3.98e-05
aminoglycan metabolic process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_ago_0.563998902200919_0.000146227175631492_3.98e-05
gene silencing,<chr>,Mur89F_-4.4038772405687_1.30311510930315e-05_7.46e-07
cation transport,<chr>,msl-2_-0.984064509294132_0.000936182155674888_3.24e-06_osa_0.70263493406971_5.84260827833511e-07_3.26e-05
muscle structure development,<chr>,msl-2_-0.984064509294132_0.000936182155674888_3.24e-06
negative regulation of nucleobase-containing compound metabolic process,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_Dgk_-1.48007307973127_2.2650623088318e-07_1.45e-05_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_CG43373_-2.39604725330874_3.93538066641709e-10_5.52e-05_CG43795_-2.42734614850674_6.59100490402664e-13_6.81e-05_CG1339_-5.0469464384802_4.92312848821928e-05_9.4e-05
second-messenger-mediated signaling,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
regulation of embryonic development,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_sra_0.503075204696094_2.96606382950168e-05_3.72e-05_CG43373_-2.39604725330874_3.93538066641709e-10_5.52e-05
syncytium formation,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
embryonic pattern specification,<chr>,BBS4_-4.10809765755377_0.00052201602620366_7.76e-06
taxis,<chr>,BBS4_-4.10809765755377_0.00052201602620366_7.76e-06_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
mitotic cell cycle,<chr>,BBS4_-4.10809765755377_0.00052201602620366_7.76e-06
cell part morphogenesis,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_Mp_-0.568592072056759_0.000635087650454811_1.8e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
neuron projection development,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_Mp_-0.568592072056759_0.000635087650454811_1.8e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
