cat,gene_list,genes
negative regulation of biosynthetic process,<chr>,Oaz_-4.19435878302603_5.32430708209454e-07_8.23e-07_twin_0.839676470476188_1.81319435882624e-09_9.98e-06_CG42741_-2.62249777490736_0.000429462857877258_3.06e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
positive regulation of RNA biosynthetic process,<chr>,Oaz_-4.19435878302603_5.32430708209454e-07_8.23e-07_lola_0.757570080626824_8.35992408829655e-12_8.73e-07_twi_-3.37514037814302_5.99873471577912e-08_3.06e-05
negative regulation of nucleobase-containing compound metabolic process,<chr>,Oaz_-4.19435878302603_5.32430708209454e-07_8.23e-07_CG42741_-2.62249777490736_0.000429462857877258_3.06e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
cell fate commitment,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
sensory organ development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
sensory system development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
cell morphogenesis involved in differentiation,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
taxis,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
neuron projection development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
cell part morphogenesis,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
wing disc development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
establishment or maintenance of cell polarity,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_Grip_-1.75214180700946_3.48238003126614e-07_6.03e-06_fz_0.691507448148875_0.00274276172677678_3.23e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
photoreceptor cell differentiation,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
appendage development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Sp1_-1.3007078900089_1.59832228718337e-05_7.15e-05
epithelial tube morphogenesis,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Sp1_-1.3007078900089_1.59832228718337e-05_7.15e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
establishment of tissue polarity,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
post-embryonic animal organ development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Sp1_-1.3007078900089_1.59832228718337e-05_7.15e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
morphogenesis of a polarized epithelium,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
post-embryonic animal morphogenesis,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Sp1_-1.3007078900089_1.59832228718337e-05_7.15e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
metamorphosis,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Sp1_-1.3007078900089_1.59832228718337e-05_7.15e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
muscle structure development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_Grip_-1.75214180700946_3.48238003126614e-07_6.03e-06_twi_-3.37514037814302_5.99873471577912e-08_3.06e-05
sex differentiation,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
reproductive system development,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
cell recognition,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05
regulation of anatomical structure size,<chr>,lola_0.757570080626824_8.35992408829655e-12_8.73e-07_fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
cell-cell signaling,<chr>,Grip_-1.75214180700946_3.48238003126614e-07_6.03e-06_twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
biological adhesion,<chr>,Grip_-1.75214180700946_3.48238003126614e-07_6.03e-06_beat-VII_-1.81380036281185_3.52929154357942e-10_1.2e-05_disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_beat-Ia_-2.88937512176483_1.47079920986679e-07_5.05e-05
protein catabolic process,<chr>,CG13085_-2.6496683655301_6.41457053111491e-05_8.42e-06_CG4911_0.606303621920189_0.00107053974319775_8.76e-05
dephosphorylation,<chr>,CG16771_-0.828622288335742_0.000871699382080712_8.42e-06
cell division,<chr>,twin_0.839676470476188_1.81319435882624e-09_9.98e-06_fz_0.691507448148875_0.00274276172677678_3.23e-05_Cdc6_0.928432287871789_1.96349612837841e-07_8.54e-05
regulation of localization,<chr>,sbr_0.692168017083473_1.37575595901654e-07_1.32e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
growth,<chr>,disco-r_-1.07988555766566_0.000235480855977389_1.7e-05_Rassf_0.519313405597001_1.32730846259617e-05_2.59e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
sensory perception,<chr>,dpr8_-1.17446500713852_1.48262406361833e-07_1.81e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Gr61a_-3.76355114536618_6.51301370704883e-08_7.42e-05
negative regulation of cell communication,<chr>,Rassf_0.519313405597001_1.32730846259617e-05_2.59e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05
negative regulation of signaling,<chr>,Rassf_0.519313405597001_1.32730846259617e-05_2.59e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05
negative regulation of response to stimulus,<chr>,Rassf_0.519313405597001_1.32730846259617e-05_2.59e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05
positive regulation of developmental process,<chr>,Rassf_0.519313405597001_1.32730846259617e-05_2.59e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
positive regulation of multicellular organismal process,<chr>,Rassf_0.519313405597001_1.32730846259617e-05_2.59e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
mitotic cell cycle,<chr>,Claspin_0.7202445775801_1.18452216558892e-05_3.04e-05_Cdc6_0.928432287871789_1.96349612837841e-07_8.54e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
regulation of cell cycle,<chr>,Claspin_0.7202445775801_1.18452216558892e-05_3.04e-05_Cdc6_0.928432287871789_1.96349612837841e-07_8.54e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
regionalization,<chr>,twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
axis specification,<chr>,twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
embryonic morphogenesis,<chr>,twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
digestive system development,<chr>,twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
urogenital system development,<chr>,twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
actin filament-based process,<chr>,twi_-3.37514037814302_5.99873471577912e-08_3.06e-05_fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
embryonic pattern specification,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
epithelial cell differentiation,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
G protein-coupled receptor signaling pathway,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
