line_DGRP,ctmin_male,ctmin_female,ctmax_male,ctmax_female
208,5.04,4.68,40.61,40.59
313,5.38,5.18,39.97,39.62
639,6.04,7.93,39.38,38.9
712,5.65,6.24,40.38,40.35
786,4.73,5.07,40.51,40.02
303,5.69,5.22,40.33,39.72
380,5.31,5.6,40.24,40.03
399,4.12,3.49,40.44,40.5
486,6.98,5.75,40.39,40.09
358,4.76,5.59,40.05,40.55
375,7.19,7.22,40.18,39.86
379,4.63,4.86,39.89,39.69
437,5.76,5.88,39.37,39.84
517,5.51,6.74,39.23,39.18
555,5.5,5.8,40.24,40.12
707,6.78,6.25,40.24,39.92
732,7.43,5.72,39.89,39.77
765,5.93,5.7,39.96,39.11
365,4.26,4.33,40.25,40.1
714,8.55,8.64,39.72,39.74
301,5.47,6.92,38.71,40.51
304,2.4,3.04,40.12,38.76
307,6.81,7.25,39.49,40.14
315,5.29,4.93,39.49,40.29
324,5.4,4.08,40.11,40.26
357,6.36,7.03,39.75,39.5
360,5.42,5.58,40.32,38.64
362,4.7,5.21,40.28,40.28
391,5.6,5.85,39.94,40.23
730,4.08,4.19,39.67,39.53
799,6.43,6.35,39.68,39.26
820,5.41,3.47,39.52,39.44
859,3.95,4.5,40.41,40.08
705,4.27,4.94,39.55,39.73
395,4.74,4.6,39.74,39.82
397,5.07,5.02,40.51,40.2
530,5.56,5.89,39.27,39.07
306,4.73,5.82,39.56,39.91
355,5.18,4.74,39.23,38.51
513,3.69,3.67,40.1,40.2
31,4.07,4.62,40.36,40.11
409,5.38,4.35,39.63,38.8
855,3.38,4.11,40.05,39.61
843,4.41,3.95,39.39,40.03
235,4.47,4.55,39.82,39.86
310,3.53,3.84,40.12,40.04
810,6.45,6.63,40.2,40.04
805,5.01,4.66,39.61,39.98
808,3.13,3.12,38.63,38.84
88,4.97,4.3,40.21,40.55
73,3.62,3.91,39.73,40.05
91,4.92,4.69,39.78,39.6
93,4.99,5.58,39.89,39.03
41,3.15,2.88,39.48,39.14
913,4.52,4.46,40.72,40.56
85,5.31,5.85,39.68,39.68
852,4.52,4.19,40.01,40.35
774,5.39,6.14,40.09,40.02
879,3.8,3.98,40.35,39.77
857,4.25,3.44,40.12,40.14
822,4.7,4,39.03,39.81
837,5.59,4.83,40.1,39.69
100,2.82,2.29,40.19,39.93
195,3.07,4.69,39.55,39.76
136,3.98,4.81,39.92,39.94
129,3.54,3.08,39.23,38.8
38,5.9,5.59,40.01,39.61
75,4.31,3.77,39.53,39.92
348,2.56,2.4,39.65,39.95
908,4.91,5.35,39.59,39.74
596,4.1,4.81,40.04,39.65
45,3.73,4.06,39.74,40.05
319,2.91,2.94,39.65,39.32
861,5.21,5.49,40.15,40.33
427,4.86,5.55,39.7,39.18
161,5.97,6.69,39.42,39.07
59,6.2,6.82,40.01,39.72
239,5.05,5.28,40.31,39.84
228,3.1,3.33,39.27,39.42
385,4.58,4.81,39.17,38.91
352,4.69,4.8,40.21,39.82
350,2.17,2.68,39.29,39.8
461,0.81,2.8,40.57,40.45
492,6.35,7.06,40.07,40.08
386,6.31,6.38,40.41,40.17
783,5.9,5.76,39.86,40.15
491,5.25,5.55,39.77,39.87
382,4.21,4.84,39.84,39.65
309,5.6,5.03,39.69,39.77
317,3.81,4.45,39.98,39.9
181,5.27,4.22,39.57,39.76
189,5.17,4.75,39.55,39.77
359,3.59,4.41,39.62,39.31
737,5.3,5.58,40.26,40.8
440,7.73,6.77,40.64,40.27
441,3.24,3.81,40.31,40.33
796,2.88,2.81,39.92,39.76
703,4.95,3.77,39.49,39.48
371,4.41,3.93,39.6,39.42
716,5.25,5.16,39.87,39.29
