"gene","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"128up",1689,2487,1663,5224,3163,405,2810,289,921
"14-3-3epsilon",529073,581340,430152,166987,150291,4436,25338,3271,8577
"14-3-3zeta",7235,7553,6998,18747,36755,2214,10283,3564,8776
"140up",116,68,297,475,464,69,367,87,257
"18w",1785,1050,1176,1326,1066,206,1320,432,1432
"26-29-p",17466,19216,15127,49893,18666,6052,39031,1727,3040
"2mit",834,547,365,324,168,24,325,211,851
"312",136,58,126,390,190,66,584,65,281
"4E-T",2517,3640,4078,10664,2989,468,2066,674,1637
"4EHP",8711,12477,10355,11118,3706,310,2198,377,1041
"5-HT1A",920,458,313,203,72,10,178,106,570
"5-HT1B",363,89,73,167,16,8,99,61,283
"5-HT2A",380,119,133,296,16,40,325,260,788
"5-HT2B",136,12,106,28,64,2,62,24,212
"5-HT7",184,298,134,125,209,4,45,37,176
"5.8SrRNA:CR40454",0,0,0,0,13,3689,2172,453,2485
"5PtaseI",251,308,605,1319,342,135,802,120,421
"5SrRNA-Psi:CR33356",0,0,0,0,0,0,0,0,0
"5SrRNA-Psi:CR33363",0,0,0,0,0,0,2,0,2
"5SrRNA-Psi:CR33371",0,0,0,0,0,0,0,0,0
"5SrRNA-Psi:CR33416",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33353",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33354",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33355",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33357",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33358",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33359",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33360",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33361",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33362",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33364",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33365",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33366",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33367",0,0,0,0,0,0,1,0,2
"5SrRNA:CR33368",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33369",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33370",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33372",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33373",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33374",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33375",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33376",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33377",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33378",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33379",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33380",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33381",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33382",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33383",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33384",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33385",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33386",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33387",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33388",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33389",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33390",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33391",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33392",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33393",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33394",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33395",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33396",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33397",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33398",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33399",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33400",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33401",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33402",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33403",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33404",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33405",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33406",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33407",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33408",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33409",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33410",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33411",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33412",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33413",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33414",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33415",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33417",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33418",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33419",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33420",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33421",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33422",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33423",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33424",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33425",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33426",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33427",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33428",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33429",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33430",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33431",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33432",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33433",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33434",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33435",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33436",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33437",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33438",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33439",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33440",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33441",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33442",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33443",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33444",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33445",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33446",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33447",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33448",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33449",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33450",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33451",0,0,0,0,0,0,0,0,0
"5SrRNA:CR33452",0,0,0,0,0,0,0,0,0
"7B2",1772,1024,551,588,479,87,1352,477,2748
"7SLRNA:CR32864",0,0,0,0,0,0,0,0,0
"7SLRNA:CR42652",0,0,0,0,0,0,0,0,0
"825-Oak",0,0,0,0,0,1,1,0,3
"A16",5428,5690,5425,4864,2102,207,1620,286,1147
"A2bp1",2893,2690,2108,3286,1438,143,989,493,1528
"ABCB7",626,1028,666,2663,2312,215,2034,748,3101
"ACC",5229,6793,6940,19759,6773,4053,18608,11026,22812
"ACXA",87,8,85,511,50,0,3,715,2572
"ACXB",22,24,10,57,33,0,0,98,288
"ACXC",135,91,220,566,46,0,3,1008,3348
"ACXD",357,295,72,639,901,105,629,423,1435
"ACXE",38,0,4,37,12,1,0,40,174
"AGBE",1842,3067,1902,8156,8801,880,4540,798,1778
"AGO1",10636,11189,9819,16216,6622,1344,7079,1456,4311
"AGO2",11330,13204,9464,13487,10492,1196,6444,1640,4289
"AGO3",61,112,180,1896,35,370,1193,85,146
"AIF",2111,3031,3085,8908,2061,876,4878,1215,4751
"ALiX",2822,3209,2118,4936,5078,779,4798,1435,4802
"AMPKalpha",3160,2975,2989,6847,3037,965,5838,1421,4706
"AMPdeam",5447,6984,5217,9652,5275,782,5551,1571,5315
"AP-1-2beta",6490,8314,4546,7432,3161,1030,7119,868,3030
"AP-1gamma",6051,7740,7032,9560,4359,1137,8126,984,4059
"AP-1mu",1973,1685,1902,5641,3734,554,4358,530,1677
"AP-1sigma",973,1589,1107,1972,2330,296,1397,287,723
"AP-2alpha",2220,2974,2755,6656,2806,1129,4656,784,1904
"AP-2mu",1060,1601,1040,2730,1873,516,2912,483,1334
"AP-2sigma",1028,767,560,1207,1343,200,1132,161,487
"APC10",268,230,178,836,365,22,293,32,119
"APC4",376,514,373,1359,254,258,1423,131,426
"APC7",431,1672,1233,5347,62,667,5400,67,13
"APP-BP1",1026,1222,1245,2147,860,250,1578,910,3420
"AQP",92,140,404,819,244,16,273,159,794
"ARY",0,34,7,55,0,0,0,40,178
"ASPP",2120,1980,2365,1502,756,104,964,438,1517
"ATP7",2674,2857,2060,5789,2450,653,3452,1614,8248
"ATPCL",5348,6781,6300,18817,18443,2290,10430,4966,9356
"ATPsyn-Cf6",3523,3409,4010,9716,11023,814,4222,1274,3816
"ATPsyn-b",4873,5720,4805,17082,18898,1750,10940,3068,11952
"ATPsyn-beta",12766,15413,15689,68758,92336,10539,56426,16733,38731
"ATPsyn-d",12710,13808,14309,24224,32939,1030,6362,1757,5667
"ATPsyn-gamma",4622,4865,5477,18574,24247,1765,14430,2795,9098
"ATbp",620,150,357,702,110,64,300,44,126
"Aac11",3354,2885,3596,7184,3287,806,6081,952,3799
"Aatf",879,1206,1630,2620,1199,202,1195,82,250
"Aats-ala",2318,3779,3028,8842,5594,1675,11063,681,1994
"Aats-ala-m",393,470,413,1027,676,250,1357,207,500
"Aats-arg",617,612,922,2829,2868,366,2133,170,488
"Aats-asn",2224,1763,1490,5789,4773,1247,8124,508,1922
"Aats-asp",2494,3023,1641,7456,7009,961,5861,566,1753
"Aats-cys",761,732,1491,2390,1679,502,3117,218,600
"Aats-gln",1680,2362,1582,4887,2884,759,4834,344,777
"Aats-glupro",5205,4855,4919,9983,6283,1276,6538,592,1595
"Aats-gly",2615,2666,2694,6738,5263,650,4254,332,850
"Aats-his",4325,5677,4789,5897,4284,975,5513,478,1499
"Aats-ile",1499,1999,2366,8561,4136,1494,7416,584,1405
"Aats-leu",404,396,524,1377,681,174,1146,117,395
"Aats-lys",2441,2542,2846,7181,3740,866,7928,324,1222
"Aats-met",145,86,132,644,236,110,916,180,807
"Aats-phe",821,722,734,1146,1384,119,663,255,724
"Aats-pro",113,74,166,480,434,36,350,27,177
"Aats-ser",419,389,195,1195,512,133,697,230,670
"Aats-thr",2039,2542,2726,6696,6277,1626,10459,826,2563
"Aats-trp",1021,1327,962,3848,3108,415,2057,409,1489
"Aats-tyr",1233,1621,1376,5413,4473,718,5209,430,1168
"Aats-tyr-m",235,157,396,761,691,155,725,85,252
"Aats-val",2242,3218,2524,7337,4690,524,3450,298,1184
"Abd-B",639,636,489,391,764,16,278,153,598
"Abi",5209,6298,4484,8563,4921,287,1922,329,1005
"Abl",6118,5150,5036,7700,989,1187,6507,826,2734
"Abp1",3896,4641,3614,7089,3076,534,2966,286,519
"Ac13E",1920,1512,1358,1818,746,221,1435,600,2580
"Ac3",564,382,290,259,108,32,458,284,1370
"Ac76E",686,757,824,1601,2773,174,1417,965,3073
"Ac78C",326,513,322,383,479,34,338,219,874
"AcCoAS",2382,3426,3281,10531,10796,1527,6394,5445,10373
"Acam",0,0,0,0,0,0,0,0,0
"Ace",4304,3409,1798,2089,1660,97,638,630,2206
"Acer",2211,2647,2357,5102,3895,866,3461,1796,5493
"Acf1",15141,21334,17690,21004,1963,1445,7698,447,1072
"Ack",1545,1914,2222,4251,1100,616,3187,1222,4620
"Ack-like",2745,2625,2537,5252,1812,487,2852,366,988
"Acn",12630,13122,12761,14266,5782,645,4778,690,3086
"Acon",19116,20352,22215,49358,39206,3673,20978,10046,26319
"Acox57D-d",823,1073,813,3283,3909,360,2514,215,627
"Acox57D-p",756,857,642,2270,1282,457,2257,670,1270
"Acp1",1641,884,513,61,671,0,3,11,45
"Acp24A4",4,16,0,298,1,0,0,987,2031
"Acp26Aa",302,830,847,2990,41,0,2,842,3073
"Acp26Ab",32,230,212,246,0,0,2,474,2017
"Acp29AB",46,26,44,261,6,0,0,189,670
"Acp32CD",3864,5417,8344,3254,16,1,6,1542,7894
"Acp33A",18,140,188,935,14,0,0,639,3247
"Acp36DE",5120,6824,11987,24226,35,3,21,4872,21077
"Acp53C14a",245,439,602,3630,1,3,1,1571,5814
"Acp53C14b",345,594,787,3339,8,1,6,2026,7524
"Acp53C14c",17,10,66,473,7,0,0,142,590
"Acp53Ea",30,81,44,865,0,0,5,1404,4863
"Acp54A1",12,14,100,711,0,0,11,1708,4444
"Acp62F",196,468,240,846,0,1,1,1026,5363
"Acp63F",38,40,86,542,1,0,5,511,1904
"Acp65Aa",177,220,92,1,2055,4,25,10,7
"Acp76A",310,488,424,2455,1,0,0,353,1318
"Acp95EF",453,706,1048,3632,12,3,9,1824,4918
"Acp98AB",140,202,151,1267,20,1,8,545,2499
"Acph-1",1354,1311,1458,3058,1233,551,2673,297,769
"Acsl",4704,7073,7273,18385,7620,3024,12114,5947,13641
"Act42A",18383,18343,13520,14724,21351,1431,9741,1823,5641
"Act57B",36427,33125,24529,40925,842972,1447,24496,5051,35250
"Act5C",411504,423662,347957,173501,268484,17125,136173,10797,37427
"Act79B",24168,31644,23504,53788,157,383,5894,2965,24283
"Act87E",92926,99458,90691,38714,178499,254,3819,2761,16745
"Act88F",6727,9977,6890,18194,70,114,323,617,2507
"Actbeta",178,220,72,150,98,8,125,84,404
"Actn",21787,23178,19561,31400,94587,1234,10613,2321,13164
"Actn3",104,50,114,371,82,0,0,349,1178
"Acyp",92,0,176,208,4,0,1,111,662
"Acyp2",192,224,232,843,687,52,204,136,389
"AdSL",1832,1454,1487,2649,1436,418,3217,312,477
"AdSS",4443,5296,5124,14855,14117,1701,13612,2018,7057
"Ada",118,134,9,206,125,50,226,22,132
"Ada1-1",8,9,2,1,4,14,30,10,46
"Ada1-2",193,173,328,86,8,39,122,11,44
"Ada2a",271,256,97,339,169,71,583,93,491
"Ada2b",4519,6086,4030,7655,1845,791,5009,260,576
"Adam",7267,9389,8420,9601,8630,659,3190,793,1763
"AdamTS-A",2221,1442,1299,1757,1531,199,1445,271,1592
"Adar",612,486,447,2002,555,263,1339,529,1717
"AdenoK",1343,1649,2039,4578,6542,475,2298,470,1090
"Adf1",2013,2632,2012,3163,1359,271,1479,203,623
"Adgf-A",1138,1414,1292,1224,3497,160,644,251,958
"Adgf-B",98,112,182,425,5,0,1,442,1767
"Adgf-C",258,50,146,354,238,4,51,67,233
"Adgf-D",442,444,244,687,1238,65,322,345,399
"Adgf-E",146,150,199,365,13,0,0,553,2680
