	pop	temp	rep	region
BO25_1_C	BO	25	1	tropical
BO25_2_C	BO	25	2	tropical
BO25_3_C	BO	25	3	tropical
BO32_1_C	BO	32	1	tropical
BO32_2_C	BO	32	2	tropical
BO32_3_C	BO	32	3	tropical
BO34_1_C	BO	34	1	tropical
BO34_2_C	BO	34	2	tropical
BO36_1_C	BO	36	1	tropical
BO36_2_C	BO	36	2	tropical
CP25_1_C	CP	25	1	tropical
CP25_2_C	CP	25	2	tropical
CP25_3_C	CP	25	3	tropical
CP32_1_C	CP	32	1	tropical
CP32_2_C	CP	32	2	tropical
CP32_3_C	CP	32	3	tropical
CP34_1_C	CP	34	1	tropical
CP34_2_C	CP	34	2	tropical
CP34_3_C	CP	34	3	tropical
CP36_1_C	CP	36	1	tropical
CP36_2_C	CP	36	2	tropical
GH25_1_C	GH	25	1	tropical
GH25_2_C	GH	25	2	tropical
GH25_3_C	GH	25	3	tropical
GH32_1_C	GH	32	1	tropical
GH32_3_C	GH	32	3	tropical
GH34_1_C	GH	34	1	tropical
GH34_2_C	GH	34	2	tropical
GH34_3_C	GH	34	3	tropical
GH36_1_C	GH	36	1	tropical
GH36_2_C	GH	36	2	tropical
GH36_3_C	GH	36	3	tropical
GM25_1_C	GM	25	1	tropical
GM25_2_C	GM	25	2	tropical
GM25_3_C	GM	25	3	tropical
GM32_1_C	GM	32	1	tropical
GM32_2_C	GM	32	2	tropical
GM34_1_C	GM	34	1	tropical
GM34_2_C	GM	34	2	tropical
GM34_3_C	GM	34	3	tropical
GM36_1_C	GM	36	1	tropical
GM36_2_C	GM	36	2	tropical
GM36_3_C	GM	36	3	tropical
SK25_1_C	SK	25	1	tropical
SK25_2_C	SK	25	2	tropical
SK25_3_C	SK	25	3	tropical
SK32_1_C	SK	32	1	tropical
SK32_2_C	SK	32	2	tropical
SK32_3_C	SK	32	3	tropical
SK34_1_C	SK	34	1	tropical
SK34_2_C	SK	34	2	tropical
SK34_3_C	SK	34	3	tropical
SK36_1_C	SK	36	1	tropical
SK36_2_C	SK	36	2	tropical
SK36_3_C	SK	36	3	tropical
VT10_251	VT10	25	1	temperate
VT10_252	VT10	25	2	temperate
VT10_253	VT10	25	3	temperate
VT10_321	VT10	32	1	temperate
VT10_322	VT10	32	2	temperate
VT10_323	VT10	32	3	temperate
VT10_341	VT10	34	1	temperate
VT10_342	VT10	34	2	temperate
VT10_343	VT10	34	3	temperate
VT10_361	VT10	36	1	temperate
VT10_362	VT10	36	2	temperate
VT10_363	VT10	36	3	temperate
VT12_252	VT12	25	2	temperate
VT12_253	VT12	25	3	temperate
VT12_321	VT12	32	1	temperate
VT12_322	VT12	32	2	temperate
VT12_323	VT12	32	3	temperate
VT12_341	VT12	34	1	temperate
VT12_342	VT12	34	2	temperate
VT12_343	VT12	34	3	temperate
VT12_361	VT12	36	1	temperate
VT12_362	VT12	36	2	temperate
VT12_363	VT12	36	3	temperate
VT2_25_1	VT2	25	1	temperate
VT2_25_2	VT2	25	2	temperate
VT2_25_3	VT2	25	3	temperate
VT2_32_1	VT2	32	1	temperate
VT2_32_3	VT2	32	3	temperate
VT2_34_1	VT2	34	1	temperate
VT2_34_2	VT2	34	2	temperate
VT2_34_3	VT2	34	3	temperate
VT2_36_1	VT2	36	1	temperate
VT8_25_1	VT8	25	1	temperate
VT8_25_2	VT8	25	2	temperate
VT8_25_3	VT8	25	3	temperate
VT8_32_1	VT8	32	1	temperate
VT8_32_2	VT8	32	2	temperate
VT8_32_3	VT8	32	3	temperate
VT8_34_1	VT8	34	1	temperate
VT8_34_2	VT8	34	2	temperate
VT8_34_3	VT8	34	3	temperate
VT8_36_1	VT8	36	1	temperate
VT8_36_2	VT8	36	2	temperate
VT8_36_3	VT8	36	3	temperate
VT9_25_1	VT9	25	1	temperate
VT9_25_2	VT9	25	2	temperate
VT9_32_1	VT9	32	1	temperate
VT9_32_2	VT9	32	2	temperate
VT9_32_3	VT9	32	3	temperate
VT9_34_1	VT9	34	1	temperate
VT9_34_2	VT9	34	2	temperate
VT9_34_3	VT9	34	3	temperate
VT9_36_1	VT9	36	1	temperate
VT9_36_2	VT9	36	2	temperate
VT9_36_3	VT9	36	3	temperate
