sampleID	pop	temp	rep	region
BO_25_1	BO	25	1	tropical
BO_25_2	BO	25	2	tropical
BO_25_3	BO	25	3	tropical
BO_32_1	BO	32	1	tropical
BO_32_2	BO	32	2	tropical
BO_32_3	BO	32	3	tropical
BO_34_1	BO	34	1	tropical
BO_34_2	BO	34	2	tropical
BO_36_1	BO	36	1	tropical
BO_36_2	BO	36	2	tropical
CP_25_1	CP	25	1	tropical
CP_25_2	CP	25	2	tropical
CP_25_3	CP	25	3	tropical
CP_32_1	CP	32	1	tropical
CP_32_2	CP	32	2	tropical
CP_32_3	CP	32	3	tropical
CP_34_1	CP	34	1	tropical
CP_34_2	CP	34	2	tropical
CP_34_3	CP	34	3	tropical
CP_36_1	CP	36	1	tropical
CP_36_2	CP	36	2	tropical
GH_25_1	GH	25	1	tropical
GH_25_2	GH	25	2	tropical
GH_25_3	GH	25	3	tropical
GH_32_1	GH	32	1	tropical
GH_32_3	GH	32	3	tropical
GH_34_1	GH	34	1	tropical
GH_34_2	GH	34	2	tropical
GH_34_3	GH	34	3	tropical
GH_36_1	GH	36	1	tropical
GH_36_2	GH	36	2	tropical
GH_36_3	GH	36	3	tropical
GM_25_1	GM	25	1	tropical
GM_25_2	GM	25	2	tropical
GM_25_3	GM	25	3	tropical
GM_32_1	GM	32	1	tropical
GM_32_2	GM	32	2	tropical
GM_34_1	GM	34	1	tropical
GM_34_2	GM	34	2	tropical
GM_34_3	GM	34	3	tropical
GM_36_1	GM	36	1	tropical
GM_36_2	GM	36	2	tropical
GM_36_3	GM	36	3	tropical
SK_25_1	SK	25	1	tropical
SK_25_2	SK	25	2	tropical
SK_25_3	SK	25	3	tropical
SK_32_1	SK	32	1	tropical
SK_32_2	SK	32	2	tropical
SK_32_3	SK	32	3	tropical
SK_34_1	SK	34	1	tropical
SK_34_2	SK	34	2	tropical
SK_34_3	SK	34	3	tropical
SK_36_1	SK	36	1	tropical
SK_36_2	SK	36	2	tropical
SK_36_3	SK	36	3	tropical
VT10_25_1	VT10	25	1	temperate
VT10_25_2	VT10	25	2	temperate
VT10_25_3	VT10	25	3	temperate
VT10_32_1	VT10	32	1	temperate
VT10_32_2	VT10	32	2	temperate
VT10_32_3	VT10	32	3	temperate
VT10_34_1	VT10	34	1	temperate
VT10_34_2	VT10	34	2	temperate
VT10_34_3	VT10	34	3	temperate
VT10_36_1	VT10	36	1	temperate
VT10_36_2	VT10	36	2	temperate
VT10_36_3	VT10	36	3	temperate
VT12_25_2	VT12	25	2	temperate
VT12_25_3	VT12	25	3	temperate
VT12_32_1	VT12	32	1	temperate
VT12_32_2	VT12	32	2	temperate
VT12_32_3	VT12	32	3	temperate
VT12_34_1	VT12	34	1	temperate
VT12_34_2	VT12	34	2	temperate
VT12_34_3	VT12	34	3	temperate
VT12_36_1	VT12	36	1	temperate
VT12_36_2	VT12	36	2	temperate
VT12_36_3	VT12	36	3	temperate
VT2_25_1	VT2	25	1	temperate
VT2_25_2	VT2	25	2	temperate
VT2_25_3	VT2	25	3	temperate
VT2_32_1	VT2	32	1	temperate
VT2_32_3	VT2	32	3	temperate
VT2_34_1	VT2	34	1	temperate
VT2_34_2	VT2	34	2	temperate
VT2_34_3	VT2	34	3	temperate
VT2_36_1	VT2	36	1	temperate
VT8_25_1	VT8	25	1	temperate
VT8_25_2	VT8	25	2	temperate
VT8_25_3	VT8	25	3	temperate
VT8_32_1	VT8	32	1	temperate
VT8_32_2	VT8	32	2	temperate
VT8_32_3	VT8	32	3	temperate
VT8_34_1	VT8	34	1	temperate
VT8_34_2	VT8	34	2	temperate
VT8_34_3	VT8	34	3	temperate
VT8_36_1	VT8	36	1	temperate
VT8_36_2	VT8	36	2	temperate
VT8_36_3	VT8	36	3	temperate
VT9_25_1	VT9	25	1	temperate
VT9_25_2	VT9	25	2	temperate
VT9_32_1	VT9	32	1	temperate
VT9_32_2	VT9	32	2	temperate
VT9_32_3	VT9	32	3	temperate
VT9_34_1	VT9	34	1	temperate
VT9_34_2	VT9	34	2	temperate
VT9_34_3	VT9	34	3	temperate
VT9_36_1	VT9	36	1	temperate
VT9_36_2	VT9	36	2	temperate
VT9_36_3	VT9	36	3	temperate
