"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CR43875",448.782663023522,-7.10436036386568,0.443101396186756,-16.0332610662129,7.48495882135722e-58,1.07409159086476e-53,46.8626340347402,44.5793857900701,35.8570231696509,6.62866621425333,7.74665929607038,825.041051794327,849.955253958559,995.886512753257,1226.48678020077
"CR41609",115210.898066867,-8.64118685586919,0.563546842130653,-15.3335733782105,4.5618519407417e-53,3.27312876748217e-49,210.881853156331,98.506062149026,214.362638514217,342.741035431099,954.388425275871,312887.180562954,216523.35394227,246942.375562865,258724.292519186
"CR41602",1115111.58367118,-8.17185675284421,0.546658149244006,-14.9487513616057,1.58696900044967e-50,7.59100171881759e-47,11394.8918584817,9871.45786309473,7513.60535504924,4462.65204836055,12858.6797655472,2872808.36367592,1574967.08558521,2764696.07531715,2777431.44157182
"CG13560",10893.1699369475,31.5979897963193,2.3773232468568,13.2914149719004,2.59621722144859e-40,9.31392928194683e-37,7443.07904703494,5160.42341637635,3586.48181746878,8.18835238231294,81840.3567992652,0,0,0,0
"CR43903",746.057419054504,-7.24238015186504,0.549919889825113,-13.1698821698708,1.30801649300135e-39,3.75400733491387e-36,0,2.15706705435823,0.779500503688063,8.57827392432784,13.9439867329267,2166.69659396454,1750.97245853516,1193.99296959127,1577.39592118426
"CR40963",77039.1077807305,-20.7094650855159,1.60228393651578,-12.9249658025964,3.25441289744879e-38,7.78347084639835e-35,0,0,0,0,0,166191.797288309,90945.2121735658,217312.074694174,218902.885870526
"CG32241",8329.05052705268,31.8426603946523,2.47421287966635,12.869814338266,6.65619555444563e-38,1.36452008866135e-34,114.732655740226,69.7451680909162,126.279081597466,2.33952925208941,74648.3583087934,0,0,0,0
"CG17105",3163.24000051459,30.2784694552308,2.38085163369819,12.7174952973441,4.72772897539738e-37,8.48036384961904e-34,298.951286083687,254.533912414271,154.341099730236,2.72945079410431,27758.604255609,0,0,0,0
"CR45396",929.364600719236,-8.63429521956977,0.697442316395234,-12.3799417049951,3.355864645818e-35,5.35073974083203e-32,42.0147753414912,46.0174304929756,14.0310090663851,3.11937233611921,7.74665929607038,2768.1283887305,1470.45490703857,1930.19939702983,2082.56946714118
"CR40741",19824.2360978167,-10.9505668425577,0.949877830655086,-11.5283950094989,9.48963330165214e-31,1.36176237878708e-27,13.7355996308721,1.43804470290549,0.779500503688063,11.3077247184322,34.0853009027097,53153.4625284504,35614.7410253769,50891.9424931167,38696.6326629481
"Eig71Ee",42692.2509383404,29.0195673099805,2.5467833419151,11.3945960115157,4.44888755014617e-30,5.80377603132705e-27,110087.599135645,104459.567219055,72672.8319588381,1.16976462604471,97009.0903669006,0,0,0,0
"CR44998",355.054398157542,-5.95917556695784,0.533412188097026,-11.1718024070981,5.60321827218327e-29,6.70051518381916e-26,1.61595289774966,0,0,11.6976462604471,13.9439867329267,686.249099156029,579.133009541345,878.093484363087,1024.7564044663
"CR40962",15780.4356959142,-18.4219889823719,1.68458546689816,-10.9356214596178,7.78705980097257e-28,8.59571601107357e-25,0,0,0,0,0,48565.6174273511,12948.4057814082,33522.8250341298,46987.0730203384
"CR43429",605.602112583552,-9.53988841850562,0.874585736929599,-10.90789389271,1.05676239784979e-27,1.08318145779603e-24,0,0,0,3.11937233611921,0,1557.55413516312,1588.09129960166,1038.72034125877,1262.93386489229
"CG15642",332.241111886398,-5.35217404038181,0.492059929928645,-10.8770775973527,1.48239539398895e-27,1.41815826024943e-24,32.3190579549932,33.0750281668262,29.6210191401464,23.3952925208941,10.8453230144985,555.167810553192,577.840301930762,736.206427438564,991.699746257705
