#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	FEATURE_TYPE	GENE_MODEL_STATUS	GENUS	GO_BIOLOGICAL_PROCESS	GO_MOLECULAR_FUNCTION	NAME	SPECIES	SYMBOL
FBgn0011763	FBgn0011763	CG4654	SO0000010:protein_coding_gene	Current	Drosophila	positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> dorsal/ventral axis specification, ovarian follicular epithelium ; GO:0008069 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | inferred from mutant phenotype <newline> endomitotic cell cycle ; GO:0007113 | traceable author statement <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN000284480 <newline> positive regulation of nurse cell apoptotic process ; GO:0045850 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | non-traceable author statement <newline> eggshell chorion gene amplification ; GO:0007307 | traceable author statement <newline> nurse cell apoptotic process ; GO:0045476 | traceable author statement <newline> intrinsic apoptotic signaling pathway in response to DNA damage ; GO:0008630 | inferred from mutant phenotype	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | contributes_to inferred from physical interaction with E2f1 <newline> sequence-specific DNA binding ; GO:0043565 | contributes_to inferred from physical interaction with E2f1 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with E2f1 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with Rbf inferred from physical interaction with Rbf2 <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with Rbf	DP transcription factor	melanogaster	Dp
FBgn0011766	FBgn0011766	CG6376	SO0000010:protein_coding_gene	Current	Drosophila	positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> eggshell chorion gene amplification ; GO:0007307 | traceable author statement <newline> regulation of hemocyte proliferation ; GO:0035206 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | non-traceable author statement <newline> regulation of gene expression ; GO:0010468 | inferred from mutant phenotype <newline> DNA endoreduplication ; GO:0042023 | inferred from mutant phenotype inferred from genetic interaction with CycE <newline> positive regulation of nurse cell apoptotic process ; GO:0045850 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> ventral cord development ; GO:0007419 | inferred from high throughput mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> larval lymph gland hemopoiesis ; GO:0035167 | inferred from mutant phenotype <newline> nurse cell apoptotic process ; GO:0045476 | traceable author statement <newline> regulation of execution phase of apoptosis ; GO:1900117 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay <newline> G1/S transition of mitotic cell cycle ; GO:0000082 | traceable author statement <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> imaginal disc development ; GO:0007444 | traceable author statement <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | traceable author statement <newline> positive regulation of TORC1 signaling ; GO:1904263 | inferred from mutant phenotype inferred from genetic interaction with CycD, Cdk4 <newline> positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> positive regulation of DNA endoreduplication ; GO:0032877 | inferred from mutant phenotype	protein dimerization activity ; GO:0046983 | inferred from electronic annotation with InterPro:IPR032198 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with HGNC:3113 inferred from direct assay <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with Dp <newline> DNA binding ; GO:0003677 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with Rbf <newline> DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with l(3)mbt inferred from physical interaction with dom <newline> protein binding ; GO:0005515 | inferred from physical interaction with Rbf <newline> transcription factor binding ; GO:0008134 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> RNA polymerase II regulatory region DNA binding ; GO:0001012 | inferred from direct assay <newline> RNA polymerase II regulatory region DNA binding ; GO:0001012 | inferred from mutant phenotype <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | contributes_to inferred from physical interaction with Dp <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> sequence-specific DNA binding ; GO:0043565 | contributes_to inferred from physical interaction with Dp <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> DNA binding ; GO:0003677 | inferred from direct assay	E2F transcription factor 1	melanogaster	E2f1
FBgn0024371	FBgn0024371	CG1071	SO0000010:protein_coding_gene	Current	Drosophila	negative regulation of G1/S transition of mitotic cell cycle ; GO:2000134 | inferred from direct assay <newline> negative regulation of DNA replication ; GO:0008156 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from direct assay <newline> imaginal disc development ; GO:0007444 | traceable author statement <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> endomitotic cell cycle ; GO:0007113 | traceable author statement <newline> negative regulation of apoptotic process ; GO:0043066 | inferred from direct assay <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | traceable author statement <newline> G1/S transition of mitotic cell cycle ; GO:0000082 | traceable author statement <newline> oogenesis ; GO:0048477 | traceable author statement <newline> regulation of cell cycle ; GO:0051726 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> positive regulation of transcription regulatory region DNA binding ; GO:2000679 | inferred from mutant phenotype <newline> DNA endoreduplication ; GO:0042023 | inferred from mutant phenotype inferred from genetic interaction with CycE	RNA polymerase II regulatory region DNA binding ; GO:0001012 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q24472 inferred from physical interaction with UniProtKB:Q9NIS1 <newline> transcription factor binding ; GO:0008134 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> RNA polymerase II regulatory region DNA binding ; GO:0001012 | inferred from mutant phenotype <newline> DNA binding ; GO:0003677 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q24472 <newline> DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | contributes_to inferred from physical interaction with Rbf2 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with Rbf2 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000249624 <newline> protein heterodimerization activity ; GO:0046982 | inferred from direct assay	E2F transcription factor 2	melanogaster	E2f2
FBgn0004870	FBgn0004870	CG9097	SO0000010:protein_coding_gene	Current	Drosophila	female sex differentiation ; GO:0046660 | traceable author statement <newline> sex differentiation ; GO:0007548 | traceable author statement <newline> eye-antennal disc morphogenesis ; GO:0007455 | inferred from expression pattern <newline> transcription, DNA-templated ; GO:0006351 | traceable author statement <newline> sex-specific pigmentation ; GO:0048071 | traceable author statement <newline> regulation of developmental pigmentation ; GO:0048070 | traceable author statement <newline> negative regulation of male pigmentation ; GO:0048092 | non-traceable author statement <newline> sex differentiation ; GO:0007548 | inferred from mutant phenotype inferred from genetic interaction with abd-A inferred from genetic interaction with Abd-B <newline> negative regulation of developmental pigmentation ; GO:0048086 | traceable author statement <newline> leg disc morphogenesis ; GO:0007478 | inferred from expression pattern <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010 <newline> regulation of transcription, DNA-templated ; GO:0006355 | traceable author statement	DNA-binding transcription factor activity ; GO:0003700 | traceable author statement <newline> AT DNA binding ; GO:0003680 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with bip2	bric a brac 1	melanogaster	bab1
FBgn0025525	FBgn0025525	CG9102	SO0000010:protein_coding_gene	Current	Drosophila	regulation of stem cell differentiation ; GO:2000736 | inferred from mutant phenotype <newline> female gonad morphogenesis ; GO:0061040 | inferred from mutant phenotype <newline> transcription, DNA-templated ; GO:0006351 | traceable author statement <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010 <newline> regulation of transcription, DNA-templated ; GO:0006355 | traceable author statement <newline> leg disc morphogenesis ; GO:0007478 | inferred from expression pattern <newline> eye-antennal disc morphogenesis ; GO:0007455 | inferred from expression pattern	AT DNA binding ; GO:0003680 | inferred from direct assay <newline> DNA-binding transcription factor activity ; GO:0003700 | traceable author statement <newline> protein binding ; GO:0005515 | inferred from physical interaction with bip2	bric a brac 2	melanogaster	bab2
FBgn0263108	FBgn0263108	CG43365	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057	BTB-protein-VII	melanogaster	BtbVII
FBgn0029824	FBgn0029824	CG3726	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057, InterPro:IPR017956	-	melanogaster	CG3726
FBgn0030710	FBgn0030710	CG8924	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889	-	melanogaster	CG8924
FBgn0035405	FBgn0035405	CG15812	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057	-	melanogaster	CG15812
FBgn0039286	FBgn0039286	CG11849	SO0000010:protein_coding_gene	Current	Drosophila	segment specification ; GO:0007379 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from mutant phenotype <newline> antennal development ; GO:0007469 | inferred from mutant phenotype <newline> central nervous system formation ; GO:0021556 | inferred from mutant phenotype	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR007889, InterPro:IPR009057 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from mutant phenotype <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:O18381 inferred from physical interaction with UniProtKB:Q24027 inferred from physical interaction with UniProtKB:Q9VBW9	distal antenna	melanogaster	dan
