userId	geneSymbol	geneName	entrezgene	gLink
CG43402	CG43402	NA	12797876	https://www.ncbi.nlm.nih.gov/gene/?term=12797876
CG17646	CG17646	NA	33354	https://www.ncbi.nlm.nih.gov/gene/?term=33354
daw	daw	dawdle	33474	https://www.ncbi.nlm.nih.gov/gene/?term=33474
Thor	Thor	thor	33569	https://www.ncbi.nlm.nih.gov/gene/?term=33569
vri	vri	vrille	33759	https://www.ncbi.nlm.nih.gov/gene/?term=33759
CG5958	CG5958	NA	34022	https://www.ncbi.nlm.nih.gov/gene/?term=34022
Uhg2	Uhg2	U snoRNA host gene 2	3772246	https://www.ncbi.nlm.nih.gov/gene/?term=3772246
CG17124	CG17124	NA	34485	https://www.ncbi.nlm.nih.gov/gene/?term=34485
Acp32CD	Acp32CD	Accessory gland protein 32CD	34531	https://www.ncbi.nlm.nih.gov/gene/?term=34531
CR44589	CR44589	NA	19835932	https://www.ncbi.nlm.nih.gov/gene/?term=19835932
Plzf	Plzf	Promyelocytic leukemia zinc finger	34622	https://www.ncbi.nlm.nih.gov/gene/?term=34622
CG14945	CG14945	NA	34623	https://www.ncbi.nlm.nih.gov/gene/?term=34623
nub	nub	nubbin	34669	https://www.ncbi.nlm.nih.gov/gene/?term=34669
CG13283	CG13283	NA	35020	https://www.ncbi.nlm.nih.gov/gene/?term=35020
CG6870	CG6870	NA	35067	https://www.ncbi.nlm.nih.gov/gene/?term=35067
Fmo-2	Fmo-2	Flavin-containing monooxygenase 2	35561	https://www.ncbi.nlm.nih.gov/gene/?term=35561
fa2h	fa2h	fatty acid 2-hydroylase	35670	https://www.ncbi.nlm.nih.gov/gene/?term=35670
CG34216	CG34216	NA	5740103	https://www.ncbi.nlm.nih.gov/gene/?term=5740103
LRP1	LRP1	LDL receptor protein 1	35799	https://www.ncbi.nlm.nih.gov/gene/?term=35799
ana	ana	anachronism	35913	https://www.ncbi.nlm.nih.gov/gene/?term=35913
Cyp12d1-p	Cyp12d1-p	Cyp12d1-p	246648	https://www.ncbi.nlm.nih.gov/gene/?term=246648
CG13215	CG13215	NA	36182	https://www.ncbi.nlm.nih.gov/gene/?term=36182
mir-281-2	mir-281-2	mir-281-2 stem loop	12798417	https://www.ncbi.nlm.nih.gov/gene/?term=12798417
CR43900	CR43900	NA	14462580	https://www.ncbi.nlm.nih.gov/gene/?term=14462580
CG8834	CG8834	NA	36356	https://www.ncbi.nlm.nih.gov/gene/?term=36356
sug	sug	sugarbabe	36424	https://www.ncbi.nlm.nih.gov/gene/?term=36424
CG44251	CG44251	NA	36429	https://www.ncbi.nlm.nih.gov/gene/?term=36429
CG6145	CG6145	NA	36506	https://www.ncbi.nlm.nih.gov/gene/?term=36506
CG8468	CG8468	NA	36577	https://www.ncbi.nlm.nih.gov/gene/?term=36577
Trpm	Trpm	Transient receptor potential cation channel, subfamily M	36694	https://www.ncbi.nlm.nih.gov/gene/?term=36694
spin	spin	spinster	45380	https://www.ncbi.nlm.nih.gov/gene/?term=45380
CG8303	CG8303	NA	36858	https://www.ncbi.nlm.nih.gov/gene/?term=36858
Picot	Picot	picot	36865	https://www.ncbi.nlm.nih.gov/gene/?term=36865
CG10910	CG10910	NA	37052	https://www.ncbi.nlm.nih.gov/gene/?term=37052
GstE8	GstE8	Glutathione S transferase E8	37113	https://www.ncbi.nlm.nih.gov/gene/?term=37113
18w	18w	18 wheeler	37277	https://www.ncbi.nlm.nih.gov/gene/?term=37277
HmgZ	HmgZ	HMG protein Z	37480	https://www.ncbi.nlm.nih.gov/gene/?term=37480
CG13492	CG13492	NA	37487	https://www.ncbi.nlm.nih.gov/gene/?term=37487
CG4294	CG4294	NA	37579	https://www.ncbi.nlm.nih.gov/gene/?term=37579
CG13907	CG13907	NA	38104	https://www.ncbi.nlm.nih.gov/gene/?term=38104
scf	scf	supercoiling factor	38145	https://www.ncbi.nlm.nih.gov/gene/?term=38145
CG14961	CG14961	NA	38414	https://www.ncbi.nlm.nih.gov/gene/?term=38414
CG42324	CG42324	NA	38430	https://www.ncbi.nlm.nih.gov/gene/?term=38430
DOR	DOR	Diabetes and obesity regulated	38543	https://www.ncbi.nlm.nih.gov/gene/?term=38543
CG10592	CG10592	NA	38632	https://www.ncbi.nlm.nih.gov/gene/?term=38632
CG5150	CG5150	NA	38633	https://www.ncbi.nlm.nih.gov/gene/?term=38633
ImpL3	ImpL3	Ecdysone-inducible gene L3	45880	https://www.ncbi.nlm.nih.gov/gene/?term=45880
ple	ple	pale	38746	https://www.ncbi.nlm.nih.gov/gene/?term=38746
vvl	vvl	ventral veins lacking	38752	https://www.ncbi.nlm.nih.gov/gene/?term=38752
Prat2	Prat2	Phosphoribosylamidotransferase 2	38753	https://www.ncbi.nlm.nih.gov/gene/?term=38753
CG13315	CG13315	NA	50300	https://www.ncbi.nlm.nih.gov/gene/?term=50300
Slc45-1	Slc45-1	Solute carrier family 45 member 1	39055	https://www.ncbi.nlm.nih.gov/gene/?term=39055
Hsp23	Hsp23	Heat shock protein 23	39077	https://www.ncbi.nlm.nih.gov/gene/?term=39077
Muc68Ca	Muc68Ca	Mucin 68Ca	2768980	https://www.ncbi.nlm.nih.gov/gene/?term=2768980
CG32091	CG32091	NA	39307	https://www.ncbi.nlm.nih.gov/gene/?term=39307
Muc68D	Muc68D	Mucin 68D	39326	https://www.ncbi.nlm.nih.gov/gene/?term=39326
CG10660	CG10660	NA	39422	https://www.ncbi.nlm.nih.gov/gene/?term=39422
CG10973	CG10973	NA	39447	https://www.ncbi.nlm.nih.gov/gene/?term=39447
CG14120	CG14120	NA	39463	https://www.ncbi.nlm.nih.gov/gene/?term=39463
CG8745	CG8745	NA	39530	https://www.ncbi.nlm.nih.gov/gene/?term=39530
Nplp3	Nplp3	Neuropeptide-like precursor 3	59235	https://www.ncbi.nlm.nih.gov/gene/?term=59235
CG5290	CG5290	NA	39998	https://www.ncbi.nlm.nih.gov/gene/?term=39998
CG9451	CG9451	NA	40118	https://www.ncbi.nlm.nih.gov/gene/?term=40118
CG6933	CG6933	NA	40214	https://www.ncbi.nlm.nih.gov/gene/?term=40214
Uhg8	Uhg8	NA	8674065	https://www.ncbi.nlm.nih.gov/gene/?term=8674065
CG32444	CG32444	NA	40406	https://www.ncbi.nlm.nih.gov/gene/?term=40406
CG7130	CG7130	NA	40450	https://www.ncbi.nlm.nih.gov/gene/?term=40450
CG31522	CG31522	NA	40567	https://www.ncbi.nlm.nih.gov/gene/?term=40567
CG1979	CG1979	NA	40837	https://www.ncbi.nlm.nih.gov/gene/?term=40837
unc-45	unc-45	uncoordinated 45	44910	https://www.ncbi.nlm.nih.gov/gene/?term=44910
CR45054	CR45054	NA	19835480	https://www.ncbi.nlm.nih.gov/gene/?term=19835480
Cyp9f2	Cyp9f2	Cyp9f2	41520	https://www.ncbi.nlm.nih.gov/gene/?term=41520
Hsp70Bbb	Hsp70Bbb	Hsp70Bbb	50022	https://www.ncbi.nlm.nih.gov/gene/?term=50022
kar	kar	karmoisin	45883	https://www.ncbi.nlm.nih.gov/gene/?term=45883
CG3987	CG3987	NA	41822	https://www.ncbi.nlm.nih.gov/gene/?term=41822
srp	srp	serpent	41944	https://www.ncbi.nlm.nih.gov/gene/?term=41944
GATAe	GATAe	GATAe	41945	https://www.ncbi.nlm.nih.gov/gene/?term=41945
tara	tara	taranis	53562	https://www.ncbi.nlm.nih.gov/gene/?term=53562
TyrR	TyrR	Tyramine receptor	42136	https://www.ncbi.nlm.nih.gov/gene/?term=42136
CG4562	CG4562	NA	42362	https://www.ncbi.nlm.nih.gov/gene/?term=42362
CG31343	CG31343	NA	326133	https://www.ncbi.nlm.nih.gov/gene/?term=326133
CG31198	CG31198	NA	318622	https://www.ncbi.nlm.nih.gov/gene/?term=318622
