userId	geneSymbol	geneName	entrezgene	gLink
CG11023	CG11023	NA	33155	https://www.ncbi.nlm.nih.gov/gene/?term=33155
Ir21a	Ir21a	Ionotropic receptor 21a	33157	https://www.ncbi.nlm.nih.gov/gene/?term=33157
CR43609	CR43609	NA	12797867	https://www.ncbi.nlm.nih.gov/gene/?term=12797867
Cda5	Cda5	Chitin deacetylase-like 5	33158	https://www.ncbi.nlm.nih.gov/gene/?term=33158
CR44987	CR44987	NA	19835103	https://www.ncbi.nlm.nih.gov/gene/?term=19835103
net	net	net	45339	https://www.ncbi.nlm.nih.gov/gene/?term=45339
CG13694	CG13694	NA	33169	https://www.ncbi.nlm.nih.gov/gene/?term=33169
CG4822	CG4822	NA	33170	https://www.ncbi.nlm.nih.gov/gene/?term=33170
CR44969	CR44969	NA	19835409	https://www.ncbi.nlm.nih.gov/gene/?term=19835409
CR44185	CR44185	NA	14462644	https://www.ncbi.nlm.nih.gov/gene/?term=14462644
CG42399	CG42399	NA	33176	https://www.ncbi.nlm.nih.gov/gene/?term=33176
CG11617	CG11617	NA	33183	https://www.ncbi.nlm.nih.gov/gene/?term=33183
CR44222	CR44222	NA	14462647	https://www.ncbi.nlm.nih.gov/gene/?term=14462647
CR44221	CR44221	NA	14462648	https://www.ncbi.nlm.nih.gov/gene/?term=14462648
CG13693	CG13693	NA	33187	https://www.ncbi.nlm.nih.gov/gene/?term=33187
CR44218	CR44218	NA	14462649	https://www.ncbi.nlm.nih.gov/gene/?term=14462649
Rpp30	Rpp30	RNaseP protein p30	44392	https://www.ncbi.nlm.nih.gov/gene/?term=44392
CG17075	CG17075	NA	33191	https://www.ncbi.nlm.nih.gov/gene/?term=33191
CG3345	CG3345	NA	33192	https://www.ncbi.nlm.nih.gov/gene/?term=33192
Amnionless	Amnionless	amnionless	33199	https://www.ncbi.nlm.nih.gov/gene/?term=33199
CG43755	CG43755	NA	319026	https://www.ncbi.nlm.nih.gov/gene/?term=319026
CG31921	CG31921	NA	319027	https://www.ncbi.nlm.nih.gov/gene/?term=319027
CR45367	CR45367	NA	19835000	https://www.ncbi.nlm.nih.gov/gene/?term=19835000
CR45366	CR45366	NA	19835501	https://www.ncbi.nlm.nih.gov/gene/?term=19835501
al	al	aristaless	33208	https://www.ncbi.nlm.nih.gov/gene/?term=33208
CR43718	CR43718	NA	14462652	https://www.ncbi.nlm.nih.gov/gene/?term=14462652
CG4213	CG4213	NA	33209	https://www.ncbi.nlm.nih.gov/gene/?term=33209
CG13692	CG13692	NA	33216	https://www.ncbi.nlm.nih.gov/gene/?term=33216
BBS8	BBS8	Bardet-Biedl syndrome 8	33217	https://www.ncbi.nlm.nih.gov/gene/?term=33217
CR43717	CR43717	NA	14462653	https://www.ncbi.nlm.nih.gov/gene/?term=14462653
CG4133	CG4133	NA	33221	https://www.ncbi.nlm.nih.gov/gene/?term=33221
Ets21C	Ets21C	Ets at 21C	33229	https://www.ncbi.nlm.nih.gov/gene/?term=33229
nAChRbeta3	nAChRbeta3	nicotinic Acetylcholine Receptor beta3	33228	https://www.ncbi.nlm.nih.gov/gene/?term=33228
rempA	rempA	reduced mechanoreceptor potential A	33230	https://www.ncbi.nlm.nih.gov/gene/?term=33230
Ptth	Ptth	Prothoracicotropic hormone	33238	https://www.ncbi.nlm.nih.gov/gene/?term=33238
Pph13	Pph13	PvuII-PstI homology 13	33239	https://www.ncbi.nlm.nih.gov/gene/?term=33239
Gsc	Gsc	Goosecoid	33240	https://www.ncbi.nlm.nih.gov/gene/?term=33240
CR43648	CR43648	NA	14462654	https://www.ncbi.nlm.nih.gov/gene/?term=14462654
lectin-21Cb	lectin-21Cb	lectin-21Cb	33242	https://www.ncbi.nlm.nih.gov/gene/?term=33242
CR44797	CR44797	NA	19836232	https://www.ncbi.nlm.nih.gov/gene/?term=19836232
CR44798	CR44798	NA	19835090	https://www.ncbi.nlm.nih.gov/gene/?term=19835090
lectin-21Ca	lectin-21Ca	lectin-21Ca	53552	https://www.ncbi.nlm.nih.gov/gene/?term=53552
CG2839	CG2839	NA	33244	https://www.ncbi.nlm.nih.gov/gene/?term=33244
ds	ds	dachsous	33245	https://www.ncbi.nlm.nih.gov/gene/?term=33245
Hsp60B	Hsp60B	Heat shock protein 60B	48572	https://www.ncbi.nlm.nih.gov/gene/?term=48572
Eaat2	Eaat2	Excitatory amino acid transporter 2	33247	https://www.ncbi.nlm.nih.gov/gene/?term=33247
GABA-B-R3	GABA-B-R3	metabotropic GABA-B receptor subtype 3	33248	https://www.ncbi.nlm.nih.gov/gene/?term=33248
CR44614	CR44614	NA	19835404	https://www.ncbi.nlm.nih.gov/gene/?term=19835404
Gr21a	Gr21a	Gustatory receptor 21a	33251	https://www.ncbi.nlm.nih.gov/gene/?term=33251
Pkg21D	Pkg21D	Protein kinase, cGMP-dependent at 21D	33253	https://www.ncbi.nlm.nih.gov/gene/?term=33253
CR45259	CR45259	NA	19835966	https://www.ncbi.nlm.nih.gov/gene/?term=19835966
Pex12	Pex12	Peroxin 12	33256	https://www.ncbi.nlm.nih.gov/gene/?term=33256
CG15880	CG15880	NA	33257	https://www.ncbi.nlm.nih.gov/gene/?term=33257
CG13949	CG13949	NA	33266	https://www.ncbi.nlm.nih.gov/gene/?term=33266
CR45345	CR45345	NA	19835464	https://www.ncbi.nlm.nih.gov/gene/?term=19835464
CG13950	CG13950	NA	33267	https://www.ncbi.nlm.nih.gov/gene/?term=33267
aru	aru	arouser	33268	https://www.ncbi.nlm.nih.gov/gene/?term=33268
CR45348	CR45348	NA	19835631	https://www.ncbi.nlm.nih.gov/gene/?term=19835631
Lsp1beta	Lsp1beta	Larval serum protein 1 beta	33274	https://www.ncbi.nlm.nih.gov/gene/?term=33274
CR45261	CR45261	NA	19835568	https://www.ncbi.nlm.nih.gov/gene/?term=19835568
GluRIIC	GluRIIC	Glutamate receptor IIC	33275	https://www.ncbi.nlm.nih.gov/gene/?term=33275
CG4341	CG4341	NA	33276	https://www.ncbi.nlm.nih.gov/gene/?term=33276
CR44801	CR44801	NA	19834880	https://www.ncbi.nlm.nih.gov/gene/?term=19834880
CG4375	CG4375	NA	33278	https://www.ncbi.nlm.nih.gov/gene/?term=33278
CG4415	CG4415	NA	33279	https://www.ncbi.nlm.nih.gov/gene/?term=33279
CG4629	CG4629	NA	33284	https://www.ncbi.nlm.nih.gov/gene/?term=33284
CG14339	CG14339	NA	33286	https://www.ncbi.nlm.nih.gov/gene/?term=33286
CG14340	CG14340	NA	33287	https://www.ncbi.nlm.nih.gov/gene/?term=33287
MFS3	MFS3	Major Facilitator Superfamily Transporter 3	33292	https://www.ncbi.nlm.nih.gov/gene/?term=33292
CR43767	CR43767	NA	14462658	https://www.ncbi.nlm.nih.gov/gene/?term=14462658
CG5139	CG5139	NA	33309	https://www.ncbi.nlm.nih.gov/gene/?term=33309
CR45346	CR45346	NA	19835817	https://www.ncbi.nlm.nih.gov/gene/?term=19835817
CR43263	CR43263	NA	12797874	https://www.ncbi.nlm.nih.gov/gene/?term=12797874
CG42329	CG42329	NA	33312	https://www.ncbi.nlm.nih.gov/gene/?term=33312
CG5397	CG5397	NA	33313	https://www.ncbi.nlm.nih.gov/gene/?term=33313
robo3	robo3	roundabout 3	33314	https://www.ncbi.nlm.nih.gov/gene/?term=33314
CG5440	CG5440	NA	33318	https://www.ncbi.nlm.nih.gov/gene/?term=33318
Cdlc2	Cdlc2	Cytoplasmic dynein light chain 2	33319	https://www.ncbi.nlm.nih.gov/gene/?term=33319
CR45005	CR45005	NA	19834729	https://www.ncbi.nlm.nih.gov/gene/?term=19834729
CR45006	CR45006	NA	19835368	https://www.ncbi.nlm.nih.gov/gene/?term=19835368
CG5556	CG5556	NA	33320	https://www.ncbi.nlm.nih.gov/gene/?term=33320
CG31924	CG31924	NA	319030	https://www.ncbi.nlm.nih.gov/gene/?term=319030
CG14346	CG14346	NA	33325	https://www.ncbi.nlm.nih.gov/gene/?term=33325
CR44897	CR44897	NA	19836205	https://www.ncbi.nlm.nih.gov/gene/?term=19836205
CG43401	CG43401	NA	12797875	https://www.ncbi.nlm.nih.gov/gene/?term=12797875
CG43402	CG43402	NA	12797876	https://www.ncbi.nlm.nih.gov/gene/?term=12797876
CG33128	CG33128	NA	326263	https://www.ncbi.nlm.nih.gov/gene/?term=326263
CG18131	CG18131	NA	33331	https://www.ncbi.nlm.nih.gov/gene/?term=33331
CG7420	CG7420	NA	33332	https://www.ncbi.nlm.nih.gov/gene/?term=33332
CR44064	CR44064	NA	14462659	https://www.ncbi.nlm.nih.gov/gene/?term=14462659
Or22a	Or22a	Odorant receptor 22a	33335	https://www.ncbi.nlm.nih.gov/gene/?term=33335
Or22b	Or22b	Odorant receptor 22b	33336	https://www.ncbi.nlm.nih.gov/gene/?term=33336
haf	haf	hattifattener	33339	https://www.ncbi.nlm.nih.gov/gene/?term=33339
CG10869	CG10869	NA	33337	https://www.ncbi.nlm.nih.gov/gene/?term=33337
CR44603	CR44603	NA	19835151	https://www.ncbi.nlm.nih.gov/gene/?term=19835151
chinmo	chinmo	Chronologically inappropriate morphogenesis	33343	https://www.ncbi.nlm.nih.gov/gene/?term=33343
CR44976	CR44976	NA	19834890	https://www.ncbi.nlm.nih.gov/gene/?term=19834890
CG17652	CG17652	NA	33353	https://www.ncbi.nlm.nih.gov/gene/?term=33353
CG17646	CG17646	NA	33354	https://www.ncbi.nlm.nih.gov/gene/?term=33354
Gr22f	Gr22f	Gustatory receptor 22f	117349	https://www.ncbi.nlm.nih.gov/gene/?term=117349
CG17650	CG17650	NA	33358	https://www.ncbi.nlm.nih.gov/gene/?term=33358
Gr22e	Gr22e	Gustatory receptor 22e	117498	https://www.ncbi.nlm.nih.gov/gene/?term=117498
