userId	geneSymbol	geneName	entrezgene	gLink
CG4629	CG4629	NA	33284	https://www.ncbi.nlm.nih.gov/gene/?term=33284
robo3	robo3	roundabout 3	33314	https://www.ncbi.nlm.nih.gov/gene/?term=33314
CR15280	CR15280	NA	3885605	https://www.ncbi.nlm.nih.gov/gene/?term=3885605
CR43805	CR43805	NA	14462766	https://www.ncbi.nlm.nih.gov/gene/?term=14462766
CG15279	CG15279	NA	34863	https://www.ncbi.nlm.nih.gov/gene/?term=34863
CG14352	CG14352	NA	33341	https://www.ncbi.nlm.nih.gov/gene/?term=33341
RFeSP	RFeSP	Rieske iron-sulfur protein	44390	https://www.ncbi.nlm.nih.gov/gene/?term=44390
CG42389	CG42389	NA	34987	https://www.ncbi.nlm.nih.gov/gene/?term=34987
CR44151	CR44151	NA	14462786	https://www.ncbi.nlm.nih.gov/gene/?term=14462786
ham	ham	hamlet	35135	https://www.ncbi.nlm.nih.gov/gene/?term=35135
CR43804	CR43804	NA	14462794	https://www.ncbi.nlm.nih.gov/gene/?term=14462794
erm	erm	earmuff	326152	https://www.ncbi.nlm.nih.gov/gene/?term=326152
CG42238	CG42238	NA	7354398	https://www.ncbi.nlm.nih.gov/gene/?term=7354398
CR44789	CR44789	NA	19835162	https://www.ncbi.nlm.nih.gov/gene/?term=19835162
CG15395	CG15395	NA	33447	https://www.ncbi.nlm.nih.gov/gene/?term=33447
Syt1	Syt1	Synaptotagmin 1	33473	https://www.ncbi.nlm.nih.gov/gene/?term=33473
CG17265	CG17265	NA	33509	https://www.ncbi.nlm.nih.gov/gene/?term=33509
msl-2	msl-2	male-specific lethal 2	33565	https://www.ncbi.nlm.nih.gov/gene/?term=33565
capu	capu	cappuccino	33611	https://www.ncbi.nlm.nih.gov/gene/?term=33611
CG15429	CG15429	NA	33637	https://www.ncbi.nlm.nih.gov/gene/?term=33637
rau	rau	rau	33814	https://www.ncbi.nlm.nih.gov/gene/?term=33814
Sfp26Ad	Sfp26Ad	Seminal fluid protein 26Ad	8673981	https://www.ncbi.nlm.nih.gov/gene/?term=8673981
CR45289	CR45289	NA	19836040	https://www.ncbi.nlm.nih.gov/gene/?term=19836040
Gpdh	Gpdh	Glycerol 3 phosphate dehydrogenase	33824	https://www.ncbi.nlm.nih.gov/gene/?term=33824
psd	psd	palisade	33830	https://www.ncbi.nlm.nih.gov/gene/?term=33830
CG13992	CG13992	NA	33831	https://www.ncbi.nlm.nih.gov/gene/?term=33831
Btk29A	Btk29A	Btk family kinase at 29A	34132	https://www.ncbi.nlm.nih.gov/gene/?term=34132
CG8086	CG8086	NA	34131	https://www.ncbi.nlm.nih.gov/gene/?term=34131
CG7781	CG7781	NA	34143	https://www.ncbi.nlm.nih.gov/gene/?term=34143
Nckx30C	Nckx30C	Nckx30C	45248	https://www.ncbi.nlm.nih.gov/gene/?term=45248
Shroom	Shroom	shroom	36592	https://www.ncbi.nlm.nih.gov/gene/?term=36592
Jhe	Jhe	Juvenile hormone esterase	36780	https://www.ncbi.nlm.nih.gov/gene/?term=36780
Menl-2	Menl-2	Malic enzyme like-2	3772692	https://www.ncbi.nlm.nih.gov/gene/?term=3772692
CG34457	CG34457	NA	5740661	https://www.ncbi.nlm.nih.gov/gene/?term=5740661
CG34458	CG34458	NA	5740868	https://www.ncbi.nlm.nih.gov/gene/?term=5740868
CG5550	CG5550	NA	36883	https://www.ncbi.nlm.nih.gov/gene/?term=36883
CR43417	CR43417	NA	12798319	https://www.ncbi.nlm.nih.gov/gene/?term=12798319
CG30460	CG30460	NA	36924	https://www.ncbi.nlm.nih.gov/gene/?term=36924
CG6424	CG6424	NA	37012	https://www.ncbi.nlm.nih.gov/gene/?term=37012
CG44434	CG44434	NA	19836171	https://www.ncbi.nlm.nih.gov/gene/?term=19836171
CG44435	CG44435	NA	19835622	https://www.ncbi.nlm.nih.gov/gene/?term=19835622
CG9864	CG9864	NA	37287	https://www.ncbi.nlm.nih.gov/gene/?term=37287
Rx	Rx	Retinal Homeobox	37367	https://www.ncbi.nlm.nih.gov/gene/?term=37367
shg	shg	shotgun	37386	https://www.ncbi.nlm.nih.gov/gene/?term=37386
CG30389	CG30389	NA	37410	https://www.ncbi.nlm.nih.gov/gene/?term=37410
CG15661	CG15661	NA	37421	https://www.ncbi.nlm.nih.gov/gene/?term=37421
ASPP	ASPP	Ankyrin-repeat, SH3-domain, and Proline-rich-region containing Protein	37422	https://www.ncbi.nlm.nih.gov/gene/?term=37422
Fili	Fili	Fish-lips	5740472	https://www.ncbi.nlm.nih.gov/gene/?term=5740472
CG11073	CG11073	NA	37519	https://www.ncbi.nlm.nih.gov/gene/?term=37519
CG43795	CG43795	NA	5740629	https://www.ncbi.nlm.nih.gov/gene/?term=5740629
EcR	EcR	Ecdysone receptor	35540	https://www.ncbi.nlm.nih.gov/gene/?term=35540
bs	bs	blistered	37890	https://www.ncbi.nlm.nih.gov/gene/?term=37890
CR44811	CR44811	NA	19835734	https://www.ncbi.nlm.nih.gov/gene/?term=19835734
CG13578	CG13578	NA	37891	https://www.ncbi.nlm.nih.gov/gene/?term=37891
mAChR-A	mAChR-A	muscarinic Acetylcholine Receptor, A-type	37892	https://www.ncbi.nlm.nih.gov/gene/?term=37892
CR44813	CR44813	NA	19834874	https://www.ncbi.nlm.nih.gov/gene/?term=19834874
